patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429641,2025-09-30,Organic light emitting diode display with color-correction component having different color mixing weights,0,A23K|C12N|C12Y|G02B|H10K
12416578,2025-09-16,Chromatographic reader devices for biodetection,0,G01N
12405220,2025-09-02,Chromatographic reader devices for biodetection,0,G01N|G06T
12313517,2025-05-27,Air quality assessment based upon optical absorbance,0,G01N|Y02B
12298228,2025-05-13,Optical system and optical construction,0,G01N
12286345,2025-04-29,Filter assembly,0,B01D|B01J|B82B|C12Q
12276629,2025-04-15,"Method, data set and sensored mixer to sense a property of a liquid",0,G01N|G05D
12275038,2025-04-15,Paint repair process by scenario,0,B05D|B24B|B25J|B62D|G01N|G05B|Y02P
12209172,2025-01-28,Curable compositions and methods of using the same,0,A61K|C08F|C08K|C08L
12198326,2025-01-14,"Cable preparation inspection device, system and method",0,G01N|G06T|H02G|H04N
12176689,2024-12-24,Measurement tool for cable-preparation system,0,G01B|G01N|G02B|H01R|H02G|H04N
12100283,2024-09-24,System and method for personal protective equipment,0,G01N|G08B
12097498,2024-09-24,Nanopatterned films with patterned surface chemistry,0,B01J|B01L|B29D|B82Y|G01N
12092585,2024-09-17,Ultraviolet light-based inspection for detecting coating defects in manufactured webs using fluorescing agents,0,G01N
12007593,2024-06-11,Organic light emitting diode with color-correction for maximum white-point color shift,0,A23K|C12N|C12Y|G02B|H10K
11995876,2024-05-28,"Test strip indicator determining system, terminal device, and method",0,G01N|G06V
11951226,2024-04-09,Ethylene oxide sterilization sensor including acid-functional sorbent and method of use,0,A61L|G01N
11946891,2024-04-02,Temperature-corrected control data for verifying of structural integrity of materials,0,G01N|G01R|G05B
11945900,2024-04-02,"Orthodontic articles prepared using a polycarbonate diol, polymerizable compositions, and methods of making the articles",0,A61C|A61K|B29C|B33Y|C08F|C08G|C08K|G03F
11918837,2024-03-05,Fit-test method for respirator with sensing system,0,A61B|A61M|A62B|G01M|G01N
11904031,2024-02-20,Orthodontic articles comprising polymerized composition comprising at least two free-radical initiators,0,A61C|A61K|B29C|B33Y|C08F|C08G|C08L
11896733,2024-02-13,"Apparatuses, methods, and compositions for the treatment and prophylaxis of chronic wounds",2,A61F|A61K|A61L|A61M
11884662,2024-01-30,"N-1 branched cycloalkyl substituted imidazo[4,5-c]quinoline compounds, compositions, and methods",0,A61K|A61P|C07D
11879779,2024-01-23,Optical device comprising wavelength-selective optical filter including downconverter,0,G01J|G01N|G02B
11878106,2024-01-23,System and methods for the treatment of wounds with negative pressure and instillation of peroxide pyruvic acid,0,A61F|A61K|A61M
11872292,2024-01-16,Cationically and radiation curable composition,0,A61K
11851643,2023-12-26,Selective thin-film culture device for enumerating microorganisms,0,C12M|C12Q
11844849,2023-12-19,Dental compositions comprising nanoparticles providing a refractive index differential between polymerizable resin and filler,0,A61K
11842479,2023-12-12,Laminated sheet having printed layer and manufacturing thereof,0,B41M|B42D|B44C|G01N|G06T
11802792,2023-10-31,Technique for determining presence of a species in a sample,0,G01J|G01N|G02B
11801231,2023-10-31,Oral compositions and methods of use,0,A61K|A61P|A61Q
11793734,2023-10-24,"Aqueous oral care iodide-containing compositions, methods, and kits",0,A61K|A61Q
11793731,2023-10-24,Multi-part dental composition having staged viscosity prior to hardening,0,A61K|C08K|C08L
11793422,2023-10-24,Sensing system for respirator,0,A61B|G01N
11779446,2023-10-10,Oral compositions and methods of use,0,A61C|A61K|A61P|A61Q
11768145,2023-09-26,Porous fluid sensor,0,G01N|G02B
11766386,2023-09-26,Medical composition containing guanidinyl-containing polymer(s) and carrageenane(s),0,A61C|A61K|A61L|C08K|C08L
11759298,2023-09-19,"Photopolymerizable compositions including a urethane component and a monofunctional reactive diluent, articles, and methods",0,A61C|A61K|B29C|B29K|B33Y|C08F|C08G|C08L
11744915,2023-09-05,Diagnostic device,0,A61L|B01L|B05D|G01N
11708428,2023-07-25,"Photopolymerizable compositions including a polyurethane methacrylate polymer prepared using a polycarbonate diol, articles, and methods",1,A61C|A61K|B29C|B33Y|C08F|C08G|C08K|G03F
11702620,2023-07-18,Self-contained anaerobic environment-generating culture device,0,C12M|C12N|C12Q
11696879,2023-07-11,Therapeutic dental pastes and related methods and kits,0,A61K|A61Q
11696875,2023-07-11,Curable composition for producing a dental composite crown and process of production,1,A61C|A61K|C08L
11684553,2023-06-27,Curable composition for dental retraction,0,A61C|A61K|C08L
11684069,2023-06-27,Cationic antiseptic compositions,0,A01N|A61K|A61L|A61Q
11676047,2023-06-13,Air quality data servicing,0,F24F|G01N|G06N
11666523,2023-06-06,"Aqueous oral care fluoride treatment compositions, and methods",0,A61K|A61Q
11666516,2023-06-06,"Aqueous oral care thiocyanate-containing compositions, methods, and kits",0,A61K|A61Q
11642199,2023-05-09,Dental appliance with cosmetic therapeutic aqueous solution,0,A61C|A61K|A61Q|B33Y
11635390,2023-04-25,"Measurement cycle determination device, measurement cycle determination program and method thereof",0,G01N|G06Q
11634666,2023-04-25,Methods for spore removal comprising a polysorbate surfactant and cationic antimicrobial mixture,0,A01N|A61K|A61P|A61Q|C11D
11629371,2023-04-18,Article and methods to determine efficacy of disinfection process,0,A01N|A47L|A61L|C11D|C12Q|D06M
11617980,2023-04-04,Air filter condition sensing,0,B01D|F24F|G01L|G01N|H04W
11612548,2023-03-28,Radiopaque dental composition,0,A61C|A61K
11609203,2023-03-21,Suppressing thermally induced voltages for verifying structural integrity of materials,0,G01N
11609202,2023-03-21,Electrode placement for verifying structural integrity of materials,0,G01N
11607635,2023-03-21,Air filter condition sensing,2,B01D|F24F|G01L|G01N|H04W
11602412,2023-03-14,"Printable compositions including polymeric and polymerizable components, articles, and methods of making articles therefrom",0,A61C|A61K|A61L|B29C|B29K|B29L|B33Y|C08F|C08L|G03F
11597830,2023-03-07,Radiation curable composition for additive manufacturing processes,0,A61K|B33Y|C08K|C08L
11596704,2023-03-07,Process monitoring device,0,A61L|C08G|G01N
11596590,2023-03-07,Methods and kits of removing calculus,0,A61K|A61Q
11591541,2023-02-28,Polymeric composite particles,0,A61K|A61Q|C08J|C11B
11585762,2023-02-21,Virtual camera array for inspection of manufactured webs,2,B41F|G01N|G06T|H04N
11584817,2023-02-21,Orthodontic articles comprising cured free-radically polymerizable composition with improved strength in aqueous environment,0,A61C|A61K|B29C|B29K|B29L|B33Y|C08F
11576845,2023-02-14,"Methods of removing spores comprising alcohol, acrylate copolymer particles, and a cationic coated article",0,A01N|A61K|A61L|A61P|A61Q
11553996,2023-01-17,Radiation curable compositions and composite articles made using an additive manufacturing process,0,A61C|A61K|B29C|B29K|B29L|B33Y|C08F|C08K
11534632,2022-12-27,Fit-test method for respirator with sensing system,0,A61M|A62B|G01N|G06T
11534264,2022-12-27,"Preformed dental composite crown, process of production and use thereof",0,A61C|A61K
11525949,2022-12-13,Device optical window camouflage,0,G01N|G02B
11525154,2022-12-13,"Devices, methods, kits, and systems for detecting microorganism strains or target cellular analytes in a fluid sample",0,B01L|C12Q|G01N
11524071,2022-12-13,"Lipidated immune response modifier compound compositions, formulations, and methods",0,A61K|A61P|C07D|C12N|Y02A
11510851,2022-11-29,"Application device with redox initiator system, method of production and use thereof",0,A61C|A61K
11491255,2022-11-08,Removable film forming gel compositions and methods for their application,0,A61K|A61L|Y02A
11484614,2022-11-01,Water-based sterilization indicator composition,0,A61L|C09D|G01N
11479844,2022-10-25,Flexible substrate having a plasmonic particle surface coating and method of making the same,0,B29C|C08J|C09J|C23C|G01N
11474020,2022-10-18,Sensing element for respirator,0,A62B|G01M|G01N
11471255,2022-10-18,Bondable dental assemblies and methods including a compressible material,15,A61C|A61K
11459596,2022-10-04,Apparatus for detecting ATP in a liquid sample,0,B01L|C12Q|G01N
11446613,2022-09-20,Functionalized copolymers and use thereof,0,B01D|C07K|C09D
11446219,2022-09-20,"Methods and kits for removing calculus using a non-enzymatic, hydrogen peroxide decomposition catalyst",17,A61C|A61K|A61P|A61Q
11434518,2022-09-06,Wash monitor and method of use,0,A61B|A61L|C12Q|C12Y|G01N|Y10T
11421261,2022-08-23,Methods to detect microorganisms,0,C12Q
11414641,2022-08-16,Article and method for detecting aerobic bacteria,0,C12M|C12Q
11408023,2022-08-09,Microbial detection devices including adhesive masked nutrients and methods of using the same,1,C12M|C12Q
11400433,2022-08-02,Composite granules including metal-containing polymeric materials,0,B01J|C08F|C08L|G01N
11389276,2022-07-19,"Photopolymerizable compositions including a urethane component and a monofunctional reactive diluent, articles, and methods",1,A61C|A61K|B29C|B29K|B33Y|C08F|C08G|C08L
11371952,2022-06-28,Verifying structural integrity of materials,1,F41H|G01N|G06F|G11C
11370788,2022-06-28,"Substituted imidazo[4,5-c]quinoline compounds with an N-1 branched group",0,A61P|C07D
11360064,2022-06-14,Oxy-pyrohydrolysis system and method for total halogen analysis,0,F23M|G01N
11346723,2022-05-31,Wireless sensing system using sensing device with excitation element,0,G01K|G01N|G06K
11339095,2022-05-24,Sol containing nano zirconia particles for use in additive manufacturing processes for the production of 3-dimensional articles,2,A61C|A61K|B28B|B33Y|C04B
11337902,2022-05-24,"Aqueous oral care fluoride treatment compositions, and methods",0,A61C|A61K|A61Q
11327010,2022-05-10,Infrared light transmission inspection for continuous moving web,0,G01N
11324681,2022-05-10,Oral compositions and methods of use,1,A61K|A61Q
11320424,2022-05-03,Specific binding chemiluminescent assay,0,G01N
11319573,2022-05-03,Rapid detection of E. coli in a thin film culture device,0,C12M|C12Q
11318005,2022-05-03,"Aqueous oral care solutions, methods, kits, and tooth surfaces having a coating derived from the oral care solution",1,A61C|A61K|A61Q
11306083,2022-04-19,"Amide substituted imidazo[4,5-C]quinoline compounds with a branched chain linking group for use as an immune response modifier",0,A61K|A61P|C07D
11304880,2022-04-19,"Glass ionomer compositions and methods including water-miscible, silane-treated, nano-sized silica particles",0,A61K|C03C
11279859,2022-03-22,Methods of passivating adhesives,0,B05D|B32B|C09D|C09J|G01N|Y10T
11279731,2022-03-22,Ligand functional substrates,0,B01D|C07H|C07K|C09D|Y10T
11260140,2022-03-01,Microbial indicator device for use with process monitoring systems,0,A61L|C12Q
11255807,2022-02-22,Verifying structural integrity of materials,0,F41H|G01N|H01R
11254716,2022-02-22,Peptides for binding epidermal growth factor,0,A61K|C07K|C12N
11253436,2022-02-22,Method of making a dental restoration,0,A61C|A61K|C04B
11250177,2022-02-15,"Systems and methods for modeling, analyzing, detecting, and monitoring fluid networks",1,E03B|F15B|G01M|G01N|G06F|G06Q|Y02A
11246808,2022-02-15,Dental compositions comprising nanoparticles providing a refractive index differential between polymerizable resin and filler,0,A61K
11237085,2022-02-01,Ligand-functionalized substrates with enhanced binding capacity,0,B01D|B01J|C07F|C07K|C08J|G01N
11225535,2022-01-18,"Photopolymerizable compositions including a polyurethane methacrylate polymer prepared using a polycarbonate diol, articles, and methods",5,A61C|A61K|B29C|B33Y|C08F|C08G|C08K|G03F
11207246,2021-12-28,Glass ionomer compositions and methods including inorganic fibers,0,A61K
11202982,2021-12-21,Air filter condition sensing,0,B01D|F24F|G01L|G01N|H04W
11187576,2021-11-30,Optical filters having spatially variant microreplicated layers,0,G01J|G01N|G02B
