patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426612,2025-09-30,Bidens pilosa and its phytochemicals for use in prevention and treatment of diarrhea,0,A23K|A61K|A61P
12385095,2025-08-12,Detection of a tumor in a urinary organ,0,C12Q
12384811,2025-08-12,Sialidase-resistant saccharide and method of making and using the same,0,A61P|C07H|C07K
12359259,2025-07-15,Biomarkers for predicting prostate cancer progression,0,A61P|C12Q|G01N
12351819,2025-07-08,Method for removing undifferentiated pluripotent stem cells,0,A61K|A61P|C07D|C12N
12306189,2025-05-20,Detection method and system for detecting biological samples,0,G01N
12293831,2025-05-06,Artificial intelligent system for managing a poultry house,0,A01K|C12Q|G16H
12257298,2025-03-25,Coronavirus vaccine,0,A61K|A61P|C12N
12252551,2025-03-18,Methods and kits for diagnosing and/or treating peripheral neuropathy,0,A61K|A61P|C07K|G01N
12246021,2025-03-11,Compounds for uses in pharmacological induction of HBF for treatment of sickle cell disease and ß-thalassemia,0,A61K|A61P|C07D
12227546,2025-02-18,Plasmid encoding a c-terminal fragment of paraspeckle component 1 for treating tumors,0,A61K|C07K|C12N
12221613,2025-02-11,Approaches to dramatically increase rice productivity,0,A01H|C07K|C12N|Y02A
12178870,2024-12-31,Chimeric influenza vaccines,0,A61K|A61P|C07K|C12N
12171729,2024-12-24,Formulations of terameprocol and temozolomide and their use in stimulation of humoral immunity in tumors,0,A61K|A61P
12157763,2024-12-03,Antibody specific to spike protein of SARS-CoV-2 and uses thereof,0,A61K|C07K
12144822,2024-11-19,Mir-17˜92 as therapeutic or diagnostic target of motor neuron (MN) degeneration diseases,0,A61K|A61P|C12N|C12Q
12129273,2024-10-29,Compound with analgesic effect for use in prevention and treatment of pain,0,A61K|A61P|C07H
12116407,2024-10-15,Methods of treating neurodegenerative diseases,0,A61K|A61P|C07K
12109309,2024-10-08,Internally fixed lipid vesicle,0,A61K|C12N|G01N
12109207,2024-10-08,Methods of using 4(1H)-quinolone derivatives,0,A61K|A61P|C07D
