patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428615,2025-09-30,Matrix composition,0,A01K|C12M|C12N|C12P
12428403,2025-09-30,N-(heterocyclyl and heterocyclylalkyl)-3-benzylpyridin-2-amine derivatives as SSTR4 agonists,0,A61K|C07B|C07D
12421188,2025-09-23,Heterocyclic compound and use thereof,0,A61K|A61P|C07D
12419890,2025-09-23,Administration of sumo-activating enzyme inhibitor and checkpoint inhibitors,0,A61K|A61P|C07D|C07K
12415866,2025-09-16,Monoclonal antibody inhibitor of Factor XIIa,0,A61K|A61P|C07K
12415782,2025-09-16,Heterocyclic compound and use thereof,0,A61K|A61P|C07D
12409210,2025-09-09,CNS delivery of therapeutic agents,0,A61K|A61P|C07K|C12N|C12Y
12404237,2025-09-02,"Method of treating excessive sleepiness and/or cataplexy using n-{2-(([1,1′-biphenyl]-3-yl)methyl)pyrrolidin-3-yl}sulfonamide derivatives",0,A61K|A61P|C07D
12403154,2025-09-02,Administration of sting agonist and checkpoint inhibitors,0,A61K|A61P|C07K
12391765,2025-08-19,Methods and materials for assessing response to plasmablast- and plasma cell-depleting therapies,0,A61K|A61P|C07K|G01N
12391760,2025-08-19,Method of treating primary sclerosing cholangitis,0,A61K|A61P|C07K
12391739,2025-08-19,Method for producing gamma delta T cells,0,A61K|A61P|C07K|C12N
12384854,2025-08-12,Plasma kallikrein binding proteins and uses thereof in treating hereditary angioedema,0,A61K|A61P|C07K
12384770,2025-08-12,Heterocyclic compound,0,A61P|C07D
12383587,2025-08-12,AAV triple-plasmid system,0,A61K|C12N
12378256,2025-08-05,Heterocyclic compound,0,A61K|A61P|C07D
12377078,2025-08-05,"Viral inhibitors, the synthesis thereof, and intermediates thereto",0,A61K|A61P|C07H
12371506,2025-07-29,Subcutaneous administration of anti-CD38 antibodies,0,A61K|A61P|C07K
12370694,2025-07-29,Grip detection system for liquid handling robot,0,B25J|G01N
12370192,2025-07-29,Azole-fused pyridazin-3(2H)-one derivatives,0,A61K|C07B|C07D
12365723,2025-07-22,Human plasma-derived IGG preparation enriched in anti-parvo B19 natural IGGS,0,A61K|A61P|B01D|C07K
12364791,2025-07-22,Conformal coating of biological surfaces,0,A61L|A61P
12359178,2025-07-15,Methods and compositions for treatment of hunter syndrome comprising iduronate-2-sulfatase,0,A61K|A61P|C12N|C12Y
12358879,2025-07-15,Heterocyclic compound,0,A61P|C07D
12351824,2025-07-08,Method for producing natural killer cells from pluripotent stem cells,0,A61K|A61P|C07K|C12N
12338330,2025-06-24,Alginate hydrogel compositions,0,C08B|C08J|C08L|C12N
