patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427142,2025-09-30,"Combination comprising alpelisib and 6-(2,4-dichlorophenyl)-5-[4-[(3S)-1-(3-fluoropropyl)pyrrolidin-3-yl[oxyphenyl]-8,9-dihydro-7H-benzo[7]annulene-2-carboxylic acid",0,A61K|A61P
12416004,2025-09-16,RNA compositions and methods for inhibiting ANGPTL8,0,A61K|A61P|C12N
12411140,2025-09-09,Methods for characterizing compositions comprising peanut antigens,0,G01N
12391728,2025-08-19,Full flow-through process for purifying recombinant proteins,0,C07K
12384840,2025-08-12,Nucleic acids encoding polypeptides comprising immunoglobulin single variable domains targeting IL-13 and TSLP,0,A61P|C07K
12367384,2025-07-22,Residual semi-recurrent neural networks,0,G01N|G06N
12331294,2025-06-17,MicroRNA compounds and methods for modulating mir-21 activity,0,A61P|C12N
12297273,2025-05-13,Fc variant with enhanced affinity to Fc receptors and improved thermal stability,0,A61K|A61P|C07K
12286475,2025-04-29,Anti-GPRC5D antibodies and compositions,0,A61K|A61P|C07K
12275796,2025-04-15,Interferon-associated antigen binding proteins and uses thereof,0,A61K|A61P|C07K|C12N
12275733,2025-04-15,"Substituted pyrido[3,4-b]indoles for the treatment of cartilage disorders",0,A61K|A61P|C07D
12239735,2025-03-04,Lipid nanoparticles for delivering mRNA vaccines,0,A61K|A61P
12227573,2025-02-18,"Trispecific binding proteins, methods, and uses thereof",0,A61K|A61P|C07K|C12N
12227560,2025-02-18,Anti-CHIKV antibodies and uses thereof,0,A61K|A61P|C07K|Y02A
12203103,2025-01-21,Selection marker for cell transfection and protein production,0,A61K|C12N|C12P|C12Y
12195546,2025-01-14,CD28/OX40 bispecific antibodies,0,A61K|A61P|C07K
12180268,2024-12-31,Immunoglobulin variable domains,0,A61P|C07K
12129460,2024-10-29,Methods for ethanol-free mRNA purification,0,B01D|C12N|C12P|C12Y
12128033,2024-10-29,"Synthetic methods for preparation of 4-(2-chloro-4-methoxy-5-methylphenyl)-n-[(1S)-2-cyclopropyl-1-(3-fluoro-4-methylphenyl)ethyl]-5-methyl-n-prop-2-ynyl-1,3-thiazol-2-amine",1,A61K|A61P|C07B|C07C|C07D
12123873,2024-10-22,Lateral flow immunoassay strip device,0,G01N
12121562,2024-10-22,Antigenic Epstein Barr virus polypeptides,0,A61K|A61P|C07K|C12N
12105045,2024-10-01,Systems and methods for controlling oxygen levels,0,C12M|G01N|G01R
12071454,2024-08-27,Antigenic respiratory syncytial virus polypeptides,0,A61K|A61P|C07K|C12N
12055549,2024-08-06,Methods of use of anti-TNFα antibodies,0,A61K|A61P|C07D|C07K|G01N
12054551,2024-08-06,FGFR1/KLB targeting agonistic antigen-binding proteins and conjugates thereof with GLP-1R agonistic peptides,0,A61K|A61P|C07K|Y02A
12053503,2024-08-06,Antigenic epstein barr virus polypeptides,0,A61K|A61P|C07K|C12N
12049496,2024-07-30,Anti-TGF-beta antibodies and their use,0,A61K|A61P|C07K
12006352,2024-06-11,"Techniques for predicting, detecting and reducing aspecific protein interference in assays involving immunoglobulin single variable domains",0,A61K|A61P|C07K|G01N
11998611,2024-06-04,Cryptophycin antibody conjugates for the treatment of cancer,0,A61K|A61P|C07D|C07K
11993636,2024-05-28,Antigenic OspA polypeptides,0,A61K|A61P|C07K|C12N|Y02A
11977972,2024-05-07,Residual semi-recurrent neural networks,1,G01N|G06N
11965199,2024-04-23,21-hydroxylation of steroids,0,C07K|C12N|C12P|C12Y
