patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422376,2025-09-23,Imaging reflectometry for inline screening,0,G01B|G01N|G03F|G06N
12422363,2025-09-23,Scanning scatterometry overlay metrology,0,G01B|G01N|G03F
12405225,2025-09-02,Lifter assembly with bellows for optical inspection system,0,B25B|B66F|G01N|H01L
12393113,2025-08-19,Inter-step feedforward process control in the manufacture of semiconductor devices,0,G01N|G03F|G05B|H01L
12380367,2025-08-05,Metrology in the presence of CMOS under array (CuA) structures utilizing machine learning and physical modeling,0,G01N|G06F|G06N
12379669,2025-08-05,Massive overlay metrology sampling with multiple measurement columns,0,G01N|G03F|H01J
12372486,2025-07-29,Noise diagnostics for an electron beam inspection system with swathing,0,G01N|G06T
12372345,2025-07-29,3D profilometry with a Linnik interferometer,0,G01B|G01N|H01L
12360062,2025-07-15,Methods and systems for regularizing the optimization of application specific semiconductor measurement system parameter settings,0,G01B|G01N|G03F|H01L
12360058,2025-07-15,Integration of an optical height sensor in mask inspection tools,0,G01B|G01N|G03F
12353970,2025-07-08,Finding semiconductor defects using convolutional context attributes,0,G01N|G06N|G06T
12345658,2025-07-01,Large-particle monitoring with laser power control for defect inspection,0,G01N|H01L
12332182,2025-06-17,System for automatic diagnostics and monitoring of semiconductor defect die screening performance through overlay of defect and electrical test data,0,G01N|G03F|H01L
12322620,2025-06-03,Reflective waveplates for pupil polarization filtering,0,G01N|G02B|H01L
12320763,2025-06-03,Full beam metrology for x-ray scatterometry systems,0,G01B|G01N|G06T
12298254,2025-05-13,System and method for reducing sample noise using selective markers,0,G01N
12253805,2025-03-18,Scatterometry overlay metrology with orthogonal fine-pitch segmentation,1,G01N|G03F
12237192,2025-02-25,Mini-environment system for controlling oxygen and humidity levels within a sample transport device,0,G01N|H01L
12235224,2025-02-25,Process window qualification modulation layouts,0,G01N|G03F
12203857,2025-01-21,Multi-element super resolution optical inspection system,0,G01N
12197137,2025-01-14,System and method for determining post bonding overlay,0,G01B|G01N|G03F|H01L
12152316,2024-11-26,Passivation of nonlinear optical crystals,0,C30B|G01N|Y10T
12140550,2024-11-12,Selective marking of a substrate with fluorescent conjugated polymer probes having a small form factor,0,G01N|G03F|H01L
12111580,2024-10-08,Optical metrology utilizing short-wave infrared wavelengths,0,G01B|G01N|G03F
12105431,2024-10-01,Annular apodizer for small target overlay measurement,0,G01N|G03F|H01L
12100132,2024-09-24,Laser anneal pattern suppression,0,G01N|G06T|H01L
12085515,2024-09-10,Methods and systems for selecting wafer locations to characterize cross-wafer variations based on high-throughput measurement signals,0,G01B|G01N|G03F|H01L
12078601,2024-09-03,Universal metrology model,0,G01N|G03F
12072606,2024-08-27,Protective coating for nonlinear optical crystal,0,G01N|G02F|G03F
12062165,2024-08-13,Characterization system and method with guided defect discovery,0,G01N|G06T|G06V
12056867,2024-08-06,Image contrast metrics for deriving and improving imaging conditions,0,G01N|G03F|G06T|G06V|H01J
12025575,2024-07-02,Soft x-ray optics with improved filtering,0,G01B|G01N|G21K|H01L
12019030,2024-06-25,Methods and systems for targeted monitoring of semiconductor measurement quality,0,G01N|G03F
12015046,2024-06-18,Back-illuminated sensor with boron layer deposited using plasma atomic layer deposition,0,C23C|G01N|G03F|H10F
12013355,2024-06-18,"Methods and systems for compact, small spot size soft x-ray scatterometry",0,G01N|G03F|H01L
11990380,2024-05-21,Methods and systems for combining x-ray metrology data sets to improve parameter estimation,0,G01B|G01N|H01L
11968772,2024-04-23,Optical etendue matching methods for extreme ultraviolet metrology,0,G01N|G02B|G02F|G03F|H05H
11966203,2024-04-23,System and method to adjust a kinetics model of surface reactions during plasma processing,0,G01B|G01N|G05B|G06F|H01L
11965835,2024-04-23,Apparatus and method for gray field imaging,0,G01N|G06T
11946890,2024-04-02,Method for measuring high resistivity test samples using voltages or resistances of spacings between contact probes,0,G01N|G01R
11933717,2024-03-19,Sensitive optical metrology in scanning and static modes,0,G01B|G01N|G03F|G06T|H01L
11927549,2024-03-12,Shielding strategy for mitigation of stray field for permanent magnet array,0,G01N|H01F|H01J|H01L|H05K
11921052,2024-03-05,Inspection with previous step subtraction,0,G01N|G06T|H01L
11913874,2024-02-27,Optical metrology tool equipped with modulated illumination sources,0,G01B|G01N|G03F
11899375,2024-02-13,Massive overlay metrology sampling with multiple measurement columns,1,G01N|G03F|H01J
11899338,2024-02-13,Deep ultraviolet laser using strontium tetraborate for frequency conversion,0,G01N|G02F|H01S
11894214,2024-02-06,Detection and correction of system responses in real-time,0,G01N|G06N|H01J|H01L
11892493,2024-02-06,"Apparatus, method and computer program product for defect detection in work pieces",0,G01N|G01R
11879853,2024-01-23,Continuous degenerate elliptical retarder for sensitive particle detection,0,G01N|G02B|H04N
11852590,2023-12-26,Systems and methods for metrology with layer-specific illumination spectra,0,G01B|G01N|G03F
11829077,2023-11-28,System and method for determining post bonding overlay,2,G01B|G01N|G03F|H01L
11809090,2023-11-07,Composite overlay metrology target,0,G01N|G03F
11800212,2023-10-24,Multi-directional overlay metrology using multiple illumination parameters and isolated imaging,2,G01N|G03F|H04N
11796390,2023-10-24,Bandgap measurements of patterned film stacks using spectroscopic metrology,0,G01J|G01N
11794314,2023-10-24,Quick swap chuck with vacuum holding interchangeable top plate,0,B25B|G01N|H01L
11783470,2023-10-10,Design-assisted inspection for DRAM and 3D NAND devices,0,G01N|G06T|H10B
11776859,2023-10-03,Care area based swath speed for throughput and sensitivity improvement,0,G01N|G06T|H01L
11774390,2023-10-03,Sensor for underground soil measurement,0,G01D|G01N|H04W
11774371,2023-10-03,Defect size measurement using deep learning methods,0,G01N|G06T
11769242,2023-09-26,Mode selection and defect detection training,1,G01N|G06N|G06T
11761969,2023-09-19,System and method for analyzing a sample with a dynamic recipe based on iterative experimentation and feedback,3,G01N|G03F|G06N
11761880,2023-09-19,Process-induced distortion prediction and feedforward and feedback correction of overlay errors,0,C23C|G01L|G01N|G03F|H01L
11748872,2023-09-05,Setting up inspection of a specimen,0,G01N|G06T
11748871,2023-09-05,Alignment of a specimen for inspection and other processes,0,G01N|G03F|G06T|H01L
11748868,2023-09-05,Unsupervised pattern synonym detection using image hashing,0,G01N|G06F|G06T|G06V
11733605,2023-08-22,EUV in-situ linearity calibration for TDI image sensors using test photomasks,0,G01N|G03F
11733172,2023-08-22,Apparatus and method for rotating an optical objective,0,G01N|G02B
11733171,2023-08-22,Light attenuation device for high power UV inspection tool,0,G01N|G02B
11727556,2023-08-15,Defect detection for multi-die masks,0,G01N|G03F|G06F|G06T
11726126,2023-08-15,"Apparatus, method and computer program product for defect detection in work pieces",1,G01N|G01R
11720031,2023-08-08,Overlay design for electron beam and scatterometry overlay measurements,0,G01N|G03F
11719652,2023-08-08,Semiconductor metrology and inspection based on an x-ray source with an electron emitter array,0,G01N|G03F|H01J|H05G
11710227,2023-07-25,Design-to-wafer image correlation by combining information from multiple collection channels,0,G01N|G01R|G06T|H01L|H04N
11703460,2023-07-18,Methods and systems for optical surface defect material characterization,0,G01N
11699607,2023-07-11,"Segmented multi-channel, backside illuminated, solid state detector with a through-hole for detecting secondary and backscattered electrons",0,G01N|G01T|H01J|H01L
11686690,2023-06-27,System and method for inspection and metrology of four sides of semiconductor devices,0,G01N|H01L
11682570,2023-06-20,Process-induced displacement characterization during semiconductor production,0,G01B|G01N|G03F|G05B|H01L
11676260,2023-06-13,Variation-based segmentation for wafer defect detection,0,G01N|G06T
11668655,2023-06-06,Multimode defect classification in semiconductor inspection,0,G01N
