patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410424,2025-09-09,Diagnosis of prostate cancer,0,C12N|C12Q
12404556,2025-09-02,Compositions and methods for detecting circulating tumor DNA,0,C12Q
12394612,2025-08-19,Determination of antidepressants by mass spectrometry,0,G01N|H01J
12378609,2025-08-05,Compositions and methods for detecting mutations in JAK2 nucleic acid,0,C12N|C12Q|C12Y|G01N
12372539,2025-07-29,Quantitation of insulin by high resolution/high accuracy mass spectrometry using the 6+ multiply charged insulin ion,0,G01N|H01J
12359261,2025-07-15,Assay for detection of pathogenic Leptospira strains,0,C07H|C12Q|Y02A
12332236,2025-06-17,Methods for quantitation of insulin and C-peptide,0,G01N
12305241,2025-05-20,EML4-ALK translocations in lung cancer,0,C07K|C12Q
12287346,2025-04-29,Methods for detecting vitamin D metabolites by mass spectrometry,0,G01N|H01J|Y10T
12282032,2025-04-22,Vitamin D metabolite determination utilizing mass spectrometry following derivatization,0,G01N|H01J|Y10T
12282031,2025-04-22,Mass spectrometric determination of tert-butyldimethylsilyl derivatized methylmalonic acid,0,G01N|H01J|Y10T
12282030,2025-04-22,Mass spectrometry assay for estrogenic compounds estradiol and estrone,0,G01N|H01J
12276644,2025-04-15,"Detection and quantitation of guanidinoacetate, creatine, and creatinine by mass spectrometry",0,G01N
12270803,2025-04-08,Quantitation of tamoxifen and metabolites thereof by mass spectrometry,0,G01N|H01J|Y10T
12264357,2025-04-01,Universal Sanger sequencing from next-gen sequencing amplicons,0,C12Q
12261033,2025-03-25,Apolipoprotein e isotype detection by mass spectrometry,0,B01D|G01N|H01J
12253532,2025-03-18,Mass spectrometric quantitation assay for metabolites of leflunomide,0,A61K|A61P|G01N|H01J
12243732,2025-03-04,Mass spectrometric determination of fatty acids,0,G01N|H01J|Y10T
12222354,2025-02-11,Identification and quantitation of insulin-like growth factor-I variants by mass spectrometry,0,G01N
12196765,2025-01-14,Mass spectrometry assay for congenital adrenal hyperplasia,0,C12Q|G01N|H01J
12196742,2025-01-14,Vitamin B2 detection by mass spectrometry,0,G01N|H01J|Y10T
12188943,2025-01-07,C peptide detection by mass spectrometry,0,G01N|H01J
12181484,2024-12-31,Quantitation of insulin-like growth factor-I and insulin-like growth factor-II with high-resolution mass spectrometry,0,C07K|G01N
12174203,2024-12-24,Detection of vitamins a and e by tandem mass spectrometry,0,G01N|H01J|Y10T
12174142,2024-12-24,Automated analysis of analytical gels and blots,0,G01N|G06V
12173369,2024-12-24,Detecting genetic copy number variation,0,C12Q
12165861,2024-12-10,Mass spectrometry method for measuring vitamin B6 in body fluid,0,G01N|H01J|Y10T
12163964,2024-12-10,Amyloid beta detection by mass spectrometry,0,G01N
12153049,2024-11-26,BCR-ABL variants,0,A61K|C07K|C12N|C12Q|G01N
12140599,2024-11-12,Mass spectrometric determination of testosterone in multiplexed patient samples,0,G01N
12140597,2024-11-12,Thyroglobulin quantitation by mass spectrometry,0,G01N|Y10T
12134765,2024-11-05,Methods for cell-free DNA extraction for non-invasive prenatal screening,0,C12N|C12Q
12116617,2024-10-15,Mass spectrometry method for measuring thiamine in body fluid,0,C12Q|G01N
12077830,2024-09-03,Methods for detecting norovirus,0,A61K|A61P|C12N|C12Q|G01N
12066446,2024-08-20,Methods for detecting dihydroxyvitamin D metabolites by mass spectrometry,2,G01N|Y10T
12055554,2024-08-06,Lipoprotein analysis by differential charged-particle mobility,0,C07K|G01N|G16B|G16H|Y10T
12054792,2024-08-06,Methods for the diagnosis of bacterial vaginosis,0,C12Q|Y02A
12025610,2024-07-02,Methods for quantitation of insulin and C-peptide,0,G01N
12018402,2024-06-25,Methods for detecting intracranial neoplasms,0,A61K|C12Q|C40B
12000831,2024-06-04,Method and compositions for detecting an adenoma-adenocarcinoma transition in cancer,0,C12Q|G01N
11993820,2024-05-28,Methods of detecting MLH1 methylation,0,C07K|C12N|C12Q
11981966,2024-05-14,Methods for screening solid tumors for mutations,0,C12Q
11965212,2024-04-23,Nucleic acid detection combining amplification with fragmentation,0,C12Q
11965156,2024-04-23,RNA isolation from soluble urine fractions,0,C12N|C12Q
11959143,2024-04-16,MicroRNA profiling for diagnosis of dysplastic nevi and melanoma,0,C12Q
11953507,2024-04-09,Quantitation of insulin-like growth factor-I and insulin-like growth factor-II with high-resolution mass spectrometry,0,C07K|G01N
11929243,2024-03-12,Apolipoprotein E isotype detection by mass spectrometry,1,B01D|G01N|H01J
11921122,2024-03-05,Methods for detecting vitamin D metabolites by mass spectrometry,2,G01N|H01J|Y10T
11913079,2024-02-27,Detection of gene fusions by intragenic differential expression (ide) using average cycle thresholds,0,C12Q
11887828,2024-01-30,Determination of antidepressants by mass spectrometry,0,G01N|H01J
11885820,2024-01-30,Vitamin D metabolite determination utilizing mass spectrometry following derivatization,0,G01N|H01J|Y10T
11885780,2024-01-30,Methods for detecting chromogranin a by mass spectrometry,0,G01N
11879900,2024-01-23,Mass spectrometric quantitation assay for metabolites of leflunomide,0,A61K|A61P|G01N|H01J
11860141,2024-01-02,"Detection and quantitation of guanidinoacetate, creatine, and creatinine by mass spectrometry",1,G01N
11852636,2023-12-26,"Mass spectrometric determination of non-derivatized, non-metabolized vitamin D",0,G01N|H01J
11851720,2023-12-26,Direct amplification and detection of viral and bacterial pathogens,0,C12Q
11840726,2023-12-12,MLH1 methylation assay,0,C12N|C12Q
11835505,2023-12-05,Quantitation of tamoxifen and metabolites thereof by mass spectrometry,1,G01N|H01J|Y10T
11830715,2023-11-28,Mass spectrometric determination of fatty acids,1,G01N|H01J|Y10T
11828760,2023-11-28,Hematopoietic cell phenotyping using circulating cell-free markers,0,G01N
11821889,2023-11-21,Vitamin B2 detection by mass spectrometry,0,G01N|H01J|Y10T
11808773,2023-11-07,Mass spectrometry of steroidal compounds in multiplexed patient samples,0,G01N|H01J|Y10T
11802317,2023-10-31,Kits for detecting Mycobacterium avium/intracellulare nucleic acid,0,C12Q
11798794,2023-10-24,Mass spectrometry method for measuring vitamin B6 in body fluid,0,G01N|H01J|Y10T
11789026,2023-10-17,C peptide detection by mass spectrometry,1,G01N|H01J
11768202,2023-09-26,Method of detecting anti-Ri in a subject with a previous streptococcal infection,0,G01N
11686703,2023-06-27,Automated analysis of analytical gels and blots,0,G01N|G06V
11680949,2023-06-20,Lipoprotein analysis by differential charged-particle mobility,1,C07K|G01N|G16B|G16H|Y10T
11674969,2023-06-13,Mass spectrometric determination of testosterone in multiplexed patient samples,0,G01N
11674189,2023-06-13,Detection of methicillin-resistant Staphylococcus aureus in biological samples,0,C12Q|G01N
11667909,2023-06-06,Diagnosis of prostate cancer,0,C12N|C12Q
11650216,2023-05-16,Methods for detecting dihydroxyvitamin D metabolites by mass spectrometry,7,G01N|Y10T
11639529,2023-05-02,EML4-ALK translocations in lung cancer,1,C07K|C12Q
11624737,2023-04-11,Methods for detecting lacosamide by mass spectrometry,0,G01N|H01J|Y10T
11579154,2023-02-14,Methods for detecting vitamin D metabolites by mass spectrometry,7,G01N|H01J|Y10T
11555223,2023-01-17,Methods for detecting Norovirus,0,A61K|A61P|C12N|C12Q|G01N
11549954,2023-01-10,"Mass spectrometric determination of non-derivatized, non-metabolized vitamin D",7,G01N|H01J
11543415,2023-01-03,Thyroglobulin quantitation by mass spectrometry,0,G01N|Y10T
11513130,2022-11-29,Detection of vitamins A and E by tandem mass spectrometry,1,G01N|H01J|Y10T
11499199,2022-11-15,Bordetella detection assay,0,C12Q|Y02A
11486874,2022-11-01,Methods for quantitation of insulin levels by mass spectrometry,0,G01N
11486007,2022-11-01,Methylated markers for colorectal cancer,0,C12Q
11486005,2022-11-01,Methods for detecting cystic fibrosis mutations using mitra tip extraction,0,A61P|C12Q
11485967,2022-11-01,Methods for cell-free DNA extraction for non-invasive prenatal screening,0,C12N|C12Q
11473144,2022-10-18,Methods for detecting cystic fibrosis mutations using mitra tip extraction,0,A61P|C12Q
11466325,2022-10-11,Method to detect repeat sequence motifs in nucleic acid,0,C12Q|G16B
11454637,2022-09-27,Quantitation of insulin-like growth factor-I and insulin-like growth factor-II with high-resolution mass spectrometry,2,C07K|G01N
11447826,2022-09-20,Cystic fibrosis transmembrane conductance regulator gene mutations,0,C12Q|G01N|Y10T
11441192,2022-09-13,Methods for detecting DNA mutations using mitra tip extraction,0,C12N|C12Q|G01N
11441188,2022-09-13,Methods for detecting DNA mutations using Mitra tip extraction,0,C12N|C12Q|G01N
11428682,2022-08-30,Quantitation of tamoxifen and metabolites thereof by mass spectrometry,2,G01N|H01J|Y10T
11421285,2022-08-23,Method for direct microbial identification,0,C12Q|G16B
11421283,2022-08-23,Circulating microRNA as a marker for hepatocellular carcinoma,0,C12Q|G01N
11414710,2022-08-16,Compositions and methods for detecting circulating tumor DNA,0,C12Q
11378435,2022-07-05,Device and method for evaluating amount of biological sample in a specimen container,0,B01L|G01F|G01N
11361953,2022-06-14,Apolipoprotein E isotype detection by mass spectrometry,2,B01D|G01N|H01J
11360098,2022-06-14,Amyloid beta detection by mass spectrometry,1,G01N
11360061,2022-06-14,Methods for detecting lacosamide by mass spectrometry,0,G01N|H01J|Y10T
11346845,2022-05-31,C peptide detection by mass spectrometry,0,G01N|H01J
11345964,2022-05-31,BCR-ABL truncation mutations,2,C12Q|G01N
11333673,2022-05-17,Mass spectrometric quantitation assay for metabolites of leflunomide,2,A61K|A61P|G01N|H01J
11300559,2022-04-12,Vitamin B2 detection by mass spectrometry,2,G01N|H01J|Y10T
11280799,2022-03-22,"Mass spectrometric determination of non-derivatized, non-metabolized vitamin D",0,G01N|H01J
11280798,2022-03-22,Methods for detecting estrone by mass spectrometry,0,G01N|Y10T
11275088,2022-03-15,BCR-ABL variants,0,A61K|C07K|C12N|C12Q|G01N
11231401,2022-01-25,Methods for detecting chromogranin a by mass spectrometry,0,G01N
11193120,2021-12-07,RNA isolation from soluble urine fractions,0,C12N|C12Q
11181537,2021-11-23,Mass spectrometric determination of eicosapentaenoic acid and docosahexaenoic acid,0,G01N|H01J|Y10T
11162142,2021-11-02,BCR-ABL1 splice variants and uses thereof,0,C12Q|G01N
11155877,2021-10-26,Nucleic acid detection combining amplification with fragmentation,1,C12Q
11137410,2021-10-05,Prognostic assays for maintenance hemodialysis patients,0,G01N
11130997,2021-09-28,Nucleic acid analysis using emulsion PCR,0,C12Q
11118232,2021-09-14,Methods of detecting DDR2 mutations,0,A61K|A61P|C07K|C12Q|C12Y|G01N
11105821,2021-08-31,Vitamin D metabolite determination utilizing mass spectrometry following derivatization,0,G01N|H01J|Y10T
11099198,2021-08-24,Quantitation of insulin by mass spectrometry of insulin A chain,1,G01N|H01J
11098373,2021-08-24,Detection of gene fusions by intragenic differential expression (IDE) using average cycle thresholds,0,C12Q
11085079,2021-08-10,Universal Sanger sequencing from next-gen sequencing amplicons,1,C12Q
11053542,2021-07-06,Compositions and methods for screening mutations in thyroid cancer,0,C12N|C12Q
11028450,2021-06-08,Kits for the diagnosis of bacterial vaginosis,0,C12Q|Y02A
11021758,2021-06-01,Methods for detecting gene dysregulation by intragenic differential expression,0,C12Q|G16B
11017991,2021-05-25,Mass spectrometric determination of fatty acids,1,G01N|H01J|Y10T
10983108,2021-04-20,Methods for quantitation of insulin and C-peptide,0,G01N
10982288,2021-04-20,Methods of detecting MLH1 methylation,0,C07K|C12N|C12Q
10962550,2021-03-30,Analysis of amino acids in body fluid by liquid chromotography-mass spectrometry,1,G01N|H01J
10955424,2021-03-23,Mass spectrometry of steroidal compounds in multiplexed patient samples,11,G01N|H01J|Y10T
10954569,2021-03-23,Compositions and methods for detecting mutations in JAK2 nucleic acid,1,C12N|C12Q|C12Y|G01N
10948503,2021-03-16,Lipoprotein analysis by differential charged-particle mobility,2,C07K|G01N|G16B|G16H|Y10T
10948501,2021-03-16,Mass spectrometry assay for congenital adrenal hyperplasia,1,C12Q|G01N|H01J
10947592,2021-03-16,Method for detecting cystic fibrosis,0,C12Q|G10L
10935558,2021-03-02,Methods for detecting vitamin D metabolites by mass spectrometry,10,G01N|H01J|Y10T
10907218,2021-02-02,Assay for detection of pathogenic Leptospira strains,0,C07H|C12Q|Y02A
