patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428653,2025-09-30,Gene therapy for ceroid lipofuscinoses,0,A01K|A61K|A61P|C12N|C12Y
12422433,2025-09-23,Blood biomarker that predicts persistent cognitive dysfunction after concussion,0,G01N
12421495,2025-09-23,Compositions and methods for selective phagocytosis of human cancer cells,0,A61K|C12N
12419973,2025-09-23,Methods and compositions for treatment of disorders and diseases involving RDH12,0,A61K|A61P|C07H|C12N|C12Q
12419945,2025-09-23,Vaccines against Zika virus,0,A61K|A61P|C07K|C12N|Y02A
12416017,2025-09-16,Recombinant adeno-associated virus for treatment of GRN-associated adult-onset neurodegeneration,0,A61K|A61P|C07K|C12N
12414973,2025-09-16,Antigenically stealthed oncolytic viruses,0,A61K|A61P|C07K|C12N
12410463,2025-09-09,Molecular beacons,0,C12Q
12410234,2025-09-09,Compositions and methods for retrieving tumor-related antibodies and antigens,0,A61K|A61P|C07K
12410232,2025-09-09,Treatment of a canine CD20 positive disease or condition using a canine CD20-specific chimeric antigen receptor,0,A61K|A61P|C07K|C12N
12405260,2025-09-02,Multiplexed detection of toxins using graphene-based aptasensors,0,G01N
12404431,2025-09-02,Adhesive hydrogels and uses thereof,0,A61K|B01J|C08L|C09J
12404314,2025-09-02,Switch costimulatory receptors,0,A61K|A61P|C07K
12403204,2025-09-02,Gene therapy for ocular disorders,0,A61K|A61P|C07K|C12N
12403195,2025-09-02,Sensitizing cells to proton radiation,0,A61K|A61N|A61P
12392747,2025-08-19,PH sensing technique based on graphene electrodes,0,G01N
12385065,2025-08-12,Gene therapy for treating citrullenemia,0,A61K|A61P|C12N|C12Y
12383581,2025-08-12,Compositions and methods for targeting CD13 and TIM-3 with CAR T cells to treat acute myeloid leukemia,0,A61K|A61P|C07K
12379343,2025-08-05,Scalable back-gated functionalized graphene field effect transistors for detection of DNA and other target molecules,0,B82Y|G01N
12378178,2025-08-05,Oleic acid derivatives as treatments for Friedreich ataxia and inhibitors of ferroptosis,0,A61P|C07C
12377415,2025-08-05,Photoactivated selective release (PHASR) of droplets from microwell arrays,0,B01L|B81B|G01N
12371666,2025-07-29,Nucleoside modified mRNA and uses thereof,0,A61K|C07K|C12N
12370547,2025-07-29,Magnetic separation filters for microfluidic devices,0,B01L|B03C|G01N
12370180,2025-07-29,P38 map kinase inhibitors for treating Friedreich's ataxia,0,A61K|A61P
12365653,2025-07-22,Small molecule inhibitors of lactate dehydrogenase and methods of use thereof,0,A61K|A61P|C07D
12364750,2025-07-22,Conserved region T cell vaccines for coronavirus and methods of use,0,A61K|A61P|C07K|C12N|C12Y
12359181,2025-07-15,Optimized GALC genes and expression cassettes and their use,0,A01K|A61K|A61P|C12N|C12Y
12351712,2025-07-08,Bijels and methods of making the same,0,A23P|A61K|A61L|A61Q|B01D|B01J|C08F|C08J|C08L
12350334,2025-07-08,Compositions and methods for generating a persisting population of T cells useful for the treatment of cancer,0,A61K|C07K|C12N
12344843,2025-07-01,Altering gene expression in cart cells and uses thereof,0,A61K|A61P|C12N
12344657,2025-07-01,"CD20 therapies, CD22 therapies, and combination therapies with a CD19 chimeric antigen receptor (CAR)-expressing cell",0,A61K|A61P|C07K|C12N
12343339,2025-07-01,Bisaminoquinolines and bisaminoacridines compounds and methods of their use,0,A61K|A61P|C07D
12338287,2025-06-24,Treatment of cancer using a CD33 chimeric antigen receptor,0,A61K|A61P|C07K
12331317,2025-06-17,Compositions and methods for increasing megakaryocyte production,0,A61K|C12N
12330127,2025-06-17,Aqueous systems of at least two phases containing microcapsules and processes for manufacturing the same,0,A61K|B01J|C12N
12329816,2025-06-17,Immunotherapy with metabolic enzyme expression,0,A61K|A61P|C07K|C12N|C12Y
12329760,2025-06-17,Methods and compositions for targeting retinoic acid for solid tumor immunotherapy,0,A61K|A61P|C07K|G01N
12325756,2025-06-10,Use of trans-signaling approach in chimeric antigen receptors,0,A61K|A61P|C07K|C12N
12324927,2025-06-10,Methods and systems for photodynamic therapy calculations,0,A61B|A61N|G01N
12324842,2025-06-10,Compositions and methods for making antibody conjugates,0,A61K|C07K|C12N|C12Y
12304948,2025-05-20,Fully humanized anti-platelet factor 4 antibodies that treat heparin-induced thrombocytopenia,0,A61K|C07K|C12N
12291707,2025-05-06,Modified immune cells having enhanced function and methods for screening the same,0,A61K|C07K|C12N
12291699,2025-05-06,Lung disease models on a chip,0,A61L|C08L|C12M|C12N|G01N|G09B
12286401,2025-04-29,Small molecules that sensitize HIV-1 infected cells to antibody dependent cellular cytotoxicity,0,A61P|C07D
12282028,2025-04-22,Atomic description of immune complex that causes heparin-induced thrombocytopenia,0,A61K|C07K|G01N
12281167,2025-04-22,Humanized anti-GDNF family alpha-receptor 4 (GRF-alpha-4) antibodies and chimeric antigen receptors (CARs),0,A61K|A61P|C07K
12280108,2025-04-22,Vaccines having an antigen and interleukin-21 as an adjuvant,0,A61K|A61N|A61P|C07K|C12N|Y02A
12270809,2025-04-08,Method for the site-specific covalent cross-linking of antibodies to surfaces,0,A61K|C07K|G01N
12268735,2025-04-08,"Marburgvirus consensus antigens, nucleic acid constructs and vaccines made therefrom, and methods of using same",0,A61K|A61P|C07K|C12N
12258379,2025-03-25,Compositions and methods for switchable CAR T cells using surface-bound sortase transpeptidase,0,A61K|A61P|C07K|C12N|C12Y
12251476,2025-03-18,Mechano-sensitive microcapsules for drug delivery,0,A61K|A61P|B01J
12240884,2025-03-04,Methods for improving the efficacy and expansion of immune cells,0,A61K|A61P|C07K|C12N
12240872,2025-03-04,"Filovirus consensus antigens, nucleic acid constructs and vaccines made therefrom, and methods of using same",0,A61K|A61P|C07K|C12N
12234274,2025-02-25,Use of the CD2 signaling domain in second-generation chimeric antigen receptors,0,A61K|A61P|C07K|C12N
12227588,2025-02-18,Use of CD2/5/7 knock-out anti-CD2/5/7 chimeric antigen receptor T cells against T cell lymphomas and leukemias,0,A61K|A61P|C07K|C12N
12227555,2025-02-18,Use of gene editing to generate universal TCR re-directed t cells for adoptive immunotherapy,0,A61K|A61P|C07K
12226471,2025-02-18,Nucleoside-modified mRNA-lipid nanoparticle lineage vaccine for hepatitis C virus,0,A61K|A61P|C12N
12222346,2025-02-11,Stable nanopores and nanopore arrays for ionic and other measurements,0,B81C|G01N
12221615,2025-02-11,GLP-1 and use thereof in compositions for treating metabolic diseases,0,A61K|A61P|C07K|C12N
12215154,2025-02-04,Compositions and methods for targeting γδ T cells with chimeric antigen receptors,0,A61K|A61P|C07K
12215137,2025-02-04,Compositions and methods for T cell delivery of therapeutic molecules,0,A61K|A61P|C07K|C12N
12214038,2025-02-04,Compositions and methods for cancer immunotherapy,0,A61K|A61P
12214037,2025-02-04,Treatment of cancer using humanized anti-BCMA chimeric antigen receptor,0,A61K|A61P|C07H|C07K|C12N
12214014,2025-02-04,Methods for scar reduction by converting scar fibroblasts into adipocytes with hair follicle-derived signals,0,A61K|A61P|C12N
12203074,2025-01-21,Compositions and methods for treatment of dominant retinitis pigmentosa,0,A01K|C12N
12201625,2025-01-21,Single nucleotide polymorphic alleles of human DP-2 gene for detection of susceptibility to hair growth inhibition by PGD2,0,A61K|A61P|A61Q|C12Q
12196763,2025-01-14,Compositions and methods for predicting post-surgical cardiovascular events,0,G01N
12187809,2025-01-07,Proximity-based sortase-mediated protein purification and ligation,0,C07K|C12N
12186757,2025-01-07,Devices and methods for monitoring and quantifying nucleic acid amplification,0,B01L|C12Q
12186278,2025-01-07,Mesothelin chimeric antigen receptor (CAR) and antibody against PD-L1 inhibitor for combined use in anticancer therapy,0,A61K|A61P
12180254,2024-12-31,Factor H variants for treatment of disease,0,A61K|A61P|C07K|C12N
12163959,2024-12-10,"Extracellular vesicle proteins and their use for cancer diagnosis, predicting response to therapy, and treatment",0,G01N
12163160,2024-12-10,Scalable purification method for AAV1,0,B01D|B01J|C12N|G01N
12163119,2024-12-10,Methods and composition for gene delivery using an engineered viral particle,0,A61K|C07K|C12N
12162922,2024-12-10,Enhanced antigen presenting ability of RNA car T cells by co-introduction of costimulatory molecules,0,A61K|C07K|C12N|G01N|Y02A
12161709,2024-12-10,Compositions for inducing an immune response against zika virus,0,A61K|A61P|C12N|Y02A
12139550,2024-11-12,Monoclonal antibody against canine fibroblast activation protein that cross-reacts with mouse and human fibroblast activation protein (FAP),0,A61K|C07K|G01N
12138305,2024-11-12,Nucleoside-modified RNA for inducing an adaptive immune response,0,A61K|A61P|C07C|C07D|C08G|C12N
