patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12343355,2025-07-01,"Methods for decreasing the incidence of necrotizing enterocolitis in infants, toddlers, or children using human milk oligosaccharides",0,A23L|A23V|A61K|A61P
12280069,2025-04-22,Methods of using human milk oligosaccharides for improving airway respiratory health,0,A23C|A23L|A23V|A61K|A61P
12235273,2025-02-25,"HBV diagnostic, prognostic, and therapeutic methods and products",0,A61K|C12N|C12Q|C12Y|G01N
12228583,2025-02-18,Automated diagnostic analyzers having vertically arranged carousels and related methods,0,G01N|Y10T
12210029,2025-01-28,Reaction vessel moving member for moving reaction vessels from a processing track to a rotating device in a diagnostic analyzer,0,G01N
12201980,2025-01-21,"Droplet actuator fabrication apparatus, systems, and related methods",0,B01L|B41J|G01N|H05K
12178592,2024-12-31,Methods for aiding in diagnosing and evaluating a mild traumatic brain injury in a human subject using cardiac troponin I,0,A61B|C12Q|G01N
12163958,2024-12-10,Methods for aiding in the diagnosis and determination of the extent of traumatic brain injury in a human subject using the early biomarker ubiquitin carboxy-terminal hydrolase L1,0,A61B|C12Y|G01N
12141734,2024-11-12,System and method for automated laboratory inventory management using RFID technology,0,G01N|G06Q
12123883,2024-10-22,Methods for measuring ubiquitin carboxy—terminal hydrolase L1 levels in blood,0,G01N
12105100,2024-10-01,Methods for aiding in diagnosing and evaluating a traumatic brain injury in a human subject using a combination of GFAP and UCH-L1,0,G01N
12105098,2024-10-01,"Methods for aiding in the diagnosis and evaluation of a subject who has sustained an orthopedic injury and that has or may have sustained an injury to the head, such as mild traumatic brain injury (TBI), using glial fibrillary acidic protein (GFAP) and/or ubiquitin carboxy-terminal hydrolase L1 (UCH-L1)",0,C12Y|G01N
12099069,2024-09-24,Methods for aiding in the hyperacute diagnosis and determination of traumatic brain injury in a human subject using early biomarkers,0,C12Y|G01N
12092647,2024-09-17,Methods for aiding in the determination of whether to perform imaging on a human subject who has sustained or may have sustained an injury to the head using early biomarkers,0,A61B|G01N
12085567,2024-09-10,Methods for aiding in the hyperacute diagnosis and determination of traumatic brain injury using early biomarkers on at least two samples from the same human subject,0,A61B|G01N
12061200,2024-08-13,Direct detection of single molecules on microparticles,0,G01N
