patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12416046,2025-09-16,"Labeled nucleotide analogs, reaction mixtures, and methods and systems for sequencing",0,C07H|C07K|C09B|C12Q
12404549,2025-09-02,Methods and compositions for stabilizing nucleic acid-nucleotide-polymerase complexes,0,C12Q
12391834,2025-08-19,Protected dye-labeled reagents,0,C07D|C07H|C09B|C12Q|G01N
12353010,2025-07-08,Integrated target waveguide devices and systems for optical coupling,0,G01N|G02B
12344890,2025-07-01,Process for cognate nucleotide detection in a nucleic acid sequencing workflow,0,C07H|C12N|C12Q
12306390,2025-05-20,High speed scanning systems for super resolution imaging,0,G01J|G01N|G02B|G06T|H04N
12259564,2025-03-25,High speed scanning system with acceleration tracking,0,G01D|G01N|G02B|H04N
12241122,2025-03-04,Illumination of integrated analytical systems,0,B01L|B82Y|C12Q|G01N|G02B|Y10T
12234511,2025-02-25,Methods of analyte detection,0,C12Q|G06F|G06T|G06V|G16B
12233391,2025-02-25,Loading nucleic acids onto substrates,0,B01J|C12Q
12204142,2025-01-21,Arrays of integrated analytical devices and methods for production,0,B29D|B29L|C12Q|G01N|G02B
12196677,2025-01-14,Arrays of integrated analytical devices,0,G01N|G02B|H10F
12180545,2024-12-31,Methods and apparatus that increase sequencing-by-binding efficiency,0,C12Q
12180538,2024-12-31,Methods and compositions for capping nucleic acids,0,C12Q
12179196,2024-12-31,Fluidic apparatus and methods useful for chemical and biological reactions,0,B01L|C12Q|F04B|G01N
12162903,2024-12-10,Fluorescent polymerase enzyme substrates having protein shields,0,C07H|C07K|C09B|C12N|C12Q|G01N
12105310,2024-10-01,Illumination of optical analytical devices,0,B82Y|C12Q|G01N|G02B|G02F
12083534,2024-09-10,Hierarchical silica lamella for magnetic nucleic acid extractions,0,B01D|B03C|C01B|C08J|C12N|G01N
12078843,2024-09-03,"Systems, devices, and methods for improved optical waveguide transmission and alignment",0,G01N|G02B
12077815,2024-09-03,Temperature control for analysis of nucleic acids and other analytes,0,B01L|C12Q
12071664,2024-08-27,Optics collection and detection system and method,0,B01L|B82Y|C12Q|G01N|G02B|Y10T
12060608,2024-08-13,Sequencing and high resolution imaging,0,C12Q|G06F|G06T|G06V|G16B
12060383,2024-08-13,Protected fluorescent reagent compounds,0,C07F|C07H|C09B|C12Q
12043868,2024-07-23,Substrates and optical systems and methods of use thereof,0,C12Q|G01N
12037641,2024-07-16,Modified nucleotide reagents,0,C07H|C09B|C12Q
12018296,2024-06-25,Recombinant polymerases with increased phototolerance,0,C12N|C12P|C12Q|C12Y|Y02P
12012631,2024-06-18,Methods and compositions for isolating asymmetric nucleic acid complexes,0,C12Q
12000000,2024-06-04,"Labeled nucleotide analogs, reaction mixtures, and methods and systems for sequencing",1,C07H|C07K|C09B|C12Q
11995828,2024-05-28,Densley-packed analyte layers and detection methods,0,C12Q|G01N|G06T
11983790,2024-05-14,Multiprocessor pipeline architecture,0,C12Q|G06T|G16B
11976323,2024-05-07,Method of nucleic acid sequence determination,0,C12N|C12Q|C12Y
11976319,2024-05-07,Methods and compositions for generating asymmetrically-tagged nucleic acid fragments,0,C12Q
11913038,2024-02-27,Engineered polymerases for improved sequencing,0,C12N|C12P|C12Q|C12Y
11891659,2024-02-06,Recombinant polymerases for incorporation of protein shield nucleotide analogs,0,C12N|C12Q|C12Y
11884971,2024-01-30,Compositions and techniques for nucleic acid primer extension,0,C12Q
11884826,2024-01-30,Protected dye-labeled reagents,1,C07D|C07H|C09B|C12Q|G01N
11873516,2024-01-16,Engineered polymerases for improved sequencing by binding,0,C12N|C12P|C12Q
11844666,2023-12-19,Classification of nucleic acid templates,0,A61F|C12Q|G16B
11827934,2023-11-28,Methods for isolating nucleic acids,0,B01L|C12Q|C40B|G01N
11821031,2023-11-21,Systems and methods for graph based mapping of nucleic acid fragments,0,C12Q|G06N|G16B
11807904,2023-11-07,FRET-labeled compounds and uses therefor,0,C07H|C12Q|G01N|Y10T
11781177,2023-10-10,Modified biotin-binding proteins for immobilization,0,C07K|C12N|C12Q
11773437,2023-10-03,Systems and methods for selectively addressing sparsely arranged electronic measurement devices,0,B82Y|C12Q|G01N|G11C|H10D
11746338,2023-09-05,Recombinant polymerases for improved single molecule sequencing,0,C12N|C12P|C12Q
11732254,2023-08-22,Size selection purification using a thermoplastic silica nanomaterial,0,B01J|C12N
11718639,2023-08-08,Fluorescent polymerase enzyme substrates having protein shields,1,C07H|C07K|C09B|C12N|C12Q|G01N
11705217,2023-07-18,Sequencing using concatemers of copies of sense and antisense strands,0,C12Q|G16B
11693182,2023-07-04,Integrated target waveguide devices and systems for optical coupling,0,G01N|G02B
11680950,2023-06-20,Scanning apparatus and methods for detecting chemical and biological analytes,0,B01L|G01N|G02B
11644636,2023-05-09,Method and system for biological imaging using a wide field objective lens,0,C12Q|G01N|G02B
11644406,2023-05-09,Calibrated focus sensing,0,C12Q|G01M|G01N|G02B
11642643,2023-05-09,Loading nucleic acids onto substrates,0,B01J|C12Q
11640022,2023-05-02,Illumination of optical analytical devices,1,B82Y|C12Q|G01N|G02B|G02F
11629376,2023-04-18,Delaying real-time sequencing,0,C12Q
11624089,2023-04-11,Cyanine dyes,0,C07D|C07H|C07K|C09B|C12Q|G01N
11608528,2023-03-21,Methods and compositions for sequencing double stranded nucleic acids using RCA and MDA,2,C12Q
11584959,2023-02-21,Compositions and methods for selection of nucleic acids,0,C12N|C12P|C12Q
11578364,2023-02-14,Methods and compositions for loading of polymerase complexes,0,C12N|C12Q
11578093,2023-02-14,Protected fluorescent reagent compounds,1,C07F|C07H|C09B|C12Q
11560591,2023-01-24,"Analytic device comprising a substrate, nanometer-scale wells, and shallow waveguide optically coupled to a deep waveguide",1,C12Q|G01N
11530445,2022-12-20,Methods and compositions for delivery of molecule and complexes to reaction sites,0,C12Q|G01N
11504711,2022-11-22,Fluidic apparatus and methods useful for chemical and biological reactions,0,B01L|C12Q|F04B|G01N
11499189,2022-11-15,Mitigating adverse impacts of detection systems on nucleic acids and other biological analytes,0,C12Q|G01N
11499185,2022-11-15,Nucleic acid sequencing methods and systems,12,C12Q
11492666,2022-11-08,Distinguishing sequences by detecting polymerase dissociation,0,C12Q
11467089,2022-10-11,Arrays of integrated analytical devices,0,G01N|G02B|H10F
11466319,2022-10-11,"Labeled nucleotide analogs, reaction mixtures, and methods and systems for sequencing",0,C07H|C07K|C09B|C12Q
11447823,2022-09-20,Methods and apparatus that increase sequencing-by-binding efficiency,0,C12Q
11421262,2022-08-23,Serial formation of ternary complex species,0,C12Q
11415745,2022-08-16,"Systems, devices, and methods for improved optical waveguide transmission and alignment",2,G01N|G02B
11384393,2022-07-12,Integrated illumination of optical analytical devices,0,C12Q|G01N|G02B
11377655,2022-07-05,Synthetic nucleic acids having non-natural structures,0,C12N|C40B
11377644,2022-07-05,Recombinant polymerases with increased phototolerance,5,C12N|C12P|C12Q|C12Y|Y02P
11359235,2022-06-14,Modified nucleotide reagents,0,C07H|C09B|C12Q
11339428,2022-05-24,Increased signal to noise in nucleic acid sequencing,0,C12N|C12Q
11332787,2022-05-17,Methods and compositions for delivery of molecules and complexes to reaction sites,0,B01J|C12Q
11326206,2022-05-10,Methods of quantifying target nucleic acids and identifying sequence variants,0,C12Q
11299720,2022-04-12,Polymerases for nucleotide analogue incorporation,0,C07K|C12N|C12P|C12Q|C12Y|Y02P
11269199,2022-03-08,Producing bragg gratings in optical waveguides,0,G01N|G02F
11214830,2022-01-04,Intermittent detection during analytical reactions,4,C12N|C12Q|G01N|G16B
11203689,2021-12-21,Protected dye-labeled reagents,1,C07D|C07H|C09B|C12Q|G01N
11198906,2021-12-14,Recombinant polymerases for incorporation of protein shield nucleotide analogs,0,C12N|C12Q|C12Y
11198135,2021-12-14,Hierarchical silica lamella for magnetic nucleic acid extraction,0,B01D|B03C|C01B|C08J|C12N|G01N
11186871,2021-11-30,Articles having localized molecules disposed thereon and methods of producing same,0,B01J|B82Y|C12Q|Y10T
11186870,2021-11-30,FRET-labeled compounds and uses therefor,0,C07H|C12Q|G01N|Y10T
11162138,2021-11-02,Multi-amplitude modular labeled compounds,0,C12Q|G01N
11142793,2021-10-12,Nucleic acid sequencing with nanoscale electrode pairs,3,C12Q|G01N
11142792,2021-10-12,Single-molecule nanoFET sequencing systems and methods,0,B82Y|C12Q|G01N|G11C|H10D
11137532,2021-10-05,Illumination of optical analytical devices,0,B82Y|C12Q|G01N|G02B|G02F
11072815,2021-07-27,Methods and compositions for generating asymmetrically-tagged nucleic acid fragments,0,C12Q
11067562,2021-07-20,Method of sequencing multiple copies of a sequence in a circular template,0,B82Y|C12Q|G01N
11054576,2021-07-06,Integrated target waveguide devices and systems for optical coupling,2,G01N|G02B
11014958,2021-05-25,Fluorescent polymerase enzyme substrates having protein shields,0,C07H|C07K|C09B|C12N|C12Q|G01N
11001889,2021-05-11,Illumination of integrated analytical systems,0,B01L|B82Y|C12Q|G01N|G02B|Y10T
10995365,2021-05-04,Compounds and systems for improving signal detection,0,C09B|C12Q|G01N
10975362,2021-04-13,Recombinant polymerases for improved single molecule sequencing,0,C12N|C12P|C12Q
10968482,2021-04-06,Substrates and optical systems and methods of use thereof for performing sequencing by synthesis,0,C12Q|G01N
10954496,2021-03-23,"Methods, systems, and reagents for direct RNA sequencing",1,C12M|C12N|C12P|C12Q
10948652,2021-03-16,"Systems, devices, and methods for improved optical waveguide transmission and alignment",2,G01N|G02B
10941443,2021-03-09,Real-time redox sequencing chips,0,B82Y|C12Q|C40B|G01N
10934585,2021-03-02,Loading extended polymerase-nucleic acid complexes,2,B01L|C12Q|C40B|G01N
10934583,2021-03-02,Nucleic acid sequencing with nanoscale electrode pairs,2,C12Q|G01N
10920268,2021-02-16,Methods and compositions for isolating asymmetric nucleic acid complexes,1,C12Q
