patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427519,2025-09-30,Microfluidic device and method for separating off blood serum,0,B01L|G01N
12404516,2025-09-02,Method to obtain low triterpene/triterpenoid-containing natural rubber latex,0,C12N|C12P|C12Y
12372522,2025-07-29,"Optical sensor, system and method for detecting pathogenic germs",0,G01N
12331025,2025-06-17,Method for obtaining fucoxanthin and fatty acids from the biomass of algae,0,A61K|C07B|C07C|C07D
12298246,2025-05-13,Method for determining and optimizing the content of at least one plant substance of at least one part of a plant,0,A01G|G01N
12291705,2025-05-06,"Method for stimulating the growth of a biomass, contained in a liquid, inside a bioreactor",0,C12M|C12N
12216032,2025-02-04,Device and method for the dissociation of tissue,0,B01L|B02C|C12M|G01N
12207657,2025-01-28,Methods of multi-species insect pest control,0,A01N|C12N|C12R
12203877,2025-01-21,CT system,0,A61B|G01N|G01V
12196826,2025-01-14,Method for detecting and/or identifying magnetic supraparticles using magnet particle spectroscopy or magnet particle imaging,0,A61B|B42D|G01N|G01R
12164982,2024-12-10,Method for labelling products with an optical security feature with a temporal dimension,0,A61L|B41M|B42D|C09D|G01N|G06K
12134787,2024-11-05,"Method for increasing the yield of oxidosqualene, triterpenes and/or triterpenoids and host cell therefore",0,C12N|C12P|C12Y
12072291,2024-08-27,Apparatus and method for element analysis of materials by means of optical emission spectroscopy,0,G01J|G01N
12061151,2024-08-13,"Method, device and system for detecting raman scattered light",0,G01J|G01N
12036218,2024-07-16,Modulators of airway basal cells for the treatment or prevention of lung diseases,0,A61K|A61P|G01N
12030087,2024-07-09,Apparatus and method for assigning a material value score to a waste printed circuit board or a portion thereof and system for sorting waste printed circuit boards,0,B07C|G01N|H05K
12025585,2024-07-02,Measuring arrangement and method for determining properties of a material to be extruded while a screw-extrusion process is being carried out,0,B29C|B29L|G01N
12025562,2024-07-02,Method for optical monitoring and/or determination of properties of sample,0,G01J|G01N
12019075,2024-06-25,Zwitterionic nanoparticles,0,A61K|A61P|B82Y|C09K|G01N
11992606,2024-05-28,Device and method for determining an aerosol delivery,0,A61M|G01N
11988638,2024-05-21,Measuring system for monitoring the material parameters and/or homogeneity of a suspension conveyed through a channel,0,G01N|Y02E
11972988,2024-04-30,Solar cell and photovoltaic module,0,G01K|G01L|G01N|H01L|H02S|H10F|Y02E
11969730,2024-04-30,Apparatus for sensor-based examination of biological cells,0,A01N|B01L|C12N
11958871,2024-04-16,Inhibitors of bacterial glutaminyl cyclases for use in the treatment of periodontal and related diseases,0,A61P|C07D|C07F
11946048,2024-04-02,Non-human papillomaviruses for gene delivery in vitro and in vivo,0,A61K|C07K|C12N
11944613,2024-04-02,CYP2J2 antagonists in the treatment of pain,0,A61K|A61P
11921108,2024-03-05,Methods for determining amount of functional albumin,0,G01N
11920561,2024-03-05,Device for monitoring mechanical connection points in an installation,0,E02D|F03D|F05B|F05D|F16B|G01L|G01N|G06T
11919206,2024-03-05,Method for producing a neuronally inductive cultivation matrix,0,B29C|B29K|C12M|C12N
11906462,2024-02-20,System for determining and/or monitoring a state variable of a measurement object and respective method,0,G01N
11879823,2024-01-23,"Filter substrate for filtering and optically characterizing microparticles, method for producing the filter substrate, and use of the filter substrate",0,B23K|G01N
11851674,2023-12-26,"Three-dimensional scaffold structures with selectively functionalized polymer systems, their use and process for their manufacture",0,A61L|B33Y|C08F|C12M|C12N|G03F
11813604,2023-11-14,Printed biogel nanosensors,0,B01J|B01L|C12Q
11802271,2023-10-31,Method for irradiating mammalian cells with electron beams and/or X-rays,0,A61K|C12N
11774360,2023-10-03,Method for determining relative degrees of reflectance of a measurement surface,0,F24S|G01N|Y02E
11740166,2023-08-29,Method for determining elastoplastic properties and the failure behavior of a test specimen,0,F03D|G01M|G01N
11718843,2023-08-08,Light-inducible targeted modification of nucleic acids and genetic information,0,C12N|C12Q|Y10S
11703511,2023-07-18,Anti-isoAsp7 amyloid β (Aβ) antibodies and uses thereof,0,A61K|C07K|G01N
11702701,2023-07-18,"Means and methods for staging, typing and treating a cancerous disease",0,A61P|C12Q
11697893,2023-07-11,Highly flexible degradable fibers,0,A61K|A61L|C08G|C12N|D01F|D10B
11680895,2023-06-20,Device for detecting water on a surface and a method for detecting water on a surface,0,G01N|G06T|G06V
11679142,2023-06-20,B7-H1 fusion polypeptides for treating and preventing organ failure,0,A61K|A61P|C07K
11624741,2023-04-11,Sensor arrangement and method for sensing an amount or a concentration of a target fluid in a medium with the sensor arrangement,0,G01N|Y02A
11609199,2023-03-21,Nanostructured titanium multilayer electrode,0,B01L|C12M|C23C|G01N
11588979,2023-02-21,System and method for capturing measurement images of an object to be measured,1,G01B|G01N|H04M|H04N
11578353,2023-02-14,Method and device for the detection of carbapenemases and carbapenemase producers,0,C07D|C09B|C09K|C12N|C12Q|G01N
11578305,2023-02-14,Structured composite of matrix material and nanoparticles,0,B33Y|B82Y|C12M|C12N|G03F
11578298,2023-02-14,Device for the cultivation of and radiation-induced killing of cells and method for analyzing a migration and/or healing of a wound,0,C12M|G01N
11555123,2023-01-17,Edible functional coatings and hybrid polymer-based coatings for pharmacy and food,0,A23P|A61K|C09D
11549851,2023-01-10,Device and method for monitoring the temperature of a cryopreserved biological sample,1,A01N|C12M|C12N|G01K
11530980,2022-12-20,Wafer arrangement for gas sensor,1,G01N
11530950,2022-12-20,"Spectral analysis system, mobile device having a spectral analysis system, method for determining a correction function for the imaging correction of a spectrum captured by a spectral analysis system, and computer program",0,G01J|G01N
11524765,2022-12-13,Device for structure testing,0,B64C|F03D|F05B|G01M|G01N|Y02E
11504225,2022-11-22,Artificial Descemet construct,0,A61F|A61L|C12N
11500137,2022-11-15,Multilayer mirror for reflecting EUV radiation and method for producing the same,0,B82Y|C23C|G01N|G02B|G03F|G21K
11486381,2022-11-01,Combined pump-sensor arrangement,0,B81B|F04B|G01N
11478826,2022-10-25,Method and device for sorting particles of a material flow,0,B07C|B65G|G01N
11467115,2022-10-11,Fluid sensor,0,G01N|H10D
11454541,2022-09-27,Method for imaging or spectroscopy with a non-linear interferometer,1,G01B|G01J|G01N|G02F
11435308,2022-09-06,CO2 sensor and method for manufacturing same,0,B82Y|G01N
11427630,2022-08-30,Antibody inhibitors of IL-38 and methods of use thereof for treating or reducing the likelihood of cancer in a subject,0,A61K|A61P|C07K
11422148,2022-08-23,Apparatus for generating two-dimensional illumination patterns,0,G01N|G01P|G02B|H04N
11371932,2022-06-28,Optical assembly for the hyperspectral illumination and evaluation of an object,0,G01J|G01N|G02F
11371047,2022-06-28,Promoter construct for cell-free protein synthesis,0,C12N|C12P
11361886,2022-06-14,"Method for producing stable dispersible magnetic iron oxide single-core nanoparticles, stable dispersible magnetic iron oxide single-core nanoparticles and uses of same",0,A61K|C01G|C01P|C09C|H01F
11359917,2022-06-14,Method for non-destructive testing of walls of components,0,G01B|G01N
11340158,2022-05-24,"System for detecting non-metallic, non-aqueous substances in an aqueous sample, a corresponding unit and a corresponding method",0,G01N
11317623,2022-05-03,Cell-free protein synthesis system,0,A01N|C12N|C12P
11300573,2022-04-12,Means and methods for protein quantification,0,G01N
11300545,2022-04-12,System for the non-destructive testing of components,1,B06B|G01N|H10N
11293900,2022-04-05,Method for detecting an analyte based on the detection of a change of the mechanical properties of a freestanding nanoparticle composite material,1,G01N
11293856,2022-04-05,Identification of one or more spectral features in a spectrum of a sample for a constituent analysis,0,G01J|G01N
11287398,2022-03-29,Eddy current sensor for non-destructive testing of a substrate,0,G01D|G01N
11280806,2022-03-22,Microdispensing device and automatic microdispensing process,0,B01L|B41J|C12M|G01N
11280780,2022-03-22,Methods for determining the relative binding capacity of albumin,0,G01N
11268122,2022-03-08,Method of producing a cavity having a porous structure,0,B81B|B81C|C12Q|C23C|G01R
11262699,2022-03-01,Apparatus and method for creating a holographic ultrasound field in an object,0,A61B|A61N|G01N|G02B|G03H
11262318,2022-03-01,Adaption for a turntable of a CT system,3,G01N
11258952,2022-02-22,Device and method for the optical monitoring of moving components,1,F03D|F05B|G01M|G01N|G06T|H04N|Y02E
11255784,2022-02-22,"Method for determining the concentration of a fluorescent and/or fluorescence-labeled analyte, and calibration method for preparing such determination",0,G01N
11243151,2022-02-08,Device for carrying out bending tests on panel-shaped or beam shaped samples,0,G01N
11231361,2022-01-25,Arrangement and method for analyzing a fluid,0,G01N|G02B
11226301,2022-01-18,Thermographic examination means and method for non-destructive examination of a near-surface structure at a test object,1,G01B|G01J|G01N
11211762,2021-12-28,Generating synchronized laser pulses at variable wavelengths,1,G01N|G02F|H01S
11168358,2021-11-09,Chemical heating system for diagnostic devices,0,C09K|C12Q
11167981,2021-11-09,Semiconductor device and method of producing a semiconductor device,0,B81B|B81C|G01N|H01L
11156490,2021-10-26,Method and apparatus for determining a fill level of a storage container,0,G01F|G01N|G01V
11137365,2021-10-05,Assembly and method for measuring electrical and dielectric properties of a material,0,G01N|G01R
11137364,2021-10-05,Thermally insulated microsystem,0,G01F|G01N|H01L
11133510,2021-09-28,Anode for an electrochemical cell and method for producing an electrochemical cell comprising such an anode,0,C25B|G01N|H01M|Y02E
11119055,2021-09-14,Method for operating an x-ray system,0,G01N|G06T
11116221,2021-09-14,Pest control methods,0,A01N|C07K|C12N|Y02A
