patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12414758,2025-09-16,Non-invasive estimation of material parameters,0,A61B|A61P|G01S|G06F|G06T
12404339,2025-09-02,Method of depleting target antigen-specific antibody from a patient by administering a fusion protein (Seldeg) for selectively depleting antigen-specific antibodies,0,A61K|A61P|C07K
12399097,2025-08-26,Application of marsh funnel through use of trained algorithm,0,E21B|G01N|G06N
12387622,2025-08-12,Systems and methods for modeling veins and associated blood vessel components,0,B01L|B33Y|C12M|C12N|F16K|G09B
12371817,2025-07-29,Methods of making and utilizing amber-obligated phage display libraries,0,C12N|C12P|C40B
12360071,2025-07-15,Method and system for simultaneous mechanical and electrochemical testing of electrodes,0,G01N|H01M
12303594,2025-05-20,Antimicrobial and anti-inflammatory compositions,0,A61K|A61P
12264150,2025-04-01,"NR4A1 ligands, pharmaceutical compositions, and related methods of use",0,A61P|C07D
12203068,2025-01-21,Heterochiral nucleic acid strand-displacement systems and methods,0,B82Y|C12N|C12Q|G01N
12180480,2024-12-31,Angelman syndrome antisense treatment,0,C07H|C12N
12178878,2024-12-31,Amyloid peptide scaffolds coordinate with Alzheimer's disease drugs,0,A61K|A61P|C07K
12161691,2024-12-10,Protein inhibitors of clostridium difficile toxin b,0,A61K|A61P|C07K|C12N|C40B
12153045,2024-11-26,Mid-infrared integrated photonics for biological sensing,0,G01N|G02B
12152986,2024-11-26,Mid-infrared waveguide sensors for volatile organic compounds,0,G01N
12152066,2024-11-26,Smart single-domain intrabodies with precision switches for biomedical applications,0,A61K|C07K
12135201,2024-11-05,"System and method to detect, enumerate and characterize circulating tumor cells",0,B01L|G01B|G01N|G03H
12129470,2024-10-29,Methods and compositions related to RNA-targeted Rho small GTPase RND3/RhoE therapy,0,A61K|C12N|C12Q|G01N
12102615,2024-10-01,Synthesis of novel xylose free occidiofungin analogues and methods of using them,0,A61K|A61P|C07K
12066415,2024-08-20,Low cost and wireless gas sensing paper sensor having UHF range,0,G01N|G08C
12039885,2024-07-16,Systems and methods for modeling veins and associated blood vessel components,0,B01L|B33Y|C12M|C12N|F16K|G09B
12037629,2024-07-16,Engineered biocatalysts for non-sterile cultivation and solvent-free biolipid bioextraction,0,C12N|C12P|C12R
12023419,2024-07-02,Prokaryotic collagen therapeutics for postoperative adhesions,0,A61K|A61L|C07K|C12N|Y02A
12013357,2024-06-18,Apparatus for fast pyrolysis reactions and methods thereof,0,C10B|G01N|Y02E
12004514,2024-06-11,Engineering the production of a conformational variant of occidiofungin that has enhanced inhibitory activity against fungal species,0,A01N|A61K|A61P|C07K|C12N|C12Y|Y02A
11975060,2024-05-07,Controlled release vaccines and methods of treating Brucella diseases and disorders,0,A61K|G01N
11912577,2024-02-27,Method of fabricating a two dimensional membrane with periodic nanopores,0,B82Y|C01B|C01P|C02F|G01N|H10D
11905244,2024-02-20,Chemical modulators of store-operated calcium channels and their therapeutic applications,0,A61P|C07D
11904005,2024-02-20,Compositions and methods of enhancing immune responses to Eimeria or limiting Eimeria infection,0,A61K|A61P|C07K|Y02A
11852585,2023-12-26,Compositions and methods for evaluation of liquid contact angle properties,0,G01B|G01N
11816834,2023-11-14,Unmanned aerial system genotype analysis using machine learning routines,0,B64U|G01N|G06N|G06T|G06V
11806332,2023-11-07,Compositions and methods for inhibition of SARS-CoV-2 viral infections,0,A61K|A61P
11795211,2023-10-24,Rapid elicitation of broadly neutralizing antibodies to HIV Env,0,A61K|C07K|C12N
11793177,2023-10-24,Animal model of Angelman Syndrome,0,A01K|A61K|C12N
11788052,2023-10-17,Method for treatment and control of plant disease,2,A01N|C12N|C12R
11739328,2023-08-29,Angleman syndrome antisense treatment,0,C07H|C12N
11723864,2023-08-15,Antimicrobial and anti-inflammatory compositions,0,A61K|A61P
11717566,2023-08-08,Brucella canis vaccine for dogs,0,A61K|C12N
11700809,2023-07-18,Herbicide-resistant grain sorghum,0,A01H|C12N
11690919,2023-07-04,Endolysosomal targeting conjugates for improved delivery of cargo molecules to the endolysosomal compartment of target cells,0,A61K|A61P|C07K
11685920,2023-06-27,Angelman syndrome antisense treatment,0,C07H|C12N
11674876,2023-06-13,Method for estimation of fluid storage capacity of rock samples and other porous materials under effective stress,0,G01N
11642849,2023-05-09,In vivo live 3D printing of regenerative bone healing scaffolds for rapid fracture healing,0,A61K|A61N|B29C|B29K|B33Y
11612586,2023-03-28,Indole regulation of antigen presenting cells,0,A61K|A61P|C12N|G16B
11597756,2023-03-07,Designer collagens and use thereof,0,A61L|C07K|C08G
11585755,2023-02-21,System for measuring anomalous diffusion using fluorescence recovery after photobleaching and associated method,2,G01N|G02B
11561172,2023-01-24,Mid-infrared waveguide sensors for volatile organic compounds,0,G01N
11542302,2023-01-03,Modulators of melanocortin receptors for the treatment of depression and anxiety,0,A61K|A61P|C07K
11542296,2023-01-03,Neurosteroid compounds and methods for their preparation and use in treating central nervous system disorders,0,A61P|C07J
11523998,2022-12-13,Anti-inflammatory formulations and uses thereof including a combination of palmitoylethanolamide and plant-based polyphenols,0,A61K|A61P
11523613,2022-12-13,Ferrate compositions for surface disinfection,0,A01N|A61K|C11D
11520647,2022-12-06,Agricultural sensor placement and fault detection in wireless sensor networks,0,G01N|G05B|G06F|G06N|H04W
11519011,2022-12-06,Conversion of lignin into bioplastics and lipid fuels,1,C12N|C12P|Y02E
11516976,2022-12-06,Irrigation system control with predictive water balance capabilities,0,A01G|G01N|G06N|G06Q
11504339,2022-11-22,Compositions comprising urolithin a and uses thereof in treating kidney injury,0,A61K
11459396,2022-10-04,Fusion proteins (Seldegs) for selectively depleting antigen-specific antibodies and methods of use thereof,0,A61K|A61P|C07K
11446371,2022-09-20,Targeting of ligand binding sites in ClfA,0,A61K|A61P|C07K|C12N
11441156,2022-09-13,"Pathogen resistant compositions, organisms, systems, and methods",0,C07K|C12N
11433130,2022-09-06,Recombinant turkey herpesvirus vaccines and uses thereof,0,A61K|A61P|C12N
11421225,2022-08-23,Methods and systems for modulating intracellular gene expression,0,C07K|C12N
11420205,2022-08-23,Instrument and method for energizing molecules in charged droplets,0,B01L|C12M|G01N|H01J
11407851,2022-08-09,Chemically modified shape memory polymer embolic foams with increased X-ray visualization,0,A61B|A61L|A61P|C08G|C08J|C08K
11407819,2022-08-09,Compositions and use of a fibrinogen binding motif present in EFB and COA for therapeutics and vaccines against Staphylococcus aureus,0,A61K|C07K
11382962,2022-07-12,Yeast vaccine vector including immunostimulatory and antigenic polypeptides and methods of using the same,0,A61K|A61P|C07K|C12N|Y02A
11364290,2022-06-21,Compositions and methods of enhancing immune responses to eimeria or limiting eimeria infection,0,A61K|A61P|C07K|Y02A
11352416,2022-06-07,Mosaic chimeric viral vaccine particle,0,A61K|C07K|C12N
11344121,2022-05-31,Methods of predicting preeclampsia using biomarkers,0,A44B|A47B|C12Q|F16M|G01N
11340185,2022-05-24,Reflectometry devices and methods for detecting pipe defects,1,G01M|G01N
11307157,2022-04-19,Method and apparatus for minimum ignition energy testing,0,G01N
11291750,2022-04-05,Hydrogel condom,0,A61F|A61K|A61L
11254965,2022-02-22,"Methods, compositions, and systems for culturing and characterizing fastidious plant microbes",0,C12N|C12Q
11225510,2022-01-18,Modified lantibiotics and methods of making and using the modified lantibiotics,0,A61K|A61P|C07K|C12N|C12Y
11214812,2022-01-04,Cotton plant with seed-specific reduction in gossypol,0,A01H|C12N
11206798,2021-12-28,Methods and compositions for modulating gossypol content in cotton plants,0,A01H|C07K|C12N|Y02A
11198869,2021-12-14,Angelman syndrome antisense treatment,0,C07H|C12N
11160834,2021-11-02,"Scalable production of standardized extracellular vesicles, extracellular vesicle preparations and uses thereof",1,A61K|A61P|C07K|C12N
11083717,2021-08-10,Compositions and methods for drug sensitization of parasites,0,A61K|A61P|Y02A
11066379,2021-07-20,Gracilin A and congeners as immunosuppressive and neuroprotective agents,0,A61K|A61P|C07C|C07D
11054243,2021-07-06,Electronic device for automatic calibration of swept-source optical coherence tomography systems,0,A61B|G01B|G01N
11041143,2021-06-22,"Methods, compositions, and systems for culturing and characterizing fastidious plant microbes",0,A01H|C12N|C12Q|G01N|Y02P
11041003,2021-06-22,Crystal structure of Staphylococcus aureus clumping factor A in complex with fibrinogen derived peptide and uses thereof,0,A61K|A61P|C07K|G01N
11013792,2021-05-25,Compositions and methods of enhancing immune responses to enteric pathogens,0,A61K|A61P|C07K|C12N|Y02A
11008354,2021-05-18,Chiral solvating agents,0,C07F|G01N
10967055,2021-04-06,Vaccine for immunization against Q-fever,0,A61K
10962540,2021-03-30,Beta lactamase as biomarker for the specific detection of tuberculosis-complex bacteria,0,C07K|C12N|C12Q|C12Y|G01N
