patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421231,2025-09-23,Azaindole derivatives and their use as ERK kinase inhibitors,0,A61P|C07D|C07F
12419971,2025-09-23,Diet controlled expression of a nucleic acid encoding a pro-apoptotic protein,0,A01K|A61K|A61P|C07K|C12N|C12Q
12405267,2025-09-02,"Diagnosis, prognosis and treatment of a disease related to a decrease of F. prausnitzii",0,A61K|G01N
12403110,2025-09-02,Methods and compositions for treating cancers,0,A61K|A61P
12377066,2025-08-05,Treatment of diseases associated with biliary system destruction,0,A61K|A61P
12371741,2025-07-29,Method for detecting a mutation in a microsatellite sequence,0,C12Q|G01N
12371471,2025-07-29,Immune cells defective for SUV39H1,0,A61K|A61P|C07K|C12N
12371417,2025-07-29,Compounds with tubulin polymerisation inhibitory activity and immunomodulatory properties,0,A61K|A61P|C07D
12371402,2025-07-29,Mitochondrial activity inhibitors targeting tumoral metabolism,0,A61K|A61P|C07C
12365709,2025-07-22,Immunomodulatory peptide,0,A61K|A61P|C07K
12365707,2025-07-22,Methods and products for genetic engineering,0,C07K|C12N
12351832,2025-07-08,Recombinant adeno-associated virus particle purification with multiple-step anion exchange chromatography,0,A61K|B01D|C12N
12345718,2025-07-01,Method for determining the haemoglobin content of an erythroid cell,0,A61P|G01N
12343376,2025-07-01,Methods for inhibiting diazepam binding protein,0,A61K|A61P|C07K|G01N
12331357,2025-06-17,Methods for assessing risk of developing a viral disease using a genetic test,0,A61K|C07K|C12Q|G01N
12300356,2025-05-13,Cell-free detection of methylated tumour DNA,0,C12Q|G16B
12291750,2025-05-06,Predictive and prognostic use of a miRNA for high grade serous ovarian carcinoma therapeutic care,0,C12Q
12285433,2025-04-29,Diltiazem for use in the treatment of microbial infections,0,A61K|A61P
12281319,2025-04-22,Molecular tools and methods for transgene integration and their transposition dependent expression,0,A01K|C12N|C12Y
12274694,2025-04-15,Dizocilpine derivatives as peripheral NMDA receptor antagonists,0,A61K|A61P|C07D
12265084,2025-04-01,Method for analyzing the platelets of a blood sample,0,G01N
12253530,2025-03-18,Diagnosis method of multiple sclerosis,0,G01N
12251451,2025-03-18,Emulsion for ultrasound ablation surgery,0,A61K|A61N|A61P
12245892,2025-03-11,Method and apparatus for imaging in real time the propagation of a mechanical wave in an acoustically propagative material,0,A61B|A61N|G01N
12241125,2025-03-04,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12234513,2025-02-25,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12227807,2025-02-18,Methods for assessing risk of developing a viral disease using a genetic test,0,C07K|C12Q|Y02A
12208130,2025-01-28,Treatment of women affected with polycystic ovary syndrome,0,A61K|A61P
12202860,2025-01-21,Methods and products for genetic engineering,1,C07K|C12N
12195437,2025-01-14,Lipophenolic flavonoid derivatives useful to reduce carbonyl and oxidative stresses (COS),0,A23L|A23V|A61P|C07D
12187793,2025-01-07,Single-domain antibody binding to the G protein alpha,0,C07K
12186433,2025-01-07,"Nanocapsules comprising modified nucleobases and/or nucleosides, hydrogels and oleogels comprising them and uses thereof",0,A61K|C07H
12171843,2024-12-24,Hybrid regulatory elements,0,A01K|A61K|C12N|C12Y
12168229,2024-12-17,Device for locating biological objects,0,B01L|C12M|G01N
12162932,2024-12-10,Combined treatment with Netrin-1 interfering drug and immune checkpoint inhibitors drugs,0,A61K|A61P|C07K
12152077,2024-11-26,Immunotherapy targeting tumor neoantigenic peptides,0,A61K|A61P|C07K|C12N
12146160,2024-11-19,Regulatory T cells targeted by lymphotoxin alpha blocking agent and uses thereof,0,A61K|A61P|C07K|C12N
12145984,2024-11-19,Methods for preventing ischemia reperfusion injury in an organ with antibody antagonists of IL-33,0,A61K|A61P|C07K|C12N
