patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428457,2025-09-30,Cold-shock protein scaffold for engineering non-antibody binding proteins,0,C07K|C12R
12415832,2025-09-16,B-catenin/B-cell Lymphoma 9 protein-protein interaction inhibiting peptidomimetics,0,A61K|A61P|C07D|C07K
12414972,2025-09-16,Human origin probiotic lactobacillus rhamnosus HL-200 to reduce leaky gut by metabolizing ethanolamine,0,A23L|A61K|A61P
12409182,2025-09-09,Compositions and uses thereof for treatment of idiopathic preterm birth,0,A61K|A61P
12409138,2025-09-09,Nanoparticles and nanogel drug compositions for treatment of age-related macular degeneration,0,A61K
12404311,2025-09-02,"Synthetic plasmodium antigens, compositions, and uses thereof",0,A61K|C07K|Y02A
12398184,2025-08-26,Compositions comprising CelTOS immunogens and antibodies and method of use thereof,0,A61K|A61P|C07K|Y02A
12396696,2025-08-26,Physiological modeling of multiphase intra-arterial CT angiography for hepatic embolization therapy,0,A61B|A61P|G06F|G06T|G16H
12331362,2025-06-17,Methods of measuring C19MC miRNA in a post-natal tissue and uses thereof,0,A61K|A61P|C12N|C12Q
12329737,2025-06-17,"Dendrilla membranosa compounds, derivatives thereof, and uses thereof",0,A61K
12319908,2025-06-03,System and method for the activation of active ion transporters without the consumption of adenosine triphosphate (ATP) molecules,0,C12M|C12N
12310938,2025-05-27,Compositions and methods for weight loss maintenance,0,A23L|A23V|A61K|A61P
12292444,2025-05-06,Methods and compositions related to modified green fluorescent protein (GFP) with an embedded foreign peptide,0,A61K|C07K|G01N
12291724,2025-05-06,Tumor-infiltrating lymphocytes for adoptive cell therapy,0,A61K|A61P|C12N|G01N
12286445,2025-04-29,Organic anion lithium ionic cocrystal compounds and compositions,0,A61K|C07C|C07D|C07F|Y02E
12282027,2025-04-22,High-throughput NMR approach for in-membrane protein ligand screening,0,G01N
12270959,2025-04-08,Ultrahigh surface area materials and methods of making the same,0,B23K|G01N|G01T|H01J
12265064,2025-04-01,Systems and methods for determining concrete strength,0,G01N
12257248,2025-03-25,Bronchodilators for treating obstructive lung disease,0,A61K
12233064,2025-02-25,Antarctic tunicate Synoicum species-derived alkaloids and methods of treatment,0,A61K|A61P
12196675,2025-01-14,Sensitive and robust biosensing using plasmonic enhancement of fluorescence by rapid thermal annealed silver nanostructures,0,B82Y|G01N
12194026,2025-01-14,Drug for treating tinnitus,0,A61K|A61P
12186404,2025-01-07,Delta-opioid receptor targeted agent for molecular imaging and immunotherapy of cancer,0,A61K|A61P
12180524,2024-12-31,Epigenetic modification of fungi and uses thereof,0,A61K|A61P|C12N|C12P|C12R|Y02A
12180305,2024-12-31,Systems and methods for immobilizing a target protein,0,C07K|H01G|H10K
12171779,2024-12-24,Regulated drug delivery via controlled degradable chondroitin sulfate particles,0,A61K
12162874,2024-12-10,Peptidomimetic-based antibody surrogate for HER2,0,A61K|B01L|C07D|C07K
12146834,2024-11-19,Systems and methods for detection of chocolate bloom,0,A23G|G01N
12145969,2024-11-19,Compositions and methods relating to novel sulfono-gamma-AA peptides,0,A61K|A61P|C07K
12144832,2024-11-19,Plasma derived from human umbilical cord blood for the treatment of neurodegenerative disorders,0,A61K|A61P|C12N
12102635,2024-10-01,Methods of using protein palmitoylations inhibitors,0,A61K|A61P
12102424,2024-10-01,Real-time monitoring of COVID-19 progress using magnetic sensing and machine learning,0,A61B|G01N|G06N|G16H
12098153,2024-09-24,Small molecule inhibitors targeting Clostridioides difficile sporulation,0,A61K|C07D
12031121,2024-07-09,Systems and methods for cultivating algae,0,C12M|C12N|Y02A
12016884,2024-06-25,Adipose derived stem cell exosomes and uses thereof,0,A61K|A61P|C12N
12012637,2024-06-18,Methods for detecting and treating propranolol sensitive tumors,0,A61K|C12Q
11998562,2024-06-04,Ophthalmological formulations for the prevention of a coronavirus infection,0,A61K
11986459,2024-05-21,Methods for the treatment of Mycobacterium infections,0,A61K|A61P
