patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12422410,2025-09-23,"Structure evaluation system, structure evaluation apparatus, and structure evaluation method",0,G01N
12391921,2025-08-19,Method for inducing antigen specific CD8 positive T cells,0,A61K|A61P|C12N
12391739,2025-08-19,Method for producing gamma delta T cells,0,A61K|A61P|C07K|C12N
12379428,2025-08-05,Magnetic field measurement apparatus and magnetic field measurement method,0,G01N|G01R
12378516,2025-08-05,"Passage timing calculation device, passage timing calculation method, and recording medium for recording program",0,C12M|C12N|G06V
12332214,2025-06-17,Structure soundness evaluation using elastic waves on divided areas,0,G01N
12312371,2025-05-27,"Optically-active 2-amino-phosphonoalkane acid, optically-active 2-amino-phosphonoalkane acid salt, and hydrates of these",0,A61K|A61P|A61Q|C07F
12297240,2025-05-13,Peptide,0,A23L|A23V|A61K|C07K
12241089,2025-03-04,Method for inducing t cells for cell-based immunotherapy from pluripotent stem cells,0,A61K|A61P|C12N
12209242,2025-01-28,siRNA based on RNA sequence of SARS-CoV-2 and use thereof,0,A61K|A61P|C12N
12169189,2024-12-17,"Structure evaluation system, structure evaluation apparatus, and structure evaluation method",0,G01N
12169188,2024-12-17,Bonding layer evaluation system and bonding layer evaluation method,0,G01N
12168781,2024-12-17,"Production method for T cells or NK cells, medium for culturing T cells or NK cells, method for culturing T cells or NK cells, method for maintaining undifferentiated state of undifferentiated T cells, and growth-accelerating agent for T cells or NK cells",0,C07D|C12N
12146868,2024-11-19,Pump unit and chromatograph,0,B01D|G01N
12140715,2024-11-12,Radiation detector and method for manufacturing radiation detector,0,G01N|G01T|H01G|H10F|H10K|Y02E|Y02P
12138253,2024-11-12,Tumor suppression,0,A61K|A61P|Y02A
12091775,2024-09-17,RNA structure library,0,C12N|C12Q|C40B
12084698,2024-09-10,Virus-like particles and use thereof,0,A61K|C07K|C12N|C12Y
12066392,2024-08-20,Excitation light irradiating apparatus and excitation light irradiating method,0,G01N|G01R|G02B
12059471,2024-08-13,Complex,0,A61K|C12N
12055439,2024-08-06,Quantum absorption spectroscopy system and quantum absorption spectroscopy method,0,G01J|G01N|G02F
12054701,2024-08-06,"Calculation device, method, and recording medium for calculating passage timing of pluripotent stem cells",1,C12M|C12N|G06V
12023338,2024-07-02,Pharmaceutical composition and treatment method for genetic disease associated with splicing abnormalities,0,A61K|A61P
12019049,2024-06-25,Bonding layer evaluation system and bonding layer evaluation method,0,G01N
12018281,2024-06-25,Cardiomyocyte maturation promoter,0,A61K|C12N
12018280,2024-06-25,Method for freezing aggregates of pluripotent stem cell-derived cardiomyocytes,0,A01N|A61K|C12N|G01N
12012615,2024-06-18,Method of making induced pluripotent stem cells using p53 inhibitors,0,A61P|C12N
12011438,2024-06-18,Composition for protecting cardiomyocyte,0,A61K|A61P
12006512,2024-06-11,Method for producing CD8alpha+beta+ cytotoxic t cells,0,A61K|A61P|C07K|C12N
11988729,2024-05-21,Measuring device and measuring method,1,G01K|G01N|G01R
11988653,2024-05-21,Chromatograph mass spectrometer,0,G01N
11987811,2024-05-21,Method for producing CD4-positive T cells from pluripotent stem cells,1,A61K|A61P|C12N
11986530,2024-05-21,Drug composition for parenteral administration,0,A61K|A61P
