patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426617,2025-09-30,Infant formula,0,A23L|A61P
12403152,2025-09-02,Compositions and methods using a nicotinamide adenine dinucleotide (NAD+) precursor and at least one ketone or ketone precursor,0,A23L|A23V|A61K|A61P
12403151,2025-09-02,Compositions for use in the promotion of intestinal muscle growth and development and associated intestinal motility,0,A23L|A61K
12397026,2025-08-26,Dietary supplement,0,A23L|A23V|A61K|A61P
12383584,2025-08-12,Egg protein formulations and methods of manufacture thereof,0,A61K|A61P|C12Y
12370173,2025-07-29,Pet food compositions that modulate vitamin D and bone mineral content in a companion animal,0,A23K|A61K|A61P
12364666,2025-07-22,Stable low digestive enzyme content formulation,0,A61K|A61P
12357688,2025-07-15,Methods of oral immunotherapy,0,A61K|A61P|G01N
12357647,2025-07-15,Compositions for use in the prevention or treatment of necrotizing enterocolitis in infants and young children,0,A23L|A23V|A61K|A61P
12350332,2025-07-08,Compositions comprising secretory IgA and probiotics,0,A61K|A61P|C07K
12344414,2025-07-01,Manufacturing line for manufacturing a compostable pod for brewing products and system for measuring and regulating the relative humidity of a biodegradable paper-based material,0,B31B|B31F|B65B|G01N|Y02W
12337569,2025-06-24,System and method for forming a compostable pod for beverages from a sheet having a controlled moisture level,0,B31B|B31F|B65B|B65D|D21J|G01N|Y02W
12317914,2025-06-03,Compositions and methods using one or more autophagy-inducing amino acids to potentiate musculoskeletal effect of one or more anabolic amino acids,0,A23L|A61K|A61P
12317913,2025-06-03,Dietary butyrate,0,A23K|A23L|A23V|A61K|A61P|C11C
12310391,2025-05-27,Cohesive thin liquids to promote safe swallowing in dysphagic patients,0,A23L|A23V|A61K|A61P
12303522,2025-05-20,"Composition comprising human milk oligosaccharides for use in improving, enhancing, promoting or modulating a gabaergic function in the central nervous system",0,A23K|A23L|A23V|A61K
12290492,2025-05-06,Extensional viscosity to promote safe swallowing of food boluses,0,A23L|A61K|A61P
12257259,2025-03-25,Nutritional composition comprising 2′-Fucosyllactose (2′ FL) to improve the gastrointestinal barrier,0,A23C|A23L|A23V|A61K|A61P
12251367,2025-03-18,Medium chain triglyceride compositions,0,A23K|A23L|A23V|A61K|A61P
12245614,2025-03-11,Use of whey protein micelles for improving insulin profile in diabetic patients,0,A23C|A23J|A23K|A23L|A23V|A61K|A61P
12233048,2025-02-25,Sustained release melatonin compositions,0,A61K
12226448,2025-02-18,Peanut oral immunotherapy dosing schedule for missed doses,0,A61K|A61P
12186331,2025-01-07,Compositions comprising at least one n-acetylated and at least one fucosylated oligosaccharide for use in the promotion of digestive capacity in infants and young children,0,A23L|A23V|A61K
12186292,2025-01-07,Benefits of supplementation with n-acetylcysteine and glycine to improve glutathione levels,0,A23K|A61K|A61P
12186281,2025-01-07,Oral solid cannabinoid oil composition for treating gastrointestinal disorders,0,A61K|A61P
12178228,2024-12-31,Powdered thickener maintaining its extensional properties when reconstituted and for promoting safe swallowing by individuals with dysphagia,0,A23L|A61K|Y02A
12167990,2024-12-17,Vitamin composition,0,A21D|A23K|A23L|A61K|Y02P
12167742,2024-12-17,Nutritional composition comprising 6′SL and LNT in combination to improve the gastrointestinal barrier function,0,A23L|A23V|A61K|A61P
12161666,2024-12-10,Composition comprising cinnamaldehyde and zinc to improve swallowing,0,A23L|A23V|A61K|A61P
12129488,2024-10-29,Production of brown adipocytes,0,A61K|A61P|C12N
12109220,2024-10-08,Compositions for use in the reduction of nociception in children,0,A23L|A61K|A61P
12090178,2024-09-17,Methods for making mixed allergen compositions,0,A23B|A23L|A23V|A61K|A61P
12071642,2024-08-27,Engineered amylase variants,0,A61K|A61P|C12N|C12Y|Y02E
12064506,2024-08-20,Composition for preventing or reducing transepidermal water loss and improving skin barrier function,0,A23C|A23J|A61K|A61P|A61Q
12059016,2024-08-13,Complexes of whey protein micelles and pectin and body muscle protein synthesis,0,A23C|A23K|A23L|A23V|A61K|A61P
12059015,2024-08-13,Maternal supplement,0,A23L|A61K|A61P
12053007,2024-08-06,Use of nutritional compositions having a low protein amount,0,A23L|A23V|A61P
12016917,2024-06-25,Peanut formulations and uses thereof,0,A23L|A23V|A61K|G01N
12012447,2024-06-18,Compositions and methods for reducing at least one symptom of human allergy to cats,0,A23K|A61K|A61P|C07K
12011468,2024-06-18,Compositions and methods for digestive health in an animal,0,A23K|A61K|A61P
12004545,2024-06-11,Infant nutrition delivering metabolic benefits,0,A23L|A23V|A61P
11999941,2024-06-04,Composition suitable for protecting microorganisms,0,C12N
11992035,2024-05-28,Cohesive thin liquids to promote safe swallowing in dysphagic patients,0,A23L|A23V|A61K|A61P
11987823,2024-05-21,Engineered lipase variants,0,A23L|A61K|A61P|C12N
11986445,2024-05-21,Nutritional composition and infant formula for promoting myelination of the brain,0,A23L|A23V|A61K|A61P
11986003,2024-05-21,Nutritional composition and infant formula for promoting de novo myelination,0,A23L|A23V|A24B|A61K|A61P
11980215,2024-05-14,Synthetic milk compositions for infants less than three months old and for infants and children more than three months for ensuring optimal growth and preventing obesity,0,A23L|A23V|A61P
11974975,2024-05-07,"Compositions and methods using at least one glycine or derivative thereof, at least one N-acetylcysteine or derivative thereof, and at least one nicotinamide riboside or NAD+ precursor",0,A23L|A61K|A61P
11959108,2024-04-16,Engineered protease variants,0,A61K|A61P|C11D|C12N|C12Y
11957720,2024-04-16,Bifidobacterium longum and functional GI disorders,0,A23K|A23L|A23V|A61K|A61P|C12N
11957652,2024-04-16,Compositions comprising citrulline and leucine and their use in the treatment of diabetes and metabolic syndrome,0,A61K|A61P
11957148,2024-04-16,Mixture of human milk oligosaccharides(HMOs),0,A23L|A61K|A61P|Y02A
11951137,2024-04-09,Compositions comprising unsaturated fatty acids and nitric oxide releasing compounds and use thereof for enhancing cognitive and related functions,0,A23D|A23K|A23L|A61K|A61P
