patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12405287,2025-09-02,"Lung cancer detection kit or device, and detection method",0,C12M|C12N|C12Q|G01N
12398430,2025-08-26,"Breast cancer detection kit or device, and detection method",0,C12M|C12N|C12Q
12398417,2025-08-26,"Nucleic acid separation method, detection method, nucleic acid purification column and method of producing same",0,B01D|B01J|C12N|C12Q
12359260,2025-07-15,"Stomach cancer detection kit or device, and detection method",0,C12Q|G01N
12358958,2025-07-15,Mutant strain of Trichoderma reesei and method of producing protein using same,0,C07K|C12N|C12P|C12R
12345657,2025-07-01,Method for inspecting damage in reverse osmosis membrane,0,B01D|G01N|Y02A
12325677,2025-06-10,"Carboxylic acid-type lipid, and lipid particle and lipid membrane each comprising carboxylic acid-type lipid",0,A61K|A61P|C07C|C07K
12291461,2025-05-06,"Cerium oxide nanoparticle, dispersion body, oxidant, antioxidant, and method of producing cerium oxide nanoparticle",0,A61K|A61L|A61P|A61Q|C01F|C01P|C02F|C09K
12275979,2025-04-15,"Gene-modified microorganism for producing 3-hydroxyadipic acid, alpha-hydromuconic acid, and/or adipic acid, and production method for said chemical products",0,C12N|C12P
12274745,2025-04-15,Conjugate of CAPRIN-1 antibody linked to immune activator for cancer treatment,0,A61K|A61P|C07K
12252748,2025-03-18,"Kit, device and method for detecting prostate cancer",0,C12Q
12246302,2025-03-11,Blood treatment material,0,A61M|A61P|B01D|B01J|Y02A
12234519,2025-02-25,"Kit, device, and method for detecting bladder cancer",0,C12Q
12227787,2025-02-18,Method of evaluating quality of dephosphorylation reagent and method of detecting target nucleic acid,0,C12N|C12Q|C12Y|G01N
12201131,2025-01-21,Aquatic organism growth promotor,0,A01K|A23K|A23V|A61K|A61P|Y02A|Y02P
12188098,2025-01-07,"Pancreatic cancer detection kit or device, and detection method",0,C12M|C12N|C12Q|G01N
12173372,2024-12-24,"Liver cancer detection kit or device, and detection method",0,C12M|C12N|C12Q|G01N
12172133,2024-12-24,Porous hollow fiber membrane,0,B01D|C08J|G01N
