patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429492,2025-09-30,Apparatus for removing a cap closing a laboratory sample container and laboratory automation system,0,B67B|G01N
12429491,2025-09-30,Laboratory sample distribution system and laboratory automation system,0,B01L|G01N
12416645,2025-09-16,Automatic analyzer,0,G01N
12415831,2025-09-16,HPLC free purification of peptides by the use of new capping and capture reagents,0,C07K
12411129,2025-09-09,Reduction of interferences in immunoassays,0,G01N
12399176,2025-08-26,Methods for reducing interferences,0,G01N
12385936,2025-08-12,Network-based system for the dynamic workflow management of a biological sample,0,G01N|G05B|Y02P
12385907,2025-08-12,Transition metal chelating beads,0,A61K|B01J|C07C|C07K|G01N|Y10S
12372474,2025-07-29,Branched-chain amines in electrochemiluminescence detection,0,C07F|G01N
12360131,2025-07-15,Techniques for controlling automated analyzers using a shadow workflow engine,0,G01N|G06F|G16H
12360108,2025-07-15,Biotin-specific monoclonal antibody and use thereof,0,C07D|C07K|G01N
12352768,2025-07-08,Automatic sample workflow for LC-MS based HbA1c measurement on intact protein level,0,G01N
12352762,2025-07-08,Dynamic of sFlt-1 or endoglin/PIGF ratio as an indicator for imminent preeclampsia and/or HELLP syndrome,0,C07K|G01N
12351647,2025-07-08,Binding agent and assay for PIVKA,0,C07K|G01N
12347666,2025-07-01,Positioning of a needle-like component in a mass spectrometry system,0,G01N|H01J
12345727,2025-07-01,Diagnostic laboratory distribution system,0,B01L|G01N
12313643,2025-05-27,Reagent drawer and associated detector mounted to a slider capable of extending from an automatic analyzer housing,0,G01N
12313641,2025-05-27,Method of operating an analytical laboratory,0,G01N|G16H
12306201,2025-05-20,Laboratory system to monitor reference points of laboratory devices,0,B01L|G01N
12306193,2025-05-20,Photometric interference determination,0,G01N
12306185,2025-05-20,Detection of anti-p53 antibodies,0,C07K|G01N
12306147,2025-05-20,Analytical system and method including switching between liquid chromatography fluidic streams,0,G01N|H01J
12296330,2025-05-13,Pipetting unit and pipetting method for closed liquid containers,0,B01L|G01N
12293827,2025-05-06,Inferring a condition of a medical analyzer,0,G01N|G05B|G06Q|G16H
12292454,2025-05-06,Method for operating a laboratory automation system and laboratory automation system,0,G01N
12275778,2025-04-15,Anti-troponin T antibodies,0,C07K|G01N
12253535,2025-03-18,Module for an automated laboratory system,0,B01L|G01N|G05D|G06T|G16H
12241906,2025-03-04,Laboratory sample distribution system,0,B65G|G01N
12241859,2025-03-04,Polymer-coating of electrodes for sensor devices,0,G01N
12234491,2025-02-25,Methods of recombinantly producing neutral protease originating from Paenibacillus polymxa,0,C07K|C12N|C12Y
12234488,2025-02-25,"Mutant reverse transcriptase with increased thermal stability as well as products, methods and uses involving the same",0,C07K|C12N|C12P|C12Q|C12Y
12216133,2025-02-04,Sample handling system for handling a plurality of samples,0,B07C|B65G|G01N|G06K
12208382,2025-01-28,Sample processing systems and methods,0,B01L|G01N
12203905,2025-01-21,Method for identifying a reagent during a process in an analysis system,0,B01D|G01N|H01J
12196772,2025-01-14,Method and system to localize a carrier on a laboratory transport system,0,G01N|H04W
12194466,2025-01-14,Determining a quantity of an analyte in a blood sample,0,B01L|G01N
12194463,2025-01-14,Automatic sample concentrating unit,0,B01D|B01L|G01N
12169206,2024-12-17,Method of handling laboratory sample containers and apparatus for handling laboratory sample containers,0,G01N
12163969,2024-12-10,Centering unit for diagnostic laboratory transporting compartment,0,B01L|B25J|B65G|G01N
12163909,2024-12-10,Sensor assembly,0,G01N
12158466,2024-12-03,"Method for determining the total amount and/or concentration of an analyte in the presence of a binding molecule as well as kits, compositions and uses relating thereto",0,G01N
12152871,2024-11-26,Method and apparatus for determining a vertical position of a horizontally extending interface between a first component and a second component,0,G01B|G01F|G01N
12140601,2024-11-12,Calibration management of an in-vitro diagnostic system,0,G01N
12123857,2024-10-22,Techniques for checking state of analyzers,0,G01N|G06F
12123856,2024-10-22,LC system and method with column backflushing,0,G01N
12117454,2024-10-15,Biomarkers for risk assessment and treatment monitoring in heart failure patients guided by natriuretic peptides,0,G01N
12111328,2024-10-08,Method for classifying an identification tag on a sample tube containing a sample and an automated laboratory system,0,B01L|G01N|G06F|G06K|G06N|G06Q|G06T|G06V|G16H
12105096,2024-10-01,Ratios of sFlt-1 to P1GF or endoglin to P1GF as biomarkers for preeclampsia related adverse outcomes after birth,0,G01N
12103287,2024-10-01,Method and system of producing a plurality of analytical test strips,0,B32B|G01N
12092150,2024-09-17,Connecting joint for connecting components of a laboratory automation system,0,F16B|F16M|G01N|G12B
12085573,2024-09-10,Means and methods applying sFlt-1/PlGF or endoglin/PlGF ratio to rule out onset of preeclampsia within a certain time period,0,G01N|G16H
12078650,2024-09-03,"Method for unsealing an opening of a laboratory sample container, method for handling a laboratory sample container, laboratory apparatus and laboratory automation system",0,B01D|B01F|B01L|B04B|B23P|B65B|G01N
12077600,2024-09-03,Anti-thymidine kinase antibodies,0,C07K|G01N
12072341,2024-08-27,Failure state prediction for automated analyzers for analyzing a biological sample,0,G01N|G16H
12053874,2024-08-06,Method for determining a position of a rack on a rack placement unit of a laboratory handling system and laboratory handling system,0,B01L|B25J|G01N
12053782,2024-08-06,"Apparatus for determining properties of a laboratory sample container, laboratory automation system and method for determining properties of a laboratory sample container",0,B01L|G01B|G01N
12044690,2024-07-23,Automatic analyzer,0,B01L|B65G|G01N
12044689,2024-07-23,"Sample container carrier, laboratory sample distribution system and laboratory automation system",0,A47G|B01L|B65G|B67C|G01N
12031962,2024-07-09,Method for identifying a reagent during a process in an analysis system,1,G01N
12026089,2024-07-02,Laboratory system,0,G01N|G06F|G16B|G16H|H04L
12025613,2024-07-02,Biotin-specific monoclonal antibody and use thereof,0,C07D|C07K|G01N
12018053,2024-06-25,Method for detecting flavivirus-specific antibodies utilizing flaviviral NS1 polypeptides comprising the wing domain,0,A61K|C07K|C12N|G01N|Y02A
12017216,2024-06-25,Method and laboratory system to process a laboratory carrier based on a feature of a test liquid in the laboratory carrier,0,B01L|G01F|G01N
12013405,2024-06-18,Release reagent for vitamin D compounds,0,C07C|G01N|Y10T
12007402,2024-06-11,Laboratory sample container carrier cleaning apparatus and laboratory sample distribution system,0,B01L|G01N
12000851,2024-06-04,Laboratory sample distribution system and method for operating the same,0,B65G|G01N
12000850,2024-06-04,Laboratory sample distribution system and corresponding method of operation,0,B65G|G01N|G06F
11999054,2024-06-04,Gripper for a laboratory container sorting device,0,B25J|G01N
11994385,2024-05-28,Sample container spring check apparatus,0,G01B|G01N
11982657,2024-05-14,Method for calibrating at least one analytic device with multiple repeated hardware components,0,G01N|H01J
11971424,2024-04-30,Automatic analyzer,0,G01N
11971420,2024-04-30,"Method of operating a laboratory sample distribution system, laboratory sample distribution system and laboratory automation system",0,G01N
11971407,2024-04-30,Detection of anti-p53 antibodies,1,C07K|G01N
11965886,2024-04-23,Method of immobilizing a cell on a support using compounds comprising a polyethylene glycol moiety,0,C12N|G01N
11959914,2024-04-16,Automatic analyzer and analysis method,0,G01N
11959895,2024-04-16,Analysis apparatus provided with a plurality of chromatographic apparatuses,0,G01N
11947344,2024-04-02,Method of operating a diagnostic instrument,0,G01N|G05B|G16H
11946938,2024-04-02,Circulating Angiopoietin-2 (Ang-2) and insulin-like growth factor-binding protein 7 (IGFBP7) for the prediction of stroke,0,G01N
11940455,2024-03-26,Consumable management system for laboratories,1,B65G|G01N|G06Q|G16H
11940427,2024-03-26,Liquid chromatography—stream equivalence by single stream calibration,0,G01N
11927597,2024-03-12,"Laboratory sample vessel distribution system, method for operating, and in-vitro diagnostic system",0,B01L|B25B|G01N
11911768,2024-02-27,Test element support,0,B01L|G01N|H05K
11906406,2024-02-20,Automatic analyzer and analysis method,0,G01N
11898997,2024-02-13,Sample injector,0,G01N
11885818,2024-01-30,Reagent for mass spectrometry,0,C07D|C07J|G01N
11879904,2024-01-23,"Method of washing an aspiration probe of an in-vitro diagnostic system, in-vitro diagnostic method, and in-vitro diagnostic system",0,B01F|B01L|G01N
11874282,2024-01-16,IGFBP-7 as a marker of preeclampsia,0,G01N|G16B
11860176,2024-01-02,Method of operating an analytical laboratory,0,G01N|G16H
11845733,2023-12-19,Reagent for mass spectrometry,0,C07D|G01N
11817212,2023-11-14,Maintenance method for a laboratory system,0,G01N|G05B|G06F|G06N|G16H
11796540,2023-10-24,Methods for modulating signal intensity in interaction assays,0,C08F|G01N
11796477,2023-10-24,Reliability indicating method for an electrochemiluminescence method for detecting an analyte in a liquid sample,0,C12Q|G01N
11788108,2023-10-17,CMP-dependent sialidase activity,0,C07K|C12N|C12P|C12Y
11782009,2023-10-10,Method and device for determining a concentration of at least one analyte,0,G01N
11774395,2023-10-03,Test element for electrochemically detecting at least one analyte,0,C12Q|G01N
11754578,2023-09-12,Modular transport plane and laboratory distribution system,0,B65G|G01N
11754431,2023-09-12,Apparatus for determining a vertical position of at least one interface between a first component and at least one second component,0,G01F|G01N
11747356,2023-09-05,"Support element for a modular transport plane, modular transport plane, and laboratory distribution system",0,B01L|G01N
11747354,2023-09-05,Method and system to re-identify carriers on a laboratory transport system,0,G01N
11747244,2023-09-05,Laboratory system and method for separating interfering substances contained in test samples,2,B01L|G01N
11740254,2023-08-29,Automatic analysis apparatus,0,G01N
11733253,2023-08-22,Workload instrument masking,0,G01N|G16H
11730821,2023-08-22,Methods of protecting the sequence of an antibody conjugate from being determined,0,A61K|C07K|G01N
11726044,2023-08-15,Method of monitoring an operation of detection of an analyte in a liquid sample,0,G01N
11724246,2023-08-15,Method for preparing highly porous polymer particles for diagnostic applications,0,B01J|B03C|G01N
11719714,2023-08-08,Automatic analyzer,0,G01N
11719710,2023-08-08,GDF-15 and/or troponin T for predicting kidney failure in heart surgery patients,0,C07K|G01N
11709172,2023-07-25,Method for operating a laboratory system,0,B01L|G01N|G16H
11709171,2023-07-25,"Laboratory system, laboratory sample distribution system and laboratory automation system",1,B01L|B65G|G01N|G01R
11709145,2023-07-25,Sensor assembly,0,G01N
11703504,2023-07-18,Electrochemiluminescence method of detecting an analyte in a liquid sample and analysis system,0,G01N
11697279,2023-07-11,Method and device for producing a test element,0,B32B|G01N
11680924,2023-06-20,Method and device for determining an information on an equivalent series resistance,0,G01N
11673138,2023-06-13,Measurement of an analyte with a cartridge,0,B01J|B01L|G01N
11668726,2023-06-06,Systems and methods for staining of biological samples,0,B01L|G01N
11644472,2023-05-09,Circulating Angiopoietin-2 (Ang-2) for the prediction of recurrence of atrial fibrillation,0,G01N
11635438,2023-04-25,IL-6 detection based early diagnosis and prediction of systemic inflammatory response syndrome and sepsis in asymptomatic patients,0,G01N
11633740,2023-04-25,Reagent vessel for storing a liquid reagent,0,B01L|B29C|B29K|B29L|G01N
11630116,2023-04-18,Techniques for determining coagulation results,0,G01N|G06F|G16H
11619641,2023-04-04,Sample container carrier with data carrier for an in-vitro diagnostics system,1,B01L|G01N|G16H
11618892,2023-04-04,"Mutant reverse transcriptase with increased thermal stability as well as products, methods and uses involving the same",0,C07K|C12N|C12P|C12Q|C12Y
11592454,2023-02-28,"Method of handling laboratory sample containers by a laboratory sample container handling system, a laboratory sample container handling system, and a laboratory automation system",0,B01L|G01N
11585811,2023-02-21,Immobilized analytes,0,G01N
11585791,2023-02-21,Techniques for monitoring an analyzer including multiple liquid chromatography streams,0,G01N
11581178,2023-02-14,Anomaly detection of gas flow parameters in mass spectrometry,0,G01N|H01J
11581071,2023-02-14,Laboratory system for analyzing biological samples,0,B01L|G01N|G06F|G16H
11579156,2023-02-14,Method and laboratory system to provide control samples for validating a diagnostic test,0,G01N
11567079,2023-01-31,Soluble and immunoreactive variants of HTLV capsid antigen P24,0,C07K|C12N|G01N|Y02A
11560420,2023-01-24,Method for producing antibodies using ovine B-cells and uses thereof,0,C07K
11559907,2023-01-24,Gripping device for handling sample container carriers and analytical instrument,0,B25J|G01B|G01N
11554921,2023-01-17,"Method for detecting and reporting an operation error in an in-vitro diagnostic system, a transport device for a laboratory sample distribution system, and a laboratory sample distribution system",0,B65G|G01N
11542489,2023-01-03,Expression vector encoding a Paenibacillus polymxa neutral protease,0,C07K|C12N|C12Y
11531003,2022-12-20,Analyte detector for detecting at least one analyte in at least one fluid sample,0,G01N
11530943,2022-12-20,Techniques for checking state of analyzers,0,B01D|G01F|G01N|G06Q
11525838,2022-12-13,Automatic analyzer,0,G01N
11517636,2022-12-06,Analyzer,0,A61L|C02F|G01N
11513134,2022-11-29,Container for receiving vessels for use in an automated analyzer,0,B01L|G01N
11511279,2022-11-29,Automatic correction of tube label information,0,B01L|G01N
11491236,2022-11-08,Copy protection for antibodies,0,A61K|C07K|G01N
11473118,2022-10-18,Interference compensating two electrodes test strip,0,C12Q|G01N
11466098,2022-10-11,Binding agent and assay for PIVKA,1,C07K|G01N
11460474,2022-10-04,Marker for statin treatment stratification in heart failure,0,A61K|A61P|G01N
11459556,2022-10-04,Methods of preparing a solid composition containing proteases,0,C12N|C12Y
11454634,2022-09-27,Assessing whether a subject shall be subjected to imaging based diagnostic,0,A61B|G01N
11454615,2022-09-27,Quick liquid exchange in liquid chromatography,0,F04B|G01N
