patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12419821,2025-09-23,Anti-dandruff cleansing composition,0,A61K|A61Q
12409124,2025-09-09,Composition comprising a particular oxidation dye precursor and a particular carboxylic acid,0,A61K|A61Q
12409123,2025-09-09,Compositions and methods for altering the color of hair,0,A61K|A61Q
12409122,2025-09-09,Process for treating keratin fibers using a composition comprising a carnitine salt or carnitine derivative salt comprising an aromatic organic anion,0,A61K|A61Q
12406293,2025-09-02,Systems and methods for generating personalized skincare formulations based on biomarker analysis,0,G01N|G05B|G06Q|G16B|G16H
12403085,2025-09-02,Hair coloring with coconut oil,0,A61K|A61Q
12403082,2025-09-02,Cosmetic compositions with improved wear and transfer resistance,0,A61K|A61Q|C08F|C08L
12403075,2025-09-02,Cosmetic composition imparting a natural complexion and a healthy-looking appearance effect,0,A61K|A61Q
12396941,2025-08-26,Cosmetic composition that resists pilling,0,A61K|A61Q
12396938,2025-08-26,Compositions and methods for coloring hair,0,A61K|A61Q
12390414,2025-08-19,Lip compositions,0,A45D|A61K|A61Q
12390412,2025-08-19,Hydroglycolic cosmetic composition with a high active content,0,A61K|A61Q
12390408,2025-08-19,"Composition comprising two particular oxidation dye precursors, and a particular carboxylic acid",0,A61K|A61Q
12390406,2025-08-19,Process for treating keratin fibers using a composition comprising a carnitine salt or carnitine derivative salt comprising an aliphatic dicarboxylic acid anion,0,A61K|A61Q
12383483,2025-08-12,Compositions and methods for styling the hair,0,A61K|A61Q
12377039,2025-08-05,Cleansing compositions,0,A61K|A61Q
12377031,2025-08-05,Cosmetic compositions comprising 4-hydroxyacetophenone,0,A61K|A61Q
12370135,2025-07-29,Anhydrous composition for caring for and/or making up keratin materials,0,A61K|A61Q
12366530,2025-07-22,Method and device for determining UV coverage on irradiation target in real time,0,G01N
12357557,2025-07-15,Composition comprising a (poly)carbodiimide compound and a coloring agent,0,A61K|A61Q
12343413,2025-07-01,Vegan semi-solid cosmetic composition,0,A61K|A61Q
12343411,2025-07-01,Compositions and methods for treating keratinous substrates,0,A61K|A61Q
12337051,2025-06-24,"Composition comprising the combination of at least one fatty substance, a particular carboxylic acid and an oxidation dye and/or an alkaline agent",0,A61K|A61Q
12329848,2025-06-17,Compositions and methods for improving the appearance of the skin,0,A61K|A61Q
12329844,2025-06-17,Composition for washing and conditioning the hair,0,A61K|A61Q
12329836,2025-06-17,"Composition comprising at least one AMPS® copolymer, at least one acyl glutamic acid or a salt thereof and at least one alkyl polyglucoside",0,A61K|A61Q
12326456,2025-06-10,Method of diagnosis of the aesthetic qualities of the skin,0,A61B|C12Q|G01N
12324849,2025-06-10,Process for reshaping keratin fibers,0,A61K|A61Q
12311045,2025-05-27,"Natural non-sulfate rinse-off cleansing compositions with high oil loading, and methods of use",0,A61K|A61Q
12311040,2025-05-27,Photonic structure for dynamic expression of colors and effects,0,A61K|A61Q|G06V
12303851,2025-05-20,System for forming a cosmetic composition,0,A45D|A61K|A61Q|B01F|G06Q|G16H
12303581,2025-05-20,Cosmetic emulsion containing a gemini surfactant and a lipophilic polymer,0,A61K|A61Q
12303576,2025-05-20,Two phase water-based smudge-resistant make-up remover,0,A61K|A61Q
12296041,2025-05-13,Hair care compositions,0,A45D|A61K|A61Q
12296039,2025-05-13,Composition with long-lasting concealing effects,0,A61K|A61Q
12296035,2025-05-13,"Composition comprising a particular oxidation dyeing base, at least one particular coupler and at least one fatty substance",0,A61K|A61Q
12291637,2025-05-06,Acidic bonding compositions and methods for restoring and color toning lightened hair,0,A61K|A61Q|C08L
12290589,2025-05-06,Cosmetic and personal care compositions containing cationic surfactants and anionic compounds,0,A61K|A61Q
12290586,2025-05-06,Cosmetic composition comprising a combination of two particular couplers and at least one oxidation base,0,A61K|A61Q
12290582,2025-05-06,Creamy hydrating cosmetic composition in a water release emulsion,0,A61K|A61Q
12290157,2025-05-06,Cartridge with dry shampoo for applicator device,0,A45D|A46B|A61K|A61N|A61Q
12268771,2025-04-08,"Composition comprising at least one amino silicone, at least one non-amino silicone and at least one colouring agent",0,A61K|A61Q
12268769,2025-04-08,Hair coloring compositions,0,A61K|A61Q
12268767,2025-04-08,Compositions and methods for treating hair,0,A61K|A61Q
12268764,2025-04-08,Color- and clarity-stable natural micellar water,0,A61K|A61Q
12263238,2025-04-01,Styling composition for providing various advantageous properties to the hair,0,A61K|A61Q
12263237,2025-04-01,"Composition comprising two particular oxidation dye precursors, an oxyethylenated fatty acid ester of sorbitan and a fatty acid",0,A61K|A61Q
12257336,2025-03-25,Cosmetic composition comprising a polyhydroxyalkanoate in an oily medium,0,A61K|A61Q
12257331,2025-03-25,Methods for oxidatively bleaching or coloring hair without damaging the hair,0,A61K|A61Q
12257330,2025-03-25,Hair coloring compositions and methods of use,0,A61K|A61Q
12246080,2025-03-11,High active content cosmetic serum composition,0,A61K|A61Q
12239728,2025-03-04,Cosmetic composition for a matte foundation,0,A61K|A61Q
12239726,2025-03-04,Process for dyeing or bleaching keratin fibers using particular amino acids in high concentration,0,A61K|A61Q
12239209,2025-03-04,System for dispensing a cosmetic product,0,A45D|A61K|A61Q|B01F
12233148,2025-02-25,Compositions containing polymers and aminosilicone for conditioning and styling hair,0,A45D|A61K|A61Q
12233146,2025-02-25,Process for dyeing keratin fibers using a direct dye and a saccharinate salt and composition comprising them,0,A61K|A61Q
12226649,2025-02-18,Skin contouring using photo-responsive materials,0,A61K|A61N|A61Q|G06T
12226514,2025-02-18,Cosmetic compositions capable of forming a multilayer structure after application to a keratinous material,0,A61K|A61Q
12226513,2025-02-18,Cosmetic composition containing a rheological-modifying and stabilizing polymer blend,0,A61K|A61Q
12226509,2025-02-18,Cosmetic composition comprising a pasty fatty substance and a non-ionic derivative of hydrophobic-modified cellulose,0,A61K|A61Q
12226506,2025-02-18,Cosmetic composition comprising natural emulsifiers and thiopyridinone compounds,0,A61K|A61Q
12226502,2025-02-18,"Dyeing composition comprising a specific anthraquinone cationic direct dye, a cationic surfactant, an amphoteric or zwitterionic surfactant and a fatty alcohol",0,A61K|A61Q
12220475,2025-02-11,Pectin based firming system for antiaging skin care and makeups,0,A61K|A61Q
12208154,2025-01-28,"Fatty-oil-free, low-friction cleanser with high-foaming properties",0,A61K|A61Q
12208151,2025-01-28,Hair treatment composition,0,A61K|A61Q
12201207,2025-01-21,Hair treatment method,0,A45D|A61K|A61Q|B05B
12194125,2025-01-14,"Hair cosmetic compositions containing cationic compounds, acrylate-based polymers, fatty compounds, and aminofunctionalized silicones",0,A61K|A61Q
