patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428420,2025-09-30,Tricyclic heterocycles as FGFR inhibitors,0,A61K|A61P|C07D
12427154,2025-09-30,"Salts of 2-fluoro-n-methyl-4-[7-(quinolin-6-yl-methyl)-imidazo[1,2-b][1,2,4]triazin-2-yl]benzamide and processes related to preparing the same",0,A61K|A61P|C07D
12421197,2025-09-23,Aminopyrazine derivatives as PI3K-γ inhibitors,0,A61P|C07D|C07F
12415809,2025-09-16,Pyrrolotriazine compounds as tam inhibitors,0,A61K|A61P|C07D
12396993,2025-08-26,Ruxolitinib formulation for reduction of itch in atopic dermatitis,0,A61K|A61P
12384778,2025-08-12,Pyrazolopyridine compounds and uses thereof,0,A61P|C07D|Y02A
12383541,2025-08-12,ALK2 inhibitors for the treatment of anemia,0,A61K|A61P
12378243,2025-08-05,Quinoline compounds as inhibitors of KRAS,0,A61K|A61P|C07D
12365668,2025-07-22,Aminopyrazine diol compounds as PI3K-y inhibitors,0,A61P|C07B|C07D
12360120,2025-07-15,Biomarkers for graft-versus-host disease,0,A61K|G01N
12358983,2025-07-15,Combination of anti CD19 antibody with a BCL-2 inhibitor and uses thereof,0,A61K|A61P|C07K
12336998,2025-06-24,JAK1 pathway inhibitors for the treatment of cytokine-related disorders,0,A61K|A61P|C07K
12331063,2025-06-17,Hetero-bicyclic inhibitors of KRAS,0,A61P|C07D
12318389,2025-06-03,Formulations of an AXL/MER inhibitor,0,A61K|A61P|C07B
12312331,2025-05-27,Imidazolyl pyrimidinylamine compounds as CDK2 inhibitors,0,A61P|C07D|C12Q
12280054,2025-04-22,Treatment of hidradenitis suppurativa using JAK inhibitors,0,A61K|A61P
12268667,2025-04-08,JAK1 pathway inhibitors for the treatment of prurigo nodularis,0,A61K|A61P|C07K
12247038,2025-03-11,"Pyrido[3,2-d]pyrimidine compounds as immunomodulators",1,A61K|A61P|C07D
12247026,2025-03-11,Heterocyclic compounds as immunomodulators,1,A61P|C07D
12247020,2025-03-11,Bipyrazole derivatives as JAK inhibitors,0,A61P|C07D
12233067,2025-02-25,Topical treatment of vitiligo by a JAK inhibitor,0,A61K|A61P
12227502,2025-02-18,"1H-pyrrolo[2,3-c]pyridin-7(6H)-ones and pyrazolo[3,4-c] pyridin-7(6H)-ones as inhibitors of BET proteins",0,A61K|A61P|C07D
12226419,2025-02-18,Topical formulation for a JAK inhibitor,0,A61K|A61P
12226418,2025-02-18,Dosing regimen for the treatment of PI3K related disorders,0,A61K|A61P|C07K
12214036,2025-02-04,Combination therapy comprising AXL/MER and PD-1/PD-L1 inhibitors,1,A61K|A61P|C07K
12203942,2025-01-21,Biomarkers for graft-versus-host disease,0,A61K|G01N
12201636,2025-01-21,Heterocyclylamines as PI3K inhibitors,0,A61K|A61P|C07D
12194095,2025-01-14,Combinations and uses thereof,0,A61K|A61P|C07D|C07K
12187743,2025-01-07,Heterocyclic compounds as immunomodulators,0,A61P|C07D
12187730,2025-01-07,Salts of TAM inhibitors,1,A61P|C07B|C07D
12187725,2025-01-07,Tricyclic urea compounds as JAK2 V617F inhibitors,0,A61P|C07B|C07D
12173006,2024-12-24,Crystalline forms of a phosphoinositide 3-kinase (PI3K) inhibitor,0,A61P|C07B|C07D
12168660,2024-12-17,Derivatives of an FGFR inhibitor,0,A61K|A61P|C07D
12152033,2024-11-26,Use of pyrazolopyrimidine derivatives for the treatment of PI3K-δ related disorders,0,A61K|A61P|C07D|Y02A
12151026,2024-11-26,Sustained release dosage forms for a JAK1 inhibitor,0,A61K|A61P
12150943,2024-11-26,JAK1 pathway inhibitors for the treatment of gastrointestinal disease,0,A61K|A61P
12129267,2024-10-29,Heteroaryl amide compounds as sting activators,0,A61P|C07D
12122767,2024-10-22,Bicyclic heterocycles as FGFR inhibitors,0,A61K|C07D
12099068,2024-09-24,Biomarkers for graft-versus-host disease,0,A61K|A61P|G01N
12084453,2024-09-10,Bicyclic amines as CDK12 inhibitors,0,A61P|C07D
12084449,2024-09-10,Imidazotriazines and imidazopyrimidines as kinase inhibitors,0,A61K|A61P|C07D
12084430,2024-09-10,Tricyclic urea compounds as JAK2 V617F inhibitors,0,A61P|C07D
12083124,2024-09-10,Bicyclic heterocycles as FGFR inhibitors,1,A61K|A61P|C07D
