patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12390541,2025-08-19,Mutant variants of PD-1 receptor with selective binding to PD-L1 and uses thereof,0,A61K|A61P|C07K
12298308,2025-05-13,Neoadjuvant chemotherapy induces breast cancer metastasis through a TMEM-mediated mechanism,0,A61K|G01N
12291504,2025-05-06,Small molecule inhibition of sulfotransferase SULT1A3,0,A61K|A61P|C07D
12263203,2025-04-01,BTNL9 and ERMAP as novel inhibitors of the immune system for immunotherapies,0,A61K|A61P|C07K
12258304,2025-03-25,Compounds and methods for treatment of bacterial infections,0,A61P|C07C|C07D
12253524,2025-03-18,Methods and compositions for determining the functional activity of DNA double strand break repair pathway molecules for assessing germline risk of cancer,0,C12Q|G01N
12252538,2025-03-18,Monoclonal antibodies against IgV domain of B7-H3 and uses thereof,0,C07K
12221489,2025-02-11,Antibodies to human B7x for treatment of metastatic cancer,0,A61K|C07K|G01N
12209117,2025-01-28,Monoclonal antibodies and cocktails for treatment of Ebola infections,0,A61K|A61P|C07K
12202888,2025-01-21,High-affinity Mycobacterium tuberculosis capsule-specific human monoclonal antibody,0,A61K|C07K|G01N
12186435,2025-01-07,Sol-gel/hydrogel therapeutic delivery system and methods thereof,0,A61K|B01J
12186383,2025-01-07,"Antibodies or antibody-fragments thereof targeting alphaviruses, and compositions and methods comprising same",0,A61K|A61P|C07K|C12N|Y02A
12174190,2024-12-24,Combined markers for metastatic cancer and uses thereof,0,G01N|G06T|G16H
12173073,2024-12-24,Methods of treatment by targeting VCAM1 and MAEA,0,A61K|A61P|C07K
12162926,2024-12-10,Multi-specific antibodies for cross-neutralization of multiple filovirus glycoproteins,0,A61K|C07K
12151019,2024-11-26,Compositions for blood storage and transfusions,0,A61K|A61P
12150986,2024-11-26,HSV-2-delta-gD vaccines and methods for their production and use,0,A61K|C07K|C12N
12145989,2024-11-19,"Antagonist antibodies against human immune checkpoint CEACAM1 (CD66a) and formulations, kits, and methods of use thereof",0,A61K|C07K|G01N
12134645,2024-11-05,Monoclonal antibodies against human tim-3,0,A61K|C07K
12121743,2024-10-22,Non-invasive optogenetic stimulation method to regulate glucose metabolism in the liver and brown adipose tissue,0,A01K|A61K|A61N|C12N
12098391,2024-09-24,Generation of hepatocytes from pluripotent stem cells,0,A61K|C12N
12090180,2024-09-17,Microbial hyperswarmers and uses thereof,0,A61K|A61P|C12N|G01N|Y02A
12070493,2024-08-27,Double auxotrophic mycobacterium and uses thereof,0,A61K|A61P|C12N|C12Q
12059493,2024-08-13,Transdermal delivery formulations,0,A61K|A61P
12055547,2024-08-06,"TMEM active test and uses thereof in diagnosis, prognosis and treatment of tumors",0,C07K|G01N
12016845,2024-06-25,BAX activators and uses thereof in cancer therapy,0,A61K|A61P
12011619,2024-06-18,Low intensity focused ultrasound for treating cancer and metastasis,0,A61B|A61K|A61N|A61P
11987805,2024-05-21,"Attb cell line, transgenic cell lines derived therefrom, and methods of making the same",0,C07K|C12N|C12Q|Y02A
11986886,2024-05-21,Rapid synthesis of metal nanoparticles,0,A61K|B22F|B82Y
11938128,2024-03-26,Small molecule BAX inhibitors and uses thereof,0,A61K|C07D
11920159,2024-03-05,Methods for expanding hematopoietic stem cells using revitalized mesenchymal stem cells,0,A61K|C12N
11905322,2024-02-20,Engineered PD-1 variants,0,A61K|A61P|C07K|C12N
11834424,2023-12-05,Compounds useful as chaperone-mediated autophagy modulators,0,A61P|C07D
11813268,2023-11-14,Mitofusin activators and uses thereof,0,A61K|A61P
11802875,2023-10-31,Method for treating neoadjuvant chemotherapy-induced metastasis,1,A61K|C12Q|G01N
11786712,2023-10-17,Nitric oxide-releasing device,0,A61K|A61M
11786561,2023-10-17,Approach to sustained production and delivery of nitric oxide and s-nitrosothiols,0,A23L|A61K|A61P|Y02A
11786456,2023-10-17,Transdermal delivery formulations,0,A61K|A61P|Y02A
11781173,2023-10-10,RNA tagging system for visualization of single mRNA molecules,0,C12Q
11760780,2023-09-19,Targeting dimerization of BAX to modulate BAX activity,0,A61K|A61P|C07K|G01N
11732053,2023-08-22,Methods of treatment by targeting VCAM1 and MAEA,0,A61K|A61P|C07K
11724998,2023-08-15,PXR agonists and uses thereof for gut barrier dysfunction treatment and prevention,0,A61K|A61P|C07D
11712425,2023-08-01,Immunoregulatory role of 3-OH-kynurenamine and uses thereof,0,A61K|A61P
11684670,2023-06-27,Methods of using HSV-2 single cycle virus delta-gD and HSV-2 recombinant glycoprotein D,0,A61K|A61P|C12N
11666648,2023-06-06,Double auxotrophic Mycobacterium and uses thereof,0,A61K|A61P|C12N|C12Q
11650206,2023-05-16,Methods and compositions for assessing germline risk of cancer,0,C12Q|G01N
11643455,2023-05-09,High-affinity Mycobacterium tuberculosis capsule-specific human monoclonal antibody,0,A61K|C07K|G01N
11596656,2023-03-07,Stem cell-produced microvesicles for treating tendon pathologies,0,A61K|C12N
11591324,2023-02-28,Retinoic acid receptor antagonists as chaperone-mediated autophagy modulators and uses thereof,0,C07B|C07C|C07D|G01N
11560433,2023-01-24,Methods of treatment by targeting VCAM1 and MAEA,0,A61K|A61P|C07K
11518779,2022-12-06,Inhibitors of DNMT1 as anticancer therapeutic agents,0,A61P|C07H
11484493,2022-11-01,Transdermal delivery formulations,5,A61K|A61P|Y02A
11478527,2022-10-25,FGF receptor ligands for treating diabetes and obesity,0,A61K|A61P
11466276,2022-10-11,Stem-loop compositions and methods for inhibiting factor D,0,A61K|C12N
11459308,2022-10-04,Broad spectrum inhibitors of filoviruses,0,A61K|A61P|C07D
11435355,2022-09-06,Residue-based pharmacophore method for identifying cognate protein ligands,0,G01N|G06F|G16B
11407817,2022-08-09,Monoclonal antibodies and cocktails for treatment of Ebola infections,1,A61K|A61P|C07K
11407816,2022-08-09,Monoclonal antibodies and cocktails for treatment of Ebola infections,1,A61K|A61P|C07K
11407806,2022-08-09,Precision activation of HIV-specific CTLS to eliminate reactivated latent T cells,0,A61K|A61P|C07K|C12N
11397180,2022-07-26,Methods and compositions for rapid functional analysis of gene variants,0,G01N
11396538,2022-07-26,"Antibodies to centrin-1, methods of making, and uses thereof",0,A61K|A61P|C07K
11382919,2022-07-12,Prevention and treatment of viral infections,0,A61K|A61P
11382898,2022-07-12,BAX activators and uses thereof in cancer therapy,0,A61K|A61P
11377494,2022-07-05,"Antagonist antibodies against human immune checkpoint CEACAM1 (CD66a) and formulations, kits, and methods of use thereof",1,A61K|C07K|G01N
11352413,2022-06-07,Engineered PD-1 variants,0,A61K|A61P|C07K|C12N
11339201,2022-05-24,"Variant PD-L1 polypeptides, T-cell modulatory multimeric polypeptides, and methods of use thereof",1,A61K|A61P|C07K
11298327,2022-04-12,Methods and compositions for treating and preventing arthritis,0,A61K|A61P
11279728,2022-03-22,Broad spectrum viral inhibitor,1,A61P|C07H
11261253,2022-03-01,HHLA2 as a novel inhibitor of human immune system and uses thereof,0,C07K
11254732,2022-02-22,Monoclonal antibodies and cocktails for treatment of Ebola infections,1,A61K|A61P|C07K
11242379,2022-02-08,Monoclonal antibodies and cocktails for treatment of Ebola infections,1,A61K|A61P|C07K
11242378,2022-02-08,Monoclonal antibodies and cocktails for treatment of Ebola infections,1,A61K|A61P|C07K
11226339,2022-01-18,Methods for high throughput receptor:ligand identification,1,G01N
11213577,2022-01-04,Treatment of cancer using recall antigens delivered by attenuated bacteria,0,A61K|A61P|C07K|C12N|Y02A
11174308,2021-11-16,Synthetic antibodies to BAX and uses thereof,0,A61K|C07K|G01N
11169154,2021-11-09,Phosphocofilin: cofilin co-localization intensity as a predictor of metastatic recurrence,0,C07K|G01N
11149080,2021-10-19,Methods of treating filovirus infections utilizing bispecific antibodies and fusion proteins that bind EBOV and NPC1,0,A61K|A61P|C07K|C12N
11141441,2021-10-12,Microbial hyperswarmers and uses thereof,0,A61K|A61P|C12N|G01N|Y02A
11137397,2021-10-05,Peptides for blocking IL1RAP protein-protein interaction and uses thereof for treatment of disease,0,A61K|A61P|C07K|G01N
11135292,2021-10-05,Multi-specific antibodies for cross-neutralization of multiple filovirus glycoproteins,1,A61K|C07K
11114184,2021-09-07,DNA methyltransferase 1 transition state structure and uses thereof,0,C12N|C12Q|C12Y|G16B|G16C
11098021,2021-08-24,Phenylsulfonamido-benzofuran derivatives and uses thereof in the treatment of proliferative diseases,0,A61K|A61P|C07D
11092591,2021-08-17,Host and intestinal microbiota derived metabolomic blood plasma signature for prior radiation injury,0,G01N|G01T
