patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428496,2025-09-30,"Antibodies, compositions for use in detecting or capturing a polypeptide in a sample, and methods for detecting or capturing a polypeptide in a sample",0,C07K|G01N
12421322,2025-09-23,Antibody variant and isoform with lowered biological activity,0,A61K|C07K|G01N
12415857,2025-09-16,Anti-CTLA-4 antibody and use thereof,0,A61K|A61P|C07K
12415835,2025-09-16,Peptide-compound cyclization method,0,A61K|C07H|C07K|C12P|C40B|Y02P
12410212,2025-09-09,Cyclic compound having selective KRAS inhibitory effect on HRAS and NRAS,0,A61K|A61P|C07K
12410168,2025-09-09,Pyrazolopyridine derivative having GLP-1 receptor agonist effect,0,A61K|A61P|C07D|Y02A
12404299,2025-09-02,Method for producing peptide compound comprising highly sterically hindered amino acid,0,C07K
12391971,2025-08-19,Method for synthesizing peptides in cell-free translation system,0,C07H|C07K|C12N|C12P|C12Y|Y02P
12379357,2025-08-05,Method for quantifying amino group-containing compound protected by protecting group having Fmoc skeleton,0,G01N|Y02P
12377143,2025-08-05,"Multiple antigen binding molecular fusion, pharmaceutical composition, method for identifying linear epitope, and method for preparing multiple antigen binding molecular fusion",0,A61K|A61P|C07K|C12N|C12P
12371511,2025-07-29,Heterodimerized polypeptide,0,C07K|G01N
12371485,2025-07-29,Antigen-binding molecule inducing immune response to target antigen,0,A61K|A61P|C07K
12371483,2025-07-29,Cross-species anti-latent TGF-beta 1 antibodies and methods of use,0,A61K|A61P|C07K
12371454,2025-07-29,Cyclic peptide compound having Kras inhibitory action,0,A61K|A61P|C07C|C07D|C07F|C07K
12359001,2025-07-15,Method for producing polypeptide hetero-oligomer,0,C07K|G01N
12344859,2025-07-01,Method of introducing target-specific foreign gene,0,C07K|C12N
12331072,2025-06-17,"Deprotection method and resin removal method in solid-phase reaction for peptide compound or amide compound, and method for producing peptide compound",0,C07C|C07K|Y02P
12331050,2025-06-17,Pyrazolopyridine derivative having GLP-1 receptor agonist effect,0,A61K|A61P|C07D|Y02A
12331049,2025-06-17,Pyrazolopyridine derivative having GLP-1 receptor agonist effect,0,A61K|A61P|C07D|Y02A
12312379,2025-05-27,Methods for producing cyclic compounds comprising N-substituted amino acid residues,0,C07B|C07K
12304960,2025-05-20,Anti-CD137 antigen-binding molecule and utilization thereof,0,A01K|A61K|A61P|C07K|C12N
12281141,2025-04-22,Method for synthesizing peptide containing N-substituted amino acid,0,C07K|Y02P
12269876,2025-04-08,Modified Fc region of antibody,0,A61P|C07K
12252532,2025-03-18,Anti-myostatin antibodies and methods of use,0,A61K|A61P|C07K
12235261,2025-02-25,Method for measuring cellular uptake of molecules,0,G01N
12234573,2025-02-25,Library of antigen-binding molecules including modified antibody variable region,0,A61K|A61P|C07K|C12N|C40B
12209121,2025-01-28,Anti-sclerostin antibodies and methods of use,0,A61K|A61P|C07K
12209109,2025-01-28,Method for preparing a composition comprising highly concentrated antibodies by ultrafiltration,0,A61K|B01D|C07K
12195528,2025-01-14,Ligand-binding molecule having adjustable ligand-binding activity,0,A61K|A61P|C07K
12187786,2025-01-07,"Anti-dengue virus antibodies, polypeptides containing variant Fc regions, and methods of use",0,A61K|A61P|C07K|Y02A
12187724,2025-01-07,Pyrazolopyridine derivative having GLP-1 receptor agonist effect,0,A61K|A61P|C07D|Y02A
12171830,2024-12-24,Anti-IL-31RA antibody-containing formulations,0,A61K|A61P|C07K
12169205,2024-12-17,"Anti-myostatin antibodies, polypeptides containing variant fc regions, and methods of use",0,A61K|A61P|C07K|C12N|G01N
12168697,2024-12-17,"Bispecific antibodies which bind blood coagulation factor VIII and have enhanced activity, and methods of use thereof for treating bleeding and associated conditions",0,C07K
12163134,2024-12-10,Modified aminoacyl-tRNA synthetase and use thereof,1,C12N|C12P
12145978,2024-11-19,Composition comprising an antibody,0,A61P|C07K|C12N
