patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428377,2025-09-30,Sodium-hydrogen exchanger 3 inhibitor compounds,0,A61K|A61P|C07D
12419964,2025-09-23,Antibody drug conjugate (ADC) targeting Nectin 4 and comprising an exatecan payload,0,A61K|A61P|C07K
12410227,2025-09-09,Incretin analogs and uses thereof,0,A61K|A61P|C07K
12404298,2025-09-02,Glucocorticoid receptor agonists,0,A61P|C07J
12371465,2025-07-29,Incretin analogs and uses thereof,0,A61K|A61P|C07K
12365716,2025-07-22,Incretin analogs and uses thereof,0,A61K|A61P|C07K
12358965,2025-07-15,Relaxin analogs and methods of using the same,0,A61K|A61P|C07K
12351591,2025-07-08,KRas inhibitors,0,A61P|C07B|C07D
12344584,2025-07-01,KCNQ potentiators,0,A61P|C07D
12343382,2025-07-01,Methods of using a GIP/GLP1 co-agonist for therapy,0,A61K|A61P
12329939,2025-06-17,Devices for reconstituting and delivering lyophilized drugs,0,A61J|A61K|A61M
12329762,2025-06-17,Pharmaceutical preparation for improving absorption and postprandial hypoglycemic action of insulin,0,A61K|A61P|C07D|C07K
12319658,2025-06-03,Pyrimidine-5-carboxamide compound,0,A61P|C07D
12304938,2025-05-20,Processes and intermediates for preparing tirzepatide,0,C07K
12295987,2025-05-13,Method of using a GIP/GLP1 co-agonist for diabetes,0,A61K|A61P
12269857,2025-04-08,Protein tyrosine-tyrosine analogs and methods of using the same,0,A61K|A61P|C07K
12252524,2025-03-18,GIP/GLP1 co-agonist compounds,0,A61K|A61P|C07K
12252491,2025-03-18,IL-17A inhibitors,0,A61P|C07B|C07D
12241849,2025-03-04,Methods of determining protein or peptide concentration and uses thereof,0,G01N|G01R
12241077,2025-03-04,Adeno-associated virus (AAV) systems for treatment of genetic hearing loss,0,A61K|C07H|C12N
12227538,2025-02-18,Glucocorticoid receptor agonists,0,A61P|C07J
12209086,2025-01-28,FGFR3 inhibitor compounds,0,A61P|C07D
12180270,2024-12-31,Anti-ANGPTL 3/8 complex antibodies and methods of using the same,0,A61B|A61K|A61P|C07K
12162905,2024-12-10,Carboxy substituted glucocorticoid receptor agonists,0,A61P|C07J
12152072,2024-11-26,Methods of treating ulcerative colitis with an anti-IL-23p19 antibody,0,A61K|A61P|C07K
12145972,2024-11-19,Neuregulin-4 compounds and methods of use,0,A61K|A61M|A61P|C07K
12145924,2024-11-19,Lysophosphatidic acid receptor 1 (LPAR1) inhibitor compounds,0,A61P|C07D
12138254,2024-11-12,Chronic nightly dosing of lasmiditan for migraine prevention,0,A61K|A61P
12128040,2024-10-29,Selective estrogen receptor degraders,0,A61K|A61P|C07D
12122750,2024-10-22,AT2R antagonists and uses thereof,0,A61P|C07D
12115210,2024-10-15,Long acting amylin receptor agonists and uses thereof,0,A61K|A61P|C07K|Y02A
