patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428430,2025-09-30,Oxabicyclo acids as LPA antagonists,0,A61K|A61P|C07D
12421278,2025-09-23,Immunomodulators,0,A61K|A61P|C07D|C07K|Y02A
12421230,2025-09-23,Tricyclic heteroaryl compounds useful as IRAK4 inhibitors,0,A61K|A61P|C07D
12421195,2025-09-23,Amorphous and crystalline forms of IDO inhibitors,0,A61K|A61P|C07B|C07D
12419953,2025-09-23,Methods of treatment or prevention of immune responses and inflammatory diseases with antagonistic CD40 monoclonal antibodies,0,A61K|A61P|C07K|C12N
12410457,2025-09-09,Use of rosmarinic acid in cell bioproduction,0,C12N|C12P|C12Q
12409223,2025-09-09,Antagonistic CD40 monoclonal antibodies and uses thereof,0,A61K|A61P|C07K|C12N
12404239,2025-09-02,Modulators of BCL6 as ligand directed degraders,0,A61P|C07D
12403174,2025-09-02,Immunomodulators,0,A61K|A61P|C07K
12391702,2025-08-19,"Benzo[5,6][1,4]dioxino[2,3-b]pyridine compounds useful as IRAK4 inhibitors",0,A61P|C07D
12385913,2025-08-12,Methods for detecting anti-drug antibodies,0,G01N
12384768,2025-08-12,Isoxazole carboxylic acids as LPA antagonists,0,A61P|C07D
12384760,2025-08-12,Substituted carbazole compounds,0,A61P|C07D
12379345,2025-08-05,Method of purity determination by capillary electrophoresis,0,G01N
12372536,2025-07-29,Tumor necrosis factor-like ligand 1A specific antibodies and compositions and uses thereof,0,A61P|C07K|G01N
12365667,2025-07-22,Sulfone pyridine alkyl amide-substituted heteroaryl compounds,0,A61K|A61P|C07D|C07F
12357965,2025-07-15,Supramolecular filamentous assemblies for protein purification,0,B01D|B01J|C07K
12331045,2025-06-17,Substituted phenyl oxazolone compounds,0,A61K|A61P|C07B|C07D
12325875,2025-06-10,Metabolic enzyme activity and disulfide bond reduction during protein production,0,A61K|C07K|C12P|C12Q|C12Y|G01N
12312403,2025-05-27,Antibodies against TIM3 and uses thereof,0,A61K|A61P|C07K|G01N
12312395,2025-05-27,Methods of AAV therapy,0,C07K|G01N
12304916,2025-05-20,Thienopyridinyl and thiazolopyridinyl compounds useful as IRAK4 inhibitors,0,A61P|C07D
12304914,2025-05-20,"Pyrazolo[3,4-d]pyrrolo[1,2-b]pyridazinyl compounds useful as IRAK4 inhibitors",0,A61P|C07D
12291522,2025-05-06,Galectin-3 inhibitors,0,A61P|C07D|C07H
12291517,2025-05-06,"Crystalline form of 6-(cyclopropanecarboxamido)-4-((2-methoxy-3-(1-methyl-1H-1,2,4-triazol-3-yl)phenyl)amino)-n-(methyl-D3) pyridazine-3-carboxamide",0,A61P|C07B|C07D
12290570,2025-05-06,"Antibody comprising a glutamine-containing light chain C-terminal extension, conjugates thereof, and methods and uses",0,A61K|C07K
12286428,2025-04-29,Tricyclic heteroaryl compounds useful as IRAK4 inhibitors,0,A61P|C07D
12286424,2025-04-29,Small molecule inhibitors of galectin-3,0,A61P|C07D|C07H
12281108,2025-04-22,Pyrrolidinone derivatives as formyl peptide 2 receptor agonists,0,A61P|C07D
12281085,2025-04-22,"Bisfluoroalkyl-1,4-benzodiazepinone compounds and methods of use thereof",0,A61K|A61P|C07D
12275721,2025-04-15,Indazole carboxamides as kinase inhibitors,0,A61P|C07D
12275720,2025-04-15,Small molecule inhibitors of galectin-3,0,A61P|C07B|C07D|C07H
12275719,2025-04-15,Small molecule inhibitors of galectin-3,0,A61P|C07D|C07H
12247058,2025-03-11,"Nucleic acids encoding modified FGF-21 polypeptides, vectors and cells containing, and use thereof",0,A61K|A61P|C07K
12241107,2025-03-04,Method of controlling the pink color generated during antibody manufacturing,0,C07K|C12N|C12P
12241065,2025-03-04,Antisense oligonucleotides targeting alpha-synuclein and uses thereof,0,A61K|C07K|C12N
12240840,2025-03-04,"Amide-substituted heterocyclic compounds for the treatment of conditions related to the modulation of IL-12, IL-23 and/or IFN-alpha",0,A61K|A61P|C07B|C07D
12234483,2025-02-25,Methods of decreasing the galactose content of a recombinant glycoprotein expressed in CHO cells,0,C12N|C12P
12227576,2025-02-18,Methods of treating a tumor using an anti-PD-1 antibody,0,A61K|A61P|C07K
12227575,2025-02-18,Combination of TIM-4 antagonist and PD-1 antagonist and methods of use,0,A61K|A61P|C07K
12226451,2025-02-18,FGF-21 formulations,0,A61K
12222356,2025-02-11,Cytokine profiling analysis,0,C07K|G01N
12209072,2025-01-28,Cyclopentyl acids as LPA antagonists,0,A61P|C07D
12202872,2025-01-21,Interleukin-2/interleukin-2 receptor alpha fusion proteins and methods of use,0,A61K|A61P|C07K|C12N|Y02A
12195535,2025-01-14,Antibodies binding to VISTA at acidic pH,0,A61K|A61P|C07K
12195444,2025-01-14,Triazole n-linked carbamoyl cyclohexyl acids as LPA antagonists,0,A61P|C07C|C07D
12194110,2025-01-14,PD-L1 binding polypeptides for imaging,0,A61K|C07K|C12N|G01N
12187723,2025-01-07,Substituted benzimidazolone compounds,0,A61P|C07D
12187699,2025-01-07,GSPT1 compounds and methods of use of the novel compounds,0,A61K|A61P|C07D
12180478,2024-12-31,Antisense oligonucleotides targeting alpha-synuclein and uses thereof,0,A61K|C12N
12174161,2024-12-24,Methods of measuring hydrophobicity of chromatographic resins,0,B01D|B82Y|C07K|G01N
12173069,2024-12-24,Antibodies binding to vista at acidic pH,0,A61K|C07K|Y02A
12172995,2024-12-24,Substituted indole and indazole compounds,0,A61P|C07D
12172975,2024-12-24,1H-indazole carboxamides as receptor-interacting protein kinase 1 inhibitors (RIPK1),0,A61P|C07B|C07D
12168655,2024-12-17,Apelin receptor agonists and methods of use,0,A61P|C07D
12162848,2024-12-10,"Inhibitors of protein tyrosine phosphatase, compositions, and methods of use",0,A61K|A61P|C07D
