patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12404500,2025-09-02,Homing endonuclease variants,0,C07K|C12N
12404325,2025-09-02,Anti IL-6 domain antibodies with fatty acid substituents,0,A61K|A61P|C07K
12396953,2025-08-26,Solid compositions comprising a GLP-1 agonist and a salt of N-(8-(2-hydroxybenzoyl)amino)caprylic acid,0,A61K|A61P|C07K
12364663,2025-07-22,Method and equipment for fractionation of granules for use in pharmaceutical compositions,0,A61K|B07B
12343383,2025-07-01,High concentration insulin formulation,0,A61K|A61P
12295988,2025-05-13,Semaglutide in medical therapy,0,A61K|A61P
12247985,2025-03-11,Methods of detecting transthyretin,0,A61K|C07K|G01N
12239739,2025-03-04,Oral dosing of GLP-1 compounds,0,A61K|A61P
12233114,2025-02-25,Method for treating diabetes,0,A61K|A61P
12227528,2025-02-18,Glucose-sensitive albumin-binding derivatives,0,A61K|C07F|C12Q|C40B|G01N
12226458,2025-02-18,System for providing an up-to-date and long-acting or ultra-long-acting insulin dose guidance recommendation to treat diabetes mellitus,0,A61B|A61K|A61P|G16H
12214017,2025-02-04,GLP-1 compositions and uses thereof,0,A61K|A61P
12152063,2024-11-26,Insulin analogues and uses thereof,0,A61K|A61P|C07K
12138349,2024-11-12,Process for spray drying a GLP-1 peptide,0,A61K|B01J|C07K
12122847,2024-10-22,Factor VII (FVII(a))/TREM-like transcript 1 (TLT-1) bispecific antibodies,0,A61K|A61P|C07K
12122818,2024-10-22,Insulin analogues and uses thereof,0,A61K|A61P|C07K
12116408,2024-10-15,Site directed mutagenesis of TREM-1 antibodies for decreasing viscosity,0,A61P|C07K
12116388,2024-10-15,Amylin receptor agonists,0,A61K|A61P|C07K
12098400,2024-09-24,Highly potent ISVD compounds capable of substituting for FVIII(A),0,A61K|C12N
12084512,2024-09-10,Procoagulant antibodies,0,A61K|A61P|C07K
12077561,2024-09-03,CNP compounds,0,A61K|C07K
12054528,2024-08-06,Co-agonists of the GLP-1 and amylin receptors,0,A61K|A61P|C07K
12036324,2024-07-16,Self-righting systems and related components and methods,1,A61B|A61J|A61K|A61M|A61N
12029779,2024-07-09,Semaglutide in medical therapy,1,A61K|A61P
12024542,2024-07-02,Mating factor alpha pro-peptide variants,0,C07K|C12P
12006344,2024-06-11,MIC-1 compounds and use thereof,0,A61K|A61P|C07K
11952574,2024-04-09,Compositions and methods for inhibiting transmembrane serine protease 6 (TMPRSS6) expression,0,A61P|C12N
11912759,2024-02-27,Anti-transthyretin antibodies,3,A61K|C07K
