patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421223,2025-09-23,Compounds and compositions for treating conditions associated with NLRP activity,0,A61P|C07D
12419894,2025-09-23,Ribociclib tablet,0,A61K|A61P
12419889,2025-09-23,Methods of treating chronic spontaneous urticaria using a bruton's tyrosine kinase inhibitor,0,A61K|A61P
12410255,2025-09-09,Natriuretic peptide receptor 1 antibodies and methods of use,0,A61K|A61P|C07K|C12N
12404261,2025-09-02,Compounds and compositions for treating conditions associated with cGAS,0,A61K|A61P|C07D
12390468,2025-08-19,"Crystalline forms of a succinate salt of 7-cyclopentyl-2-(5-piperazin-1-yl-pyridin-2-ylamino)-7H-pyrrolo[2,3-d]pyrimidine-6-carboxylic acid dimethylamide",0,A61K|A61P|C07B|C07D
12383601,2025-08-12,Chimeric antigen receptors and uses thereof,0,A61K|A61P|C07K|C12N
12383556,2025-08-12,Methods of treating Sjögren's syndrome using a Bruton's tyrosine kinase inhibitor,0,A61K|A61P
12378222,2025-08-05,NLRP3 inflammasome inhibitors,0,A61K|A61P|C07D
12378206,2025-08-05,Heteroaryl butanoic acid derivatives,0,A61K|A61P|C07D
12371510,2025-07-29,Process for concentration of antibodies and therapeutic products thereof,0,A61K|B01D|C07K
12371481,2025-07-29,Methods for treating age-related macular degeneration,0,A61B|A61K|A61P|C07K
12365692,2025-07-22,"6-hydroxy-8-oxatricyclo[3.2.1.02,4]octane-2-carboxamide derivatives for inducing chondrogenesis for treating joint damage",0,A61K|A61P|C07D
12365690,2025-07-22,"Methyl (R)-2-(fluoromethyl)-5-oxo-4-phenyl-4,5,6,7-tetrahydro-1H-cyclopenta[B]pyridine-3-carboxylate and methyl 2-(fluoromethyl)-5-oxo-4-phenyl-1,4,5,7-tetrahydrofuro[3,4-b]pyrodine-3-carboxylate as Cav1.2 activators",0,A61P|C07B|C07D
12358929,2025-07-15,NMDA receptor modulators and uses thereof,0,A61P|C07D
12358906,2025-07-15,Urea compounds and compositions as SMARCA2/BRM ATPase inhibitors,0,A61K|C07D
12357630,2025-07-15,Ceritinib formulation,0,A61K|A61P
12344657,2025-07-01,"CD20 therapies, CD22 therapies, and combination therapies with a CD19 chimeric antigen receptor (CAR)-expressing cell",0,A61K|A61P|C07K|C12N
12344651,2025-07-01,CD19 and CD22 chimeric antigen receptors and uses thereof,0,A61K|C07K|C12N
12343344,2025-07-01,Pharmaceutical combination comprising TNO155 and ribociclib,0,A61K|A61P
12338290,2025-06-24,Regimens and methods of treating multiple sclerosis using ofatumumab,0,A61K|A61P|C07K
12338287,2025-06-24,Treatment of cancer using a CD33 chimeric antigen receptor,0,A61K|A61P|C07K
12338220,2025-06-24,Antiviral pyrazolopiridinone compounds,0,A61P|C07D
12331104,2025-06-17,Hepatitis B antibodies,0,A61K|A61P|C07K
12331060,2025-06-17,N-substituted tetrahydrothienopyridine derivatives and uses thereof,0,A61K|A61P|C07C|C07D|Y02A
12325870,2025-06-10,"Solubilized apyrases, methods and use",0,A61K|C12N|C12Y
12312353,2025-05-27,Piperidinyl-methyl-purineamines as NSD2 inhibitors and anti-cancer agents,0,A61P|C07D
12296008,2025-05-13,Pharmaceutical products and stable liquid compositions of IL-17 antibodies,0,A61K|A61P|C07K|H04L
12286423,2025-04-29,"Antiviral 1,3-di-oxo-indene compounds",0,A61K|A61P|C07D|Y02A
12285422,2025-04-29,Uses of piperidinyl-indole derivatives,0,A61K|A61P|Y02A
12281125,2025-04-22,Rapamycin derivatives,0,A61K|C07D
12280041,2025-04-22,Compounds and compositions for inducing chondrogenesis,0,A61K|A61L|A61P|C07D|C12N|Y02A
12275795,2025-04-15,Binding molecules against BCMA and uses thereof,0,A61K|A61P|C07K|C12N
