patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426594,2025-09-30,Cryoprotective compositions and methods for protection of a surgical site during cryosurgery,0,A01N|A61B|A61K|A61P
12416011,2025-09-16,Biocontainment/biocontrol system and methods,0,C07K|C12N
12414983,2025-09-16,CD200AR ligands for cancer immunotherapy,0,A61K|A61P
12391004,2025-08-19,Three dimensional placement of organisms,0,B01L|B29C|B33Y|C12N
12384830,2025-08-12,Compositions and methods for improving immunotherapy,0,A61K|A61P|C07K|C12N|G01N
12383655,2025-08-12,Methods of isolating and using descemet's membrane and compositions including isolated descemet's membrane,0,A61F|A61K|A61L|A61P|C12N
12383534,2025-08-12,Methods for treating cancer,0,A61K|A61P
12370256,2025-07-29,Activation of resident memory T cells for the treatment of cancer,0,A61K|A61P|C07K|Y02A
12369815,2025-07-29,Aldehyde and ketone receptor modification of graphene,0,A61B|B05D|C01B|G01N
12351797,2025-07-08,Adenovirus library and methods,0,C12N
12343397,2025-07-01,Drug-resistant immune cells and methods of use thereof,0,A61K|A61P|C07K|C12N|C12Y
12329457,2025-06-17,Hyperspectral imaging for early detection of Alzheimer's disease,0,A61B|A61K|G01J|G01N
12325879,2025-06-10,Methods for predicting a response to bevacizumab or platinum-based chemotherapy or both in patients with ovarian cancer,0,C12Q|G01N|G16H
12325031,2025-06-10,Graphene-based dielectrophoresis sensor and method,0,B03C|G01N
12319737,2025-06-03,NK engager molecules and methods of use thereof,0,A61K|A61P|C07K
12295974,2025-05-13,Compositions and methods for transplantation of colon microbiota,0,A61K|A61P|Y02A
12295929,2025-05-13,Intravenous baclofen formulations and treatment methods,0,A61K|A61P
12281327,2025-04-22,Lymphohematopoietic engineering using CAS9 base editors,0,A61K|A61P|C12N
12281105,2025-04-22,Contraceptive compounds and methods,0,A61P|C07D
12274759,2025-04-15,Affibody proteins specific for B7-H3 (CD276),0,A61K|A61P|C07K|G01N
12270063,2025-04-08,Algal strain and methods for producing simple sugars,0,C12N|C12P|C12R|Y02E
12270050,2025-04-08,Human T cell derived from T cell-derived induced pluripotent stem cell and methods of making and using,0,A61K|C12N
12269887,2025-04-08,"Anti-canine CD16 polypeptides, anti-canine CD64 polypeptides, compositions including same, and methods of using",0,A61K|C07K|G01N
12234480,2025-02-25,Therapeutic methods involving modulating inflammasome activation of myeloid-derived suppressor cells,0,A61K|A61P|C12N
12233073,2025-02-25,Skin care formulations and skin cancer treatment,0,A61K|A61P
12221629,2025-02-11,Methods for producing fibroadipogenic progenitor cells,0,A61K|A61P|C12N|G01N
12221612,2025-02-11,Plants having increased oil quality,0,A01H|A23D|A61K|C12N|C12Y
12221593,2025-02-11,Compositions for facilitating the removal of a fingerprint,0,C08G|C09D|C11D|C12Y|D06L|D06M
12209140,2025-01-28,Therapeutics for the treatment of glaucoma,0,A61K|A61P|C07D|C07F|C07K
12187781,2025-01-07,Co-receptor affinity enhanced major histocompatibility class II molecules,0,C07K|C12N|G01N
12186349,2025-01-07,Compositions and methods for C. difficile treatment,0,A01N|A61K|A61P
12171785,2024-12-24,Pluripotent cells derived from bone marrow and methods for isolation,0,A61K|C12N|C12Y
12163173,2024-12-10,Highly efficient and tunable system for the incorporation of unnatural amino acids into proteins in Escherichia coli,0,C12N|C12P
12161755,2024-12-10,Sustained release device for treatment of Parkinson's disease and other disorders,0,A61K
12156908,2024-12-03,Virus like nanoparticle compositions and methods thereof,0,A61K|C07K|C12N
12152270,2024-11-26,Neurotransmitter transport in probiotics,0,A61K|C12Q|G01N
12139722,2024-11-12,Methods for generating and using organoids and tissue therein,0,C12N
12134751,2024-11-05,Bioactive protein-polymer compositions for stain removal,0,C08G|C09D|C11D|C12Y|D06L|D06M
12121567,2024-10-22,Methods to treat mucopolysaccharidosis type II or deficiency in iduronate-2-sulfatase using a recombinant adeno-associated virus (AAV) vector encoding iduronate-2-sulfatase,0,A61K|A61P|C12N|C12Y
12121288,2024-10-22,Combination tumor treatment,0,A61B|A61K|A61L|A61P
12109236,2024-10-08,"Manipulating ARID5B expression in immune cells to promote metabolism, survival, and function",0,A61K|C07K|C12N|Y02A
12098184,2024-09-24,G protein-coupled receptor (GPCR) ligand assay,0,C07K|G01N
12098182,2024-09-24,"Polypeptides, cells, and methods involving engineered CD16",0,A61K|A61P|C07K|C12N
12098118,2024-09-24,Analgesic and anti-addictive compositions for treatment of chronic pain and opioid addiction,0,A61K|A61P|C07C
12089574,2024-09-17,Humanized skeletal muscle,0,A01K|A61K|C12N
12084677,2024-09-10,Methods of recellularizing a tissue or organ for improved transplantability,0,A61L|A61P|C12N
12078700,2024-09-03,Spin resonance signal measurement using a modulated fictitious field,0,G01N|G01R
12077764,2024-09-03,Delivery of developmental regulators to plants for the induction of meristematic tissue with genetic alterations,0,A01H|C12N|C12Q
12071640,2024-08-27,Materials and methods for increasing gene editing frequency,0,C12N
