patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428670,2025-09-30,Methods and systems for analyzing nucleic acid molecules,0,C12N|C12Q
12385097,2025-08-12,Normalizing tumor mutation burden,0,C12Q|G16B|G16H
12359245,2025-07-15,Methods and systems for analyzing nucleic acid molecules,0,C12N|C12Q
12344902,2025-07-01,Microsatellite instability detection in cell-free DNA,0,C12Q|G16B
12340873,2025-06-24,Methods for multi-resolution analysis of cell-free nucleic acids,0,C12Q|G16B
12319968,2025-06-03,"Gene mutations and copy number alterations of EGFR, KRAS and MET",0,A61K|C07K|C12Q|G16B
12319961,2025-06-03,Methods and systems for detecting genetic variants,0,C12Q|G16B
12312634,2025-05-27,Methods and systems for analyzing nucleic acid molecules,0,C12N|C12Q
12291751,2025-05-06,Methods and systems for adjusting tumor mutational burden by tumor fraction and coverage,0,C12Q|G16B
12288598,2025-04-29,Computational modeling of loss of function based on allelic frequency,0,C12Q|G16B|G16H
12286672,2025-04-29,Methods and systems for detecting genetic variants,0,C12Q|G16B
12281354,2025-04-22,Systems and methods to detect rare mutations and copy number variation,0,C12Q|G16B
12258626,2025-03-25,Methods and systems for detecting genetic variants,0,C12Q|G16B
12252749,2025-03-18,Systems and methods to detect rare mutations and copy number variation,0,C12N|C12Q|G16B
12241128,2025-03-04,Methods for early detection of cancer,0,C12M|C12Q|G01N|G16B|G16H|Y02A
12241126,2025-03-04,Homologous recombination repair deficiency detection,0,A61P|C12Q|G16B|G16H
12234518,2025-02-25,Compositions and methods for analyzing DNA using partitioning and base conversion,0,C12N|C12Q
12116640,2024-10-15,Methods for early detection of cancer,0,C12M|C12Q|G01N|G16B|G16H|Y02A
12116624,2024-10-15,Systems and methods to detect rare mutations and copy number variation,0,C12Q|G16B
12110560,2024-10-08,Methods for monitoring residual disease,0,C12N|C12Q|G16B
12106825,2024-10-01,Computational modeling of loss of function based on allelic frequency,0,C12Q|G16B|G16H
12100482,2024-09-24,Methods for multi-resolution analysis of cell-free nucleic acids,0,C12Q|G16B
12098422,2024-09-24,Methods and systems for detecting genetic variants,0,C12Q|G16B
12098421,2024-09-24,Methods and systems for detecting genetic variants,0,C12Q|G16B
12094573,2024-09-17,Methods for multi-resolution analysis of cell-free nucleic acids,0,C12Q|G16B
12054783,2024-08-06,Systems and methods to detect rare mutations and copy number variation,0,C12N|C12Q|G16B
12054774,2024-08-06,Methods and systems for detecting genetic variants,0,C12Q|G16B
12049673,2024-07-30,Systems and methods to detect rare mutations and copy number variation,0,C12N|C12Q|G16B
12031186,2024-07-09,Homologous recombination repair deficiency detection,0,A61P|C12Q|G16B|G16H
12024746,2024-07-02,Methods and systems for detecting genetic variants,0,C12Q|G16B
12024745,2024-07-02,Methods and systems for detecting genetic variants,0,C12Q|G16B
11996202,2024-05-28,Cancer evolution detection and diagnostic,0,C12Q|G16B|G16H
11959139,2024-04-16,Methods and systems for detecting genetic variants,0,C12Q|G16B
11952616,2024-04-09,Methods and systems for analyzing nucleic acid molecules,0,C12N|C12Q
11946106,2024-04-02,Methods and systems to improve the signal to noise ratio of DNA methylation partitioning assays,0,C12N|C12Q
11946044,2024-04-02,Methods for isolating cell-free DNA,0,C12N|C12Q
11939636,2024-03-26,Methods and systems for improving patient monitoring after surgery,0,C12Q
11891653,2024-02-06,Compositions and methods for analyzing cell-free DNA in methylation partitioning assays,0,C12Q
11879158,2024-01-23,Systems and methods to detect rare mutations and copy number variation,0,C12N|C12Q|G16B
