patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426595,2025-09-30,Cell cryopreservation solution and method for cryopreserving cells,0,A01N|C12N
12417961,2025-09-16,Chip heat sink and nucleic acid extraction device,0,B01L|C12M|C12Q|H01L
12407934,2025-09-02,"Image acquisition system and method, and display panel processing device",0,B65G|G01B|G01N|H04N
12400486,2025-08-26,"Method and device for processing product manufacturing messages, electronic device, and computer-readable storage medium",0,B29C|G01N|G06F|G06Q|G06T|G07C|H01L|Y02P
12390807,2025-08-19,"Chip loading structure, analysis device, and analysis system",0,B01L|C12M|G01N
12352570,2025-07-08,"Cabin entry-and-exit structure of analysis device, analysis device and analysis system",0,B01L|G01B|G01N
12350636,2025-07-08,Gene sequencing chip and gene sequencing method,0,B01J|B01L|C12Q
12326412,2025-06-10,"Display substrates, display apparatuses and methods of detecting cracks in display substrates",0,G01N|G01R|G02F|H10K
12280369,2025-04-22,"Detection chip, using method for the same, and reaction system",0,B01L|C12Q|G01N
12267990,2025-04-01,Shielding cover and display device,0,A61K|A61P|C07D|G06F|H05K
12257582,2025-03-25,"Sample preliminary screening chip, specimen detecting method, and screening device",0,B01L|G01N
12236580,2025-02-25,"Detection method, electronic device and non-transitory computer-readable storage medium",0,G01N|G06T|G06V
12233411,2025-02-25,"Detection chip, method of using detection chip and reaction system",0,B01L|C12M|G01N
12233410,2025-02-25,"Microfluidic channel backplane and method of manufacturing the same, and microfluidic detection chip",0,B01L|G01N
12229943,2025-02-18,"Method and apparatus for acquiring images, and storage medium thereof",0,G01N|G02F|G06T
12223671,2025-02-11,Unmanned aerial vehicle and dimming device for a switchable glass,0,B64U|E06B|G01N|G06T
12218273,2025-02-04,"ULED chip, uLED substrate and method for manufacturing the same, el inspection method for uLED substrate, and el inspection apparatus",0,G01N|G01R|H01L|H10H
12140531,2024-11-12,Detection device and detection method,0,B01L|G01N
12100704,2024-09-24,"Display substrate, crack detection method thereof and display device",0,G01N|G09F|H01L|H10D
12092587,2024-09-17,Methods and devices for processing and retrieving defect information of product,0,G01N|G02F|G05B
