patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427131,2025-09-30,Stimulators and/or activators of soluble guanylate cyclase (sGC) in combination with an inhibitor of neutral endopeptidase (NEP inhibitor) and/or an angiotensin AII antagonist and the use thereof,0,A61K|A61P
12358877,2025-07-15,Synthesis of 4-amino-5-methyl-1H-pyridin-2(1H)-on (intermediate compound for the synthesis of the MR antagonist finerenone) from 2-chloro-5-methyl-4-nitro-pyridine-1-oxide using the intermediate compound 2-chloro-5-methyl-4-pyridinamine,0,A61P|C07D
12303573,2025-05-20,Formulation of contrast media and process of preparation thereof,0,A61K
12258323,2025-03-25,Dihydrooxadiazinones,0,A61K|A61P|C07D
12239630,2025-03-04,Carboxylic acid aromatic amides as antagonists of bradykinin B1 receptor,0,A61K|A61P|C07D
12202805,2025-01-21,"Process for preparing (5S)-{[2-(4-carboxyphenyl)ethyl] |2-(2-{|3-chloro-4'-(trifluoromethyl)biphenyl-4-yl]methoxy}phenyl)ethyl]aminol-5,6,7,8-tetrahydroquinoline-2-carboxylic acid and its crystalline forms for use as pharmaceutically active compound",0,A61K|A61P|C07D
12180227,2024-12-31,Diazabicyclic substituted imidazopyrimidines and their use for the treatment of breathing disorders,0,A61K|A61P|C07D
12152041,2024-11-26,Macrocyclic fluorine substituted indole derivatives,1,A61K|A61P|C07D
12144865,2024-11-19,Antibody drug conjugates with enzymatically cleavable groups,0,A61K|A61P
12138256,2024-11-12,Treatment of cardiopulmonary disorders,0,A61K|A61P
12059472,2024-08-13,Prodrugs of cytotoxic active agents having enzymatically cleavable groups,0,A61K|A61P|C07D
12053476,2024-08-06,"Compounds, compositions and methods for cancer patient stratification and cancer treatment",0,A61K|A61P|C07D|G01N
12023319,2024-07-02,Carboxylic acid aromatic amides,0,A61K|A61P|C07D
12006304,2024-06-11,"Substituted indazoles, methods for the production thereof, pharmaceutical preparations that contain said substituted indazoles, and use of said substituted indazoles to produce drugs",0,A61K|A61P|C07D|C07F
12006303,2024-06-11,"Substituted indazoles, methods for the production thereof, pharmaceutical preparations that contain said substituted indazoles, and use of said substituted indazoles to produce drugs",0,A61K|A61P|C07D|C07F
11998539,2024-06-04,Substituted aminoquinolones as DGKalpha inhibitors for immune activation,0,A61K|A61P|C07D
11992481,2024-05-28,Use of 2-substituted indazoles for the treatment and prophylaxis of autoimmune diseases,0,A61K|A61P
11976334,2024-05-07,Inhibitor of ATR kinase for use in a method of treating a hyper-proliferative disease,0,A61K|A61P|C12Q
11905270,2024-02-20,Carboxylic acid aromatic amides as antagonists of bradykinin B1 receptor,1,A61P|C07D
11897867,2024-02-13,"6-phenyl-4,5-dihydropyridazin-3(2H)-one derivatives as PDE3A and PDE3B inhibitors for treating cancer",0,A61P|C07D
11891404,2024-02-06,Substituted macrocyclic indole derivatives,1,A61K|A61P|C07D
11884660,2024-01-30,Substituted oxopyridine derivative,0,A01N|A61K|A61P|C07D
11814369,2023-11-14,High relaxivity gadolinium chelate compounds for use in magnetic resonance imaging,0,A61K|C07D
11806404,2023-11-07,Site specific homogeneous with KSP inhibitors,0,A61K|A61P|C07K
11795164,2023-10-24,"2-heteroaryl-3-oxo-2,3-dihydropyridazine-4-carboxamides for the treatment of cancer",0,A61K|A61P|C07D
11787797,2023-10-17,"4,5-annulated 1,2,4-triazolones",0,A61K|A61P|C07D|C12N|C12P|Y02A
11773070,2023-10-03,Dihydrooxadiazinones,2,A61K|A61P|C07D
11713304,2023-08-01,"2,4,5-trisubstituted 1,2,4-triazolones useful as inhibitors of DHODH",0,A61K|A61P|C07D|Y02A
11701347,2023-07-18,Use of 5-fluoro-4-(4-fluoro-2-methoxyphenyl)-N-{4-[(S-methylsulfonimidoyl)methyl]pyridin-2-yl}pyridin-2-amine for treating diffuse large B-cell lymphoma,0,A61K|A61P|C07D
11691986,2023-07-04,PTEFB inhibiting macrocyclic compounds,0,A61P|C07D
11690911,2023-07-04,Combination of ATR kinase inhibitors and PD-1/PD-L1 inhibitors,0,A61K|A61P|C07D
11685714,2023-06-27,Prodrugs of cytotoxic active agents having enzymatically cleavable groups,2,A61K|A61P|C07D
11684672,2023-06-27,Combinations of copanlisib with anti-PD-1 antibody,0,A61K|A61P|C07D
11684621,2023-06-27,Combination containing sGC stimulators and mineralocorticoid receptor antagonists,0,A61K|A61P
11667675,2023-06-06,MASP inhibitory compounds and uses thereof,0,A61K|A61P|C07K
11660351,2023-05-30,Antibody drug conjugates (ADCs) having enzymatically cleavable groups,2,A61K|A61P|C07K
11660301,2023-05-30,Combination of ATR kinase inhibitors with PARP inhibitors,0,A61K|A61P
11655297,2023-05-23,ILDR2 antagonists and combinations thereof,0,A61K|A61P|C07K
11643469,2023-05-09,Specific antibody-drug-conjugates (ADCs) with KSP inhibitors and anti-CD123-antibodies,0,A61K|A61P|C07K
11628433,2023-04-18,Metering device,0,B01L|G01N
11617751,2023-04-04,Pharmaceutical composition containing a tetrahydrofolic acid,0,A61K|A61P|B82Y
11591311,2023-02-28,"3-oxo-6-heteroaryl-2-phenyl-2,3-dihydropyridazine-4-carboxamides",0,A61K|A61P|C07D
11529356,2022-12-20,"2-(morpholin-4-yl)-1,7-naphthyridines",0,A61K|A61P|C07D|C07F
11524944,2022-12-13,2-phenylpyrimidine-4-carboxamides as AHR inhibitors,0,A61K|A61P|C07D
11524938,2022-12-13,Aromatic sulfonamide derivatives,0,A61P|C07C|C07D|C07F
11492358,2022-11-08,Macrocyclic indole derivatives,3,A61P|C07D
11491245,2022-11-08,Gadolinium chelate compounds for use in magnetic resonance imaging,0,A61K|C07D
11478554,2022-10-25,Antibody drug conjugates (ADCS) having enzymatically cleavable groups,4,A61K|A61P|C07K
11478451,2022-10-25,Macrocyclic chlorine substituted indole derivatives,3,A61K|A61P|C07D
11472803,2022-10-18,7-substituted 1-aryl-naphthyridine-3-carboxylic acid amides and use thereof,0,A61K|A61P|C07D
11459312,2022-10-04,"Sulphur substituted 3-oxo-2,3-dihydropyridazine-4-carboxamides",0,A61K|A61P|C07D
11447504,2022-09-20,Macrocyclic chlorine substituted indole derivatives,3,A61K|A61P|C07D
11433140,2022-09-06,Specific antibody drug conjugates (ADCs) having KSP inhibitors,0,A61K|A61P|C07K
11427578,2022-08-30,Substituted pyrrolopyridine-derivatives,0,A61K|C07D
11427553,2022-08-30,Dihydrooxadiazinones,4,A61K|A61P|C07D
11401278,2022-08-02,Macrocyclic indole derivatives,3,A61K|A61P|C07D
11365179,2022-06-21,"Method for the preparation of a 2,4,5-trisubstituted 1,2,4-triazolone",0,A61P|C07B|C07D
