patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12396940,2025-08-26,Additive composition for preventing vitamin C precipitation,0,A61K|A61Q
12364728,2025-07-22,Composition for reducing body fat comprising green tea extract containing gallocatechin gallate as an active ingredient and manufacturing method thereof,0,A61K|A61P
12337049,2025-06-24,Method for whitening skin using composition for skin whitening,0,A61K|A61Q
12311041,2025-05-27,Nanocapsules forming emulsion particles and emulsion composition including same,0,A61K|A61Q|B82Y
12290585,2025-05-06,Porous composite powder for adsorption of fine dust and method for manufacturing the same,0,A61K|A61Q
12274768,2025-04-15,"Cleaner base, cleaning composition including the same, and method of preparing the cleaning composition",0,A61K|A61Q
12252508,2025-03-18,Ginsenoside and anti-inflammatory composition comprising same,0,A23L|A61K|A61Q|C07H|C07J
12201707,2025-01-21,Nano-emulsion composition for tooth whitening and method for producing the same,0,A23L|A61K|A61Q|B82Y
12178837,2024-12-31,Composition for skin-whitening or preventing or improving skin wrinkles comprising green tea extract which has modified amounts of ingredients,0,A23L|A61K|A61Q
12128123,2024-10-29,Moldable composition for solid washing agent and method for molding the same,0,A61K|A61Q|C11D
12128117,2024-10-29,Method for manufacturing porous inorganic particle and light-reflecting composition comprising porous inorganic particle,0,A61K|A61Q|C01B|C01P
12115238,2024-10-15,Cosmetic composition in multiple emulsion formulation,0,A61K|A61Q
12104195,2024-10-01,Reelin/VEGF-C production/activation promoter and skin external composition using the same,0,A61K|A61P|A61Q|C07K|C12P
12097276,2024-09-24,Cosmetic composition comprising theasinensin A,0,A61K|A61Q
12090221,2024-09-17,"Composition for preventing gray hair, promoting black hair and preventing, improving or treating vitiligo or hypochromatism comprising fructose 1,6-bisphosphate or salt, solvate, stereoisomer or hydrate thereof as active ingredient",0,A61K|A61P|A61Q
12059412,2024-08-13,"Pharmaceutical composition containing (R)-N-[1-(3,5-difluoro-4-methanesulfonylamino-phenyl)-ethyl]-3-(2-propyl-6-trifluoromethylpyridin-3-yl)-acrylamide and method for inhibiting crystal formation thereof",0,A61K|A61P
12017974,2024-06-25,Adamantanecarboxylic acid benzyl amide derivative compound and skin whitening composition comprising same,0,A61K|A61P|A61Q|C07C
12011491,2024-06-18,"Sheet type mask gel composition, mask sheet comprising the same, and manufacturing method of mask sheet",0,A45D|A61K|A61M|A61Q
11998633,2024-06-04,Topical sol-gel composition for the treatment of dermatitis,0,A61K|A61P
11992541,2024-05-28,Nanoemulsion cosmetic composition and process for preparing same,0,A61K|A61Q|B82Y
11992471,2024-05-28,Reelin/VEGF-C production/activation promoter and skin external composition using the same,0,A61K|A61P
11975037,2024-05-07,"Composition for preventing, alleviating or treating burnout syndrome",0,A23L|A23V|A61K|A61P
11964044,2024-04-23,Phase change cosmetic composition,0,A61K|A61Q
11957709,2024-04-16,Oxygen gas sustained released nano-emulsion composition and method for producing the same,0,A61K|A61P|A61Q
11957669,2024-04-16,"Pharmaceutical composition containing (R)-N-[1-(3,5-difluoro-4-methansulfonylamino-phenyl)-ethyl]-3-(2-propyl-6-trifluoromethyl-pyridin-3-yl)-acrylamide",0,A61K|A61P
11938203,2024-03-26,Oil-dispersed composition and cosmetics for lip care using the same,0,A61K|A61Q
11938163,2024-03-26,Composition for improving respiratory health continuously exposed to particulate matter atmosphere,0,A23F|A23L|A23V|A61K|A61P
11931446,2024-03-19,Composition for promoting hair growth,0,A23L|A61K|A61Q
11925702,2024-03-12,"Methods for extracting compound from ginseng, ginseng extract comprising the compound and composition for enhancing skin barrier comprising the same",0,A61K|A61Q
11904039,2024-02-20,Cosmetic composition for makeup removal comprising water-soluble surfactant and oil-soluble surfactant,0,A61K|A61Q
11896703,2024-02-13,Liquid lipid composite composition for improving hair condition,0,A61K|A61Q
11896685,2024-02-13,Core-shell network structure comprising biopolymer and composition comprising same,0,A61K|A61Q
11896640,2024-02-13,Composition for skin-whitening or preventing or improving skin wrinkles comprising green tea extract which has modified amounts of ingredients,0,A23L|A61K|A61Q
11878008,2024-01-23,Composition for preventing or treating atopic dermatitis,0,A61K|A61P
11839285,2023-12-12,Cosmetics having impregnation member with recessed pattern formed on surface therof by laser processing,0,A45D|A61K|A61Q
11826468,2023-11-28,Insoluble active substance carrier comprising transfersome,0,A61K|A61Q
11826454,2023-11-28,Cosmetics composition containing anti-oxidant,0,A61K|A61Q
11819566,2023-11-21,Composition for improving skin transparency and reducing dullness,0,A61K|A61Q
11759430,2023-09-19,Active substance carrier comprising biopolymer,0,A61K|A61Q
11744865,2023-09-05,Composition for inhibiting lipofuscin accumulation or removing lipofuscin,0,A23L|A23V|A61K|A61P|A61Q|C12N|C12R
11679554,2023-06-20,"Device for producing skin care pack using hydrogel, and control method thereof",0,A45D|A61K|A61Q|B29C|B33Y|B65H
11672753,2023-06-13,Composition for sebum control and pore minimizing,0,A61K|A61Q
11666620,2023-06-06,"Method for treatment of fine dust-caused skin cell damage, reinforcement of skin barrier, anti-aging, and anti-inflammation",0,A23L|A23V|A61K|A61Q
11654094,2023-05-23,Composition comprising benzoic acid amide compound and cyclodextrin solubilizing agent,0,A61K|A61P|A61Q
11642387,2023-05-09,"Composition for preventing or inhibiting influenza virus infection, containing ginseng berry polysaccharides",0,A23L|A61K|A61P
11633449,2023-04-25,"Method for preventing, alleviating, improving, or treating the female hormone controlling disorder syndrome or symptoms comprising a step of administering green tea extract which has modified amounts of ingredients",0,A23L|A23V|A61K|A61P
11633413,2023-04-25,Composition for preventing or improving menopausal symptom comprising novel ginsenoside,1,A23L|A61K
11633342,2023-04-25,Additive composition for improving feel on skin of cosmetics material,0,A61K|A61Q
11583560,2023-02-21,Immunomodulatory composition comprising lactobacillus-derived extracellular vesicles,0,A23L|A61K|A61Q|C12N|C12R
11583512,2023-02-21,"Composition for relieving itch or irritation of skin, comprising thymol trimethoxycinnamate",0,A61K|A61P|A61Q
11576923,2023-02-14,Composition for improving skin elasticity comprising novel ginsenoside,1,A61K|A61P|A61Q
11564875,2023-01-31,Cosmetic composition for skin regeneration,0,A61K|A61Q
11554091,2023-01-17,Composition for enhancing skin elasticity or improving skin wrinkles comprising heptahydroxyflavan as an effective ingredient,0,A23L|A61K|A61Q
11534778,2022-12-27,Device for preparing cosmetic composition containing emulsion material instantly emulsified based on microfluidic channel,0,A45D|A61K|A61Q|B01F|B05B
11504409,2022-11-22,Composition for improving skin damage by fine dust comprising culture or its extract of Aureobasidium pullulans,0,A23L|A61K|A61Q|C12N|C12R
11504352,2022-11-22,"Composition for ameliorating circulatory system diseases, comprising tea extract with modified ingredients content",0,A23F|A23L|A23V|A61K|A61P
11491727,2022-11-08,"Device for producing skin care pack using hydrogel, and control method thereof",0,A45D|A61K|B05C|B29C|B29K|B33Y|F04B
11491102,2022-11-08,Composition for skin anti-inflammation and skin moisturizing comprising artemisia extract extracted with skin cosmetic solution as a solvent,0,A61K|A61Q
11484490,2022-11-01,Skin external composition containing an extract of a fermented product of red yeast rice,0,A61K|A61Q
11446226,2022-09-20,Composition for preventing or improving intrinsic aging comprising paeoniflorin or albiflorin,0,A23B|A23L|A23V|A61K|A61Q
11433110,2022-09-06,"Composition for treating fine dust-caused skin cell damage or for inhibiting antimicrobial peptide, comprising Hibiscus syriacus extract",0,A23L|A23V|A61K|A61Q
11433019,2022-09-06,"Ganoderma lucidum extract-preparing method using eco-friendly extraction technique, Ganoderma lucidum extract prepared thereby, and anti-aging cosmetic composition comprising same extract",0,A61K|A61Q
11419798,2022-08-23,"Device for producing skin care pack using hydrogel, and control method thereof",0,A45D|A61K|A61Q|B29B|B29C|B32B|B65B|B65H
11389393,2022-07-19,Composition for inhibiting sebum secretion comprising peach sprout extract,0,A61K|A61Q
11383428,2022-07-12,"Device for producing skin care pack using hydrogel, and control method thereof",0,A45D|A61K|B29C|B33Y
11382900,2022-07-12,Composition for preventing or treating sleep disorders,0,A61K|A61P
11376212,2022-07-05,Skin whitening composition comprising cultured product of Bacillus hwajinpoensis or extract thereof,0,A61K|A61Q|C12N|C12R
11318180,2022-05-03,"Composition containing, as active ingredient, green tea extract with increased polysaccharide content",1,A23L|A23V|A61K
11318074,2022-05-03,Oil-in-water form cosmetic composition,0,A61K|A61Q
11306117,2022-04-19,Whitening composition containing novel quercetin-based compound,0,A23L|A23V|A61K|A61Q|C07H
11298307,2022-04-12,Transparent or semitransparent cosmetic composition having enhanced amentoflavone stability,0,A61K|A61Q
11291623,2022-04-05,"Cosmetic composition comprising, as active ingredient, composite seawater extract of brussels sprouts, lima beans, and artichokes",0,A61K|A61Q
11278852,2022-03-22,Apparatus for manufacturing cosmetic,0,A45D|A61K|B01F|B05B
11266706,2022-03-08,Method for preventing or alleviating lipid metabolism disorders using composition containing green tea extract with increased specific ingredient content,0,A23L|A61K|A61P
11248017,2022-02-15,Anti-inflammatory composition including novel kaempferol-based compound derived from post-fermented tea,0,A23L|A61K|A61P|A61Q|C07B|C07H
11241373,2022-02-08,Cosmetic composition of dispersion formulation comprising spherical particle,0,A61K|A61Q
11236117,2022-02-01,"Alkoxysilane compound or salt thereof, preparation method therefor, and hair composition containing same",0,A61K|A61Q|C07F
11234910,2022-02-01,"Capsules comprising pigments, and method for producing same",0,A61K|A61Q
11229586,2022-01-25,Surfactant-free cosmetic composition,0,A61K|A61Q
11219653,2022-01-11,"Composition for enhancing immunity, containing ginseng berry polysaccharides",0,A23L|A61K|A61P|A61Q
11202741,2021-12-21,Self-restorable core-shell capsule,0,A61K|A61Q|B01J
11197903,2021-12-14,Composition containing a bean extract for improving blood circulation and vascular health and method for improving blood circulation and vascular health,0,A23L|A61K|A61P
11197878,2021-12-14,Anti-inflammatory composition including novel quercetin-based compound,0,A23L|A61K|A61P|A61Q
11185494,2021-11-30,Skin whitening composition comprising culture of pseudoalteromonas carrageenovora or extract thereof,0,A61K|A61Q|C12N|C12R
11185488,2021-11-30,"Skin external preparation composition for moisturizing skin containing 1,2,3,4,6-penta-O-galloyl-β-D-glucose",0,A61K|A61Q
11179319,2021-11-23,Method for producing cosmetic composition using skin serum,0,A61K|A61Q
11173108,2021-11-16,Skin whitening composition comprising cultured product of pseudoalteromonas peptidolytica or extract thereof,0,A61K|A61Q|C12N|C12R
11166899,2021-11-09,"Composition for external application containing a ceramide, a derivative thereof and an extract of Hibisci cortex",0,A61K|A61Q
11154078,2021-10-26,Liquid food composition comprising Sophora japonica extract,0,A23L|A23V|A61K
11141358,2021-10-12,Foam having improved feeling during use,0,A45D|A61K|A61Q|C08J
11110145,2021-09-07,Composition for protecting cell from oxidative stress comprising green tea extract which has modified amounts of ingredients,2,A61K|A61P
11096921,2021-08-24,SIRT 1 activator including syringaresinol,0,A23L|A23V|A61K|A61P
11096885,2021-08-24,Composition for enhancing skin elasticity or improving skin wrinkles comprising ginseng cell lysate,0,A61K|A61Q
11077031,2021-08-03,Oil-in-water emulsion composition,0,A61K|A61Q
11065190,2021-07-20,Cosmetic composition comprising solubilized pigment and method for preparing the same,0,A61K|A61Q
11052098,2021-07-06,Composition containing araloside for external application to skin,0,A61K|A61Q
11040224,2021-06-22,Inner phase thickened water-in-oil cosmetic composition,0,A61K|A61Q
11000538,2021-05-11,Composition for enhancing exercise ability or anti-fatigue comprising novel ginsenoside,1,A23L|A23V|A61K|A61P|C07J
11000537,2021-05-11,Composition comprising novel ginsenoside,1,A61K|A61P|C07J
10987397,2021-04-27,Catechin-free tea water and composition containing same,0,A61K|A61P|A61Q
10982999,2021-04-20,System and method for measuring ultraviolet ray protection of cosmetic material,0,G01J|G01N
10980735,2021-04-20,Externally-applied dermal preparation composition containing extract of green tea cultivated under extreme shading,0,A61K|A61Q
10967028,2021-04-06,Composition for hair loss prevention or hair growth stimulation comprising Artemisia umbelliformis extract,0,A61K|A61P|A61Q
10959981,2021-03-30,Composition for preventing or treating climacteric symptoms comprising soybean extract comprising coumestrol as an active ingredient,0,A23V|A61K|A61P
10952956,2021-03-23,Antioxidant composition for skin,0,A61K|A61P|A61Q
10925812,2021-02-23,Urethane foam for use in impregnating cosmetic composition,0,A61K|A61Q|C08G|C08L
10918188,2021-02-16,Cosmetic product comprising screen mesh and method for producing same,0,A45D|A61K|A61Q|Y10T
10912809,2021-02-09,Enhancer for catechin uptake in enterocytes,0,A23L|A23V|A61K
10912720,2021-02-09,Co-emulsification composition containing various emulsification particle sizes and method for preparing same,0,A61K|A61Q
