patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427102,2025-09-30,Sulfate-free cosmetic rinse-off composition comprising a hyperbranched copolymer,0,A61K|A61Q|C11D
12419841,2025-09-23,Delivery system for fat soluble vitamins,0,A61K
12416030,2025-09-16,"Identification of an α-1,2-fucosyltransferase for the in vivo production of pure LNFP-I",0,C12N|C12P|C12R|C12Y
12383570,2025-08-12,Methods of selectively modulating gastrointestinal microbial growth,0,A23K|A61K|C07H|C08B|C08L
12370151,2025-07-29,Non-therapeutic methods for alleviating or reducing stress symptoms of ruminants,0,A23L|A61K|A61P
12365885,2025-07-22,Production of riboflavin,0,C12N|C12P|C12Y
12357006,2025-07-15,Use of alpha lipoic acid as a feed additive for aquatic animals,0,A23K|A61K|Y02A
12351690,2025-07-08,"Compositions comprising specific hyperbranched copolymers together with 1,3-propandiol and N-hydroxyoctanamide",0,A01N|A61K|A61P|A61Q|C08G|C08L|C11D
12342838,2025-07-01,Method of reducing the self-heating propensity of biomass,0,A23D|A23K|C12N|C12P|C12R
12300359,2025-05-13,Computer-based method for determining a sunscreen composition comprising a plurality of UV filter substances,0,A61K|A61Q|G16C
12295388,2025-05-13,Methods of modulating gastrointestinal metabolites,0,A23K|A23L|A61K
12286658,2025-04-29,Enhancing formation of milk oligosaccharides (HMOs) by modifying lactose import in the cell,0,C07K|C12N|C12P|C12Y
12285033,2025-04-29,Steviol glycoside transport,0,A23L|C07K|C12N|C12P
12270065,2025-04-08,Methods for improving titer and purity of beta carotene fermentation in Blakeslea trispora (beta-carotene fermentation method),0,C12N|C12P
12252724,2025-03-18,Biosynthesis of retinoids,0,A61K|C12N|C12P|C12Y
12252614,2025-03-18,Synthetic membrane composition comprising a polyurethane and a polyoxazoline,0,A61B|B01D|C08G|C08J|C08L|C12Q
12251391,2025-03-18,Methods of supporting gastrointestinal homeostasis,0,A23K|A23V|A61K|A61P
12239762,2025-03-04,Settable bone void filler,0,A61K|A61L
12227772,2025-02-18,Modified sterol acyltransferases,0,C12N|C12P|C12Y
12220477,2025-02-11,Cosmetic composition comprising specific hyperbranched copolymers and organic UV filters,0,A61K|A61Q
12214041,2025-02-04,Polyurethane excipient,0,A61K|C08G
