patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421520,2025-09-23,Modified bidirectional catalase promoter from bacillus,0,C12N|C12P|C12Y
12416912,2025-09-16,"Communication system, monitoring system and related methods",0,G01J|G01N|G05B|H04L|Y02P
12390413,2025-08-19,Biobased pearlescent waxes,0,A61K|A61Q
12371719,2025-07-29,Fermentative production of n-butylacrylate using alcohol acyl transferase enzymes,0,C12N|C12P|C12Y
12371708,2025-07-29,"Plants comprising wheat G-type cytoplasmic male sterility restorer genes, molecular markers and uses thereof",0,A01H|C07K|C12N|C12Q
12365866,2025-07-22,Method of purifying a protein from fermentation solids under desorbing conditions,0,B01D|C07K|C12N|C12P
12351841,2025-07-08,Amylase enzymes,0,A21D|C11D|C12N|C12Y
12351780,2025-07-08,Peptide acetals for stabilising enzymes,0,A61K|C07K|C11D|C12N|C12Y
12338225,2025-06-24,"2,2,6-trimethyl-4,5-dihydro-3H-oxepine as aroma ingredient",0,A61K|A61Q|C07C|C07D|C11B
12330128,2025-06-17,Process for preparing an aqueous dispersion of microparticles,0,A01N|A61K|B01J|C09B
12329837,2025-06-17,Aqueous surfactant compositions and soap bars,0,A61K|A61Q|C11D
12325861,2025-06-10,Regulatory nucleic acid molecules for enhancing gene expression in plants,0,C12N
12319647,2025-06-03,"2-(2,4,5-trimethylcyclohex-2-en-1-yl)acetaldehyde and derivatives and their use as aroma chemicals",0,A61K|A61Q|C07C|C11B|C11D
12305207,2025-05-20,Methods for making L-glufosinate,0,A01N|C12N|C12P|C12Y
12305206,2025-05-20,Methods for making L-glufosinate,0,A01N|C12N|C12P|C12Y
12297440,2025-05-13,Regulatory nucleic acid molecules for enhancing gene expression in plants,0,C12N
12297169,2025-05-13,1-alkoxyethyl-4-isobutyl-benzene as aroma ingredients,0,A61K|A61Q|C07C|C11B|C11D
12286664,2025-04-29,Pipe weight coating,0,C04B|C08G|C09D|C09J|C12Q|F16L
12286656,2025-04-29,Pseudozyma microorganisms and the production of itaconic acid,0,C07K|C12N|C12P|C12Y
12274770,2025-04-15,Stabilizer concentrates for wax dispersions,0,A61K|C09K
12264355,2025-04-01,Process for producing ammonium (meth-) acrylate,0,C12M|C12N|C12P|C12Y
12258554,2025-03-25,"Antifungal Paenibacillus strains, fusaricidin-type compounds, and their use",0,A01N|C07K|C12N
12256742,2025-03-25,Compositions comprising recombinant bacillus cells and another biological control agent,0,A01N|C07K
12246083,2025-03-11,"Sunscreen compositions comprising butyl methoxydibenzoylmethane, triazine derivatives and photostabilizer",0,A61K|A61Q
12246082,2025-03-11,Efficient sunscreen compositions with diethylamino hydroxybenzoyl hexyl benzoate and butyl methoxydibenzoylmethane free of octocrylene,0,A61K|A61Q
12239136,2025-03-04,Mixtures and compositions comprising Paenibacillus strains or fusaricidins and chemical pesticides,0,A01H|A01N|A01P|C12N|C12R|Y02A
12234254,2025-02-25,Methods for producing crystalline L-glufosinate ammonium monohydrate,0,C07B|C07F|C12N|C12Y
12215325,2025-02-04,Xylose metabolizing yeast,0,C12N|C12P|C12R|C12Y|Y02E
12203114,2025-01-21,Method for the production of acrylic acid or salts thereof,0,C12N|C12P|C12Y
12203089,2025-01-21,Plants having increased tolerance to herbicides,0,C12N|C12Y
12201711,2025-01-21,Wax dispersions having conditioning properties,0,A61K|A61Q
12196660,2025-01-14,Method for measuring the permeability of superabsorbers,0,G01N
12187978,2025-01-07,"Use of (3-acetoxy-2,2-dimethyl-propyl) acetate in combination with (3-hydroxy-2,2-dimethyl-propyl) acetate as an aroma chemical",0,A61K|C11B|C11D
12172956,2024-12-24,Method for the isomerization of a 3-(Z)-unsaturated carboxylic acid to the 3-(E)-isomer,0,C07B|C07C|C12P
12171862,2024-12-24,Personal washing composition and method of achieving improved conditioning benefits,0,A61K|A61Q
12157716,2024-12-03,Merocyanine crystallization process,0,A61K|A61Q|C07C
12146171,2024-11-19,Method of recovering a protein from fermentation broth using a divalent cation,0,C07K|C12N|C12R|C12Y
12137690,2024-11-12,Herbicidal mixtures comprising L-glufosinate and their use in cotton cultures,0,A01N|A61K|A61Q
12134616,2024-11-05,Tricyclic pesticidal compounds,0,A01N|A61P|C07D
12129217,2024-10-29,Continuous process for the production of alkanes,0,A61K|C07C
12123835,2024-10-22,Prediction of physical properties of superabsorbent polymers,0,B01J|G01N|G16C
12123010,2024-10-22,Plants having increased tolerance to herbicides,0,A01N|A01P|C12N|C12Y
12111640,2024-10-08,Controlling production by a sample analysis control loop using communication between computer systems,0,G01N|G05B|Y02P
12110489,2024-10-08,Gene site saturation mutagenesis (GSSM) method,0,C12N
12090220,2024-09-17,"Efficient sunscreen compositions with diethylamino hydroxybenzoyl hexyl benzoate, butyl methoxydibenzoylmethane and organic particulate UV filter",0,A61K|A61Q
12065654,2024-08-20,Plants having increased tolerance to herbicides,0,A01N|C12N|C12Q|C12Y
12065652,2024-08-20,Promoter for heterologous expression,0,C12N
12048281,2024-07-30,Method for treating post-emergent rice,0,A01H|A01N|C12N
12042555,2024-07-23,Anti-stain oral care composition,0,A61K|A61Q
12018271,2024-06-25,"Plants comprising wheat g-type cytoplasmic male sterility restorer genes, molecular markers and uses thereof",0,A01H|C07K|C12N|C12Q
12018267,2024-06-25,Plants having increased tolerance to herbicides,0,C12N
12016926,2024-06-25,Terpolymers and their use in pharmaceutical dosage forms,0,A61K|C08F
12016281,2024-06-25,"Plants comprising wheat G-type cytoplasmic male sterility restorer genes, molecular markers and uses thereof",0,A01H|C07K|C12N|C12Q
11993759,2024-05-28,Solid solutions of odoriferous substances and flavoring agents with vinyl lactam polymers,0,A23L|A23V|A61K|A61L|A61Q|C11B|C11D
11981619,2024-05-14,Alkoxylated esteramines and salts thereof,0,A61K|A61Q|C07C|C08G|C11D
11980218,2024-05-14,Dust-free cold-water-dispersible preparations,0,A23L|A23P|A61K|A61Q|B01J
11965171,2024-04-23,Plants having increased tolerance to herbicides,0,A01H|A01N|C12N|C12Y
11939587,2024-03-26,Plants having increased tolerance to herbicides,0,A01H|C12N|C12Y
