patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429456,2025-09-30,Device for measuring electrolyte concentration,0,G01N
12429450,2025-09-30,"Method for manufacturing ion sensor, and electrode body for ion sensor",0,G01N
12429449,2025-09-30,"Biomolecule analysis method, biomolecule analyzing reagent, and biomolecule analysis device",0,C12Q|G01N
12422451,2025-09-23,Camera holding device for automatic analysis apparatus,0,G01N|H04N
12422450,2025-09-23,Electrolyte analyzing device,0,G01N
12422447,2025-09-23,Connection device and automated system for inspecting specimen,0,G01N
12422446,2025-09-23,Pretreatment method of an automatic analyzer,0,G01N
12422445,2025-09-23,Automated analyzer,0,B01L|B65D|G01N
12422401,2025-09-23,Capillary electrophoresis device,0,G01N
12422386,2025-09-23,Pattern measurement device,0,G01N
12422380,2025-09-23,"Measurement method, measurement system, and non-transitory computer readable medium",0,G01N|G06T|H01L
12422377,2025-09-23,Defect inspection apparatus and defect inspection method,0,G01N
12411149,2025-09-09,"Specimen transport device, specimen analysis system, specimen pretreatment system, and specimen transport method",0,B07C|B65G|G01N
12411109,2025-09-09,Capillary electrophoresis device,0,G01N
12411068,2025-09-09,"Particle size distribution measurement method, particle size distribution measurement device, and calculation device",0,G01N|G06T
12406826,2025-09-02,Charged particle beam device and sample observation method,0,G01N|G06N|H01J|H01L
12405285,2025-09-02,Automatic analyzer,0,G01N
12405244,2025-09-02,Electrophoresis system,0,G01N
12401876,2025-08-26,Imaging device,0,B01L|G01N|G03B|H04N
12400889,2025-08-26,Defect inspection device,0,G01N|G06T|H01L|H04N
12399160,2025-08-26,"Column connection method of liquid chromatograph, and liquid chromatograph",0,B01D|G01N
12397327,2025-08-26,Ultrasonic washer and automatic analysis device,0,B06B|B08B|G01N
12394723,2025-08-19,Alignment device and alignment method,0,G01B|G01N|H01L
12392794,2025-08-19,Flow path washing method of auto sampler and flow path washing apparatus of auto sampler,0,B08B|G01N
12392788,2025-08-19,Automatic analyzer,0,B01L|E05B|G01N
12392741,2025-08-19,Component analysis apparatus and component analysis method,0,G01N|G01R
12385935,2025-08-12,Electrolyte analyzer,0,G01N|G16H
12385861,2025-08-12,"Charged particle detector, charged particle ray device, radiation detector, and radiation detection device",0,G01N|G01T|H01J
12374520,2025-07-29,"Tweezers, conveyance device, and method for conveying sample piece",0,G01N|H01J
12366539,2025-07-22,Surface inspection device,0,G01N|H01L
12366538,2025-07-22,Defect inspection apparatus and defect inspection method,0,G01N|H01L
12366443,2025-07-22,Surface inspection device and shape measurement software,0,G01B|G01N
12360132,2025-07-15,Automatic analyzer,0,G01N
12360087,2025-07-15,Method of controlling liquid chromatograph and liquid chromatograph,0,B01D|G01N
12360077,2025-07-15,Automatic analysis device and automatic analysis method of specimen,0,G01N
12354863,2025-07-08,"Ion source, mass spectrometer, ion source control method",0,G01N|H01J
12354830,2025-07-08,Sample image display system and charged particle beam apparatus,0,G01N|H01J
12354829,2025-07-08,Overlay measurement system and overlay measurement device for overlay error measurement using electron microscopy,0,G01N|G03F|H01J|H01L
12352772,2025-07-08,Automatic analyzer with a controller capable of determining the presence of empty containers on a container retaining mechanism,0,G01N
12352771,2025-07-08,Automatic analysis device,0,B01L|G01N
12350666,2025-07-08,Chemical analysis apparatus,0,B01F|B01L|G01N
12347707,2025-07-01,Semiconductor analysis system,0,G01N|G05B|H01J|H01L
12345994,2025-07-01,Electrophoresis device,0,G01N|G02F
12345728,2025-07-01,Automated analysis device and method for leveling same,0,G01F|G01N
12345661,2025-07-01,Defect inspection apparatus and defect inspection method,0,G01N
12345654,2025-07-01,"Defect inspection device, defect inspection method, and adjustment substrate",0,G01N
12339655,2025-06-24,Automatic analysis device and maintenance guide method in automatic analysis device,0,G01N|G05B|G06F|G16H
12339292,2025-06-24,Automatic analyzer,0,B01L|G01N
12334299,2025-06-17,Charged particle beam device,0,G01N|G06F|G06N|H01J
12333131,2025-06-17,Automated analyzer displaying a GUI including first and second inspection information,0,G01N|G06F|G16H
12332262,2025-06-17,Specimen transport apparatus,0,B65G|G01N
12332260,2025-06-17,Automatic analyzer,0,G01N
12332258,2025-06-17,Dispensing device and method,0,B01L|G01N
12332209,2025-06-17,Electrolyte analysis device,0,G01N
12332103,2025-06-17,"Dispensing device, automated analysis device, and dispensing method",0,G01F|G01N
12326459,2025-06-10,Automatic analyzer,0,B01L|G01N
12326391,2025-06-10,Particle quantifying device,0,C12M|C12Q|G01N|G06T
12325599,2025-06-10,Conveying device and analysis system,0,B65G|G01N|H02P
12313642,2025-05-27,"Sample rack, adapter for sample rack, and automatic analysis device",0,B01L|G01N
12313566,2025-05-27,Defect inspection device and defect inspection method,0,G01N|G02B
12306202,2025-05-20,Conveyance device,0,B65G|G01N|H02K
12306199,2025-05-20,Specimen processing system,0,G01N
12306195,2025-05-20,"Sample transporting device, system and method",0,B65G|G01N
12306147,2025-05-20,Analytical system and method including switching between liquid chromatography fluidic streams,0,G01N|H01J
12304752,2025-05-20,Conveyance device,0,B65G|G01N|H01F|H02K
12299947,2025-05-13,Biological sample analysis device,0,G01N|G06T|G06V
12298324,2025-05-13,Automatic analysis apparatus and cleaning method for same,0,G01N
12298283,2025-05-13,Liquid chromatograph analyzer and method of controlling the same,0,B01D|G01N
12297057,2025-05-13,Sample transport device and sample transport carrier,0,B65G|G01N
12292453,2025-05-06,Automatic analysis apparatus,0,G01N
12292438,2025-05-06,Automatic analyzer,0,B01L|F28D|G01N
12292389,2025-05-06,Defect inspection apparatus,0,G01N
12282034,2025-04-22,Automatic analysis device,0,G01N
12282000,2025-04-22,Biological sample analysis device and biological sample analysis method,0,G01N
12276635,2025-04-15,Electrophoresis device and foreign matter detection method,0,G01N
12276618,2025-04-15,Defect inspection device,0,G01N
12276608,2025-04-15,Analysis system and analysis method,0,C12M|C12Q|G01N
12270822,2025-04-08,Automatic analysis device,0,G01N
12265041,2025-04-01,Thin film damage detection function and charged particle beam device,0,G01N|H01J
12260545,2025-03-25,Sample observation device and method,0,G01N|G06T|H01L
12259315,2025-03-25,"Ultrasonic transducer holder, container, and analysis system using same",0,G01N
12257576,2025-03-25,Biochemical cartridge and biochemical analysis device,0,B01L|G01N
12253536,2025-03-18,Automatic analysis device and automatic analysis method,0,G01N
12247959,2025-03-11,"Flow passage switching valve, flow passage switching valve system, and liquid chromatograph",0,F16K|G01N
12243711,2025-03-04,"Method, apparatus, and program for determining condition related to captured image of charged particle beam apparatus",0,G01N|H01J
12241905,2025-03-04,Automatic analysis device and automatic analysis method,0,G01N
12241676,2025-03-04,Cooling box and analysis device,0,C12M|F25D|G01N
12237145,2025-02-25,Charged particle beam device and inspection device,0,G01N|H01J
12235282,2025-02-25,Automatic analyzer,0,B06B|B08B|G01N
12235280,2025-02-25,Automatic analyzer,0,G01N
12235223,2025-02-25,"Method for defect inspection, system, and computer-readable medium",0,G01N|G06N
12230441,2025-02-18,Transport device and transport method,0,B65G|G01N|H01F|H02K|H02P
12228585,2025-02-18,Automatic analyzer,0,G01N
12224168,2025-02-11,Mass spectrometer and mass spectrometry method,0,G01N|H01J
12222360,2025-02-11,Automatic analyzer with nozzle connected to flow cell detector and a nozzle cleaning tank,0,G01N
12222359,2025-02-11,"Sample container gripping apparatus, sample conveyance apparatus, and connection apparatus",0,G01N
12222357,2025-02-11,Automatic analyzer,0,G01N
12217953,2025-02-04,Ion source and mass spectrometer,0,G01N|H01J
12216134,2025-02-04,Automatic analyzer and method thereof,0,G01N
12215308,2025-02-04,Charged particle beam apparatus and cell evaluation method,0,C12M|C12Q|G01N|G06T|H01J
12211665,2025-01-28,Charged particle beam device,0,G01N|H01J
12210025,2025-01-28,Interlock unit and automated analyzer equipped with same,1,E05B|G01N
12210003,2025-01-28,Liquid chromatographic apparatus and air bubble removal method of liquid chromatographic apparatus,0,G01N
12203951,2025-01-21,"Automated analysis device, and analysis method",0,G01N|G16H
12198327,2025-01-14,"Measurement system, method for generating learning model to be used when performing image measurement of semiconductor including predetermined structure, and recording medium for storing program for causing computer to execute processing for generating learning model to be used when performing image measurement of semiconductor including predetermined structure",0,G01B|G01N|G06T|G06V
12196773,2025-01-14,"Automatic analysis device, cold storage, and method for cooling reagent in automatic analysis device",0,F25D|G01N
12196707,2025-01-14,Electrophoresis method,0,G01N
12196673,2025-01-14,Defect inspection apparatus and defect inspection method,0,G01N
12196670,2025-01-14,Far-infrared spectroscopy device,0,G01N
12188953,2025-01-07,Automatic analyzer,0,G01F|G01N
12188952,2025-01-07,Automatic analysis device,0,G01N
12186758,2025-01-07,Automated analysis device,0,B01L|G01N
12176180,2024-12-24,"Method for producing lamella, analysis system and method for analyzing sample",0,G01N|H01J
12174360,2024-12-24,Imaging mechanism and sample analyzing apparatus provided with the same,0,B01L|G01N|G02B
12174210,2024-12-24,Automated analyzer and cleaning method,0,B01D|C02F|C12M|F03G|G01N
12174143,2024-12-24,Electrophoresis device,0,G01N
12170184,2024-12-17,Transmission electron microscope and inspection method using transmission electron microscope,0,G01N|H01J|Y02E
12169182,2024-12-17,Charged particle beam apparatus,0,G01N|G06T|H01J|H04N
12163972,2024-12-10,"Automated analysis device, and abnormality detecting method",0,G01N
12163971,2024-12-10,Automatic analysis apparatus,0,G01N
12158452,2024-12-03,Flow passage switching valve and liquid chromatograph having the same,0,F16K|G01N
12154264,2024-11-26,Defect inspecting system and defect inspecting method,0,G01N|G06T|G06V|H01L
12153026,2024-11-26,Liquid feeding apparatus and liquid feeding method,0,F04B|G01N
12151954,2024-11-26,Automatic analyzer,0,B01D|C02F|G01N
12146890,2024-11-19,Automated analyzer and automated analysis method,0,G01N|Y10T
12146846,2024-11-19,Cell analysis apparatus and cell analysis method,0,C12Q|G01N
12146840,2024-11-19,Defect inspection device,0,G01B|G01N|G06T
12146822,2024-11-19,Particle quantitative measurement device,0,G01N
12146131,2024-11-19,Testing apparatus and testing method,0,C12M|C12Q|G06T|G06V
12140603,2024-11-12,"Dispensing device, tip mounting method, and tip removing method",0,B01L|G01N
12123886,2024-10-22,Automatic analysis system,0,B25J|G01N
12123885,2024-10-22,"Sample discrimination system and sample automatic processing apparatus using same, and sample discrimination method",0,G01N|G16H
12123884,2024-10-22,Monitoring the cleaning status of an automatic analyzer,0,G01N
12123847,2024-10-22,Electrolyte analyzing device,0,G01N
12112963,2024-10-08,Defect inspection apparatus and defect inspection program,0,G01N|G06T|H01L
12111327,2024-10-08,Automatic analyzer with a control unit for displaying background maintenance operation notifications,0,G01N
12111272,2024-10-08,"System for estimating the occurrence of defects, and computer-readable medium",0,G01N|G03F|G06T|H01L
12106951,2024-10-01,"Mass analysis system, and method for determining performance of mass analysis device",0,G01N|H01J
12098039,2024-09-24,"Body-to-be-conveyed, container carrier, and conveying device",0,B01L|B65G|G01N
12092649,2024-09-17,Automatic analysis device and automatic analysis system,0,G01N
12092607,2024-09-17,Electrophoresis apparatus,0,G01N
12085582,2024-09-10,"Automatic analysis device, automatic analysis system, and automatic analysis method for analytes",0,G01N
12085581,2024-09-10,Automatic analyzer,0,G01N
12085517,2024-09-10,Lighting optical system and substrate inspecting device,0,G01N|G02B
12078763,2024-09-03,"Radiation analysis system, charged particle beam system, and radiation analysis method",0,G01N|G01T|H01J
