patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428640,2025-09-30,Methods to modulate protein translation efficiency,0,C12N|C12P
12421187,2025-09-23,Dihydrofolate synthase (DHFS) inhibiting agents and methods of making and using same,0,A61K|A61P|C07D
12414935,2025-09-16,Compounds and methods for the treatment of parasitic diseases,0,A61K|A61P|C07D
12410437,2025-09-09,Incorporation of internal polya-encoded poly-lysine sequence tags and their variations for the tunable control of protein synthesis in bacterial and eukaryotic cells,0,C12N
12405276,2025-09-02,"Methods of detecting septic arthritis, transient synovitis and osteomyelitis",0,C12Q|G01N
12404311,2025-09-02,"Synthetic plasmodium antigens, compositions, and uses thereof",0,A61K|C07K|Y02A
12398184,2025-08-26,Compositions comprising CelTOS immunogens and antibodies and method of use thereof,0,A61K|A61P|C07K|Y02A
12390482,2025-08-19,Neurolytic agents and methods of using and identifying same,0,A61K
12379368,2025-08-05,Methods for determining therapeutic responsiveness for inflammatory bowel disease therapy,0,G01N
12371667,2025-07-29,Enhanced methods for inducing and maintaining naive human pluripotent stem cells,0,C12N
12365651,2025-07-22,Use of pirfenidone and derivatives for modulation of B lymphocyte activity and organ protection from acute tissue damage,0,A61K|A61P|C07D
12350349,2025-07-08,Gene editing of CAR-T cells for the treatment of T cell malignancies with chimeric antigen receptors,0,A61K|A61P|C12N
12344893,2025-07-01,"Nasal genes used to identify, characterize, and diagnose viral respiratory infections",0,A61P|C12Q|G01N
12344666,2025-07-01,PDGF mutants and methods of use thereof,0,A61K|A61P|C07K
12337010,2025-06-24,Compositions and methods of treatment using nicotinamide mononucleotide,0,A01K|A61K|A61P|C07K|C12N|G01N
12319720,2025-06-03,Neoantigen vaccines for triple negative breast cancer,0,A61K|A61P|C07K|C12N
12310697,2025-05-27,Methods and systems for noninvasive and localized brain liquid biopsy using focused ultrasound,0,A61B|C12Q|G01N
12304941,2025-05-20,Suppression of cytokine release syndrome in chimeric antigen receptor cell therapy,0,A61K|A61P|C07K|C12N
12280060,2025-04-22,Methods of treating cancer using neuronal activity inhibiting agents,0,A61K|A61P
12274731,2025-04-15,Polybasic antimalarial agents and methods of use thereof,0,A61K|A61P|Y02A
12274725,2025-04-15,Zika virus strains for treatment of glioma,0,A01K|A61K|A61P|C12N|Y02A
12268760,2025-04-08,Compositions of and methods of making ferritin-based imaging agents,0,A61K|A61P|B82Y|C07K|C12N|H01F
12263233,2025-04-01,Compositions and methods for modulating Myc target protein 1,0,A01K|A61K|A61P|C12N
12257327,2025-03-25,Compositions and methods for treatment and imaging using nanoparticles,0,A61K
12247909,2025-03-11,Tunable add-drop filter with an active resonator,0,B82Y|G01N|Y10S
12247246,2025-03-11,Identification of inhibitors of TcpC and TIR NADase activity,0,A61K|C12Q|G01N|Y02A
12247196,2025-03-11,Engineered microorganisms and methods of making and using same,0,A61K|C07K|C12N|C12R|G01N|Y02A
12226382,2025-02-18,Methods for treating microglial dysfunction,0,A61K|A61P|C12Q
12220465,2025-02-11,Compositions and methods for targeted treatment and imaging of cancer or tumors,0,A61K|C12N
12213997,2025-02-04,Compositions and methods for supporting nucleus pulposus (NP) cell phenotype and biosynthesis,0,A61K|C07K|C12N
12198300,2025-01-14,Computational refocusing-assisted deep learning,0,G01N|G02B|G06F|G06N|G06T|G06V
12194057,2025-01-14,NXTAR-derived oligonucleotides and uses thereof,0,A61K|A61P
12186394,2025-01-07,Compositions and methods for treatment of pre-cancerous skin lesions,0,A61K|A61P|C07D
12180486,2024-12-31,Compositions of self-reporting transposon (SRT) constructs and methods for mapping transposon insertions,0,C12N
12178886,2024-12-31,Imaging and treatment of pathophysiologic conditions by Cerenkov radiation,0,A61K
12174104,2024-12-24,"Synthesis, post-modification and separation of biologics using acoustically confined substrates",0,B01L|G01N
12173039,2024-12-24,"TPL2 inhibiting agents, uses thereof, and detection of TPL2",0,A61K|A61P|C07K|C12Q
12171817,2024-12-24,Antigens for detecting toxoplasma infection by monitoring cellular immunity,0,A61K|A61M
12163960,2024-12-10,Compositions and methods for predicting therapeutic outcome,0,C07K|C12Y|G01N
12157889,2024-12-03,Methods to detect motor neuron disease comprising micro-RNAs,0,A61K|A61P|C12N|C12Q
12156906,2024-12-03,Immunologically active fragments of toxoplasma gondii,0,A61K|A61P|C07K
12153056,2024-11-26,"Compositions for and methods of diagnosing, prognosing, and treating diabetes",0,C07K|G01N
12152280,2024-11-26,Drain fluid for diagnostics,0,C12Q|G01N
12150950,2024-11-26,Administration of nicotinamide mononucleotide in the treatment of disease,0,A01K|A61K|A61P
12145988,2024-11-19,Anti-TREM-2 agonist antibodies,0,A61P|C07K
12140595,2024-11-12,Liquid biopsy to detect cancer early and sensitively in patients with neurofibromatosis type 1,0,C12Q|G01N|G16B
12122799,2024-10-22,Antibiotics for veterinary staphylococcal infections,0,A61P|C07F
12117453,2024-10-15,Predicting patient response to sodium channel blockers,0,C12N|G01N|G05B|G16C
12109224,2024-10-08,USB1 directed regulation of miRNAs related hematopoietic differentiation and affected in multiple forms of leukemia,0,A61K
12091719,2024-09-17,Compositions and methods for detecting viruses in a sample,0,C12Q
12077759,2024-09-03,Compositions and methods for treating pathologic calcification,0,A61P|C12N
12066444,2024-08-20,Blood-based methods for determining Aβ amyloidosis,0,G01N
12059565,2024-08-13,Methods and systems for modulating unconsciousness or anesthesia in a subject,0,A61K|A61N
12054788,2024-08-06,Methods and systems for noninvasive and localized brain liquid biopsy using focused ultrasound,0,A61B|A61N|C12N|C12Q
12043832,2024-07-23,Methods and compositions for reducing pathogenic isoforms,0,A61P|C12N
12024707,2024-07-02,Methods and compositions for modulating lncRNAs and methods of treatment based on lncRNA expression,0,A61K|A61P|C12N|C12Q
12016935,2024-06-25,Methods for detecting CCR2 receptors,0,A61K
12012394,2024-06-18,Alpha-synuclein ligands,0,A61K|C07B|C07D
12006337,2024-06-11,"Mitogen-activated protein kinase inhibitors, methods of making, and methods of use thereof",0,A61P|C07D|C07F
11994470,2024-05-28,Pixel-wise point spread function engineering systems and methods,0,G01N|G02B
11987793,2024-05-21,Compositions and methods for prevention of bladder fibrosis,0,A61K|C12N
11964001,2024-04-23,Compositions for treating or preventing respiratory tract infections and method of use thereof,0,A61K|A61P
11952417,2024-04-09,Anti-IL12RB1 antibodies,0,A61K|A61P|C07K
11952410,2024-04-09,Mesothelin-targeted trail trimer,0,A61K|A61P|C07K
11938193,2024-03-26,Compositions comprising chemerin and methods of use thereof,0,A61K|A61P|C07K
11938138,2024-03-26,Methods for improved treatment of cancer,0,A61K|A61P
11933791,2024-03-19,GDF15 in glaucoma and methods of use thereof,0,A61P|C07K|C12Q|G01N
11931412,2024-03-19,JAK1 inhibitors and uses thereof,0,A61K|A61P
11931366,2024-03-19,Compositions and methods of use thereof for treatment of proteinopathies,0,A61K|A61P
11926660,2024-03-12,Anti-ApoE antibodies,0,A61K|A61P|C07K
11925455,2024-03-12,Methods for diagnosing malaria,0,A01N|A61B|G01N|Y02A
11920139,2024-03-05,Regulated expression of antigen and/or regulated attenuation to enhance vaccine immunogenicity and/or safety,0,A61K|A61P|C12N
11911999,2024-02-27,Plasmonic patch as a universal fluorescence enhancer,0,B32B|B82Y|C08L|G01N
11903935,2024-02-20,Inhibitors of SARM1 NADase activity and uses thereof,0,A61K|A61P|C07K|C12N|C12Q|Y02A
11897929,2024-02-13,Compositions and methods for targeted cytokine delivery,0,A61K|A61P|C07K|Y02A
11884934,2024-01-30,Methods and compositions for T cell activation,0,A61K|A61P|C07K|C12N
11867701,2024-01-09,Methods for prognosing crohn's disease comprising human defensin 5 (HD5),0,A61B|C07K|G01N
11867627,2024-01-09,Compact guided diffuse optical tomography system for imaging a lesion region,0,A61B|G01N|G06T
11856945,2024-01-02,Methods and systems for preparing and preserving a biological sample,0,A01N|C12N|G01N
11834723,2023-12-05,Methods and compositions for detection of enterovirus D68,0,C12Q
11834494,2023-12-05,Antibodies to zika virus and methods of use thereof,0,A61K|A61P|C07K|G01N|Y02A
11813308,2023-11-14,Treatment of cardiovascular disease using ActRII ligand traps,0,A61K|A61P|C07K
11813056,2023-11-14,Materials and methods for implementing immunoassay on microneedle patch for detection and quantification of bioanalytes in interstitial fluid,0,A61B|A61K|A61M|G01N
11793824,2023-10-24,Administration of nicotinamide mononucleotide in the treatment of disease,0,A01K|A61K|A61P
11787845,2023-10-17,"Synthetic plasmodium antigens, compositions, and uses thereof",0,A61K|C07K|Y02A
11781135,2023-10-10,Methods for treating Alzheimer's disease,1,A61P|C07H|C12N
11773127,2023-10-03,Compounds and methods for treating bacterial infections,0,A61K|C07H
