patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428419,2025-09-30,Therapeutic compounds,0,A61P|C07D
12427193,2025-09-30,Subcutaneous anti-HER2 antibody formulations and uses thereof,0,A61K|A61P|C07K|C12Y
12421324,2025-09-23,Methods and formulations for reducing reconstitution time of lyophilized polypeptides,0,A61K|C07K
12421299,2025-09-23,Expression of FC-containing proteins,0,C07K|C12N|C12P
12419879,2025-09-23,Combination therapy for the treatment of pancreatic cancer,0,A61K|A61P
12410189,2025-09-09,"Polymorphs and solid forms of (S)-2-2((2-((S)-4-(difluoromethyl)-2-oxooxazolidin-3-yl)-5,6-dihydrobenzo[f]imidazo[1,2-d][1,4]oxazepin-9- yl)amino)propanamide, and methods of production",0,A61K|A61P|C07B|C07D
12409178,2025-09-09,Methods and compositions comprising a KRasG12C inhibitor and a VEGF inhibitor for treating solid tumors,0,A61K|A61P|C07K
12391769,2025-08-19,Methods of making fucosylated and afucosylated forms of a protein,0,C07K|G01N
12385098,2025-08-12,Methods and compositions for prognosis and treatment of cancers,0,C12Q
12384844,2025-08-12,Agonists of TREM2,0,A61K|A61P|C07K
12383557,2025-08-12,Treatment of cancer using combination therapies comprising GDC-6036 and GDC-0077,0,A61K|A61P
12381013,2025-08-05,Predicting tolerability in aggressive non-hodgkin lymphoma,0,A61K|A61P|C07K|G16H
12379371,2025-08-05,In vitro transcytosis assay,0,C07K|G01N
12378249,2025-08-05,Isoquinoline compounds and uses thereof,0,A61P|C07D
12372533,2025-07-29,"Identification of immunogenic mutant peptides using genomic, transcriptomic and proteomic information",0,A61K|A61P|C12Q|G01N
12371728,2025-07-29,Methods of protein production,0,C12P
12371510,2025-07-29,Process for concentration of antibodies and therapeutic products thereof,0,A61K|B01D|C07K
12358951,2025-07-15,Cyclic peptide antibiotics,0,A61K|C07K
12354130,2025-07-08,Combination therapies,0,A61K|A61P|C12Q|G06Q
12351643,2025-07-08,Dosing for treatment with anti-CD20/anti-CD3 bispecific antibodies,0,A61K|A61P|C07K
12351641,2025-07-08,Production of proteins in glutamine-free cell culture media,0,A61P|C07K|C12N
12344612,2025-07-01,Bicyclic ketone compounds and methods of use thereof,0,A61K|A61P|C07D
12338256,2025-06-24,Aza-tetracyclic oxazepine compounds and uses thereof,0,A61K|A61P|C07D
12338241,2025-06-24,Bicyclic sulfones and sulfoxides and methods of use thereof,0,A61P|C07D
12336981,2025-06-24,Compounds and compositions for the inhibition of NAMPT,0,A61K|A61P|C07D
12331128,2025-06-17,Therapeutic and diagnostic methods for cancer,0,A61K|A61P|C07K|C12Q|G16H|Y02A
12319965,2025-06-03,Diagnostic and therapeutic methods for the treatment of rheumatoid arthritis (RA),0,A61K|A61P|C07K|C12Q
12312415,2025-05-27,"Anti-KLK7 antibodies, anti-KLK5 antibodies, multispecific anti-KLK5/KLK7 antibodies, and methods of use",0,A61K|A61P|C07K
12312414,2025-05-27,"Anti-KLK7 antibodies, anti-KLK5 antibodies, multispecific anti-KLK5/KLK7 antibodies, and methods of use",0,A61K|A61P|C07K
12312399,2025-05-27,Methods and compositions comprising purified recombinant polypeptides,0,A61K|A61P|C07K
12310951,2025-05-27,Methods of administering anti-fibrotic therapy,0,A61K|A61P
12303495,2025-05-20,Treatment of breast cancer using combination therapies comprising GDC-9545 and a CDK4/6 inhibitor,0,A61K|A61P
12297270,2025-05-13,Bispecific antigen-binding molecules and methods of use,0,A61K|A61P|C07K
12297210,2025-05-13,Naphthyridine compounds and uses thereof,0,A61P|C07D
12291712,2025-05-06,Methods of producing two chain proteins in prokaryotic host cells,0,C07K|C12N|C12Y
12291575,2025-05-06,Methods for treatment of CD20-positive proliferative disorder with mosunetuzumab and polatuzumab vedotin,0,A61K|A61P|C07K
12286619,2025-04-29,Modulating lactogenic activity in mammalian cells,0,C12N
12286470,2025-04-29,Methods of determining the function of polyubiquitin using anti-polyubiquitin antibodies,0,A61P|C07K|G01N
12285429,2025-04-29,CDK inhibitors,0,A61K|A61P|C07D
12281165,2025-04-22,Anti-B7-H4 antibodies and immunoconjugates,0,A61K|A61P|C07K|G01N
12281101,2025-04-22,Bicyclic lactams and methods of use thereof,0,A61P|C07D
12275745,2025-04-15,Therapeutic compounds and methods of use,0,A61P|C07D
12252549,2025-03-18,Pertuzumab plus trastuzumab fixed dose combination,1,A61K|A61P|C07K|C12N|C12Y
12247032,2025-03-11,"Substituted pyrazolo[1,5-a]pyrimidines as inhibitors of JAK kinases",0,A61K|A61P|C07D
12240910,2025-03-04,Anti-C-C motif chemokine receptor 8 (CCR8) antibodies and methods of use,0,A61K|A61P|C07K
12239664,2025-03-04,Efficient TCR gene editing in T lymphocytes,0,A61K|C07K|C12N
12234245,2025-02-25,Sulfonimidamide compounds as inhibitors of interleukin-1 activity,0,A61P|C07D
12233052,2025-02-25,"Tetrahydro-pyrido[3,4-b]indole estrogen receptor modulators and uses thereof",0,A61K|A61P|C07D
12215143,2025-02-04,Anti-polyubiquitin multispecific antibodies,0,A61P|C07K|C12N|G01N
12214058,2025-02-04,Imaging methods using deuterated compounds,0,A61K|A61P|C07B|C07D
12209109,2025-01-28,Method for preparing a composition comprising highly concentrated antibodies by ultrafiltration,0,A61K|B01D|C07K
12209075,2025-01-28,Pyridine-sulfonamide derivatives as sodium channel inhibitors,0,A61K|A61P|C07D
12208088,2025-01-28,"Spirocyclic 2,3-dihydro-7-azaindole compounds and uses thereof",0,A61K|A61P|C07D
12202824,2025-01-21,Oxadiazole transient receptor potential channel inhibitors,0,A61K|A61P|C07D
12187816,2025-01-07,Macrocyclic compounds and methods of use thereof,0,A61K|A61P|C07K
12187709,2025-01-07,Lactams as CBL-B inhibitors selective over C-CBL,0,A61P|C07D
12183434,2024-12-31,Diagnostic and therapeutic methods for cancer,0,C12Q|G16B|G16H
12173080,2024-12-24,Prevention of disulfide bond reduction during recombinant production of polypeptides,0,A61K|A61P|C07K
12171805,2024-12-24,IL-22 FC compositions,0,A61K|C07K
12171763,2024-12-24,Methods and compositions comprising a KRASG12C inhibitor and a PD-L1 binding antagonist for treating lung cancer,0,A61K|A61P|C07K
12152054,2024-11-26,Methods of purifying polypeptides,0,B01D|C07K|G01N
12152040,2024-11-26,"Tert-butyl (s)-2-(4-(phenyl)-6H-thieno[3, 2-f][1, 2, 4]triazolo[4, 3-a] [1,4]diazepin-6-yl) acetate derivatives and related compounds as bromodomain BRD4 inhibitors for treating cancer",0,A61P|C07D
12145998,2024-11-19,Pertuzumab variants and evaluation thereof,1,A61K|A61P|C07K|G01N
12145997,2024-11-19,Prevention of disulfide bond reduction during recombinant production of polypeptides,0,A61K|A61P|C07K
12139496,2024-11-12,Therapeutic compounds and methods of use thereof,0,A61K|A61P|C07D
12139482,2024-11-12,Bicyclic pyridone lactams and methods of use thereof,0,A61K|A61P|C07D
12134649,2024-11-05,Anti-B7-H4 antibodies and immunoconjugates,0,A61K|A61P|C07K|G01N
12129480,2024-10-29,Targeted integration of nucleic acids,1,C07K|C12N
12128103,2024-10-29,Adjuvant treatment of HER2-positive breast cancer,1,A61K|A61P|C07K
12121586,2024-10-22,Optimized variants of anti-VEGF antibodies,0,A61K|A61P|C07K|C12N|C40B
12110341,2024-10-08,Composition comprising antibody that binds to domain II of HER2 and acidic variants thereof,1,A61K|A61P|C07K|G01N
12110276,2024-10-08,Pyrazolo compounds and methods of use thereof,0,A61P|C07D|C07F
12103975,2024-10-01,Production of proteins in glutamine-free cell culture media,2,A61P|C07K|C12N
12099064,2024-09-24,Anti-hypusine antibodies and uses thereof,0,C07K|G01N
12098426,2024-09-24,Gene expression markers and treatment of multiple sclerosis,0,A61K|A61P|C07K|C12Q|G01N
12098365,2024-09-24,Modified mammalian cells,0,A61K|C12N|C12P|C12Y
12098211,2024-09-24,Prevention of disulfide bond reduction during recombinant production of polypeptides,1,A61K|A61P|C07K
12090211,2024-09-17,Methods for preparing antibody drug conjugates,0,A61K|A61P|C07K
12084429,2024-09-10,Fused ring compounds,0,A61K|A61P|C07D
12083129,2024-09-10,"Treatment of breast cancer using combination therapies comprising an ATP competitive AKT inhibitor, a CDK4/6 inhibitor, and fulvestrant",0,A61K|A61P
12078638,2024-09-03,Diagnostic and therapeutic methods for cancer,0,A61K|A61P|C07K|C12Q|G01N
12071425,2024-08-27,Phenoxy-pyridyl-pyrimidine compounds and methods of use,0,A61K|A61P|C07D
12071422,2024-08-27,Process for synthesis of quinazoline compounds,0,A61P|B01J|C07D
12053525,2024-08-06,Multispecific antigen-binding proteins,0,A61K|A61P|C07K|G01N|G16B
12037412,2024-07-16,Anti-KLK5 antibodies and methods of use,0,A61K|A61P|C07K|C12N
12037385,2024-07-16,Anti-polyubiquitin antibodies and methods of use,0,A61P|C07K|C12N|G01N
12030959,2024-07-09,Anti-IgE antibody therapy for multiple food allergies,0,A61K|A61P|C07K
12030947,2024-07-09,Humanized and affinity matured antibodies to FcRH5 and methods of use,0,A61K|A61P|C07K|G01N
12030926,2024-07-09,Production of heteromultimeric proteins using mammalian cells,0,C07K|C12N
12019069,2024-06-25,Synthetic controls for immunohistochemistry,0,G01N
12018091,2024-06-25,High-concentration monoclonal antibody formulations,0,A61K|A61P|C07K
12016862,2024-06-25,Methods and compositions comprising a KRasG12C inhibitor and a VEGF inhibitor for treating solid tumors,1,A61K|A61P|C07K
12016842,2024-06-25,Methods of using anti-CD79b immunoconjugates,0,A61K|A61P|C07K
12016328,2024-06-25,PH adjustment to improve thaw recovery of cell banks,0,A01N|C12N
12007398,2024-06-11,Cell-based assay for detecting anti-CD3 homodimers,0,C07K|C12N|G01N
12006360,2024-06-11,Dual specific antibodies for binding interleukin 4 (IL4) and interleukin 5 (IL5),0,A61K|A61P|C07K
12006331,2024-06-11,Therapeutic compounds and methods,0,A61K|A61P|C07D|C07F
11999791,2024-06-04,Prevention of disulfide bond reduction during recombinant production of polypeptides,4,A61K|A61P|C07K
11999787,2024-06-04,Tie2-binding agents and methods of use,0,A61K|A61P|C07K
11993599,2024-05-28,Therapeutic compounds,0,A61P|C07D
11992529,2024-05-28,Adjuvant treatment of HER2-positive breast cancer,2,A61K|A61P|C07K
11987638,2024-05-21,Prevention of disulfide bond reduction during recombinant production of polypeptides,3,A61K|A61P|C07K
11987637,2024-05-21,Prevention of disulfide bond reduction during recombinant production of polypeptides,0,A61K|A61P|C07K
11976127,2024-05-07,Prevention of disulfide bond reduction during recombinant production of polypeptides,3,A61K|A61P|C07K
11969426,2024-04-30,Pharmaceutical compositions comprising Akt protein kinase inhibitors,0,A61K|A61P
11963994,2024-04-23,Inhibitors of IAP,0,A61K|A61P|C07K
11958906,2024-04-16,Pharmaceutical compositions of mosunetuzumab and methods of use,0,A61K|A61P|C07K
11945837,2024-04-02,Ion exchange membrane chromatography,0,C07K
11944606,2024-04-02,Azaindoles as inhibitors of HPK1,0,A61K|A61P|C07D
11939559,2024-03-26,Method of culturing eukaryotic cells,0,C12M|C12N
11939396,2024-03-26,"Anti-tryptase antibodies, compositions thereof, and uses thereof",0,A61K|A61P|C07K|C12Y
11938189,2024-03-26,Compositions and methods for stabilizing protein-containing formulations,0,A61K|C07K
11932675,2024-03-19,PD-1 targeted IL-15/IL-15Rα Fc fusion proteins with improved properties,0,A61K|A61P|C07K|C12N
11926674,2024-03-12,Anti-Jagged2 antibodies and methods of use,0,A61K|A61P|C07K
11925624,2024-03-12,Methods of administering anti-fibrotic therapy,1,A61K|A61P
11919948,2024-03-05,Isoform-selective anti-TGFβ antibodies and methods of use,0,A61K|A61P|C07K|G01N
11918561,2024-03-05,Treatment of breast cancer using combination therapies comprising GDC-9545 and a CDK4/6 inhibitor,0,A61K|A61P
11912823,2024-02-27,Methods of preparing a poloxamer for use in cell culture medium,0,C07K|C08G|C12N
11912773,2024-02-27,Fc variants and methods for their production,0,C07K
11897864,2024-02-13,Apoptosis inducing agents for the treatment of cancer and immune and autoimmune diseases,0,A61K|C07D|Y02A
11891437,2024-02-06,Methods of treating ocular disorders by administering a VEGF-binding antibody covalently linked to a hyaluronic acid polymer,1,A61K|A61P|C07K
11881286,2024-01-23,CD8+ t cell based immunosuppressive tumor microenvironment detection method,0,A61K|A61P|C07K|G16B
11873330,2024-01-16,Cysteine engineered antibodies and conjugates,0,A61K|A61P|C07K
11866498,2024-01-09,Bispecific antigen-binding molecules and methods of use,1,A61K|A61P|C07K
11866496,2024-01-09,Humanized anti-CD79B antibodies and immunoconjugates and methods of use,0,A61K|A61P|C07K|Y02A
11865177,2024-01-09,Composition and methods for stabilizing liquid protein formulations,0,A61K|C07K
11860156,2024-01-02,Bioanalytical analysis of site-specific antibody drug conjugates,0,A61K|C07K|C12Q|G01N
11859252,2024-01-02,Diagnostic and therapeutic methods for cancer,0,A61K|A61P|C12Q
11851661,2023-12-26,Polypeptide expression systems,0,C07K|C12N|C12P
11851501,2023-12-26,Multispecific antibodies,0,A61P|C07K
11845799,2023-12-19,Anti-Ly6G6D antibodies and methods of use,0,A61K|A61P|C07K
11834709,2023-12-05,Multiplexed target-binding candidate screening analysis,0,B01L|C12N|C12Q|G16B
11834461,2023-12-05,Bicyclic ketone compounds and methods of use thereof,0,A61P|C07D
11833206,2023-12-05,Polysorbate mixtures having modified fatty acid ester distribution,0,A61K
11827639,2023-11-28,TDO2 and IDO1 inhibitors,0,A61K|C07D
11802165,2023-10-31,Methods of making fucosylated and afucosylated forms of a protein,1,C07K|G01N
11795170,2023-10-24,"Therapeutic compounds, compositions and methods of use thereof",0,A61P|C07D
11787775,2023-10-17,Therapeutic compounds and methods of use,0,A61P|C07D|C07F
11783366,2023-10-10,Combination therapies,1,A61K|A61P|C12Q|G06Q
11767370,2023-09-26,Process for concentration of antibodies and therapeutic products thereof,2,A61K|B01D|C07K
11767362,2023-09-26,Methods of treating cancers using PD-1 axis binding antagonists and anti-GPC3 antibodies,2,A61K|A61P|C07K
11767312,2023-09-26,"Phthalazinone compound, and preparation method therefor and medical use thereof",2,A61P|C07B|C07D|Y02P
11760797,2023-09-19,Anti-interleukin-33 antibodies and uses thereof,0,A61K|A61P|C07K|Y02A
11760753,2023-09-19,Benzoxazepin oxazolidinone compounds and methods of use,1,A61K|A61P|C07D
11760744,2023-09-19,Fused ring compounds,0,A61K|A61P|C07D
11753464,2023-09-12,Methods and compositions for targeting polyubiquitin,0,A61P|C07K|G01N
11746160,2023-09-05,Antibodies against BACE1 and use thereof for neural disease immunotherapy,0,A61K|A61P|C07K|C12N|C12Y|G01N
11739150,2023-08-29,Anti-CD8 antibodies and uses thereof,0,A61K|C07K
11732054,2023-08-22,Anti-CD3 antibodies and methods of use,0,A61K|A61P|C07K
11731943,2023-08-22,"Therapeutic compounds, compositions and methods of use thereof",0,A61P|C07D
11725065,2023-08-15,Assembly of bispecific antibodies,0,C07K
11725050,2023-08-15,Anti-interleukin-33 antibodies and uses thereof,1,A61K|A61P|C07K|C12N
11708608,2023-07-25,Therapeutic and diagnostic methods for IL-33-mediated disorders,0,A61P|C12Q|G01N|Y02A
11702479,2023-07-18,Anti-jagged antibodies and methods of use,0,A61K|A61P|C07K
11702452,2023-07-18,Process for making arylomycin ring analogs,0,A61P|C07D|C07K
11702428,2023-07-18,Chemical compounds as inhibitors of interleukin-1 activity,1,A61K|A61P|C07D|Y02A
11701356,2023-07-18,"Treatment of breast cancer using combination therapies comprising an AKT inhibitor, a taxane, and a PD-L1 inhibitor",0,A61K|A61P|C07K
11692043,2023-07-04,Peptidomimetic compounds and antibody-drug conjugates thereof,0,A61K|A61P|C07K
11680931,2023-06-20,Chromatography method for quantifying a non-ionic surfactant in a composition comprising the non-ionic surfactant and a polypeptide,0,A61K|B01D|G01N
11676731,2023-06-13,Diagnostic and therapeutic methods for the treatment of breast cancer,0,G01N|G16H
11674962,2023-06-13,Therapeutic and diagnostic methods for cancer,0,A61K|A61P|C07K|C12Q|G01N|G06F|G16H|Y02A
11673892,2023-06-13,Bicyclic compounds for use as RIP1 kinase inhibitors,0,A61P|C07B|C07D
11667706,2023-06-06,Methods of purifying recombinant anti-abeta antibodies,0,A61K|A61P|C07K
11666581,2023-06-06,PROTAC antibody conjugates and methods of use,0,A61K|A61P|C07K|C12N|C12Y
11655305,2023-05-23,Treatment of metastatic breast cancer,5,A61K|A61P|C07K
11655245,2023-05-23,Oxadiazole transient receptor potential channel inhibitors,0,A61K|A61P|C07D
11654105,2023-05-23,Subcutaneous HER2 antibody formulations,6,A61K|A61P|C07K|C12Y
11649241,2023-05-16,"Pyrazolochlorophenyl compounds, compositions and methods of use thereof",0,A61P|C07D
11648317,2023-05-16,Stable anti-CD79B immunoconjugate formulations,1,A61J|A61K|C07K
11648315,2023-05-16,Silvestrol antibody-drug conjugates and methods of use,0,A61K|A61P|C07D|C07K|G01N
11643421,2023-05-09,Process for the preparation of tricyclic PI3K inhibitor compounds and methods for using the same for the treatment of cancer,0,A61K|A61P|C07D
11639395,2023-05-02,Prevention of disulfide bond reduction during recombinant production of polypeptides,7,A61K|A61P|C07K
11638756,2023-05-02,Adjuvant treatment of HER2-positive breast cancer,6,A61K|A61P|C07K
11634836,2023-04-25,Randomized configuration targeted integration of nucleic acids,0,C07K|C12N|C40B
11634436,2023-04-25,Pyridine lactam compounds and methods of use thereof,2,A61P|C07B|C07D
11612606,2023-03-28,8-aminoisoquinoline compounds and uses thereof,0,A61K|C07D
11607396,2023-03-21,Bicyclic amide compounds and methods of use thereof,0,A61K|A61P|C07D
11603373,2023-03-14,TDO2 and IDO1 inhibitors,0,A61P|C07D
11597776,2023-03-07,Composition comprising antibody that binds to domain II of HER2 and acidic variants thereof,5,A61K|A61P|C07K|G01N
11597761,2023-03-07,Methods of detecting polyubiquitin using anti-polyubiquitin antibodies,1,A61P|C07K|G01N
11591382,2023-02-28,Expression of Fc-containing proteins,1,C07K|C12N|C12P
