patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429454,2025-09-30,Gas sensor,0,G01N|Y02A
12416601,2025-09-16,Gas sensor,0,G01N|Y02A
12416600,2025-09-16,Sensor element of gas sensor and method for forming protective layer of sensor element,0,G01N
12399146,2025-08-26,Sensor element of NOX sensor and method for manufacturing sensor element of NOX sensor,0,G01N
12385849,2025-08-12,Inspection method and inspection system for pillar-shaped honeycomb structure made of ceramic,0,B25J|G01B|G01N|G05B|G06T|H04N
12372494,2025-07-29,Gas sensor,0,G01N
12372493,2025-07-29,Gas sensor,0,G01N
12366565,2025-07-22,Gas sensor and method of diagnosing moisture absorption state of gas sensor,0,G01N
12366550,2025-07-22,Gas sensor,0,G01N
12352722,2025-07-08,Gas sensor,0,G01N
12298269,2025-05-13,Sensor element and gas sensor,0,G01N
12265054,2025-04-01,Sensor element and gas detection method using sensor element,0,G01N
12253488,2025-03-18,Gas sensor,0,G01N
12222314,2025-02-11,Sensor element of NOx sensor,0,G01N
12222313,2025-02-11,Sensor element of gas sensor,0,G01N
12216075,2025-02-04,Gas sensor element and gas sensor,0,G01M|G01N|Y02A
12202236,2025-01-21,Capacitive sensor,0,B32B|C04B|G01F|G01N
12153012,2024-11-26,Gas sensor,0,G01N
12153011,2024-11-26,Gas sensor,0,G01N
12140579,2024-11-12,Gas sensor and gas sensor operation control method,0,G01N|Y02A
12135307,2024-11-05,Sensor element of gas sensor,0,G01N
12117386,2024-10-15,Inspection device and inspection method for pillar-shaped honeycomb filter,0,B01D|G01N
12105047,2024-10-01,Sensor element and gas sensor with enhanced waterproofing,0,G01N
12066397,2024-08-20,Sensor element and gas sensor,0,G01M|G01N
12066396,2024-08-20,Sensor element,0,G01N|Y02A
12007352,2024-06-11,Gas sensor,0,G01N
11959877,2024-04-16,Gas sensor,1,G01N|G01R|Y02A
11940406,2024-03-26,Sensor element and gas sensor,0,G01N|Y02A
11921079,2024-03-05,Gas sensor,0,G01N|Y02A
11921078,2024-03-05,Sensor element and gas sensor,0,G01N
11915409,2024-02-27,Inspection method and inspection system for pillar-shaped honeycomb structure made of ceramic,1,B25J|G01B|G01N|G05B|G06T|H04N
11913900,2024-02-27,Sensor element,0,G01N
11899002,2024-02-13,Gas sensor and method for controlling operation of gas sensor,0,G01N|Y02A
11898881,2024-02-13,"Gas sensor manufacturing method, gas sensor, and protective cover",0,G01D|G01N
11885765,2024-01-30,Sensor element,0,C04B|G01N
11885764,2024-01-30,Gas sensor,0,G01N|Y02A
11879865,2024-01-23,Sensor element,1,C04B|G01N
11879864,2024-01-23,Metal terminal,0,G01N|H01R
11852607,2023-12-26,Sensor element and gas sensor,0,G01N|Y02A
11852606,2023-12-26,Gas sensor for suppressing an increase in the temperature of a grommet while suppressing an increase in the size cost of gas sensor parts,0,G01N
11815485,2023-11-14,Gas sensor,0,G01N
11808730,2023-11-07,Gas sensor element,0,G01N|Y02A
11796441,2023-10-24,Inspection method and inspection system for pillar-shaped honeycomb structure,0,G01N
11774398,2023-10-03,Sensor element and gas sensor,0,G01N
11768169,2023-09-26,"Ceramic heater, sensor element, and gas sensor",0,G01N|H05B
11761899,2023-09-19,Inspection method and inspection system for cylindrical honeycomb structure made of ceramics,1,G01N|G06T|H04N
11733202,2023-08-22,"Gas sensor, element sealing body of gas sensor, tubular body, and assembly method of gas sensor",0,G01M|G01N
11733201,2023-08-22,Gas sensor,0,G01N
11692986,2023-07-04,Sensor element and gas sensor,0,G01N
11686700,2023-06-27,Gas sensor,0,G01N|Y02A
11680926,2023-06-20,Gas sensor,0,G01N
11668670,2023-06-06,Gas sensor,0,G01N
11662293,2023-05-30,Inspection method for pillar-shaped honeycomb filter,0,G01N
11656151,2023-05-23,Sensor,0,F01N|G01M|G01N
11614394,2023-03-28,Method for estimating characteristics of ceramic fired body,0,G01N
11609206,2023-03-21,Gas sensor,0,G01N
11604161,2023-03-14,Gas sensor,0,G01N|Y02A
11592419,2023-02-28,Sensor element for gas sensor,2,G01N|Y02A
11585781,2023-02-21,Gas sensor,0,G01N|Y02A
11579113,2023-02-14,Gas sensor element,0,G01N
11579112,2023-02-14,Gas sensor element,2,G01N
11573197,2023-02-07,Gas sensor with angled sealing element,0,G01N|Y02A
11567034,2023-01-31,Gas sensor set and method of measuring concentrations of a plurality of target components within a gas to be measured,0,F01N|G01N|Y02A
11567033,2023-01-31,Sensor element,2,G01N
11567032,2023-01-31,"Ceramic heater, sensor element, and gas sensor",0,G01N|H05B
11536687,2022-12-27,Sensor element and gas sensor,0,G01N|Y02A
11531014,2022-12-20,Gas sensor and gas sensor operation control method,1,G01N|Y02A
11525802,2022-12-13,Gas sensor and sensor element,0,G01N|Y02A
11506628,2022-11-22,Sensor element,0,G01N|Y02A
11499921,2022-11-15,Inspection method and inspection system for pillar-shaped honeycomb structure,1,G01N|G06T
11486853,2022-11-01,Gas sensor and protective cover,0,G01D|G01N|Y02A
11486852,2022-11-01,Gas sensor element and gas sensor,3,G01N|Y02A
11474089,2022-10-18,Sensor element and gas sensor,1,G01N
11467122,2022-10-11,Gas sensor and gas concentration measurement method,0,F01N|G01N
11460456,2022-10-04,Gas sensor,0,G01N
11442036,2022-09-13,Sensor element and gas sensor,0,G01N
11422083,2022-08-23,Method and apparatus for identifying valid or invalid flow path,0,B01D|C04B|G01N
11415544,2022-08-16,Sensor element,2,G01N
11408873,2022-08-09,Gas sensor system,0,F01N|G01N|Y02A|Y02T
11402314,2022-08-02,"Method for inspecting separation membrane structure, method for manufacturing separation membrane module, and method for manufacturing separation membrane structure",1,B01D|B01L|G01N
11398021,2022-07-26,Method for inspecting pillar-shaped honeycomb formed body before firing or after firing,0,G01N|G06T
11391691,2022-07-19,Gas sensor,1,G01N
11391690,2022-07-19,Sensor element and gas sensor,0,G01N
11391689,2022-07-19,Gas sensor,0,G01N
11385199,2022-07-12,Sensor element,2,G01N
11385197,2022-07-12,Sensor element,2,F02D|G01N
11378543,2022-07-05,Gas sensor and sensor element,0,F01N|G01N|Y02A|Y02T
11378542,2022-07-05,Gas sensor,0,G01N
11371975,2022-06-28,Gas sensor and protective cover,0,G01N
11360043,2022-06-14,Sensor element,2,G01N
11327043,2022-05-10,Sensor element for gas sensor,2,G01N
11300538,2022-04-12,Gas sensor assembling apparatus and assembling method,0,G01B|G01N|H01R
