patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12404538,2025-09-02,Compositions and methods for preserving DNA methylation,0,A01N|C12N|C12Q
12404311,2025-09-02,"Synthetic plasmodium antigens, compositions, and uses thereof",0,A61K|C07K|Y02A
12403184,2025-09-02,Compositions and methods for treating neurodegenerative disroders,0,A61K|A61P
12403104,2025-09-02,Compounds and methods of promoting myelination,0,A61K|A61P|C12N
12398185,2025-08-26,Peptoid blocking O-GlcNAcylated NF-kappaB c-Rel,0,A61K|A61P|C07K
12391703,2025-08-19,Aldoketo reductase inhibitors and uses thereof,0,A61P|C07D
12378284,2025-08-05,Compositions and methods for the delivery of nucleic acids,0,C07K|C12N
12377172,2025-08-05,Methods and compositions for the detection of cancer,0,A61K|C07K|G01N
12377118,2025-08-05,Nanoparticle constructs for systemic co-delivery of anti-tumor agents,0,A61K
12359175,2025-07-15,Viral nanoparticle multimers,0,B82Y|C07K|C12N
12350326,2025-07-08,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N|Y02A
12336982,2025-06-24,Compositions and methods of modulating short-chain dehydrogenase activity,0,A61K|A61P|C07D
12319726,2025-06-03,Method for treating CD40-mediated diseases,0,A61K|A61P|C07K
12318180,2025-06-03,Magneto-optical detection of Lyme disease using magnetic nanoparticles,0,A61B|G01N
12312390,2025-05-27,Rapid-acting insulin analogues of enhanced stability,0,A61K|A61P|C07K
12310954,2025-05-27,Salivary gland regeneration,0,A61K|A61P
12281985,2025-04-22,Methods for microscopy with ultraviolet surface excitation (MUSE) imaging,0,G01N|G02B|G03B|H04N
12281314,2025-04-22,Methods and compositions for increasing protein expression and/or treating a haploinsufficiency disorder,0,A61K|A61P|C12N
12258632,2025-03-25,Methods and compositions for detecting esophageal neoplasias and/or metaplasias in the esophagus,0,A61P|C12Q|G01N
12253469,2025-03-18,Systems and methods for improved light-sheet microscopy,0,G01N|G02B|G03B|H04N
12251410,2025-03-18,Anticancer trail-targeted plant virus particles,0,A61K|A61P|C07K|C12N
12251373,2025-03-18,Compounds and methods of treating retinal degeneration,0,A61K|A61P
12247228,2025-03-11,Non-covalent loading of plant picovirus particles,0,A61K|A61P|C12N
12241862,2025-03-04,Electrochemical sensor for lead detection,0,G01N
12239721,2025-03-04,Polydopamine decorated tobacco mosaic theranostic virus nanoparticles,0,A61K
12227810,2025-02-18,Methods and compositions for detecting esophageal neoplasias and/or metaplasias in the esophagus,0,A61P|C12Q|G01N
12210019,2025-01-28,Epithelial cancer evaluation using beta defensin,0,C12Q|G01N
12203073,2025-01-21,Plant viral RNA delivery nanoparticles and uses thereof,0,A61K|C07K|C12N
12186279,2025-01-07,Sustained release cowpea mosaic virus or virus-like particle therapeutic constructs for the treatment of cancer,0,A61K|A61P|B82Y|C12N
12181386,2024-12-31,Lipid-preserving refractive index matching for prolonged imaging depth for transparent tissue sample and composition,0,G01N
12171834,2024-12-24,Compositions and methods for inhibiting the activity of LAR family phosphatases,0,A61K|A61P
12161698,2024-12-10,Synthetic platelets,0,A61K|B82Y|C07K
12161659,2024-12-10,Compositions and methods for the delivery of nucleic acids,0,A61K|C07K|C12N
12161635,2024-12-10,Compositions and methods of treating PIK3CA helical domain mutant cancers,0,A61K|A61P
12156947,2024-12-03,Melt processed viral nanoparticle constructs,0,A61K|A61P|B82Y|C07K|C12N
12156884,2024-12-03,Cancer treatment using β-(1-3)-(1-4)-glucan,0,A61K|A61P
12144863,2024-11-19,PSMA targeted conjugate compounds and uses thereof,0,A61K|A61P
12144788,2024-11-19,Visual cycle modulators,0,A61K|A61P
12138300,2024-11-12,Methods and compositions for inducing neural plasticity,0,A61K|A61P|C07K|C12N|C12Y
12138261,2024-11-12,Inhibitors of Bcl-2,0,A61K
12135332,2024-11-05,Mutant human estrogen receptor-α and methods of use thereof,0,C07K|G01N
12133901,2024-11-05,PSMA ligand targeted compounds and uses thereof,0,A61K|A61P|B82Y|C07F
12129285,2024-10-29,TDP-43 mitochondrial localization inhibitor for the treatment of neurogenerative disease,0,A61K|A61P|C07K
12102644,2024-10-01,Compounds and methods of promoting myelination,0,A61K|A61P|C07J|C12N
12098135,2024-09-24,Aldoketo reductase inhibitors and uses thereof,0,A61P|C07D
12083191,2024-09-10,Composition and methods for imaging cells,0,A61K
12083089,2024-09-10,Compositions and methods for stimulating ventilatory and/or respiratory drive,0,A61K
12072310,2024-08-27,Dielectric sensing to characterize properties of a sample under test,0,B01L|G01N
12070478,2024-08-27,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N
12064410,2024-08-20,Compositions and methods for stimulating ventilatory and/or respiratory,0,A61K
12062178,2024-08-13,Automated segmentation and guided correction of endothelial cell images,0,C12N|G02B|G06T|G06V
12060577,2024-08-13,Compositions for expanding natural killer cells,0,A61K|C07K|C12N
12060318,2024-08-13,Compositions and methods for the delivery of nucleic acids,0,A01K|A61K|A61P|B82Y|C07C|C12N
12048678,2024-07-30,Compounds for treating myelin related disorders,0,A61K|A61P|C07D
12023354,2024-07-02,Targeting B cell activating factor receptor (BAFF-R) using ligand-based chimeric antigen receptor (CAR)-T cells,0,A61K|A61P|C07K|C12N
12013397,2024-06-18,Compositions and methods for determining cancer prognosis,0,G01N
12011432,2024-06-18,Method of modulating ribonucleotide reductase,0,A61K|A61P
12011428,2024-06-18,Compositions and methods for stimulating ventilatory and/or respiratory drive,0,A61K|A61P
11998620,2024-06-04,PSMA targeted compounds and uses thereof,0,A61K|C07B
11998594,2024-06-04,Anti-cancer plant virus particles linked to HER2 antigens,0,A61K|A61P|C07K|C12N
11982638,2024-05-14,Magneto-optical detection and discernment of biofluid crystals,0,G01N|G01R
11975074,2024-05-07,Photodynamic therapy composition,0,A61K
11946075,2024-04-02,Freeze dried viral nanoparticle constructs,0,C12N|C12Y
11944716,2024-04-02,Particulate coated hydrogel microparticles,0,A61K|A61L|B82Y|C07K|C08J|C12N
11944624,2024-04-02,Peptide and small molecule agonists of EphA and their uses,0,A61K|A61P|C07D
11931339,2024-03-19,Compositions and methods for treating tissue injury,0,A61K|A61P|C07D
11920147,2024-03-05,Genomic RNA packaging enhancer element,0,C07K|C12N
11911468,2024-02-27,Compositions and methods of treating sarcoma lung metastasis,0,A61K|A61P|C07K
11903952,2024-02-20,Vitamin D as an immune modulator to prevent immune-related complication from COVID-19 infection,0,A61K|A61P
11896676,2024-02-13,Targeting cancer cells and tissue using filamentous plant virus particles,0,A61K
11884730,2024-01-30,Methods of sensitizing cancer to immunotherapy,0,A61K|A61P|C07K|C12N|C12Y
11883505,2024-01-30,Anticancer drug-containing plant virus particles,0,A61K|A61P|C12N
11865103,2024-01-09,Methods of treating disorders associated with glycosylation defective proteins,0,A61K|A61P
11845955,2023-12-19,Scatter labeled imaging of microvasculature in excised tissue (SLIME),0,A61B|C12N|G01N|G06T
11833124,2023-12-05,Compositions and methods for modulating HEXIM1 expression,0,A61K
11827680,2023-11-28,Compounds and methods of treating usher syndrome III,0,A61K|A61P|C07K|C12N
11814372,2023-11-14,Agonists of EPHA and their uses,0,A61P|C07D
11801315,2023-10-31,Radioligands for myelin,0,A61K|G01N
11793853,2023-10-24,Retinylamine derivitives for treatment of ocular disorders,0,A61K
11787845,2023-10-17,"Synthetic plasmodium antigens, compositions, and uses thereof",0,A61K|C07K|Y02A
11779634,2023-10-10,Fungal iron acquisition inhibitors and uses thereof,0,A61K|A61P
11774388,2023-10-03,Dielectric sensing to characterize hemostatic dysfunction,0,B01L|G01N
11744826,2023-09-05,Compounds and methods of treating retinal degeneration,1,A61K|A61P
11739301,2023-08-29,Tymovirus virus and virus-like particles as nanocarriers for imaging and therapeutic agents,0,A61K|A61P|C12N
11738099,2023-08-29,Molecular probes and methods of use,0,A61K
11738090,2023-08-29,Plant virus particles for delivery of antimitotic agents,0,A61K|A61P|C07K
11730803,2023-08-22,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N|Y02A
11718589,2023-08-08,Compositions and methods of modulating short-chain dehydrogenase,1,A61K|A61P|C07D|C12N|Y02A
11709146,2023-07-25,Microfluidic pH-stat for point of care (POC) enzyme diagnostics,0,C12Q|G01N
11708393,2023-07-25,Targeted non-invasive imaging probes of EGFR expressing cells,0,C07K
11697807,2023-07-11,Electrochemical biosensor,0,C12N|C12Q|G01N
11690847,2023-07-04,Combinations of 15-PGDH inhibitors with corticosteroids and/or TNF inhibitors and uses thereof,1,A61K|A61P|C07D
11672840,2023-06-13,Anticancer trail-targeted plant virus particles,1,A61K|A61P|C07K|C12N
11667948,2023-06-06,Methods for reducing or alleviating inflammation in the digestive tract,0,C12Q|C12Y|G01N
11654204,2023-05-23,Rod-shaped plant virus nanoparticles as imaging agent platforms,0,A61K|C12N
11654117,2023-05-23,Melt processed viral nanoparticle constructs,0,A61K|A61P|B82Y|C07K|C12N
11648323,2023-05-16,Heteromultivalent particle compositions,0,A61K|C12Y
11624095,2023-04-11,Method of quantifying HIV reservoirs by induced transcription based sequencing,0,A61K|C12Q
11617802,2023-04-04,Methods and compositions for treating a premature stop codon-mediated disorder,0,A61K|A61P|C07K
11617787,2023-04-04,Cancer immunotherapy using virus particles,0,A61B|A61K|A61N|A61P|C12N
11596682,2023-03-07,Autologous and allogenic HIV-1 proteins for the treatment of latent HIV-1 infection,0,A61K|A61P|C12N
11590183,2023-02-28,Cancer immunotherapy using virus particles,0,A01K|A61K|A61P|C12N
11583572,2023-02-21,Encapsulation of ultra-stable insulin analogues with polymer melts,0,A61K|A61P|C07K
11576900,2023-02-14,Compositions and methods of reducing serum cholesterol and PCSK9,0,A61K|A61P
11540796,2023-01-03,Prediction of risk of post-ablation atrial fibrillation based on radiographic features of pulmonary vein morphology from chest imaging,2,A61B|G01N|G06N|G06T|G16H
11529430,2022-12-20,Polydopamine decorated tobacco mosaic theranostic virus nanoparticles,0,A61K
11525770,2022-12-13,Process and system for sizing two-dimensional nanostructures,0,B82Y|C01B|G01B|G01N
11518748,2022-12-06,Aldoketo reductase inhibitors and uses thereof,0,A61P|C07D
11497812,2022-11-15,Compositions and methods for inhibiting the activity of LAR family phosphatases,1,A61K|A61P
11471565,2022-10-18,Engineered tissue constructs,0,A61L|C12N
11442127,2022-09-13,"System and method for dynamic multiple contrast enhanced, magnetic resonance fingerprinting (DMCE-MRF)",0,A61B|A61K|G01R|G06T
11439688,2022-09-13,Synthetic platelets,0,A61K|B82Y|C07K
11439623,2022-09-13,Method of modulating ribonucleotide reductase,0,A61K|C07C
11433123,2022-09-06,Sustained release cowpea mosaic virus or virus-like particle therapeutic constructs for the treatment of cancer,0,A61K|A61P|B82Y|C12N
11427801,2022-08-30,Scatter labeled imaging of microvasculature in excised tissue (SLIME),0,A61B|C12N|G01N|G06T
11426420,2022-08-30,Inhibitors of short-chain dehydrogenase activity for treating coronary disorders,3,A61K|A61P|C07K
11426386,2022-08-30,Compositions and methods of modulating S-nitrosylation,0,A61K|A61P
11422131,2022-08-23,Sensor for detection of analytes,0,G01N
11408854,2022-08-09,Magneto-optical detection and discernment of biofluid crystals,0,G01N|G01R
11408844,2022-08-09,Dielectric sensing to characterize hemostatic dysfunction,0,G01N
11407786,2022-08-09,Compositions and methods for the delivery of nucleic acids,0,C07K|C12N
11390853,2022-07-19,Freeze dried viral nanoparticle constructs,0,C12N|C12Y
11389430,2022-07-19,Methods of treating respiratory disorders,0,A61K
11389427,2022-07-19,Compositions and methods of treating cardiac hypertrophy and heart failure,0,A61K|A61P
11382991,2022-07-12,Molecular probes for imaging of myelin,0,A61K|G01N
11382882,2022-07-12,Anti-virulence compositions and methods,0,A61K|A61P
11376590,2022-07-05,Diagnostic system for hemoglobin analysis,6,B01L|G01N
11371025,2022-06-28,Non-covalent loading of plant picovirus particles,1,A61K|A61P|C12N
11351155,2022-06-07,Compositions and methods of modulating s-nitrosylation,0,A61K|A61P
11344511,2022-05-31,Compounds and methods of promoting myelination,1,A61K|A61P|C12N
11306406,2022-04-19,"Electrochemical processing of materials, methods and production",0,A61L|B05D|C07K|C25D|D01D|D01F
11273236,2022-03-15,Engineered tissue constructs,0,A61K|A61L|C12M|C12N
11260127,2022-03-01,Mesoporous silica nanoparticles for diagnostic and therapeutic applications,0,A61K|A61P
11260121,2022-03-01,Cancer immunotherapy using virus particles,0,A61K|A61P|C12N|Y02A
11255811,2022-02-22,Sensor for lead detection,0,G01N
11253610,2022-02-22,Plant virus particles for delivery of antimitotic agents,8,A61K|A61P|C07K
11253489,2022-02-22,Visual cycle modulators,0,A61K|A61P
11236345,2022-02-01,Methods of modulating nucleic acid stability and protein expression,0,C12N|C12P
11229685,2022-01-25,Fungal iron acquisition inhibitors and uses thereof,0,A61K|A61P
11229641,2022-01-25,Inhibitors of Bcl-2,1,A61K
11213494,2022-01-04,Compositions and methods for the treatment of pervasive development disorders,0,A61K|A61P
11208453,2021-12-28,Rapid-acting insulin analogues of enhanced stability,1,A61K|A61P|C07K
11202836,2021-12-21,PSMA targeted conjugate compounds and uses thereof,1,A61K|A61P
11193111,2021-12-07,Viral nanoparticle multimers,0,B82Y|C07K|C12N
11192949,2021-12-07,HIV-1 vaccine,0,A61K|A61P|C07K|C12N
11191871,2021-12-07,Particulate coated hydrogel microparticles,0,A61K|A61L|B82Y|C07K|C08J|C12N
11191752,2021-12-07,Compounds and methods of treating retinal degeneration,2,A61K|A61P
11175252,2021-11-16,Dielectric sensing for blood characterization,0,A61B|G01N
11174303,2021-11-16,Single-chain insulin analogues stabilized by a fourth disulfide bridge,1,A61K|A61P|C07K
11167047,2021-11-09,Coated plant virus imaging agents,8,A61K
11142560,2021-10-12,Biphasic single-chain insulin analogues,0,A61K|A61P|C07K
11136629,2021-10-05,Methods and compositions for detecting gastrointestinal and other cancers,2,C07H|C12Q
11130801,2021-09-28,Method for inhibiting platelet derived growth factor signaling with C3aR or C5aR antibodies,6,A61K|A61P|C07K|G01N
11129866,2021-09-28,Inhibitors of valosin-containing protein and methods of use,0,A61K
11129845,2021-09-28,Compositions and methods for the delivery of nucleic acids,0,A61K|C07K|C12N
11125717,2021-09-21,Electrochemical sensor for lead detection,1,G01N
11125713,2021-09-21,Electrochemical sensor for analtye detection,0,G01N
11124571,2021-09-21,Methods of sensitizing cancer to immunotherapy,0,A61K|A61P|C07K|C12N|C12Y
11124553,2021-09-21,TDP-43 mitochondrial localization inhibitor for the treatment of neurogenerative disease,0,A61K|A61P|C07K
11112309,2021-09-07,Digital micromirror device and kinematically tunable wavelength filter-based imaging systems,0,G01J|G01N|G02B
11110076,2021-09-07,Methods of treating disorders associated with glycosylation defective proteins,1,A61K|A61P
11105805,2021-08-31,Method for detecting HIV-1 co-receptor tropism,0,C12N|C12Q|G01N
11097034,2021-08-24,Compositions and methods of modulating endochondral ossification and bone formation,0,A61K|A61L|A61P
11071754,2021-07-27,Method of generating tumor-specific T cells,0,A61K|A61P|C12N
11065338,2021-07-20,Polysaccharide therapeutic conjugates,0,A61K
11065202,2021-07-20,Multi-component nanochains,0,A61K|A61P|Y10S|Y10T
11058316,2021-07-13,Dielectric sensing for sample characterization,0,A61B|G01N
11020497,2021-06-01,Rod-shaped plant virus nanoparticles as imaging agent platforms,9,A61K|C12N
11013700,2021-05-25,Compounds and methods of treating ocular disorders,0,A61K|A61P
11009479,2021-05-18,Systems and methods for the detection of HbA1c,6,G01N
10995129,2021-05-04,Non-standard insulin analogues,0,A61K|A61P|C07K
10994009,2021-05-04,Compositions and methods of treating sarcoma lung metastasis,1,A61K|A61P|C07K
10987343,2021-04-27,Compositions and methods for treating pulmonary diseases,0,A61K|A61P
10982216,2021-04-20,Methods and compositions for enhancing functional myelin production,0,A61P|C07K|C12N
