patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12399122,2025-08-26,"Fluorescence intensity correcting method, fluorescence intensity calculating method, and fluorescence intensity calculating apparatus",0,G01N
12391833,2025-08-19,Polymeric dyes with linker groups comprising deoxyribose,0,C07H|C09B|G01N
12379304,2025-08-05,"Particle analyzer, particle analysis method, and optical measurement device",0,G01N|G02B
12371652,2025-07-29,"Priming method of microparticle sorting microchip, microparticle sorting method, microparticle sorting device, and program",0,C12M|G01N
12367671,2025-07-22,Image processing device and image processing method for determining activity of a plant based on a camera image,0,A01G|G01N|G06T|G06V
12366531,2025-07-22,"Data generation method, fluorescence observation system, and information processing apparatus",0,G01N|G02B
12366518,2025-07-22,Particle analysis system and particle analysis method,0,G01N
12361573,2025-07-15,Information processing apparatus and information processing method for shape measurement of target,0,A61B|G01B|G01N|G06T|G06V
12360035,2025-07-15,"Information processing apparatus, particle analysis apparatus, particle fractionation apparatus, and information processing method",0,G01N
12359071,2025-07-15,Polymeric tandem dyes with linker groups,0,C07F|C09B|G01N
12352945,2025-07-08,"Microscope device, spectroscope, and microscope system",0,G01J|G01N|G02B
12347525,2025-07-01,"Label selection support system, label selection support device, method of supporting label selection, and program for supporting label selection",0,G01N|G06N|G16B
12320965,2025-06-03,"Microscope system, imaging method, and imaging apparatus",0,G01N|G02B|G03B
12320741,2025-06-03,Polarization imaging system and polarization imaging method,0,G01B|G01J|G01N|G02B|G06T
12319817,2025-06-03,Polymeric tandem dyes with linker groups,0,C07F|C09B|G01N
12313639,2025-05-27,"Particle confirming method, particle trapping chip, and particle analyzing system",0,B01L|C12M|C12Q|G01N|G06V
12306115,2025-05-20,Sensor apparatus and water amount measurement apparatus,0,G01N|G01R
12298231,2025-05-13,Fluorescent spectrum correcting method and fluorescent spectrum measuring device,0,G01N
12298220,2025-05-13,"Information processing apparatus, particle analysis apparatus, information processing method, and program",0,G01N
12298218,2025-05-13,"Particle detection apparatus, information processing apparatus, information processing method, and particle detection method",0,G01N
12296339,2025-05-13,"Microparticle sorting device, cell therapeutic agent manufacturing device, microparticle sorting method and program",0,A61K|B01L|C12Q|G01N
12292381,2025-05-06,"Fluorescence observation apparatus, fluorescence observation system, and fluorescence observation method",0,G01N|G02B
12290814,2025-05-06,"Bubble discharging method, particle trapping apparatus, and particle analyzing apparatus",0,B01L|C12M|G01N
12290571,2025-05-06,Programmable dendritic drugs,0,A61K|A61P
12287277,2025-04-29,"Information processing apparatus, particle measuring apparatus, particle measuring system, particle dispensing apparatus, particle dispensing system, information processing method, and information processing program",0,G01N|G16B
12287275,2025-04-29,"Information processing apparatus, particle sorting system, program, and particle sorting method",0,G01N|G06N
12284455,2025-04-22,Optical measurement device and optical measurement system,0,C12M|G01J|G01N|H04N
12276591,2025-04-15,"Spectrum analysis apparatus, fine particle measurement apparatus, and method and program for spectrum analysis or spectrum chart display",0,G01J|G01N
12275851,2025-04-15,Polymeric tandem dyes with linker groups,0,C07F|C09B|G01N
12270812,2025-04-08,Ultra bright dimeric or polymeric dyes with spacing linker groups,0,C07F|C09B|G01N
12265040,2025-04-01,Sensor device,0,G01N
12265039,2025-04-01,"Measurement device, measurement system, and measurement method",0,G01N
12265015,2025-04-01,"Method for optimizing microparticle suction conditions, microparticle sorting device, microparticle sorting system, and microparticle sorting program",0,G01N
12259309,2025-03-25,"Microparticle measurement spectrometer, microparticle measurement device using the microparticle measurement spectrometer, and method for calibrating microparticle measurement photoelectric conversion system",0,G01J|G01N
12248134,2025-03-11,"Microscope system, focus adjustment program, and focus adjustment system",0,G01N|G02B
12245846,2025-03-11,Scattered light signal measuring apparatus and information processing apparatus,0,A61B|G01N|G01P
12240747,2025-03-04,Particle extraction apparatus and particle extraction method,0,B01L|B81B|G01N
12224063,2025-02-11,"Information processing device, information processing method, and information processing system",0,G01N|G06T|G16H
12209944,2025-01-28,"Sample liquid-sending apparatus, flow cytometer, and sample liquid-sending method",0,G01N
12198425,2025-01-14,"Method, system, and medium having stored thereon instructions that cause a processor to execute a method for obtaining image information of an organism comprising a set of optical data",0,A01G|G01J|G01N|G06Q|G06T|G06V|H04N
12196663,2025-01-14,"Microparticle sorting device, microparticle sorting system, droplet sorting device, droplet control device, and droplet control program",0,G01N
12194104,2025-01-14,Phosphoalkyl ribose polymers comprising biologically active compounds,0,A61K|A61P|C07H
12180440,2024-12-31,Microchip and sample sorting kit,0,B01L|C12M|G01N
12174136,2024-12-24,Gas detection method and information processing apparatus,0,G01N
12169175,2024-12-17,Imaging system,0,A61B|G01N|G02B
12163886,2024-12-10,"Information processing apparatus, information processing method, information processing system, and computer program",0,G01N
12163872,2024-12-10,Particle sorting kit,0,B01L|G01N
12158411,2024-12-03,Optical measurement apparatus and information processing system,0,G01N
12146824,2024-11-19,Optical measuring device and optical measuring system,0,G01N|H04N
12145956,2024-11-19,Programmable polymeric drugs,0,A61K|A61P|C07F|C08G
12140545,2024-11-12,Information processing device for analyzing a specimen,0,G01N|G06T
12140525,2024-11-12,Measuring device and imaging control method,0,G01N|G06T|G06V|H04N
12138627,2024-11-12,"Microparticle separation method, microparticle separation program, microparticle separation system",0,B01L|G01N
12128409,2024-10-29,Microchip and microparticle fractionating device,0,B01L|G01N
12122988,2024-10-22,Cell evaluation device and cell evaluation system,0,C12M|G01N
12111251,2024-10-08,"Information processing apparatus, information processing method, program, and sensing system",0,B64C|B64G|G01N|G01S|G06T
12103163,2024-10-01,Control apparatus and control method,0,B25J|G01N
12099020,2024-09-24,Detection device and detection method,0,G01N|G01R|G01S
12098161,2024-09-24,Programmable polymeric drugs,0,A61K|A61P|C07F|C08G
12078597,2024-09-03,Framework for image based unsupervised cell clustering and sorting,0,G01N|G06F|G06N|G06T|G06V
