patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429405,2025-09-30,Sequential digestion of polypeptides for mass spectrometric analysis,0,C12Y|G01N
12428660,2025-09-30,Methods for increasing mannose content of recombinant proteins,0,C07K|C12N|C12P
12428425,2025-09-30,Heterocyclic compounds as triggering receptor expressed on myeloid cells 2 agonists and methods of use,0,A61K|A61P|C07D
12427136,2025-09-30,Formulations of apremilast,0,A61K
12421304,2025-09-23,Method for inhibiting bone resorption,0,A61K|A61P|C07K
12421234,2025-09-23,Solid state forms,0,A61P|C07B|C07D
12415806,2025-09-16,Solid state forms,0,A61P|C07B|C07D
12405275,2025-09-02,Methods for the preparation of trypsin-resistant polypeptides for mass spectrometric analysis,0,G01N
12404536,2025-09-02,Detection assay for protein-polynucleotide conjugates,0,C12Q
12404344,2025-09-02,"Low-viscosity, high concentration evolocumab formulations and methods of making the same",0,A61K|A61P|C07K
12398133,2025-08-26,Solid state forms,0,A61P|C07B|C07D
12384849,2025-08-12,Bispecific antibodies with cleavable C-terminal charge-paired tags,0,C07K
12383572,2025-08-12,Administration of an anti-activin-a compound to a subject,0,A61K|A61P|C07K
12378521,2025-08-05,Method for enhancing production of genetically engineered autologous T cells,0,A61K|C07K|C12N
12371433,2025-07-29,Heteroaryl-biphenyl amines for the treatment of PD-L1 diseases,0,A61K|A61P|C07D
12370304,2025-07-29,Drug delivery device,0,A61K|A61M|C07K|C12N
12364723,2025-07-22,Thermostable compositions comprising live attenuated herpes simplex virus type 1,0,A61K|A61P|C12N
12352755,2025-07-08,Systems and methods for preparing a sample and performing a real-time assay of the sample,0,B01D|C07K|G01N
12351613,2025-07-08,Production of glycoproteins using manganese,0,C07K|C12N|C12P
12351588,2025-07-08,Salt forms and solvates of Mcl-1 antagonists,0,A61P|C07B|C07D
12344668,2025-07-01,Methods for modulating mannose content of recombinant proteins,0,A61K|A61P|C07K|C12N|C12P
12331122,2025-06-17,Anti-ASGR-1 monoclonal inhibitory antibodies,0,A61K|A61P|C07H|C07K|C12N
12325737,2025-06-10,Total afucosylated glycoforms of antibodies produced in cell culture,0,C07K|C12P
12319691,2025-06-03,Heterocyclic compounds as triggering receptor expressed on myeloid cells 2 agonists and methods of use,0,A61K|A61P|C07D
12318447,2025-06-03,Lyophilized powder configured for reconstitution as a liquid pharmaceutical formulation with reduced viscosity and method of preparing thereof,0,A61K|C07K
12312412,2025-05-27,MAGEB2 binding constructs,0,A61K|A61P|C07K
12312381,2025-05-27,Capture purification processes for proteins expressed in a non-mammalian system,0,C07K
12310999,2025-05-27,Biomarkers for cancer therapeutics,0,A61K|A61P|C07K|G01N
12297292,2025-05-13,Antibody constructs for CDH19 and CD3,0,A61K|A61P|C07K
12297260,2025-05-13,DKK1 antibodies and methods of use,0,A61K|A61P|C07K
12297248,2025-05-13,Methods of treating graft versus host disease using IL-2 muteins,0,A61K|A61P|C07K
12295952,2025-05-13,Methods of treating heart failure with cardiac sarcomere activators,0,A61K|A61P
12281176,2025-04-22,Binding molecules for BCMA and CD3,0,A61K|A61P|C07K
12281175,2025-04-22,Binding molecules for BCMA and CD3,0,A61K|A61P|C07K
12280056,2025-04-22,Combination therapy including a KRASG12C inhibitor and one or more additional pharmaceutically active agents for the treatment of cancers,3,A61K|A61P|C07K
