patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421563,2025-09-23,Leather improving agent,0,C12N|C14C
12419819,2025-09-23,Method for forming coating film,0,A61K|A61Q|B05D
12419818,2025-09-23,External preparation,0,A61K|A61Q
12409128,2025-09-09,Shampoo comprising a silicone blend and a ternary surfactant mixture,0,A61K|A61Q|C11D
12409118,2025-09-09,External skin preparation,0,A61K|A61Q
12403078,2025-09-02,Dyeing composition in aqueous-alcoholic medium,0,A61K|A61Q
12390403,2025-08-19,"Aqueous oxidative composition comprising orthodiphenols or imidazolidin-2,4-dione derivatives",0,A61K|A61Q
12384985,2025-08-12,Detergent,0,A61K|A61Q|C11D
12384970,2025-08-12,Surfactant composition,0,A61K|A61Q|C09K|C11D|D06M
12383487,2025-08-12,Cleaning agent,0,A61K|A61Q|C11D
12383480,2025-08-12,"Dyeing method for keratin fibers comprising a direct azo-dye and an organic alkalizing agent, and kit-of-parts thereof",0,A61K|A61Q
12383478,2025-08-12,Cosmetic product for dyeing keratin fibers,0,A61K|A61Q
12378287,2025-08-05,Norovirus-binding peptide,0,C07K|G01N|Y02A
12377038,2025-08-05,Cosmetic composition,0,A61K|A61Q
12357550,2025-07-15,Hair dyeing composition with improved durability,0,A61K|A61Q
12351947,2025-07-08,Electrospinning apparatus and system and method thereof,0,A45D|A61K|A61M|A61Q|B05B|D01D
12350360,2025-07-08,Cosmetic product for dyeing keratin fibers,0,A61K|A61Q
12350359,2025-07-08,Dyeing composition comprising direct dyes,0,A61K|A61Q
12343418,2025-07-01,Hair cosmetic,0,A61K|A61Q
12337055,2025-06-24,Bleaching composition for keratin fibers,0,A61K|A61Q
12319943,2025-06-03,Mutant protease,0,C11D|C12N|C12P
12318464,2025-06-03,Surfactant composition,0,A61K|A61Q|C09K|C11D|D06M
12305197,2025-05-20,Proliferation method,0,A61K|C07K|C12N
12292450,2025-05-06,Examination method for dementia or risk thereof,0,G01N
12285518,2025-04-29,Detergent,0,A61K|A61Q|C11D
12285514,2025-04-29,Cosmetic composition,0,A61K|A61Q
12280127,2025-04-22,Composition for forming coating film,0,A61K|A61Q
12274772,2025-04-15,Bleaching composition for keratin fibers,0,A61K|A61Q
12233141,2025-02-25,Bleaching and coloring composition for keratin fibers comprising direct dyes,0,A61K|A61Q
12227782,2025-02-18,Method for producing protein,0,C12N|C12P|C12R|C12Y
12226500,2025-02-18,Method for suppressing adhesion of air harmful substances,0,A61K|A61Q|B82Y
12226497,2025-02-18,Method for producing coating film,0,A45D|A61K|A61Q|B05B
12220478,2025-02-11,Hair cosmetic composition,0,A61K|A61Q
12208156,2025-01-28,Cleanser,0,A61K|A61Q
12194127,2025-01-14,Cosmetic composition,0,A61K|A61Q
12171322,2024-12-24,Hair holder and hair treatment method using same,0,A45D|G01N
12153062,2024-11-26,Method for estimating physical property of aqueous sample,0,C11D|G01N
12144883,2024-11-19,Cosmetic composition,0,A61K|A61Q
12121605,2024-10-22,"Dyeing composition for keratin fibers comprising a direct dye and an organic alkalizing agent, method for dyeing; and kit-of-parts thereof",0,A61K|A61Q
12103911,2024-10-01,Method for producing composition containing gallic acid,0,C07C|C12N|C12P|C12R
12102703,2024-10-01,Hair dyeing composition comprising blue dyes,0,A61K|A61Q
12064505,2024-08-20,Cosmetic composition,0,A61K|A61Q
12029754,2024-07-09,"Adhesive sheet for affixation to body, housed in container",0,A61F|A61K|A61P|A61Q
12029746,2024-07-09,Oral composition,0,A21D|A23C|A23G|A23L|A23V|A61K
12018230,2024-06-25,Surfactant composition,0,A61K|A61Q|C09K|C11D
11999988,2024-06-04,Method of increasing lipid productivity in nannochloropsis by introducing a gene encoding both a thioredoxin domain and a thioredoxin reductase domain,0,A01G|A01H|C12N|C12P|C12R|Y02A
11975086,2024-05-07,Method for removing keratotic plugs,0,A61K|A61P|A61Q
11969436,2024-04-30,Method for treating skin irritation caused by parabens,0,A61K|A61P|C12Q|G01N
