patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428459,2025-09-30,Protein tag to induce ligand dependent degradation of protein/protein-fusions,0,A61K|C07K|C12N
12428412,2025-09-30,Acetylation writer inhibitor development and uses thereof,0,A61K|A61P|C07D|C12N
12419885,2025-09-23,Kinase inhibitors and methods of use thereof,0,A61K|A61P|C07D
12415816,2025-09-16,Benzothiazole derivatives and 7-aza-benzothiazole derivatives as janus kinase 2 inhibitors and uses thereof,0,A61K|A61P|C07D
12410194,2025-09-09,Potent and selective azaindole inhibitors of CDK8 and CDK19,0,A61P|C07D
12404557,2025-09-02,Biomarkers predictive of anti-immune checkpoint response,0,A61K|C12Q|G01N
12403135,2025-09-02,"4H-pyrrolo[3,2-c]pyridin-4-one derivatives",0,A61K|A61P|C07D|C12Q
12398145,2025-08-26,Bicyclic urea kinase inhibitors and uses thereof,0,A61K|A61P|C07D
12391733,2025-08-19,Stapled intracellular-targeting antimicrobial peptides to treat infection,0,A61K|A61P|C07K|Y02A
12391671,2025-08-19,Allosteric EGFR inhibitors and methods of use thereof,0,A61K|A61P|C07D
12385099,2025-08-12,Circulating microrna signatures for ovarian cancer,0,A61P|C12Q|G16B
12377080,2025-08-05,Allosteric EGFR inhibitors and methods of use thereof,0,A61K|A61P|C07D
12371709,2025-07-29,Multifunctional nucleic acid reporter constructs,0,C12N|C12Q
12366576,2025-07-22,"Compositions, assays, and methods for direct modulation of fatty acid metabolism",0,A61K|A61P|C07K|C12Y|G01N
12365696,2025-07-22,Small-molecule focal adhesion kinase (FAK) inhibitors,0,A61K|A61P|C07D|C12Y
12365677,2025-07-22,Degraders that target proteins via KEAP1,0,A61K|C07D
12365664,2025-07-22,Small molecule inhibitors of SRC tyrosine kinase,0,A61P|C07D
12358960,2025-07-15,Selective targeting of ubiquitin- and ubiquitin-like E1-activating enzymes by structurally-stabilized peptides,0,A61K|C07K
12358918,2025-07-15,Aryl hydrocarbon receptor (AHR) activator compounds as cancer therapeutics,0,A61K|C07D|G01N
12351862,2025-07-08,Crisscross cooperative self-assembly,0,B82Y|C07H|C12Q
12344643,2025-07-01,Compositions and methods for inhibition of FOXP3,0,A61K|C07K
12337034,2025-06-24,Humanized CC chemokine receptor 4 (CCR4) antibodies and methods of use thereof,0,A61K|A61P|C07K
12331069,2025-06-17,DOT1L degraders and uses thereof,0,A61P|C07H
12331037,2025-06-17,Pyrimidines as EGFR-inhibitors and methods of treating disorders,0,A61P|C07D
12329821,2025-06-17,Degradation of bruton's tyrosine kinase (BTK) by conjugation of BTK inhibitors with E3 ligase ligand and methods of use,0,A61K|A61P|C07D
12325725,2025-06-10,Cyclin-dependent kinase degraders and methods of use,0,A61P|C07J
12318452,2025-06-03,Degraders of WEE1 kinase,0,A61K
12313632,2025-05-27,Tepoxalin targeting of ABCB1 overexpressing cancers,0,A61K|A61P|C12Q|G01N
12297426,2025-05-13,DNA damage response signature guided rational design of CRISPR-based systems and therapies,0,A61K|A61P|C12N|C12Q
12282014,2025-04-22,Methods of identifying compounds that interfere with ERG-driven misguidance of BAF complexes in TMPRSS2-ERG driven prostate cancers,0,A61P|G01N
12281126,2025-04-22,Inhibitors of cyclin-dependent kinase 7 and uses thereof,0,A61K|A61P|C07D
12275731,2025-04-15,Azaindole inhibitors of wild-type and mutant forms of LRRK2,0,A61P|C07D
12268748,2025-04-08,Nucleic acid nanostructures crosslinked with oligolysine,0,A61K
12268739,2025-04-08,Use of toll-like receptor 2 (TLR-2) agonist for modulating human immune response,0,A61K|A61P|C12N|Y02A
12263166,2025-04-01,Methods of treating cancers having a BRCA1 and/or BRCA2 mutation(s),0,A61K|A61P|C07K|C12N|C12Y|G01N
12258560,2025-03-25,Compositions and methods for transient gene therapy with enhanced stability,0,A61K|A61P|C07K|C12N
12258409,2025-03-25,Method of assessing the efficacy of a test agent for modulating programmed death 1 (PD-1) signaling by using anti-phosphotyrosinylated PD-1 monoclonal antibodies,0,A61K|C07K|G01N
12258378,2025-03-25,"Engineered cells, T cell immune modulating antibodies and methods for using the same",0,A61K|C07K|C12N
12258323,2025-03-25,Dihydrooxadiazinones,0,A61K|A61P|C07D
12246004,2025-03-11,Therapeutic treatment of microsatellite unstable cancers,0,A61K|A61P|C12N|C12Q|C12Y
12239646,2025-03-04,Cancer diagnostic and treatment,0,A61K|A61P|C12Q|C40B|G01N
12234220,2025-02-25,Immunomodulatory compounds,0,A61K|C07D
12233128,2025-02-25,Degraders that target ALK and therapeutic uses thereof,0,A61K|A61P|C07D
12227548,2025-02-18,Use of IRE1α-XBP1 signaling pathway biomarkers for modulating immune responses,0,A61K|A61P|C07K|C12N|C12Q|C12Y|G01N|Y02A
12227501,2025-02-18,"3-amino-2-[2-(acylamino)pyridin-4-yl]-1,5,6,7-tetrahydro-4h-pyrrolo[3,2-c]pyridin-4-one as CSNK1 inhibitors",0,A61P|C07D
12227488,2025-02-18,Small molecule degraders of Helios and methods of use,0,A61K|A61P|C07D
12202904,2025-01-21,IL-23R antagonists to reprogram intratumoral T regulatory cells into effector cells,0,A61K|A61P|C07K|C12N|G01N
12195802,2025-01-14,Universal early cancer diagnostics,0,A61P|C12N|C12Q|G01N
12195725,2025-01-14,Compositions and methods for modulating and detecting tissue specific TH17 cell pathogenicity,0,A61K|A61P|C07K|C12N|C12Q|G01N
12195514,2025-01-14,Chimeric antigen receptors and methods of use thereof,0,C07K
12194080,2025-01-14,"Methods for identification, assessment, prevention, and treatment of metabolic disorders using PM20D1 and N-lipidated amino acids",0,A61K|A61P|C12N|C12Q|C12Y|G01N
12194055,2025-01-14,Solute carrier family 46 member 3 (SLC46A3) as marker for lipid-based nanoparticle cancer therapy and diagnostics,0,A61K|A61P|C12N|C12Q|G01N
12187701,2025-01-07,Taire family kinase inhibitors and uses thereof,0,A61K|C07D
12186278,2025-01-07,Mesothelin chimeric antigen receptor (CAR) and antibody against PD-L1 inhibitor for combined use in anticancer therapy,0,A61K|A61P
12173351,2024-12-24,DNA-tagged methanol responsive polymer for single-stranded nucleic acid production,0,C12N|C12Q
12171783,2024-12-24,Methods and compositions for targeting developmental and oncogenic programs in H3K27M gliomas,0,A61K|A61P|C07K
12168803,2024-12-17,Compositions and methods for screening and diagnosis of prostate cancer,0,A61K|A61P|C12N|C12Q|G01N
12168663,2024-12-17,Inhibitors of cyclin-dependent kinase 7 (CDK7),0,A61K|A61P|C07D
12165747,2024-12-10,Molecular spatial mapping of metastatic tumor microenvironment,0,C12N|C12Q|G01N|G16B|G16H|Y02A
12161663,2024-12-10,Compositions and methods for targeting cells,0,A61B|A61K|C08F|G01N
12161649,2024-12-10,Inhibitors of EGFR and methods of use thereof,0,A61K|A61P|C07D
12157741,2024-12-03,Macrocyclic inhibitors of DYRK1A,0,A61P|C07D
12153051,2024-11-26,Reagents for quantitative mass spectrometry,0,C07B|C07C|C07D|C07K|G01N
12152008,2024-11-26,Cyclopentaimidazolones for the treatment of cancer,0,A61K|A61P|C07D
12146196,2024-11-19,C-RAF mutants that confer resistance to RAF inhibitors,0,A61K|A61P|C12N|C12Q|C12Y|G01N
12146168,2024-11-19,Human CGAS-DNA complex and encoded protein,0,A01K|A61K|A61P|C07B|C07K|C12N|C12Y|G16B|Y02A
12139535,2024-11-12,Methods for upregulating immune responses using combinations of anti-RGMb and anti-PD-1 agents,0,A61K|A61P|C07K|C12N
12129248,2024-10-29,Chromobox protein inhibitors and uses thereof,0,A61P|C07D
12123019,2024-10-22,Uses of kinase inhibitors for inducing and maintaining pluripotency,0,C12N
12121521,2024-10-22,Uses of salt-inducible kinase (SIK) inhibitors for treating osteoporosis,0,A61K|A61P
12116636,2024-10-15,Methods for evaluating tumor cell spheroids using 3D microfluidic cell culture device,0,C12M|C12N|C12Q|C12Y|G01N
12115151,2024-10-15,Method of treatment of p53 WT tumors,0,A61K|A61P|Y02A
12110292,2024-10-08,Ligands to cereblon (CRBN),0,A61P|C07D
12109266,2024-10-08,Modulating gabarap to modulate immunogenic cell death,0,A61K|A61P|C07K|C12N|G01N
12109212,2024-10-08,Methods of treating cancer having an active Wnt/β-catenin pathway,0,A61K|A61P|C07K|C12N|G01N
12103972,2024-10-01,"KIR3DL3 as an HHLA2 receptor, anti-HHLA2 antibodies, and uses thereof",0,A61K|A61P|C07K|G01N
12098154,2024-09-24,Inhibitors of cyclin-dependent kinases,0,A61K|A61P|C07D|C07K
12076390,2024-09-03,Humanized influenza monoclonal antibodies and methods of use thereof,0,A61K|A61P|C07K
12060366,2024-08-13,Bispecific degraders,0,A61K|A61P|C07D
12054787,2024-08-06,Compositions and methods comprising digital signatures to predict response and resistance to targeted therapy and immunotherapy,0,C12Q
12053476,2024-08-06,"Compounds, compositions and methods for cancer patient stratification and cancer treatment",0,A61K|A61P|C07D|G01N
12050219,2024-07-30,Modulating biomarkers such as SPP to increase tumor immunity and improve the efficacy of cancer immunotherapy,0,A61K|A61P|C07K|C12N|G01N
12048676,2024-07-30,Agents for reversing toxic proteinopathies,0,A61K|A61P|C12Q|G01N
12043870,2024-07-23,Methods and compositions for detecting and modulating an immunotherapy resistance gene signature in cancer,0,A61K|C12Q|G16B|Y02A
12042513,2024-07-23,Proteolysis targeting chimeric molecules (PROTACs) with functional handles and uses thereof,0,A61K|A61P|C07D|C08G
12030892,2024-07-09,CRBN modulators,0,A61K|A61P|C07D
12024567,2024-07-02,Method of treating a tumor expressing carbonic anhydrase IX (G250) by administering a G250-specific chimeric antigen receptor,1,A61K|A61P|C07K|C12N|C12Y
12023385,2024-07-02,Tunable endogenous protein degradation with heterobifunctional compounds,0,A61K|A61P|C07K|C12N|C12Y
12023308,2024-07-02,Agents for reversing toxic proteinopathies,0,A61K|A61P|C12Q|G01N
12019000,2024-06-25,Systems and methods for capturing cells,0,G01N|G02B
12018080,2024-06-25,Methods and compositions for treating cancer by targeting the CLEC2D-KLRB1 pathway,0,A61K|A61P|C07K|C12N|Y02A
12006555,2024-06-11,Method to determine responsiveness of cancer to epidermal growth factor receptor targeting treatments,0,A61P|C12Q|G01N
12005073,2024-06-11,"Methods for modulating regulatory T cells, regulatory b cells, and immune responses using modulators of the april-taci interaction",0,A61K|C07K|C12N
12000843,2024-06-04,Compositions and methods for diagnosing and treating peroxisomal diseases,0,A61K|G01N
11999729,2024-06-04,Small molecule inhibition of transcription factor SALL4 and uses thereof,0,A61K|A61P|C07D
11998593,2024-06-04,Combination vaccine devices and methods of killing cancer cells,0,A61K|A61P|C07K|C12N
11982674,2024-05-14,Reagents for quantitative mass spectrometry,1,C07B|C07C|C07D|C07K|G01N
11981922,2024-05-14,Methods and compositions for the modulation of cell interactions and signaling in the tumor microenvironment,0,A61K|C07K|C12N|C12Q|G01N
11971411,2024-04-30,Compositions and methods for screening and identifying clinically aggressive prostate cancer,0,C12Q|G01N
11963966,2024-04-23,Compositions and methods for treating ovarian tumors,0,A61K|A61P|C12Q
11957739,2024-04-16,Compositions and methods for treating cancer using RHOA dominant negative forms,0,A61K|A61P|C07K|C12N|C12Y|G01N
11957713,2024-04-16,Compositions and methods for treating diseases and disorders of the central nervous system,0,A01K|A61K|A61P|C12N
11952432,2024-04-09,Cell-permeable stapled peptide modules for cellular delivery,0,A61K|C07K
11946105,2024-04-02,Bacterial etiology of colorectal cancer,0,C12Q
11945846,2024-04-02,Stapled intracellular-targeting antimicrobial peptides to treat infection,1,A61K|A61P|C07K|Y02A
11945816,2024-04-02,Inhibitors of EGFR and/or HER2 and methods of use,0,A61P|C07D
11944625,2024-04-02,"Calmodulin inhibitors, Chk2 inhibitors and RSK inhibitors for the treatment of ribosomal disorders and ribosomapathies",0,A61K|A61P
11932646,2024-03-19,Small molecule myristate inhibitors of Bcr-abl and methods of use,0,A61K|A61P|C07D|C07H|Y02A
11932625,2024-03-19,Inhibitors of cyclin-dependent kinase 12 (CDK12) and uses thereof,3,A61P|C07D
11926874,2024-03-12,"Methods for identification, assessment, prevention, and treatment of cancer using PD-L1 isoforms",0,A61P|C12N|C12Q|G01N
11913075,2024-02-27,Methods and compositions for detecting and modulating an immunotherapy resistance gene signature in cancer,0,A61K|A61P|C12Q|G01N
11904310,2024-02-20,High-throughput dynamic reagent delivery system,0,B01L|C12M|C12Q|G01N
11896678,2024-02-13,Compositions and methods for treatment of peroxisome proliferator-activated receptor gamma (PPARG) activated cancer,0,A61K|A61P|C12N|G01N
11884970,2024-01-30,Denaturation-enhanced DNA mutation testing for limited biological specimens,0,C12Q
11878019,2024-01-23,Uses of pyrimidopyrimidinones as SIK inhibitors,0,A61K|A61P
11874276,2024-01-16,STING levels as a biomarker for cancer immunotherapy,0,A61K|A61P|C07K|C12Q|G01N
11873486,2024-01-16,"Modulating dsRNA editing, sensing, and metabolism to increase tumor immunity and improve the efficacy of cancer immunotherapy and/or modulators of intratumoral interferon",0,A61K|C12N|C12Q
11867688,2024-01-09,High throughput BH3 profiling: a rapid and scalable technology to BH3 profile on low numbers of cells,0,G01N
