patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421185,2025-09-23,Compositions and methods for treating cancer,0,A61K|A61P|C07B|C07C|C07D|C12Q
12414947,2025-09-16,Use of FGFR inhibitors for treatment of idiopathic short stature,0,A61K|A61P
12411127,2025-09-09,Measurement of hydrogen sulfide during breath testing,0,A61K|G01N
12391752,2025-08-19,Methods of enriching or amplifying nucleic acids in a sample from a patient with inflammatory bowel disease,0,A61K|A61P|C07K|C12Q
12378528,2025-08-05,Systems and methods for growth of intestinal cells in microfluidic devices,0,C12M|C12N|G01N
12378519,2025-08-05,Microfluidic model of the blood brain barrier,0,B01L|C12M|C12N|C12Q
12365951,2025-07-22,Diagnostic testing using microbial biomarkers to classify pelvic and bladder pain,0,C12Q
12338283,2025-06-24,Methods for targeting the immune checkpoint PD1 pathway for treating pulmonary fibrosis,0,A61K|A61P|C07K
12324559,2025-06-10,Systems and methods for recording simultaneously visible light image and infrared light image from fluorophores,0,A61B|G01J|G01N|G06T|H04N
12318186,2025-06-03,Breath gas analysis,0,A61B|G01N
12306192,2025-05-20,Method of detecting cognitive impairment,0,A61B|G01N|G06T
12305236,2025-05-20,Methods and systems for selection and treatment of patients with inflammatory diseases,0,A61K|A61P|C07K|C12Q
12305196,2025-05-20,Compact mechanical syringe extruder for 3D bioprinting of cell laden gels,0,A61L|B33Y|C12N
12281359,2025-04-22,Variants of TNFSF15 and DCR3 associated with Crohn's disease,0,A61P|C12Q
12269873,2025-04-08,Signature of TL1A (TNFSF15) signaling pathway,0,A61K|A61P|C07K|C12Q|G01N
12264368,2025-04-01,Methods of treating refractory inflammatory disease using transcriptomic and genetic risk signatures,0,A61P|C12Q|G01N
12258571,2025-03-25,Methods and compositions for inducible expression of neurotrophic factors,0,A61K|A61P|C07K|C12N
12241085,2025-03-04,Human pluripotent stem cell derived neurodegenerative disease models on a microfluidic chip,0,B01L|C12M|C12N|G01N
