patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429446,2025-09-30,High-throughput electrochemical characterization apparatus and system and methods for using the same,0,G01N
12383492,2025-08-12,Coatings for biological interface on implants,0,A61K|A61L
12354835,2025-07-08,Systems and methods for selective molecular ion deposition,0,B33Y|G01N|H01J
12339317,2025-06-24,Systems and methods for precise signal injection into microelectronic devices,0,G01N|G01R|H01S
12338480,2025-06-24,Aconitic acid exporter (aexA) increases organic acid production in aspergillus,0,C07K|C12N|C12P|C12R|C12Y
12319594,2025-06-03,Composition and method for capture and degradation of PFAS,0,A62D|B01J|C02F|G01N
12315105,2025-05-27,High resolution imaging of microelectronic devices,0,G01N|G01R|G02B|G06T
12285416,2025-04-29,Compositions and methods for reducing muscle contraction,0,A61J|A61K|A61P
12264116,2025-04-01,Method and system embodiments for converting ethanol to para-xylene and ortho-xylene,0,C07C|C12P
12236573,2025-02-25,Optical end-pointing for integrated circuit delayering; systems and methods using the same,0,G01N|G06T
12217170,2025-02-04,Data handling and machine learning,0,G01N|G01R|G06F|G06N
12216310,2025-02-04,Mixed-matrix composite integrated fiber optic CO2 sensor,0,B82Y|C03C|C08G|C08K|C09D|G01N|G02B|Y02C
12214485,2025-02-04,Robot for bio-surveillance and bio-surveillance system,0,B25J|G01N|G05D
12154249,2024-11-26,Multimodal inspection system,0,G01N|G01S|G06T
12109223,2024-10-08,Polymer nanoparticle and DNA nanostructure compositions and methods for non-viral delivery,0,A61K|B82Y|C08F|C12N
12099048,2024-09-24,Aquatic organism monitoring devices and aquatic organism monitoring methods,0,A01K|G01N|Y02A
12080860,2024-09-03,Battery cell and in situ battery electrode analysis method,0,G01N|H01M|Y02E
12078623,2024-09-03,Techniques for determining active ingredient (AI) volatility for agricultural spray solutions,0,A01M|G01N|H01J
12077698,2024-09-03,"Luminescent nanoparticle tracers, and systems and methods for fabrication and use thereof",0,B82Y|C09K|G01N|Y10T
12038242,2024-07-16,Heat exchanger assemblies having embedded sensors,0,F28D|F28F|G01N|G21C|Y02E
12031128,2024-07-09,"Rapid design, build, test, and learn technologies for identifying and using non-viral carriers",0,A61K|C12N|C12Q|G01N
12025605,2024-07-02,Oil recovery sensor,0,G01D|G01F|G01N|G01R
12007341,2024-06-11,X-ray baggage and parcel inspection system with efficient third-party image processing,0,G01N|G01V|G06T
12005452,2024-06-11,Nanoscale biochemical sample preparation and analysis,1,A61B|B01J|B01L|C12M|C12Q|C40B|G01N|G02B
11959077,2024-04-16,Methods and control compositions for sequencing,0,C12N|C12Q
11906578,2024-02-20,System and method for rapid inspection of printed circuit board using multiple modalities,1,G01N|G01R|G01S|G05B|G06F|G06N|G06Q|G06T|G06V|H04N
11899060,2024-02-13,Systems and methods for precise signal injection into microelectronic devices,0,G01N|G01R|H01S
11891655,2024-02-06,Probe for selectively characterizing enzymes involved in xenobiotic metabolism and method of making and using the same,0,C07C|C07D|C07H|C07K|C12Q|G01N
11891313,2024-02-06,Fluidic impedance platform for in-situ detection and quantification of PFAS in groundwater,0,A62D|B01J|C02F|G01N
11887753,2024-01-30,Systems and methods for assessing cable insulation,0,G01N|G01R|G02B|H01B
11873523,2024-01-16,Aconitic acid exporter (aexA) increases organic acid production in Aspergillus,0,C07K|C12N|C12P|C12R|C12Y
