patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428201,2025-09-30,Oral care product,0,A46B|A61C|A61K|A61Q|B65D
12427099,2025-09-30,Personal care composition,0,A61K|A61Q
12427097,2025-09-30,Oral care compositions comprising monodentate and polydentate ligand,0,A61K|A61Q
12420120,2025-09-23,Antiperspirant and deodorant compositions for increased skin lubricity,0,A61K|A61Q|B26B
12414906,2025-09-16,Compositions and methods for treating hot flashes,0,A61K|A61P|A61Q
12410385,2025-09-09,Automatic dishwashing detergent composition comprising an amylase,0,A47L|C11D|C12N|C12Y
12410383,2025-09-09,Process of making a treatment composition that includes a plant rosin material and related premix compositions,0,A61K|A61Q|C11D
12409127,2025-09-09,Leave-on oral care compositions,0,A61C|A61K|A61Q
12409125,2025-09-09,Shampoo compositions containing a sulfate-free surfactant system and sclerotium gum thickener,0,A61K|A61Q
12409119,2025-09-09,Skin care composition,0,A61K|A61Q
12403103,2025-09-02,Compositions and methods useful for treatment of respiratory illness,0,A61K|A61P
12403094,2025-09-02,Rheological solid oral composition,0,A61K
12403083,2025-09-02,Dissolvable solid structure comprising first and second polymeric structurants,0,A61K|A61Q
12398104,2025-08-26,"Odorless thiols for permanent waving, straightening and depilatory applications",0,A61K|A61Q|C07D
12390407,2025-08-19,"Personal cleansing compositions, methods and uses",0,A61K|A61Q
12384990,2025-08-12,Treatment compositions comprising plant rosin material and certain perfume raw materials,0,A61K|A61Q|C11D
12376951,2025-08-05,Methods for whitening teeth,0,A61C|A61K|A61N|A61Q
12371820,2025-07-29,Natural polymer-based fibrous elements comprising a surfactant and methods for making same,0,A61K|A61L|A61Q|C08L|D01D|D01F
12371642,2025-07-29,Benefit agent containing delivery particle,0,A61K|A61Q|C11D
12366038,2025-07-22,Sanitary tissue product with a shaped line of weakness,0,A47K|A61K|B26D|B26F|D21F|D21H
12364655,2025-07-22,Semisolid oral dispersions comprising active agents,0,A61C|A61K|A61Q
12364651,2025-07-22,"Flexible, porous, dissolvable solid sheet article containing direct-added microcapsules and process for making the same",0,A61K|A61Q|B29K|C08J|C11D
12359205,2025-07-15,Aptamers for personal health care applications,0,A61K|C12N
12357958,2025-07-15,Consumer product comprising biodegradable delivery particles,0,A61K|A61Q|B01J|C08F|C08L|C11D
12357558,2025-07-15,Topical skincare compositions comprising Centella asiatica,0,A61K|A61P|A61Q
12357551,2025-07-15,"Antibacterial cleansing composition, uses and methods",0,A61K|A61Q
12351782,2025-07-08,Liquid treatment compositions comprising delivery particles based on plant rosin material,0,A61K|A61Q|C11D
12350355,2025-07-08,Oral care compositions comprising hops beta acids and fluoride ions,0,A61K|A61Q
12343696,2025-07-01,Capsules,0,A61K|A61Q|B01J|C11B
12343423,2025-07-01,Dissolvable solid article containing preservatives,0,A61K|A61Q
12343410,2025-07-01,Multilayer dissolvable solid article containing coating composition and process for making the same,0,A61K|A61Q|B32B|C11D
12338416,2025-06-24,Fabric and home care products with cold water protease,0,C11D|C12N
12337048,2025-06-24,Oral care compositions comprising tin ions,0,A61K|A61Q
12337047,2025-06-24,Dentifrice compositions comprising tin ions,0,A61K|A61Q
12337044,2025-06-24,Electromagnetic radiation and multi-phase oral compositions for oral care,0,A61C|A61K|A61N|A61P|A61Q
12331267,2025-06-17,Methods for making unit dose articles,0,A61K|B29C|B29K|B33Y|C11D|D04H
12329838,2025-06-17,Hair dye composition,0,A61K|A61Q
12319898,2025-06-03,Laundry scent additive,0,A61K|B29C|B65D|C11D|D06M
12318465,2025-06-03,Personal care compositions for cleansing the skin,0,A61K|A61Q
12290366,2025-05-06,"Uroflowmetry systems having wearable uroflowmeters, and methods of operating the same",0,A61B|G01G|G01N
12281287,2025-04-22,Treatment compositions comprising certain plant rosin materials,0,A61K|A61Q|C11D
12280573,2025-04-22,Biodegradable and/or home compostable sachet containing a solid article,0,A61K|A61Q|B32B|B65D|Y02W
12280132,2025-04-22,Skin care composition,0,A61K|A61Q
12280128,2025-04-22,Multi-phase oral composition,0,A61C|A61K|A61N|A61P|A61Q
12268765,2025-04-08,Personal care compositions substantially free of sulfated surfactants and containing a gel network,0,A61K|A61Q
12251460,2025-03-18,Kits comprising unit-dose oral care compositions,0,A61K|A61Q
12233139,2025-02-25,Oral care compositions containing a gel network phase,0,A61K|A61Q
12226505,2025-02-18,Compositions having enhanced deposition of surfactant-soluble anti-dandruff agents,0,A61K|A61Q
12208149,2025-01-28,Oral care article comprising a hydrophobic delivery carrier and solid hydrophilic particles comprising a bleaching agent,0,A61C|A61K|A61Q
12203219,2025-01-21,Fibrous structures comprising a surfactant,0,A61K|A61Q|B31F|D21H
12201705,2025-01-21,Oral care article comprising a delivery carrier and solid hydrophilic particles comprising a bleaching agent,0,A61C|A61K|A61Q
12194129,2025-01-14,Leave-on oral care compositions,0,A61K|A61Q
12194119,2025-01-14,Dual phase products,0,A45D|A61K|A61Q|B05B|B05C
12194118,2025-01-14,Detergent product and method for making same,0,A61K|A61Q|B32B|C05F|C11D|D01F|H04L|H04N
12188815,2025-01-07,Ultraviolet imaging systems and methods,0,A61B|A61Q|G01J|G01N|G06T
12171855,2024-12-24,Cosmetic compositions comprising sucrose esters and solvents,0,A61K|A61Q
12161738,2024-12-10,Deodorant compositions,0,A61K|A61Q
12157970,2024-12-03,Active agent-containing articles that exhibit consumer acceptable article in-use properties,0,A47K|A61K|A61Q|B32B|C11D|D01F|D04H|D06M
12144882,2024-11-19,Method of improving the appearance of skin,2,A61K|A61Q
12139847,2024-11-12,Active agent-containing articles and product-shipping assemblies for containing the same,0,A61K|A61Q|B32B|C11D|D04H|D06M
12139692,2024-11-12,Laundry scent additive,1,A61K|B29C|B65D|C11D|D06M
12138838,2024-11-12,External sensor kit for injection molding apparatus and methods of use,0,B29C|B29K|G01B|G01L|G01N
12138336,2024-11-12,Personal care composition comprising water insoluble solid organic compound,0,A61K|A61Q
12138333,2024-11-12,Rheological solid composition for use in personal care compositions,0,A61K|A61Q
