patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12415836,2025-09-16,Anti-dengue vaccines and antibodies,0,A61K|A61P|C07K|C12N|Y02A
12390518,2025-08-19,Immunogenic composition,0,A61K|A61P|C07K
12385787,2025-08-12,Terahertz electromagnetic radiation detector,0,B82Y|G01J|G01N
12385036,2025-08-12,Promoters and compositions,0,B01L|C12N
12377138,2025-08-05,Treatment and prevention of malaria,0,A61K|A61P|C07K|C12N|Y02A
12365920,2025-07-22,Adenoviral vector,0,A61K|A61P|C12N|Y02A
12364750,2025-07-22,Conserved region T cell vaccines for coronavirus and methods of use,0,A61K|A61P|C07K|C12N|C12Y
12352746,2025-07-08,Peptide-comprising electrode,0,C07K|G01N
12331101,2025-06-17,Treatment of spinal and bulbar muscular atrophy,0,A61K|A61P|C07K|C12N
12298241,2025-05-13,Method of determining lipoprotein concentration in solution using light scattering,0,G01N
12275762,2025-04-15,Polypeptide and its use in affinity purification,0,C07K
12268749,2025-04-08,Cell-penetrating peptides,0,A61K|C07K|C12N
12247990,2025-03-11,Molecular hopper,0,C12Q|G01N
12246038,2025-03-11,Compositions for inducing an immune response,0,A61K|C07K|C12N
12228533,2025-02-18,Sensor component and process for producing sensor component using electropol ymerization,0,B82Y|C08F|C09D|G01N
12189105,2025-01-07,Interferometric scattering microscopy,0,G01G|G01N|G02B
12173364,2024-12-24,Method for sequencing a heteropolymeric target nucleic acid sequence,1,C07K|C12Q|G01N
12162934,2024-12-10,Gremlin-1 antagonist for the prevention and treatment of cancer,0,A61K|A61P|C07K|G01N
12161616,2024-12-10,"Combination therapy comprising an omega-3 fatty acid, a folate species and a vitamin B12 species",0,A61K|A61P
12122805,2024-10-22,Dendritic detergents for the analysis of proteins by mass spectrometry,0,C07K|G01N|H01J
12116633,2024-10-15,Analysis of T-cell monotypia,0,C07K|C12Q|G01N
12072287,2024-08-27,Scattering microscopy,0,G01N|G02B
12064477,2024-08-20,HPV vaccine,0,A61K|A61P|C07K|C12N
12023376,2024-07-02,Conserved region T cell vaccines for coronavirus and methods of use,0,A61K|A61P|C07K|C12N|C12Y
12019020,2024-06-25,Laser method and apparatus for analysing crystals,0,G01N
12018256,2024-06-25,Method for modifying genes,0,C12N
11998642,2024-06-04,Multisomes: encapsulated droplet networks,0,A61K|B01J|C09B|Y10T
11993788,2024-05-28,Composition comprising B regulatory cells,0,A61K|C07K|C12N|G01N
11980631,2024-05-14,β-lactamase inhibitors,0,A61K|A61P
11970709,2024-04-30,Adenoviral vector,0,A61K|A61P|C12N|Y02A
11944674,2024-04-02,Vaccines,0,A61K|A61P|Y02A
11931374,2024-03-19,Adenosine receptor modulators for the treatment of circadian rhythm disorders,0,A61K|A61P
11921033,2024-03-05,Single-shot Mueller matrix polarimeter,0,G01J|G01N|G02B
11885810,2024-01-30,Detection of membrane proteins by mass spectrometry,0,G01N|H01J
11873323,2024-01-16,Proteins and peptide tags with enhanced rate of spontaneous isopeptide bond formation and uses thereof,0,C07K
11860119,2024-01-02,"Sensor, sensing system and sensing method based on analysis of relaxation time",0,G01N
11857640,2024-01-02,Simian adenovirus and hybrid adenoviral vectors,0,A61K|A61P|C12N|Y02A
11834697,2023-12-05,Electrochemical recognition and quantification of cytochrome c oxidase expression in bacteria,0,C12Q|G01N
11744877,2023-09-05,Method for permeabilizing tumor vasculature using a tumor vasculature permeabilizing molecule to improve access of a therapeutic or diagnostic agent to a tumor,0,A61K|A61P
11733106,2023-08-22,"Sensor, controller and system",0,F24D|F24H|G01K|G01N|G05D
11725238,2023-08-15,"Measurement of analytes with membrane channel molecules, and bilayer arrays",0,C12Q|G01N
11724999,2023-08-15,Inhibitors of RAS-effector protein interactions,0,A61K|A61P|C07D
11707453,2023-07-25,Treatment of unipolar depressive disorder,0,A61K|A61P
11694852,2023-07-04,Electrodes,0,C12P|C12Q|G01N|H01G|Y02E
11653566,2023-05-16,Molecular electronic device,0,B82Y|C12Q|H10K
11624047,2023-04-11,3D printing of gel networks,0,B81C|C12M|C12N
11592382,2023-02-28,Method of analyzing post-translational modifications,0,A61K|G01N
11566268,2023-01-31,Process for producing (R)-3-hydroxybutyl (R)-3-hydroxybutyrate,1,C07B|C07C|C12P|Y02E
11559581,2023-01-24,Antibody conjugates and methods of making the antibody conjugates,2,A61K|C07K
11549097,2023-01-10,Phase transfer of a cargo laden scaffold,1,A61L|B33Y|C12M|C12N
11543377,2023-01-03,Sensing apparatus and sensing method,0,G01N
11534499,2022-12-27,Exosomes comprising therapeutic polypeptides,0,A61K|A61P|C12Y
11439622,2022-09-13,Inhibitors of metallo-beta-lactamases,0,A61K|A61P|C07D|Y02P
11421030,2022-08-23,BTLA antibodies,0,A61K|A61P|C07K|Y02A
11414783,2022-08-16,Laser writing for colour centres in crystals,1,C01B|C30B|G01N
11413272,2022-08-16,Inhibitors of metallo-beta-lactamases,0,A61K|A61P|C07D
11406603,2022-08-09,Multisomes: encapsulated droplet networks,2,A61K|B01J|C09B|Y10T
11384396,2022-07-12,DNA conformation (loop structures) in normal and abnormal gene expression,0,C12Q
11344576,2022-05-31,Induced pluripotent stem cells produced from dendritic cells,0,A61K|A61P|C12N|G01N
11324416,2022-05-10,"Needle probe, apparatus for sensing compositional information, medical drain, method of measuring a thermal property, and method of sensing compositional information",0,A61B|A61M|G01N
11313842,2022-04-26,Separation method using an ion exchanger and a draw solution comprising adsorber particles,0,B01D|B03C|B82Y|G01N
11311509,2022-04-26,Ketone bodies and ketone body esters as blood lipid lowering agents,1,A61K|A61P
