patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12427271,2025-09-30,"Detection and monitoring of dosage delivery for vaporized waxes, solids or viscous oils, and cannabinoids",0,A24C|A24F|A61M|G01N
12405265,2025-09-02,Transient reporters and methods for base editing enrichment,0,C07K|C12N|G01N
12399095,2025-08-26,Reinforced mixed-mode bending apparatus,0,G01N
12398375,2025-08-26,Methods for improved poxvirus yields,0,A61P|C12N
12390934,2025-08-19,"Systems and methods for robotic sensing, repair and inspection",0,B25J|B62D|G01N
12390558,2025-08-19,Injection molding to generate complex hydrogel geometries for cell encapsulation,0,A61L|B29C|B29K|B29L|C12N
12385924,2025-08-12,"Methods and systems for sensitive and multiplexed analysis of biological samples using high-performance cleavable, detectably-labeled tyramide",0,C07D|C09B|C12Q|G01N
12385923,2025-08-12,Cleavable fluorescent tyramide for sensitive and multiplexed analysis of biological samples,0,C12Q|G01N
12385915,2025-08-12,Detection of antigens,0,G01N
12383629,2025-08-12,DNA-affibody-drug nanoparticles for inhibiting the metastasis of cancer cells overexpressing HER2,0,A61K|A61P|B82Y|C07K|C12N
12378606,2025-08-05,Probes and methods for measuring tandem repeats,0,C12Q
12365929,2025-07-22,Reconfigurable DNA nano-tweezer,0,B82Y|C12N|C12P|C12Q
12365889,2025-07-22,Tunable nanoscale cages from self-assembling DNA and protein building blocks,0,A61K|B82Y|C07K|C12N|C12Q|C12Y
12358947,2025-07-15,Method for automated protein purification,0,C07K
12357205,2025-07-15,Systems and methods for the detection and quantification of ammonia and ammonium in fluids,0,A61B|B01D|G01N
12351870,2025-07-08,Methods and systems for sensitive and multiplexed analysis of biological samples using cleavable fluorescent streptavidin and anti-hapten antibodies,0,C12Q|G01N
12351855,2025-07-08,"Bioelectronic circuits, systems and methods for preparing and using them",0,C12Q|G01N
12351817,2025-07-08,Systems and methods for genetic engineering of a polyploid organism,0,C12N|C12Q
12350672,2025-07-08,Systems and methods related to continuous flow droplet reaction,0,B01F|B01L|C12Q
12344845,2025-07-01,Highly knotted molecular topologies from single-stranded nucleic acids,0,C07H|C12N
12338459,2025-06-24,DNA-chimeric antigen receptor T cells for immunotherapy,0,A61K|B82Y|C07K|C12N
12337017,2025-06-24,Microbiota transfer therapy for Pitt Hopkins Syndrome,0,A61K|A61P
12331079,2025-06-17,Oncolytic virus platform to treat cancers with myxoma virus,0,A61K|A61P|C07K|C12N|Y02A
12329382,2025-06-17,Thixotropic biocompatible gel for live cell observation in cell computed tomography,0,A61B|C08J|C08K|C12N|G01N
12320797,2025-06-03,System and method for single molecule detection,0,G01N
12313637,2025-05-27,Antibody based reagents that specifically recognize neurodegenerative disease related forms of the protein TDP-43,0,C07K|G01N
12312589,2025-05-27,RNA-nanostructured double robots and methods of use thereof,0,A61K|B82Y|C12N
12306175,2025-05-20,Biomarkers for detection and treatment assessment of infectious diseases and disorders,0,G01N
12306098,2025-05-20,Methods and related aspects for analyzing exosomes,0,G01N|G16B
12298300,2025-05-13,Single-molecule electronic sequence detector and methods of use,0,C12N|C12Q|G01N
12297443,2025-05-13,Optimized plant expression systems,0,C12N
12296066,2025-05-13,Methods of wound healing with Serp-1 polypeptides,0,A61K|A61L|A61P|C07K
12287299,2025-04-29,Single piece droplet generation and injection device for serial crystallography,0,B01L|G01N
12276653,2025-04-15,Bioelectronic devices with programmable adaptors,0,C12Q|G01N
12275957,2025-04-15,Next generation designer liver organoids and their methods of preparation and use,0,A61K|C12N|G01N
12264318,2025-04-01,Ribosome-mediated incorporation of peptides and peptidomimetics,0,C07D|C12N|C12Y
12264263,2025-04-01,Composite coatings containing phase change materials,0,C09D|C09K|F28D|G01N|Y02E
12259330,2025-03-25,Charge-sensitive optical detection of binding kinetics between phage displayed peptide ligands and protein targets,0,G01N
12259326,2025-03-25,Dry fluorescence calibration technique,0,G01N
12258370,2025-03-25,Betulastatin compounds,0,A61K|A61P|C07J
12257302,2025-03-25,Universal vaccine platform,0,A61K|A61P|C12N|Y02A
12257278,2025-03-25,Methods of treating cancer with TNF expressing myxoma virus,0,A01K|A61K|A61P|C07K|C12N|C12Q
12251478,2025-03-18,Bioactive polymeric dressing for accelerated wound closure,0,A61K|A61L|A61N|A61P
12245536,2025-03-11,"Systems, methods, and apparatuses for implementing automated data modeling and scaling of a soil health data fabric",0,A01B|G01N|G06F|G06Q|G06V|H04L
12241857,2025-03-04,High density and multiplexed nanopore devices with transverse tunneling junction for biomolecule detection and sequencing,0,B01L|B82Y|C12Q|G01N
12241855,2025-03-04,Electrochemical sensing of PFAS using gold nanoparticle functionalized electrodes,0,C25D|G01N
12196757,2025-01-14,Autoantibody biomarkers for the early detection of ovarian cancer,0,G01N|Y02A
12195660,2025-01-14,Biocementation systems and methods,0,C01F|C04B|C09K|C12P|C12Y|E02D
12191806,2025-01-07,Autonomous polarimetric imaging for photovoltaic module inspection and methods thereof,0,G01N|G06T|H02S|H04N|Y02E
12180467,2024-12-31,Nucleic acid-tagged compositions and methods for multiplexed protein-protein interaction profiling,0,C12N|G01N
12178575,2024-12-31,Systems and methods for the detection and quantification of ammonia and ammonium in fluids,1,A61B|B01D|G01N
12165752,2024-12-10,Skylights with integrated photovoltaics and refractive light-steering,0,C12Q|E04D|E06B|F21S|G02B|G16B|G16H|H02S|Y02B|Y02E
12146836,2024-11-19,Method and apparatus for continuous gas monitoring using micro-colorimetric sensing and optical tracking of color spatial distribution,0,G01N|Y02A
12123840,2024-10-22,Device for tuning microfluidic droplet frequency and synchronizing phase for serial femtosecond crystallography,0,B01L|B33Y|C30B|G01N
12116623,2024-10-15,"Portable, low-cost pathogen detection and strain identification platform",0,C12Q
12110313,2024-10-08,Engineered bacterial ribosome compositions and methods,0,C07H|C07K|C12P|C12Y
12092602,2024-09-17,Nano-sized boron-doped diamond (BDD) enabled electrodes,0,C02F|G01N
12085569,2024-09-10,Plasma autoantibody biomarkers for basal like breast cancer,0,C07K|C12N|C12Q|G01N
12085544,2024-09-10,Methods for simultaneous quantification of anions using ion chromatography and suppressed ion conductivity,0,G01N
12084727,2024-09-10,Microbiome markers and therapies for autism spectrum disorders,0,A61K|C12Q|G01N|Y02A
12084691,2024-09-10,Modulating human Cas9-specific host immune response,0,A61K|C07K|C12N|G01N
12084490,2024-09-10,Antibody based reagents that specifically recognize toxic oligomeric forms of tau,0,A61K|A61P|C07K|C12N|G01N
12082938,2024-09-10,Photoacoustic voltage indicators,0,A61B|G01N
12077771,2024-09-03,Universal platform to enhance CRISPR-based gene editing for in vivo therapies,0,C12N
12077750,2024-09-03,Nanocaged enzymes with enhanced catalytic activity and increased stability,0,B82Y|C12N
12072479,2024-08-27,Dark-field microscope apparatus utilizing portable electronic communication device,0,G01N|G02B
12070754,2024-08-27,Systems and methods for continuous flow digital droplet polymerase chain reaction bioanalysis,0,B01F|B01L|C12Q|G01N
12065676,2024-08-20,Photosystem I-hydrogenase chimeras for hydrogen production,0,C07K|C12N|C12P|C12R
12065639,2024-08-20,Expression of functional bacterial type I fatty acid synthase in photosynthetic hosts,0,C12N|C12P|C12R|C12Y
12053455,2024-08-06,Antigen-driven detection and treatment of coccidioidomycosis,0,A61K|G01N
12049662,2024-07-30,Rapid antimicrobial susceptibility testing by video-based object scattering intensity detection,0,C12Q|G01N|G06T
12031981,2024-07-09,Method for electronic detection and quantification of antibodies,0,G01N
12030909,2024-07-09,Methods for targeted protein quantification by bar-coding affinity reagent with unique DNA sequences,0,B01D|C07H|G01N
12030825,2024-07-09,Methods of tracing and/or sourcing plant material,0,A01G|C05G|G01N
12029777,2024-07-09,Serine proteinase inhibitors: Serp-1 and Serp-1 RCL-derived peptides effect on microbiome composition and uses thereof,0,A61K|A61P|C07K|Y02A
12025615,2024-07-02,Methods of classifying response to immunotherapy for cancer,0,A61K|C07K|G01N|G16B|G16H
12018317,2024-06-25,High throughput oil-emulsion synthesis of bowtie barcodes for paired mRNA capture and sequencing from individual cells,0,C12N|C12Q
12018252,2024-06-25,Methods and compositions for identifying neoantigens for use in treating cancer,0,A61K|A61P|C12N|C40B|G01N
12017195,2024-06-25,Apparatus and methods for synthesizing biopolymers,0,B01J|C07K|C40B
11987741,2024-05-21,Biocementation systems and methods,0,C01F|C04B|C09K|C12P|C12Y|E02D
11981937,2024-05-14,"Light-powered, biological methyl laurate production from CO2  and water",0,C12N|C12P|C12Y|Y02E
11978534,2024-05-07,Prediction of binding from binding data in peptide and other arrays,0,G01N|G16B
11976274,2024-05-07,Methods and compositions for identifying neoantigens for use in treating and preventing cancer,0,A61K|A61P|C12N|C40B|G01N
11975327,2024-05-07,Integrated container adapter for photoacoustic microscopy,0,B01L|C12M|G01N
11971410,2024-04-30,Methods of classifying response to immunotherapy for cancer,0,A61K|C07K|G01N|G16B|G16H
11970683,2024-04-30,Method and system for membrane carbonation,0,C12M|C12N
11959905,2024-04-16,System and method for single molecule detection,2,G01N
11952637,2024-04-09,Rapid low-cost detection of SARS-CoV-2 using isothermal amplification and sensing methods,0,C12Q
11944967,2024-04-02,Deterministic ratchet for sub-micrometer bioparticle separation,0,B01L|B03C|G01N
11931460,2024-03-19,Aminoglycoside antibiotic-derived microbead-encapsulated spheroids and methods of making and using the same,0,A61K|A61L
11927556,2024-03-12,Thermal conductivity of viscoelastic materials,0,G01N
11920139,2024-03-05,Regulated expression of antigen and/or regulated attenuation to enhance vaccine immunogenicity and/or safety,0,A61K|A61P|C12N
11918642,2024-03-05,HIV vaccination compositions comprising vaccinia VLPS and plant-produced VLPS presenting HIV antigens,0,A61K|C07K|C12N
11915837,2024-02-27,Electron diffraction intensity from single crystal silicon in a photoinjector,0,G01N|G21K|H01S|H05G
11913138,2024-02-27,Generating recombinant affinity reagents with arrayed targets,0,C12N|C12Q|C40B
11913070,2024-02-27,Methods for sequencing biopolymers,0,C12Q|G01N|G16B
11898157,2024-02-13,Systems and methods for genetic engineering of a polyploid organism,1,C12N|C12Q
11898144,2024-02-13,Synthetic near-threshold translational repressors,0,C12N|H03K
11896724,2024-02-13,Bioactive polymeric dressing for accelerated wound closure,1,A61K|A61L|A61N|A61P
11891689,2024-02-06,Low-capacitance nanopore sensors on insulating substrates,0,B01L|C12Q|C23C|G01N
