patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12392762,2025-08-19,Soil sensor,0,G01N|G01R
12379284,2025-08-05,Gas sensor and powder for gas sensor,0,C04B|G01M|G01N
12366549,2025-07-22,Gas sensor element,0,G01N
12360009,2025-07-15,Gas sensor,0,G01M|G01N
12345675,2025-07-01,Gas sensor element,0,G01N
12345674,2025-07-01,Gas sensor and method of manufacture thereof,0,G01N
12326414,2025-06-10,Gas sensor,0,G01M|G01N
12222312,2025-02-11,Gas sensor,0,G01N
12181439,2024-12-31,Gas sensor,0,G01N
12181436,2024-12-31,Gas sensor element and gas sensor,0,G01N
12163894,2024-12-10,Sensing system and storage medium storing data structure used in sensing system,0,A01G|G01N|G06Q|G16Y
12148638,2024-11-19,Abnormality detection system,0,G01N|G05B|H01L
12140713,2024-11-12,Ultrasonic sensor,0,G01N|G01S|H04R|H10N
12140561,2024-11-12,Gas sensor,0,G01N
12111283,2024-10-08,Gas sensor element and gas sensor,0,G01N
12111282,2024-10-08,Solid electrolyte and gas sensor with thermal shock resistance,0,C04B|G01M|G01N|H01B|Y02E
12061164,2024-08-13,Gas sensor,0,G01N|H01R
12038368,2024-07-16,Control device for particulate matter detection sensor,0,F01N|G01N|Y02T
12031936,2024-07-09,Gas sensor element,0,G01N|H05B
12007300,2024-06-11,Gas sensor,0,F01N|F02D|G01M|G01N
11953467,2024-04-09,Gas concentration detection device,0,G01N|H03M
11953463,2024-04-09,Method of producing gas sensor element,0,G01N
11946897,2024-04-02,Gas sensor,0,G01N
11945413,2024-04-02,Rainfall amount measurement apparatus,0,B60S|G01N|G01W
11933757,2024-03-19,Gas sensor,0,G01N
11927561,2024-03-12,Solid electrolyte for gas sensor and gas sensor,0,C04B|G01N|H01B
11892422,2024-02-06,Particulate-matter detecting sensor element,0,G01N
11846602,2023-12-19,Gas sensor,0,G01N
11835439,2023-12-05,Sensor device having an element cover including inner and outer covers,0,G01M|G01N
11782018,2023-10-10,Gas sensor element and method for manufacturing the same,0,G01N|Y02A
11782017,2023-10-10,Pump electrode and reference electrode for gas sensor,0,G01N
11782016,2023-10-10,Gas sensor,0,G01N
11774403,2023-10-03,Gas sensor control device,0,G01N|Y02A
11753981,2023-09-12,Particulate matter detecting apparatus capable of mounted condition diagnosis,0,F01N|F02D|G01M|G01N|Y02T
11714062,2023-08-01,Gas sensor element and gas sensor,0,G01N
11656196,2023-05-23,"Solid electrolyte, manufacturing method thereof, and gas sensor",0,C04B|G01N|H01B
11643365,2023-05-09,"Solid electrolyte, producing method thereof, and gas sensor",0,C04B|G01N
11624308,2023-04-11,Control apparatus,0,F01N|G01N|Y02T
11604160,2023-03-14,Gas sensor,0,B01D|F01N|G01N|Y02T
11592418,2023-02-28,"Solid electrolyte, manufacturing method thereof, and gas sensor",0,B32B|C04B|G01N
11555463,2023-01-17,Gas sensor element and gas sensor,0,F02D|G01N
11542848,2023-01-03,Control device for exhaust system,0,F01N|F02D|G01M|G01N|Y02T
11530665,2022-12-20,Deterioration determination apparatus for ammonia sensor,0,F01N|F02D|G01N|Y02A
11512622,2022-11-29,Exhaust gas sensor,0,F01N|F02D|G01N|Y02T
11503392,2022-11-15,Ultrasonic sensor,0,G01N|G01S|H04R|H10N
11493424,2022-11-08,Filter-degradation estimating device for vehicular air conditioner,0,B01D|B60H|G01N
11485877,2022-11-01,"Structure body, sensor, and method for producing structure body",0,B05D|B32B|C08G|C09D|C23C|G01N|H01L
11474068,2022-10-18,Gas sensor element and gas sensor,0,G01N
11467120,2022-10-11,Gas sensor,0,G01N
11448574,2022-09-20,Sensor device detecting specific component in gas,0,G01D|G01N
11445304,2022-09-13,Ultrasonic sensor,0,B06B|B81B|G01H|G01N|G01S|G10K|H04R
11428663,2022-08-30,Gas sensor control device,0,F01N|F02D|G01N
11422069,2022-08-23,Sensor device,0,F01N|G01D|G01N|Y02T
11385095,2022-07-12,Ultrasonic distance measuring device,0,G01F|G01K|G01N|G01S
11384675,2022-07-12,Control apparatus,0,F01N|G01N|G05B
11320340,2022-05-03,Gas sensor control device,0,G01M|G01N
11313267,2022-04-26,Particulate matter sensor,0,F01N|G01N
11300539,2022-04-12,Gas sensor,0,F01N|G01N|Y02T
11300532,2022-04-12,Particulate matter detection system,0,F01N|G01M|G01N|Y02T
11286893,2022-03-29,"Physical quantity measuring device, humidity detector abnormality detection device, and humidity detector abnormality detection method",0,F02M|G01F|G01N
11255819,2022-02-22,Insulation inspection device and method,0,F16L|G01N|G01R|H02K
11249043,2022-02-15,Control device for gas sensor,0,G01N
11231354,2022-01-25,Method of manufacturing particulate matter detection element,0,G01M|G01N
11215531,2022-01-04,Oxygen sensor control device with detection switching based on impedance state,0,G01M|G01N
11209388,2021-12-28,Gas sensor,0,F01N|G01N
11209387,2021-12-28,Gas sensor element and gas sensor,0,G01N|Y02A
11193907,2021-12-07,Nitrous oxide concentration detector,0,G01N
11193900,2021-12-07,Heat flow measurement apparatus,0,G01K|G01N
11169012,2021-11-09,Physical quantity measuring device,0,F02M|G01F|G01K|G01N|Y02T
11143643,2021-10-12,"Humidity measurement device, control device for internal combustion engine, and abnormality detection device",0,F02D|F02P|G01N|Y02T
11125715,2021-09-21,Gas sensor,0,G01N
11125193,2021-09-21,Absolute humidity sensor,0,F02D|F02M|G01F|G01K|G01N
