patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428681,2025-09-30,Markers of totipotency and methods of use,0,C12N|C12Q|G01N
12428623,2025-09-30,Generation of midbrain-specific organoids from human pluripotent stem cells,0,C12N
12421515,2025-09-23,Method of stimulating proliferation of a cell,0,A61K|A61P|C07K|C12N|C12Q|C12Y
12414990,2025-09-16,Use of HLA-A*11:01-restricted hepatitis B virus (HBV) peptides for identifying HBV-specific CD8+ T cells,0,A61K|A61P|C12N|G01N
12411112,2025-09-09,"Transducer, device and method for monitoring integrity of an adhesive bond",0,G01N|H10N
12410400,2025-09-09,Methods for generating mimetic innate immune cells from pluripotent stem cells,0,A61K|A61P|C12N
12405167,2025-09-02,Active infrared thermography system and computer-implemented method for generating thermal image,0,G01J|G01N
12404542,2025-09-02,Visual and modular detection of nucleic acids with enzyme-assisted nanotechnology,0,B01L|C12M|C12N|C12Q
12404522,2025-09-02,Disrupting the LINC complex for treating laminopathy,0,A01K|A61P|C07K|C12N|G01N
12404341,2025-09-02,Glypican-3 (GPC-3) antibodies,0,A61K|A61P|C07K|G01N
12378561,2025-08-05,Production of carotenoids and apocarotenoids,0,C07K|C12N|C12P|C12Y
12365706,2025-07-22,Macrocyclic peptides as potent inhibitors of K-RAS G12D mutant,0,A61K|A61P|C07K
12338296,2025-06-24,Peptides and compounds that bind to elongation initiation factor 4E,0,A61K|A61P|C07K
12325881,2025-06-10,Method of determining and treating breast cancer,0,C12Q
12312708,2025-05-27,Apparatus and a method of drawing a fibre,0,A23J|A61K|D01D|D01F|D01H
12306090,2025-05-20,Gas cell and method of forming the same,0,G01N
12286460,2025-04-29,"Polypeptide and related products, methods and uses",0,A61K|A61P|C07K|C12N|C12Q
12258449,2025-03-25,Photocurable compositions having variable viscosities,0,A61C|A61K|B33Y|C08F|C08G|C08L
12246267,2025-03-11,Method of capturing and/or purifying a target,0,B01D|C07K|G01N
12227570,2025-02-18,Anti-CEACAM6 antibodies and methods of use,0,A61K|A61P|C07K|G01N
12227511,2025-02-18,"Bicyclic compounds as kinase modulators, methods and uses thereof",0,A61P|C07D
12214545,2025-02-04,Three-dimensional printing method,0,A61K|B29C|B29K|B29L|B33Y|C08F|C08K|C08L
12209287,2025-01-28,"Kit for identifying malignancy, and uses thereof",0,A61K|A61P|C12Q
12195526,2025-01-14,Anti-p53 antibodies,0,A61K|A61P|C07K
12188096,2025-01-07,Clear cell renal cell carcinoma biomarkers,0,C12Q|G01N
12188092,2025-01-07,Method of determining the risk of developing breast cancer by detecting the expression levels of microRNAs (miRNAs),0,C12Q
12188016,2025-01-07,Antisense oligonucleotides for modulating the function of a T cell,0,A61K|A61P|C12N
12187786,2025-01-07,"Anti-dengue virus antibodies, polypeptides containing variant Fc regions, and methods of use",0,A61K|A61P|C07K|Y02A
12181708,2024-12-31,"Optical fiber for sensing an analyte, methods of forming and using the same",0,G01N|G02B
12180150,2024-12-31,Oligomeric materials for UV blocking applications and methods thereof,0,C07C|C08G|C08K|C08L|C12P
12173340,2024-12-24,Attenuated glutamine synthetase as a selection marker,0,C12N|C12Y
12139712,2024-11-12,Direct and selective inhibition of MDM4 for treatment of cancer,0,A61K|A61P|C12N|C12Q
12133895,2024-11-05,Biodegradable functional polycarbonate nanoparticle carries for delivering molecular cargo,0,A61K|A61P
12109253,2024-10-08,Use of IGFBP7 for treating malaria,0,A61K|A61P|Y02A
12104173,2024-10-01,Method for differentiation of human pluripotent stem cell lines in suspension culture,0,C12N
12104168,2024-10-01,Cell culture medium,0,C12N
12072335,2024-08-27,Method of evaluating progression of an infectious disease and/or inflammatory disease,0,A61K|G01N
12059431,2024-08-13,Combination therapies that enhance antimicrobial/anticancer activities,0,A61K
12038270,2024-07-16,Shearography testing method and system using shaped excitation light having at least one curved line,0,G01B|G01N
12036236,2024-07-16,Antimicrobial guanidinium macromolecules with bacteria targeting moieties,0,A61K|C08G|C08K|C08L|Y02A
11993819,2024-05-28,Method of determining a risk of cancer,0,C12Q
11981729,2024-05-14,Method,0,A61K|A61P|C07K|G01N
11970563,2024-04-30,Heavy metal- and odour-free nanoparticulate compositions,0,A61K|B82Y|C08F
11945877,2024-04-02,Anti-HER2 antibodies,0,A61K|A61P|C07K|G01N
