patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429562,2025-09-30,Lidar system and motor vehicle,0,G01N|G01S
12429469,2025-09-30,Method and device for operating a gas sensor,0,G01N|G06F
12429453,2025-09-30,Evaluation and control unit for a gas sensor,0,G01N|G01R
12372487,2025-07-29,Sensor device for magnetic field measurement by means of optical magnetic resonance measurement,0,G01N|G01R
12360010,2025-07-15,Method for diagnosing a wideband lambda sensor,0,G01M|G01N
12347901,2025-07-01,"Device for determining the hydrogen concentration of an exhaust gas in an exhaust gas line of a fuel cell system, and fuel cell system",0,G01N|H01M|Y02E
12313546,2025-05-27,Sensing devices and chemosensors and compositions relating thereto,0,C09K|G01N
12297541,2025-05-13,Method for producing a nanoscale channel structure,0,B81B|B81C|C23C|G01N
12292407,2025-05-06,Measuring ion strength using closed-loop electrochemical ph modulation,0,C12Q|G01N|G05D
12286676,2025-04-29,"Method for counting cell types or cell markers in a sample, in particular in a blood sample",0,C12N|C12Q
12265047,2025-04-01,"Sensor, including a diaphragm that is open through a clearance, for measuring the concentration of an analysis fluid",0,G01N|Y02T
12260652,2025-03-25,System and method for determining events in a cabin of a vehicle,0,G01N|G06V|H04N
12240752,2025-03-04,Method for producing a sequencing unit for sequencing a biochemical material and sequencing unit,0,B81B|B81C|G01N
12220700,2025-02-11,Device for analysing a biological sample,0,B01J|B01L|C12Q
12203827,2025-01-21,System for sensing water quality or leaks using appliance data and machine learning,0,G01M|G01N|H04Q
12203826,2025-01-21,Method for operating an exhaust gas sensor,0,F02D|G01M|G01N
12198484,2025-01-14,Systems and methods for detecting windshield cracks,0,B60J|C09D|G01N|G07C
12198480,2025-01-14,Using sound to detect vehicle body anomalies,0,G01N|G01S|G07C
12191874,2025-01-07,Method for precisely detecting a signal for example of a sensor,0,G01N|H03M
12181546,2024-12-31,Magnetic field sensor and method for measuring a magnetic field,0,G01N|G01R
12179197,2024-12-31,"Microfluidic sequencing device for multiplying and separating molecular chains, and method for separating molecular chains obtained from an amplification reaction",0,B01L|C12Q
12158441,2024-12-03,"Rain detection device, garden appliance having the rain detection device, and method for sensing rain drops on a surface by means of a rain detection device",0,A01D|B60S|G01N|H03K
12157665,2024-12-03,"Process for producing a base of an analysis cell for analyzing a biochemical material, and analysis cell",0,B01L|B81B|B81C|G01N
12142093,2024-11-12,Automated windshield damage detection and mitigation for autonomous vehicles,0,G01N|G07C|H04R
12135302,2024-11-05,Sensing device compensating for cross-sensitivity to analytes,0,B01L|G01N
12135271,2024-11-05,Sensor device and particulate matter sensor,0,G01K|G01N
12130251,2024-10-29,Method for operating a gas sensor device and gas sensor device for ascertaining pieces of information about an air quality,0,G01N
12123844,2024-10-22,Transistor comprising a ceramic and an ionogel,0,G01N
12117411,2024-10-15,Methods for analyzing a gas mixture and gas sensor,0,G01N
12117383,2024-10-15,Method and device for evaluating signals of a sensor unit including at least two sensors,0,G01N|G06N|G16Y|H04L
12111315,2024-10-08,Smart glass slide for microarrays,0,G01N
12105060,2024-10-01,Magnetically actuated exciter device with impact function,0,B06B|G01M|G01N
12092548,2024-09-17,Method for diagnosing exhaust gas sensors,0,F02D|G01M|G01N|G01R
12055475,2024-08-06,Method of reducing false-positive particle counts of an interference particle sensor module,0,G01B|G01N|G01S|H01S
12044596,2024-07-23,Method for diagnosing exhaust gas sensors,0,G01M|G01N|G01R|H02H
11994485,2024-05-28,Method for operating a gas sensor device and gas sensor device,0,G01N
11993035,2024-05-28,"Production method for a composite fiber component, composite fiber component, testing method for a composite fiber component, computer program, machine-readable storage medium and apparatus",0,B29C|G01N|G01P
11988630,2024-05-21,Method to use artificial intelligence to enhance visual inspection of oxygen sensors,0,G01N|G06N|G06T
11988605,2024-05-21,"Filter device for an optical module for a lab-on-a-chip analysis device, optical module for a lab-on-a-chip analysis device and method for operating an optical module for a lab-on-a-chip analysis device",0,G01J|G01N|G02B
11986823,2024-05-21,Microfluidic device and method for the nanostructure sequencing of nucleotide strands,0,B01L|C12Q|G01N
11946873,2024-04-02,Detection device for detecting contamination,0,G01N|G01S|G02B|G03H
11946805,2024-04-02,Spectrometer apparatus and a corresponding method for operating a spectrometer apparatus,0,G01J|G01N
11933751,2024-03-19,Method for assessing the operatability of a sensor for detecting soot,0,G01N
11875617,2024-01-16,Cloud connectivity for in-vehicle sensing modules,0,B60R|B60W|G01C|G01N|G01P|G01S|G01V|G06V|G07C|H04L|Y02A
11872561,2024-01-16,Systems for stretching polynucleotide structures,0,B01L|C12M|C12N|C12Q|G01N
11867660,2024-01-09,Electronic control of the pH of a solution close to an electrode surface,0,C12Q|G01N|G05D
11867603,2024-01-09,Mold detecting device using electromagnetic waves,0,G01N|G08B
11867561,2024-01-09,"Method for operating a thermal imaging camera, and thermal imaging camera",0,G01J|G01N|G08B
11866323,2024-01-09,"Method for manufacturing at least one membrane system, membrane system for a micromechanical sensor, and component",0,B81B|B81C|G01N
11814675,2023-11-14,Edge sequencing with an immobilized translocator,0,B01J|B01L|C12Q|G01N
11811250,2023-11-07,Removable battery pack and/or electrical consumer with an electromechanical interface for supplying energy,0,G01N|H01R|H02J|Y02E
11808732,2023-11-07,Method for monitoring a gas sensor,0,B01D|F01N|G01N|Y02A|Y02T
11776332,2023-10-03,In-vehicle sensing module for monitoring a vehicle,0,B60R|B60W|G01C|G01N|G01P|G01S|G01V|G06V|G07C|H04L|Y02A
11761854,2023-09-19,"Optical particle sensor, in particular, exhaust gas sensor",0,G01M|G01N
11761808,2023-09-19,"Sensor device for detecting electrically conductive media, and method for operating the sensor device",0,G01F|G01N|G01R
11738349,2023-08-29,"Device for coupling a cartridge for a lab-on-a-chip analysis device, lab-on-a-chip analysis device and method for coupling a cartridge for a lab-on-a-chip analysis device",0,B01L|G01N
11726022,2023-08-15,Device for detecting mold,0,A61L|G01N|G08B
11704947,2023-07-18,In-vehicle sensing module for monitoring a vehicle,0,B60R|B60W|G01C|G01N|G01P|G01S|G01V|G06V|G07C|H04L|Y02A
11686650,2023-06-27,Dynamic spatiotemporal beamforming,0,G01M|G01N|G01R|G05D|H04N
11678814,2023-06-20,"Mouthpiece, system and method for enabling a measurement of analytes in exhaled air",0,A61B|G01N
11656166,2023-05-23,Method and apparatus for detecting particles,0,G01N
11646545,2023-05-09,Method and apparatus for monitoring the optical output power of a laser diode with an associated photodiode and particle sensor device,0,G01N|H01S
