patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12405202,2025-09-02,Semiconductor device for particle measurement and method for operating the semiconductor device,0,G01H|G01N
12399153,2025-08-26,Photoacoustic sensors and MEMS devices,0,B81B|G01N
12392744,2025-08-19,Sensor for measuring a gas property,0,G01N|H01L
12326422,2025-06-10,Gas sensor containing an ultrasonic resonator and use for the detection of gases,0,G01N|Y02E
12241880,2025-03-04,Method of controlling heater systems,0,G01N
12235170,2025-02-25,Sensor and method for detecting guided thermal radiation,0,G01J|G01K|G01N
12222322,2025-02-11,System and method for the acoustic detection of cracks in a semiconductor substrate,0,G01N|H01L
12210706,2025-01-28,Ultrasonic touch sensor,0,G01N|G06F|H03K
12203912,2025-01-21,Gas sensor having a hollow space and a gas permeation structure having a selectively gas-permeable element,0,G01N|H01M
12188839,2025-01-07,Sensor device including sensor unit for a gaseous medium,0,G01L|G01N
12158448,2024-12-03,Radiation source device,0,G01N
12140514,2024-11-12,Sensor and method for performing a reference measurement with guided thermal radiation,0,G01K|G01N
12137500,2024-11-05,"Light emitter devices, optical filter structures and methods for forming light emitter devices and optical filter structures",0,G01F|G01N|H05B|H10H
12078615,2024-09-03,"Photoacoustic detector unit, photoacoustic sensor and associated production methods",0,G01N
12050340,2024-07-30,"Optical resonator system, narrowband mid-infrared radiation source",0,G01N|G02B
12030021,2024-07-09,Micromechanical device with perforated membrane,0,B01D|B81B|B81C|G01N|H04R
12013383,2024-06-18,Carbon-based gas sensing device and method for operating a carbon-based gas sensing device,0,G01N
12000772,2024-06-04,Detector cell for a photoacoustic gas sensor and photoacoustic gas sensor,0,G01N
11971397,2024-04-30,Gas sensing device for sensing one or more gases in a mixture of gases,0,G01N
11953481,2024-04-09,Gas sensing device and method for determining a calibrated measurement value for a concentration of a target gas,0,G01N
11926521,2024-03-12,IR emitter with glass lid,0,B81B|B81C|G01N|H05B
11921074,2024-03-05,Gas-sensitive device,0,G01N
11921032,2024-03-05,Methods including panel bonding acts and electronic devices including cavities,0,B81B|B81C|G01N|G01R
11906427,2024-02-20,Method and apparatus for determining a reflectivity value indicating a reflectivity of an object,0,G01N|G01S
11899001,2024-02-13,"Method for providing calibration data for a gas sensor device, method of calibrating a gas sensor device, and processing device for a gas sensor device",0,G01N|G06F
11788990,2023-10-17,Photoacoustic sensor valve,0,G01N
11774308,2023-10-03,Sensor device including sensor unit for a gaseous medium,0,G01L|G01N
11754522,2023-09-12,Moisture sensor,0,G01N
11740199,2023-08-29,Gas sensing device with a gas filter,0,G01N
11733213,2023-08-22,"Photoacoustic detector unit, photoacoustic sensor and associated production methods",0,G01N
11728073,2023-08-15,Method for manufacturing an electronic component,0,B82Y|C23C|G01N|H01C
11686667,2023-06-27,Photoacoustic sensors and associated production methods,0,B01J|B01L|B81B|G01N
11668683,2023-06-06,Thermal emitter with embedded heating element,0,G01J|G01N|G02B|H05B
11660014,2023-05-30,Tomography apparatus and tomography method,0,A61B|G01N|G01S
11656210,2023-05-23,Gas sensing systems and methods of operation thereof,0,G01N|Y10S
11635416,2023-04-25,Gas sensing device and method for operating a gas sensing device,0,G01N
11635410,2023-04-25,Gas concentration detection by means of thermoacoustic sound wave,0,G01N
11630087,2023-04-18,Apparatus and method for in-situ calibration of a photoacoustic sensor,0,G01N
11617232,2023-03-28,Emitter structure and production method,0,G01J|G01N|H05B
11609180,2023-03-21,Emitter package for a photoacoustic sensor,1,B81B|B81C|G01J|G01N
11604171,2023-03-14,Fluid sensor,0,G01N
11573204,2023-02-07,Photoacoustic sensors and MEMS devices,0,B81B|G01N
11561168,2023-01-24,Radiation source and gas sensor using the radiation source,0,G01N|H10H
11549917,2023-01-10,System and method for a reference chamber with a housing and a deflectable structure,0,G01N
11536678,2022-12-27,Gas sensing device and method for operating a gas sensing device,4,G01N|G06N
11530980,2022-12-20,Wafer arrangement for gas sensor,1,G01N
11530968,2022-12-20,Apparatus for analyzing the particulate matter content of an aerosol,0,G01N
11519848,2022-12-06,Photoacoustic gas sensor and pressure sensor,0,G01L|G01N
11519847,2022-12-06,Methods including panel bonding acts and electronic devices including cavities,0,B81B|B81C|G01N|G01R
11513090,2022-11-29,Apparatus and method for evaluating the quality of at least one solder joint between a printed circuit board and a current sensor,0,G01N|G01R
11506599,2022-11-22,"Fluid sensor including an optical filter and a waveguide, and method for manufacturing the fluid sensor",0,G01N|H10F
11492249,2022-11-08,"MEMS sensor, MEMS sensor system and method for producing a MEMS sensor system",0,B81B|B81C|G01N|H04R
11490460,2022-11-01,Emitter structure and production method,0,G01J|G01N|H05B
11486848,2022-11-01,Moisture sensor,0,G01N
11442265,2022-09-13,Monitoring of MEMS mirror properties,1,G01N|G01S|G02B
11428661,2022-08-30,Method for producing a moisture sensor at the wafer level and moisture sensor,1,G01N|H01L
11428658,2022-08-30,Gas sensing device and method for operating a gas sensing device,0,G01N|G06N
11428573,2022-08-30,"Light emitting structure, photo-acoustic spectroscopy sensing device, method",0,B82Y|G01J|G01N
11415559,2022-08-16,Photoacoustic gas sensor and method for determining gas concentration from common point slope analysis,0,G01N
11402556,2022-08-02,Wafer level method for manufacturing integrated infrared (IR) emitter elements having an optical IR filter placed on the main surface region of the carrier substrate on which the IR emitter is formed,0,B81B|B81C|G01N|G02B|H05B
11378536,2022-07-05,"Method for producing a nanofilm, sensor arrangement comprising a nanofilm, and nanosieve comprising a nanofilm",0,B05D|B82Y|G01N
11353431,2022-06-07,Photoacoustic sensor,1,G01N
11346767,2022-05-31,Detector cell for a photoacoustic gas sensor and photoacoustic gas sensor,0,G01N
11322911,2022-05-03,Device and method for emitting electromagnetic radiation,0,B82Y|G01J|G01N|H01S
11320398,2022-05-03,Sensor arrangement for voltammetry,0,G01N
11287405,2022-03-29,Gas sensing systems and methods of operation thereof,2,G01N|Y10S
11286158,2022-03-29,MEMS-component,0,B81B|G01J|G01N|G02B
11275059,2022-03-15,Apparatus and method for in-situ calibration of a photoacoustic sensor,2,G01N
11275057,2022-03-15,Photoacoustic sensor valve,0,G01N
11255824,2022-02-22,Photoacoustic sensor module and assembly,0,G01N
11245064,2022-02-08,MEMS heater or emitter structure for fast heating and cooling cycles,0,B81B|G01J|G01N|H02N|H05B|H10N
11237098,2022-02-01,MEMS gas sensor,1,B81B|G01N|H05B
11237090,2022-02-01,"Sensor element, particle sensor device and method for detecting a particulate matter density",1,B81B|B81C|G01N
11211298,2021-12-28,System and method for a transducer in an EWLB package,0,G01N|H01L|H05K|H10H
11209372,2021-12-28,"Method, apparatus and computer program for detecting a presence of airborne particles",0,G01N|G01S|G06T|Y02A
11193885,2021-12-07,Gas sensor,1,G01N
11193881,2021-12-07,Gas sensing device for sensing a gas in a mixture of gases and method for operating a gas sensing device,0,G01N
11187647,2021-11-30,System and method for estimating a gas concentration,0,G01N|G10K
11156547,2021-10-26,Photoacoustic gas sensors and method of operating a photoacoustic gas sensor,0,G01N
11143627,2021-10-12,Stacked optical filter arrangement for a photoacoustic spectrometry device for multi-gas sensing and photoacoustic spectrometry device,1,G01N|G02B|G02F
11143626,2021-10-12,Photo-acoustic gas sensor with optimal reference path length,0,G01N
11137376,2021-10-05,Photoacoustic gas sensor and method for operating a photoacoustic gas sensor,2,G01N
11105776,2021-08-31,Detector module for a photo-acoustic gas sensor,0,G01N
11105760,2021-08-31,"Fluid sensor, method for providing same, and method for determining a constituent of a fluid",0,G01N
11092538,2021-08-17,Wafer arrangement for gas sensor,0,G01N
11073686,2021-07-27,Monitoring of MEMS mirror properties,0,G01N|G01S|G02B
11067542,2021-07-20,Photoacoustic gas sensor,0,G01N
11067500,2021-07-20,Pillar photonic crystal,0,B82Y|G01N|G02B
11061002,2021-07-13,Photoacoustic gas analyzer for determining species concentrations using intensity modulation,0,G01N
11035825,2021-06-15,Sensing systems and methods for the estimation of analyte concentration,2,G01N
10998279,2021-05-04,On-chip integrated cavity resonator,2,G01J|G01N|H01L|H01P|H01Q
10996201,2021-05-04,"Photoacoustic measurement systems and methods using the photoacoustic effect to measure emission intensities, gas concentrations, and distances",1,G01J|G01N
10955599,2021-03-23,"Light emitter devices, photoacoustic gas sensors and methods for forming light emitter devices",1,G01N|G02B|H05B
10935451,2021-03-02,Sensor arrangement and method for testing a sensor arrangement,1,G01L|G01N
10916931,2021-02-09,Temperature sensing and fault detection for paralleled double-side cooled power modules,2,G01N|G05B|H01L|H02H|H02M|H05K
