patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12420953,2025-09-23,Inspection and repair tool,0,B05B|B64F|C23C|F01D|F05D|G01N|Y02T
12396709,2025-08-26,Ultrasound probe and method of making the same,0,A61B|B33Y|G01N
12366600,2025-07-22,Fault isolation sensor system and methods,0,F01D|F05D|G01L|G01M|G01N|G01R|H02K
12345167,2025-07-01,System and method of using a tool assembly,0,F01D|F05D|G01B|G01M|G01N|G06T
12326553,2025-06-10,Tool stabilization mechanism and related methods,0,G01N|G02B|H04N
12306108,2025-05-20,Systems and methods of locating cooling features in a gas turbine component under thermal barrier coatings,0,B23P|F01D|F05D|F23R|G01N
12298274,2025-05-13,Flexible sensor assembly,0,G01N
12266036,2025-04-01,Computed tomography scatter and crosstalk correction,0,G01N|G01T|G06T
12264952,2025-04-01,Ultrasonic fuel flow measuring systems and methods,0,F01D|F05D|G01F|G01N
12264951,2025-04-01,Ultrasonic fuel flow measuring systems and methods of setting characteristics of excitation signals,0,F01D|F05D|G01F|G01N
12198257,2025-01-14,System and method of producing a computer-generated image of a component part using computed tomography,0,G01N|G06T
12195202,2025-01-14,System and method for servicing aircraft engines,0,B64F|F01D|F05D|G01N
12169168,2024-12-17,Systems and methods for efficient detection of hazardous fuel gas leakage within a gas turbine compartment,0,F01D|F05D|G01M|G01N
12150984,2024-11-26,Dysregulation of trauma regulation pathway treatment and monitoring techniques,0,A61K|A61P|C07K|C12N
12138706,2024-11-12,Monitoring operation of electron beam additive manufacturing with piezoelectric crystals,0,B22F|B23K|B29C|B33Y|G01N|Y02P
12111148,2024-10-08,"Component imaging systems, apparatus, and methods",0,G01B|G01M|G01N
12078692,2024-09-03,Apparatus and method for visualizing defects using a magneto-optical effect,0,G01N|G01R
12042526,2024-07-23,Platelet activation and growth factor release using electric pulses,0,A61K|A61P|C12N|G01N
12031660,2024-07-09,Motorized apparatus for pipe inspection and repair,1,B05B|B05C|F16L|G01N
11999363,2024-06-04,"Methods and apparatus for detecting fuel in oil, lube degradation, and fob thru optical and color characterization",0,B60W|F16H|G01N|G05B|G06N|G06T
11982645,2024-05-14,Sensor system and method,0,G01D|G01K|G01N
11977217,2024-05-07,Insertion tool,0,A61B|B64F|F01D|F02C|F05D|G01N|G02B
11951557,2024-04-09,Backwall strike braze repair,0,B23H|B23K|B23P|B33Y|F01D|F05D|G01N
11913345,2024-02-27,System and method of using a tool assembly,0,F01D|F05D|G01B|G01M|G01N|G06T
11913344,2024-02-27,Multi-tube servicing tool and method of servicing gas turbine engine components,0,B64F|F01D|F05D|G01M|G01N
11885688,2024-01-30,Method and system for inspecting cooling holes of a turbine engine component,0,F01D|F05D|G01J|G01N|G01R
11873764,2024-01-16,Hazardous gas monitoring system,0,C10K|F02C|G01N|Y02E
11867676,2024-01-09,Multi-gas sensing system and method,1,G01N
11821891,2023-11-21,Erythrocyte aggregation and leukocyte isolation,0,B01D|B01L|C12Q|G01N
11787120,2023-10-17,Systems and method for predicting distortion of green body parts during sintering,0,B22F|B28B|B29C|B33Y|G01N|G06F|Y02P
11774427,2023-10-03,Methods and apparatus for monitoring health of fuel oxygen conversion unit,0,B01D|F01N|F02C|F02D|F05D|G01N|H01M|Y02A|Y02E|Y02T
11761938,2023-09-19,Sensing system and method,1,B64U|G01N|G05D
11747267,2023-09-05,Sensor system and method,0,B82Y|G01N
11730830,2023-08-22,Topical application of nerve labeling dyes for image-guided surgery,0,A61B|A61K|A61P
11726078,2023-08-15,Device for rapid detection of tuberculosis-lipoarabinomannan (TB-LAM) with enhanced sensitivity,0,A61B|A61M|B01D|C07K|C12M|G01N
11717910,2023-08-08,Monitoring operation of electron beam additive manufacturing with piezoelectric crystals,0,B22F|B23K|B29C|B33Y|G01N|Y02P
11714084,2023-08-01,Method and associated device for rapid detection of target biomolecules with enhanced sensitivity,0,B01D|B01L|G01N
11703440,2023-07-18,Porosity of a part,0,G01N
11679898,2023-06-20,Inspection and repair tool,1,B05B|B64F|C23C|F01D|F05D|G01N|Y02T
11674929,2023-06-13,Lifting apparatus and ultrasonic inspection system,0,B66F|G01N
11674918,2023-06-13,Monolithic gas-sensing chip assembly and method,0,G01N
11674915,2023-06-13,Sensing system and method,0,G01N
11660818,2023-05-30,High-throughput testing system and method for additive manufacturing,0,B22F|B29C|B33Y|G01N|Y02P
11648730,2023-05-16,System and method for calibrating an acoustic monitoring system of an additive manufacturing machine,1,B22F|B29C|B33Y|G01N|Y02P
11635346,2023-04-25,Bearing element inspection system and method,0,G01M|G01N|G06T|H04N
11633507,2023-04-25,HER2 binders,0,A61K|C07K
11630086,2023-04-18,Sensor system and method,0,G01D|G01K|G01N
11603593,2023-03-14,Systems and methods for automatic detection of coating defects,0,C23C|F01D|G01M|G01N
11597960,2023-03-07,Assessment of micro-organism presence,0,B01L|C12M|C12Q|G01N|G06T
11592362,2023-02-28,System and method for full-scale sampling to conduct material tests on a steam turbine rotor,0,F01D|F01K|F05D|G01N
11591590,2023-02-28,Calcium controlled activation of platelets via electrical stimulation,0,A61K|A61P|C12N
11590502,2023-02-28,Assessment of micro-organism presence,0,B01L|C12Q|G01N
11567022,2023-01-31,Sensing system and method,0,G01N
11567020,2023-01-31,Gas sensing assembly and method,1,G01N
11536670,2022-12-27,System and method for engine inspection,0,F01D|F05D|G01B|G01N
11525768,2022-12-13,Electric pulse generation system using capacitive coupling,0,A61B|B01L|C12M|C12N|G01N|H03K
11525674,2022-12-13,Systems and methods for measuring properties using bulk acoustic waves,0,G01B|G01N|H03H
11524350,2022-12-13,Backwall strike braze repair,0,B23H|B23K|B23P|B33Y|F01D|F05D|G01N
11506479,2022-11-22,Non-invasive quantitative multilayer assessment method and resulting multilayer component,0,F01D|G01B|G01N
11506133,2022-11-22,Method for fuel delivery,1,B64D|F02C|F05D|F23N|G01N|Y02T
11504853,2022-11-22,Robotic system architecture and control processes,0,B25J|G01N|G05B|G06F|G06T|G06V|Y02P
11492903,2022-11-08,Systems and methods for enthalpy monitoring of a fluid,0,E21B|G01F|G01K|G01N|Y02E
