patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421294,2025-09-23,Truncated epiderimal growth factor receptor (EGFRt) for transduced t cell selection,0,A61K|A61P|C07K|C12N|C12Y
12419954,2025-09-23,Targeted chimeric antigen receptor modified T cells for treatment of IL13Rα2 positive malignancies,0,A61K|A61P|C07K|C12N
12404509,2025-09-02,Oligonucleotide-based proteolysis targeting chimera,0,A61K|C12N
12391993,2025-08-19,"Methods, treatment, and compositions for characterizing thyroid nodule",0,C12Q
12385920,2025-08-12,IL-6 signaling and breast cancer,0,C12Q|G01N
12385041,2025-08-12,Conditional-siRNAS and uses thereof in treating cardiac hypertrophy,0,C12N|C12Q
12384845,2025-08-12,Activatable masked anti-CTLA4 binding proteins,0,A61K|A61P|C07K
12364724,2025-07-22,Oncolytic virus expressing a car T cell target and uses thereof,0,A61K|A61P|C07K|C12N
12358998,2025-07-15,Anti-CD6 antibody-growth factor complex for treating autoimmune diseases,0,A61K|A61P|C07K
12337032,2025-06-24,Genetically stable recombinant modified vaccinia Ankara (RMVA) vaccines and methods of preparation thereof,0,A61K|A61P|C07K|C12N
12303559,2025-05-20,Multivalent Epstein-Barr virus-like particles and uses thereof,0,A61K|A61P|C07K|C12N
12281152,2025-04-22,TAG72 targeted chimeric antigen receptor modified T cells for treatment of TAG72-positive tumors,0,A61K|A61P|C07K|C12N
12281151,2025-04-22,CD6 targeted chimeric antigen receptors for treatment of certain autoimmune disorders,0,A61K|A61P|C07K
12227745,2025-02-18,"Compounds and compositions including phosphorothioated oligodeoxynucleotide, and methods of use thereof",0,A61K|A61P|C12N
12215162,2025-02-04,BAFF-R targeted chimeric antigen receptor-modified T-cells and uses thereof,0,A61K|A61P|C07K|C12N
12201657,2025-01-21,Adeno-associated virus compositions for restoring HBB gene function and methods of use thereof,0,A01K|A61K|C07K|C12N
12194056,2025-01-14,CCR7 aptamers and uses thereof,0,A61K|A61P|C12N
12178887,2024-12-31,NIR-conjugated tumor-specific antibodies and uses thereof,0,A61B|A61K|C07K
12173000,2024-12-24,Berbamine derivatives and methods of use thereof,0,A61P|C07D
12161714,2024-12-10,Use of endogenous viral vaccine in chimeric antigen receptor T cell therapy,0,A61K|A61P|C07K|C12N
12156911,2024-12-03,Multivalent Kaposi sarcoma-associated herpesvirus-like particles and uses thereof,0,A61K|A61P|C07K|C12N
12150987,2024-11-26,MVA vaccine for delivery of a UL128 complex and preventing CMV infection,0,A61K|A61P|C07K|C12N
12138279,2024-11-12,Bi specific aptamer,0,A61K|A61P|C12N
12129286,2024-10-29,Membrane-bound IL-12 for cellular immunotherapy,0,A61K|A61P|C07K|C12N
12115189,2024-10-15,T cells for expression of chimeric antigen receptors and other receptors,0,A61K|A61P|C07K|C12N
12084687,2024-09-10,Chimeric poxvirus compositions and uses thereof,1,A61K|A61P|C07K|C12N
12060435,2024-08-13,Multi-specific ligand binders,0,A61K|A61P|C07K|C12N
12054736,2024-08-06,Genetically modified recombinant vaccinia ankara (RMVA) vaccines of improved stability and methods of preparation thereof,0,A61K|A61P|C07K|C12N
12054711,2024-08-06,Meta-stable oligonucleotides junctions for delivery of therapeutics,0,B82Y|C12N
12054447,2024-08-06,PCNA inhibitors,0,A61K|A61P|C07C|C07D
12043673,2024-07-23,Complementary RNA linked bispecific T-cell engaging antibodies,0,A61K|C07K
12012446,2024-06-18,Epstein-Barr virus antibodies and uses thereof,0,A61K|A61P|C07K
11981885,2024-05-14,"System, device and method for production of bioproduct including high density cell respirator (HDCR) for intensified production of adeno-associated viruses (AAV) and cell-based production",0,C12M|C12N
11981740,2024-05-14,BAFF-R antibodies and uses thereof,0,A61K|A61P|C07K
11980629,2024-05-14,Conditioning regimens and methods for inducing mixed chimerism,0,A01K|A61K|A61P|C07K
11974993,2024-05-07,Solution formulations of CX-011,0,A61K
11974990,2024-05-07,TXNIP-TRX complex inhibitors and methods of using the same,0,A61K|A61P
11965174,2024-04-23,Adeno-associated virus vector variants for high efficiency genome editing and methods thereof,0,A61K|A61P|C07K|C12N
11964984,2024-04-23,TXNIP-TRX complex inhibitors and methods of using the same,0,A61P|C07D
11964006,2024-04-23,Multivalent Epstein-Barr virus-like particles and uses thereof,1,A61K|A61P|C07K|C12N
11939575,2024-03-26,"Modified tracrRNAs gRNAs, and uses thereof",0,A61K|C12N
11926826,2024-03-12,Twist signaling inhibitor compositions and methods of using the same,0,A61K|C12N
11926652,2024-03-12,CTLA4-binding protein peptide-linker masks,0,A61K|C07K
11918606,2024-03-05,CD123-specific chimeric antigen receptor redirected t cells and methods of their use,0,A61K|A61P|C07K|C12N
11912995,2024-02-27,CTLA-4 aptamer conjugates,1,A61K|C12N
11897952,2024-02-13,Mechanically interlocking complexes,0,A61K|C07K
11891619,2024-02-06,Adeno-associated virus compositions for restoring F8 gene function and methods of use thereof,0,A61K|C07K|C12N
11884930,2024-01-30,Method of inactivating a glucocorticoid receptor gene in an isolated cell,0,A61P|C07K|C12N|G01N
11858879,2024-01-02,PARG inhibitors and method of use thereof,0,A61P|C07C
11857633,2024-01-02,Phosphorothioate-conjugated miRNAs and methods of using the same,0,A61K|C12N
11845938,2023-12-19,Aptamer compositions and the use thereof,0,A61K|C12N
11844833,2023-12-19,Expression system for expressing herpesvirus glycoprotein complexes,0,A61K|A61P|C07K|C12N
11835499,2023-12-05,Methods of quantifying methylglyoxal-induced nucleic acid adducts,0,G01N|H01J
11833226,2023-12-05,Recombinant adeno-associated vectors for targeted treatment,0,A61K|C07K|C12N
11801266,2023-10-31,Methods of using anti-MIR126 compounds,1,A61K|A61P|C07K|C12N
11780815,2023-10-10,DNA2 inhibitors for cancer treatment,0,A61K|C07D
11779657,2023-10-10,Compositions and methods for mitochondrial genome editing,0,A61K|C07K|C12N|C12Y
11767530,2023-09-26,Splice inhibiting oligonucleotides,0,C12N
11767529,2023-09-26,"Short hairpin RNA compositions, methods of making and applications thereof",0,C12N
11767351,2023-09-26,Recombinant lectin and uses thereof,0,A61K|C07K|G01N
11766442,2023-09-26,T-cell lymphoma treatments,0,A61K|A61P|C07D
11759530,2023-09-19,TKI permeability enhancers,0,A61K|A61P|C12N
11754567,2023-09-12,Cancer detection and ablation system and method,0,A61B|G01N|G06N|G16H
11744862,2023-09-05,CS1 targeted chimeric antigen receptor-modified T cells for treatment of AL amyloidosis,0,A61K|A61P|C07K|C12N
11730797,2023-08-22,CS1 targeted chimeric antigen receptor-modified T cells,1,A61K|A61P|C07K|C12N
11730789,2023-08-22,Cell penetrating antibodies,0,A61K|A61P|C07K|C12N
11726087,2023-08-15,"Methods, compositions, and kits for detection of aspergillosis",0,A61K|A61P|C07K|C12Q|G01N
11717568,2023-08-08,MVA vaccine for delivery of a UL128 complex and preventing CMV infection,0,A61K|A61P|C07K|C12N
11701405,2023-07-18,Chimeric antigen receptors and methods for reducing toxicity,0,A61K|C07K|C12N
11696959,2023-07-11,Nanoparticle-cell construct with platinum anti-cancer agent,0,A61K|A61P|B82Y
11690908,2023-07-04,Use of endogenous viral vaccine in chimeric antigen receptor T cell therapy,1,A61K|A61P|C07K|C12N
11686725,2023-06-27,Detection and treatment of neurological diseases,0,A61K|C07K|C12N|C12Q|G01N|G16H
11680102,2023-06-20,Anti-BAFF receptor antibodies and uses thereof,0,C07K
11672812,2023-06-13,Methods and compositions comprising tyrosine kinase inhibitor and triptolide for the treatment of cancer,0,A61K|A61P
