patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12428460,2025-09-30,Engineered TGF-beta monomers and their use for inhibiting TGF-beta signaling,0,A61K|A61P|C07K
12428378,2025-09-30,Methods and materials for increasing level of phosphorylated AMPK protein,0,A61K|A61P|C07B|C07C|C07D
12421525,2025-09-23,Conjugates comprising AAVs and CAS9 polypeptides,0,A61K|C07K|C12N
12420073,2025-09-23,Biosensor tattoos and uses therefor for biomarker monitoring,0,A61K|A61M|C12N|C12Q
12419998,2025-09-23,Tuning adhesion at contacting device interfaces: geometric tools for minimizing surface fouling,0,A61F|A61L|A61P|B32B|B81C
12414973,2025-09-16,Antigenically stealthed oncolytic viruses,0,A61K|A61P|C07K|C12N
12398123,2025-08-26,Chemical inhibition of the E3 ligase subunit FBXO7 confers neuroprotection and anti-inflammatory activity by stabilizing mitochondria,0,A61K|A61P|C07D
12397041,2025-08-26,Vasoactive intestinal peptide release from microparticles,0,A61K
12397040,2025-08-26,Methods for treating and reducing traumatic brain injury-associated impairments using SGP130,0,A61K|A61P|C07K|G01N
12396959,2025-08-26,Thermoresponsive hydrogel containing polymer microparticles for noninvasive ocular drug delivery,0,A61K|A61P
12390435,2025-08-19,Electrophiles and electrophile pro-drugs as RAD51 inhibitors,0,A61K|A61N|A61P|C07C
12384820,2025-08-12,Griffithsin mutants,0,A61K|C07K
12383243,2025-08-12,Extracellular matrix (ECM) hydrogel as a submucosal fluid cushion,0,A61B|A61K|A61L
12371463,2025-07-29,Methods and compositions for treatment of antibiotic-resistant bacterial infections,0,A61K|A61P|C07K|C12N|C12Y
12350303,2025-07-08,Oncolytic virus therapy,0,A61K|A61P|C07K|C12N
12329883,2025-06-17,Soft tissue repair implants comprising hydroxybutyrate,0,A61F|A61K|A61L
12329730,2025-06-17,Thermoresponsive hydrogel containing polymer microparticles for controlled drug delivery,0,A61K|A61P
12326444,2025-06-10,Development and parameter assessment for vertically aligned platinum wire aptasensor arrays for impedimetric detection of cardiac biomarkers,0,G01N
12303621,2025-05-20,Use of self-assembled alkylsilane coatings for drug delivery applications,0,A61K|A61L
12303558,2025-05-20,Cancer prevention and therapy by inhibiting soluble tumor necrosis factor,0,A61K|A61P|C07K
12303533,2025-05-20,ECM hydrogel for treating esophageal inflammation,0,A61K|A61P
12297437,2025-05-13,Optogenetic induction of membraneless organelles,0,A61N|C07K|C12N|C12Q
12297176,2025-05-13,"Compounds and methods for inhibiting EMT pathways to treat cancer, organ fibrosis and metabolic disorders",0,A61K|A61P|C07D
12296044,2025-05-13,Gel for treating periocular and/or orbital pathologies and conditions,0,A61K|A61L|A61P|C08F
12291504,2025-05-06,Small molecule inhibition of sulfotransferase SULT1A3,0,A61K|A61P|C07D
12290500,2025-05-06,Anaplerotic agents for treatment of disorders of propionate and long chain fat metabolism,0,A61K|A61P|C07C
12286442,2025-04-29,Methods and materials for increasing transcription factor eb polypeptide levels,0,A61K|A61P|C07D
12285545,2025-04-29,Regeneration of vital tooth pulp,0,A61C|A61K|A61L
12280112,2025-04-22,Magnetic delivery system and hydrogel fixative for therapeutic cells,0,A61K|A61L|A61M|C12M|C12N
12280075,2025-04-22,Ultrasound-guided rete testis injection/aspiration device,0,A61B|A61K|A61M|A61P
12269866,2025-04-08,Compositions and methods for the treatment of carboxyhemoglobinemia,0,A61K|A61P|C07K
12268773,2025-04-08,"Shear-thinning therapeutic composition, and related methods",0,A61K|A61L|C08J
12259397,2025-03-25,Biomarkers related to organ function,0,C12Q|G01N
12258639,2025-03-25,"Cross-assembly phage DNA sequences, primers and probes for PCR-based identification of human fecal pollution sources",0,C12Q
12257266,2025-03-25,Stem cell-derived exosomes for the treatment of corneal scarring,0,A61K|C12N
12251427,2025-03-18,Reduced oxygen carriers and their use for the treatment of carboxyhemoglobinemia,0,A61K|A61P|C01C|C07K
12251373,2025-03-18,Compounds and methods of treating retinal degeneration,0,A61K|A61P
12246049,2025-03-11,Oncolytic viruses targeting STAT3,0,A61K|A61P|C07K|C12N|C12Y
12234486,2025-02-25,"Modular, microfluidic, mechanically active bioreactor for 3D, multi-tissue, tissue culture",0,C12M|C12N
12227515,2025-02-18,In-flow photooxygenation of aminothienopyridinones generates novel PTP4A3 phosphatase inhibitors,0,A61K|A61P|C07D
12226400,2025-02-18,Neuroprotective disruption of Kv2.1/syntaxin interaction by small molecules,0,A61K|A61P|C07D
12213956,2025-02-04,Method of treating fatty acid oxidation disorders using omega3/omega6 unsaturated or branched chain fatty acids,0,A61K|A61P|C07C
12213800,2025-02-04,Nanostructure-based cannabinoid sensor,0,A61B|B82Y|C01B|G01N
12203830,2025-01-21,Sensors with dehumidifiers,0,A61B|G01N
