patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12415973,2025-09-16,Highly alkaline textile detergent comprising protease,0,C11D|C12N|C12Y
12414562,2025-09-16,Moisturizing liquid composition with cationic biocide,0,A01N|A61K|A61Q
12410384,2025-09-09,Washing and cleaning agents comprising protease and amylase,0,C11D|C12Y
12398386,2025-08-26,Stability-enhanced protease variants VI,0,C11D|C12N|C12Y
12377034,2025-08-05,"Method for dyeing keratinous material, comprising the use of an organosilicon compound, an effect pigment and a film-forming polymer II",0,A61K|A61Q
12357554,2025-07-15,"Process of coloring keratinous material comprising the use of an organosilicon compound, an effect pigment, and a sealing reagent VI",0,A61K|A61Q
12357549,2025-07-15,"Method for dyeing keratinous material, comprising the use of an organosilicon compound, a dyeing compound, a sealing reagent, and a pre-treatment agent",0,A61K|A61Q
12338469,2025-06-24,Proteases having improved enzyme stability in washing and cleaning agents III,0,C11D|C12N|C12Y
12329849,2025-06-17,"Method for dyeing keratinous material, comprising the use of an organosilicon compound, a dyeing compound, a sealing reagent, and a polymer-containing post-treatment agent",0,A61K|A61Q
12329840,2025-06-17,"Agent for dyeing keratin material, containing at least two organosilicon compounds that are different from each other, at least one pigment and at least one liquid fatty component and/or a solvent",0,A61K|A61Q
12329839,2025-06-17,Active substance composition for protecting artificially coloured hair,0,A61K|A61Q
12319838,2025-06-03,"Water absorbing, electrically conductive composition and use of it as a sensor for erosion and/or corrosion monitoring",0,C08F|C08K|C09D|G01N|H01B
12318470,2025-06-03,"Agent for dyeing keratinuos material, comprising aminosilicone, a chromophoric compound and an addition product of C1-C6 alkylene oxide(s) to the esters of fatty acids and aromatic alcohols",0,A61K|A61Q
12296036,2025-05-13,"Method for dyeing keratinous material, including the application of an organosilicon compound, a dyeing compound, a sealing reagent and an alkaline pre-treatment agent",0,A61K|A61Q
12291696,2025-05-06,Cleaning compositions containing Dispersins III,0,C11D|C12N|C12Y|D06M
12290584,2025-05-06,Hair dyeing method using natural dyes and metal salt,0,A61K|A61Q
12270734,2025-04-08,Fastener testing system and apparatus,0,G01M|G01N
12246197,2025-03-11,"Agent for dyeing keratinous material, in particular human hair, comprising aminosilicones, pigments and alkylpolyglycosides",0,A61K|A61Q
12233147,2025-02-25,Method for treating keratin material,0,A61K|A61Q
12220470,2025-02-11,Pigment suspension and cosmetic agent prepared using the pigment suspension,0,A61K|A61Q
