patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12415044,2025-09-16,Fluid flow system for bubble and fluid detection,0,A61M|G01N
12405246,2025-09-02,Photoionization detector lamp and its method of manufacture,0,G01N|H01J
12397318,2025-08-26,Ultrasonic transducer health status monitor,0,A61B|B06B|G01F|G01N|G01R|G01S
12392748,2025-08-19,"Methods, apparatuses, and systems providing gas detecting apparatuses and sensing components with filtering elements",0,G01N
12385893,2025-08-12,"Apparatuses, computer-implemented methods, and computer program products for accurate explosion predicting and warning",0,G01N|G06F|G08B
12379359,2025-08-05,"Methods, apparatuses, and systems for calibrating gas detecting apparatuses",0,G01M|G01N
12376165,2025-07-29,Pairing with an aspirating smoke detector device,0,G01N|G08B|H04W
12372476,2025-07-29,Compact-cross direction C-frame scanner,0,G01B|G01N
12372427,2025-07-29,Handheld ultrasonic testing device,0,G01M|G01N|G05G
12366564,2025-07-22,Wall mountable sensor module with improved IAQ sensor response time,0,F24F|G01N
12360094,2025-07-15,"Method, apparatus and system for monitoring sensor health and gas response for catalytic pellistor poisoning",0,G01N
12347294,2025-07-01,Self-calibrating fire sensing device,0,G01N|G08B
12339211,2025-06-24,Device for optimizing fluid sample volume and method of using the same,0,G01N
12330119,2025-06-17,Dust and splash-proof filter,0,B01D|G01N
12313610,2025-05-27,Method and system for calibrating a gas detector,0,G01N
12306134,2025-05-20,"Methods, apparatuses, and systems providing dehumidification for gas detecting components",0,B01D|G01N
12299857,2025-05-13,"Apparatuses, computer-implemented methods, and computer program products for improved generation of object identification data",0,G01N|G03H|G06T|G06V
12298287,2025-05-13,Gas detection device,0,G01N|G08C|H05K|Y02A
12292362,2025-05-06,Flow device and associated method and system,0,G01N|G06T|G06V
12281979,2025-04-22,High-speed tunable chemical composition detecting components and apparatuses,0,G01J|G01N|G02B
12281976,2025-04-22,In situ fluid sampling device and method of using the same,0,C12N|C12Q|G01N
12265071,2025-04-01,System and method for gas reuse in testing of hazardous gas detecting instruments,0,G01N
12259332,2025-03-25,"Systems, methods, and apparatuses for distinguishing an interfering gas in a gas flow",0,G01N
12253503,2025-03-18,"Modular aspirated smoke, gas, or air quality monitoring systems and devices",0,G01N|G08B
12209941,2025-01-28,Fluid composition sensor device and method of using the same,0,G01N
12203837,2025-01-21,Adjusting for air flow temperature changes in an aspirating smoke detector,0,F04D|F24F|G01K|G01N|G08B
12203668,2025-01-21,Air quality monitoring device and associated method of manufacturing,0,A61M|F24F|G01N
12196665,2025-01-14,Optical chamber for smoke detection with reflective surfaces,0,G01N|G08B
12181400,2024-12-31,Fluid composition sensor device and method of using the same,0,G01N
12165484,2024-12-10,Aspirating smoke detector device,0,G01F|G01N|G08B
12141814,2024-11-12,Systems and methods for improving food safety,0,G01J|G01N|G05B|G06Q|G08B|H04N
12140059,2024-11-12,Device to correct stack emissions based on humidity measurements,0,F01N|G01N
12130233,2024-10-29,Laser-assisted taggant embedment,0,B23K|B41M|B42D|C09K|G01N
12129413,2024-10-29,"Luminescent taggant compositions, luminescent materials including the same, and articles including the same",0,C01F|C01G|C04B|C09K|G01N|G07D
12125357,2024-10-22,Aspirating smoke detector discreet sample point,0,G01M|G01N|G08B
12117393,2024-10-15,"Methods, apparatuses, and systems for diagnosing misalignment in gas detecting devices",0,G01N
12112648,2024-10-08,Determining vehicle operating state by particle detection,0,B64D|G01N|G01P|G08G
12111265,2024-10-08,"Probing film that absorbs and reacts with gases, with light of different wavelengths for higher gas sensitivity",0,G01N
12111257,2024-10-08,Fluid composition sensor device and method of using the same,1,G01N|G02B
12098984,2024-09-24,Supply air contamination sensor,0,B64D|B64F|G01N
12092566,2024-09-17,Encapsulating of photoacoustic detector,0,G01N
12078368,2024-09-03,"Apparatuses, systems, and methods for gas leak detection",0,F24F|F25B|G01N
12062272,2024-08-13,Intelligent inert measurement mode,0,G01N|G08B
12055473,2024-08-06,Network assisted particulate matter sensor,0,G01N
12044653,2024-07-23,"Method, apparatus and system for compensating baseline drift in gas sensor",0,G01N
12031884,2024-07-09,Handheld ultrasonic generating device for testing gas leak detectors,0,G01M|G01N|G05G
12018975,2024-06-25,Ultrasound and thermal massflow in one flow channel,0,G01F|G01N
12010766,2024-06-11,Window heating apparatus,0,G01N|G02B|H05B
11994490,2024-05-28,Electrochemical gas sensor assembly,0,G01N
11988774,2024-05-21,Integrated photonics air data system,0,G01N|G01P|G01S|G02B|G02F|Y02A
11982658,2024-05-14,"Methods, apparatuses, and systems for calibrating gas detecting apparatuses",0,G01M|G01N
11982523,2024-05-14,Lib anode coating measurement with dual x-ray,0,G01B|G01N|H01M|Y02E
11977061,2024-05-07,Method and system for calibrating a gas detector,0,G01N
11976371,2024-05-07,Apparatus and method for removal of a target gas from a cold storage environment,0,B01D|C25B|F25D|G01N|Y02E
