patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12405354,2025-09-02,On-vehicle object detection system,0,G01N|G01S
12398359,2025-08-26,"Cell culture device, cell culture method, and recording medium",0,C12M|C12N|C12Q
12385870,2025-08-12,Joint portion evaluating method and joint portion evaluating device,0,G01N
12367572,2025-07-22,Computing device and computing method for evaluating strength of article formed by 3D printer,0,B29C|B33Y|G01N|G06F|G06T
12360127,2025-07-15,"Concentration monitoring system, concentration management system, and concentration monitoring method",0,C25D|G01N
12352674,2025-07-08,Test method and method for manufacturing semiconductor device,0,G01N
12345871,2025-07-01,"Inspection cable guide mechanism, driving device, inspection cable insertion jig, and gas turbine inspection system including these",0,F01D|F05D|G01M|G01N|G02B
12322079,2025-06-03,"Inspection device, inspection method, and recording medium for inspecting an inspection target with machine learning",0,G01B|G01N|G06N|G06T|H04N
12313601,2025-05-27,Crack estimation device and crack estimation method,0,G01N
12313394,2025-05-27,"Deformation calculation device, deformation measurement device, and deformation calculation method",0,G01B|G01C|G01N|G06T
12292400,2025-05-06,Non-invasive substance analysis apparatus,0,A61B|G01N
12292382,2025-05-06,"Crystallinity measurement device, resin-containing material manufacturing device, crystallinity measurement method, and resin-containing material manufacturing method",0,B29C|B29K|G01N
12287286,2025-04-29,Inspection device,0,G01N|G02F|H01S
12287279,2025-04-29,Semiconductor laser inspection apparatus,0,G01N|H01L|H01S
12282002,2025-04-22,"Ultrasonic inspection method, ultrasonic inspection apparatus, and computer program",0,G01N
12235246,2025-02-25,"Measuring device, measuring system, measuring method, and program",0,G01B|G01N|G06T|H04N
12235244,2025-02-25,Loading pad and loading device,0,G01N
12222288,2025-02-11,Biological component measurement apparatus,0,G01N
12203896,2025-01-21,"Ultrasonic testing device, method, program, and ultrasonic testing system",0,G01N|G01S
12182986,2024-12-31,"Image-based acceptance learning device, image-based acceptance determination device, and image reading device",0,G01N|G06T|H04N
12169188,2024-12-17,Bonding layer evaluation system and bonding layer evaluation method,0,G01N
12152981,2024-11-26,Stress corrosion cracking evaluation method for steam turbine,0,G01M|G01N
12148145,2024-11-19,"Inspection system, inspection method, and inspection program",0,B22F|B28B|B33Y|G01N|G06T|Y02P
12146863,2024-11-19,Ultrasonic flaw detection device and method for controlling same,0,G01N
12144617,2024-11-19,Component measurement device and component measurement method,0,A61B|G01N
12140564,2024-11-12,"Defect detection method, defect detection device, and additive manufacturing device",0,B22F|B29C|B33Y|G01N|Y02P
12135321,2024-11-05,"Oil deterioration detection device, oil deterioration detection system, and oil deterioration detection method",0,G01N
12130200,2024-10-29,"Failure diagnosis apparatus, training apparatus, training method, and failure diagnosis system",0,G01M|G01N|H02P
12117418,2024-10-15,Ultrasonic inspection device and inspection method,0,G01N
12111256,2024-10-08,Biological component measurement apparatus,0,A61B|G01N
12108582,2024-10-01,Electronic device protection unit and electronic system,0,G01N|G01R|H05K
12104500,2024-10-01,Gas turbine blade repair method,0,B05D|B23P|C25F|F01D|F05D|G01N
12092563,2024-09-17,Sensor and electric device with the sensor,0,G01N
12078614,2024-09-03,Ultrasound probe,0,B06B|G01N
12044629,2024-07-23,"Fin tip position measurement method, fin tip position measurement system, and jig for measuring fin tip position",0,F01D|F05D|G01B|G01C|G01N
12044615,2024-07-23,Biological component measurement device and biological component measurement method,0,G01N
12038396,2024-07-16,Crystal defect observation method for compound semiconductor,0,G01N|H01J|H10D
12032039,2024-07-09,Solder joint life predictor and solder joint life prediction method,0,B23K|G01N|G01R|G06F|H05K
12031742,2024-07-09,Contaminant detector and refrigeration cycle apparatus,0,F24F|G01N
12019049,2024-06-25,Bonding layer evaluation system and bonding layer evaluation method,0,G01N
11988657,2024-05-21,Method for determining degree of sludge generation in oil,0,G01N
11927569,2024-03-12,"Ultrasonic flaw detection device, ultrasonic flaw detection method, and ultrasonic flaw detection program",0,G01N
11913991,2024-02-27,"Rotating electric machine test method, rotating electric machine test device, and rotating electric machine",0,G01B|G01L|G01M|G01N|G01R|G06T|H02K|H02P
11913383,2024-02-27,Thermal barrier coated component and method for producing thermal barrier coated component,0,C23C|F01D|F02C|F05D|G01N|Y02T
11898995,2024-02-13,Method for evaluating crack in metal member and method for evaluating fatigue damage in metal member,0,G01N
11892510,2024-02-06,Inspection device for rotating electric machine and method of inspecting rotating electric machine,0,G01N|G01R|H02K
11888361,2024-01-30,Rotor tooth crack inspection method,0,G01N|H02K
11885716,2024-01-30,Test method of a semiconductor device and manufacturing method of a semiconductor device,0,G01M|G01N|G01R|H01L
11839909,2023-12-12,Waste treatment system and waste treatment method,0,B09B|C02F|C05F|C10L|C12P|F01K|F22B|F22G|Y02A|Y02E|Y02P|Y02W
11832942,2023-12-05,Biological material measuring apparatus,0,A61B|G01N|G02B
11808801,2023-11-07,Semiconductor device reliability evaluation apparatus and semiconductor device reliability evaluation method,1,G01N|G01R
11802990,2023-10-31,Optical system and optical compensation method,0,G01N|G01S|G01W|G02B|Y02A
11796509,2023-10-24,Humidity sensor and air-conditioning apparatus,0,F24F|G01N
11772032,2023-10-03,Filter unit quality management system and filter unit quality management method,0,B01D|F02C|F05D|G01N
11747264,2023-09-05,"Corrosion detection sensor, electrical apparatus including the same, and method of detecting corrosion",1,G01N
11747243,2023-09-05,Method of producing test-sample for transmission electron microscope,0,G01N|Y02P
11740209,2023-08-29,Ultrasonic testing device and testing method,0,G01N
11734810,2023-08-22,"Laser system, learning device, and inference device",0,G01N|G06N|G06T|H01S
11719615,2023-08-08,Particle detection device,1,G01M|G01N
11645744,2023-05-09,Inspection device and inspection method,0,G01N|G06T
11631653,2023-04-18,"Ultrasonic bonding apparatus, ultrasonic bonding inspection method and ultrasonically-bonded portion fabrication method",0,B06B|B23K|G01H|G01N|H01L
11630055,2023-04-18,"Method for evaluating structure used for nuclide transmutation reaction, evaluation device, structure manufacturing device provided with same, and nuclide transmutation system",0,G01N|G21G|Y02E
11624682,2023-04-11,Sampling system and sampling method,0,G01N
11619209,2023-04-04,Inspection method for wind turbine blade of wind power generating apparatus,0,F03D|F05B|G01N|Y02E
11590578,2023-02-28,"Internal defect detection system, three-dimensional additive manufacturing device, internal defect detection method, method of manufacturing three-dimensional additive manufactured product, and three-dimensional",0,B22F|B29C|B33Y|G01N|Y02P
11579059,2023-02-14,Inspection apparatus and inspection method for inspection target,1,B64C|G01M|G01N
11574398,2023-02-07,"Inspection method for rotating electric machine, rotating electric machine, and inspection system for rotating electric machine",0,G01N|G06T|H02K|H02P
11573020,2023-02-07,Air-conditioning apparatus including detector to detect contaminant adhered to drain pan,0,F24F|G01N|G01S
11566983,2023-01-31,"Apparatus state estimation device, apparatus state estimation method and program",1,F02C|F05D|G01N|G05B
11494525,2022-11-08,Method for analyzing heat exchanger,0,F22B|G01M|G01N|G06F|G21D|Y02E
11493413,2022-11-08,Testing method and test piece of thermal barrier coating,0,G01N
11493248,2022-11-08,Liquid level detection device and refrigeration cycle apparatus,0,F25B|G01F|G01N
11480156,2022-10-25,Method of evaluating quality of wind turbine blade,0,F01D|F03D|F05B|G01N|Y02P
11462335,2022-10-04,Supporting force inspection device and supporting force inspection method,0,F22B|F28D|F28F|G01M|G01N|G21C|G21D
11460206,2022-10-04,Refrigerant detection apparatus,0,F24F|F25B|G01N
11428612,2022-08-30,Estimation device and estimation method,1,G01M|G01N
11408824,2022-08-09,Biological material measurement device,0,A61B|G01N|G02B
11386549,2022-07-12,Abnormality inspection device and abnormality inspection method,0,G01N|G06T
11378612,2022-07-05,Device and method for monitoring the health of a power semiconductor die,0,G01N|G01R
11378526,2022-07-05,Faulted condition determination device and faulted condition determination method,0,B23K|G01N
11371942,2022-06-28,"Raman scattered light acquisition device, composition analysis device comprising same, and gas turbine plant",0,F02C|G01J|G01N
11366089,2022-06-21,Analysis condition adjusting device of simple fuel analyzer,0,G01N|Y02A
11366080,2022-06-21,Eddy current flaw detection probe,0,G01N
11353377,2022-06-07,Wedge looseness inspection device of rotary electric machine,0,G01M|G01N
11351630,2022-06-07,"Processing state detecting device, laser processing machine, and machine learning device",0,B23K|G01N|G06N|G10L
11344952,2022-05-31,"Three-dimensional additive manufacturing device, three-dimensional additive manufacturing method, and three-dimensional additive manufactured product",1,B22F|B29C|B33Y|G01B|G01N|Y02P
11315234,2022-04-26,Semiconductor manufacturing inspection system,0,G01B|G01N|G06T|H01L
11307174,2022-04-19,Ultrasonic flaw detection device,0,G01N
11304635,2022-04-19,Biological material measuring apparatus,0,A61B|G01J|G01N
11293986,2022-04-05,System and method for estimating temperature and heat loss in electric motors,0,G01K|G01N|G01R|G06F|H02K|H02P
11262290,2022-03-01,Corrosion sensor and production method for the same,1,G01N
11243124,2022-02-08,Heat flux measurement system,0,G01K|G01N
11209399,2021-12-28,"Repairing member, fastener, and collar",0,G01N
11197614,2021-12-14,Biological material measuring apparatus and method of measuring biological material,0,A61B|G01J|G01N
11193912,2021-12-07,Ultrasonic measurement apparatus and ultrasonic measurement method,0,G01N
11185925,2021-11-30,"Process abnormality detection system for three-dimensional additive manufacturing device, three-dimensional additive manufacturing device, process abnormality detection method for three-dimensional additive manufacturing device, method for manufacturing three-dimensional additive manufactured product, and three-dimensional additive manufactured product",0,B22F|B33Y|G01B|G01N|Y02P
11119092,2021-09-14,"Biogas quality evaluation device, biogas quality evaluation method, and program",0,C12M|G01N|G06F|G06N|G16B|Y02E
11117785,2021-09-14,Wire rope flaw detector,3,B66B|B66C|B66D|G01N
11105773,2021-08-31,Coil-type eddy current flaw detecting probe,0,G01N
11099138,2021-08-24,Detection device,0,D01H|D07B|G01B|G01N
11079290,2021-08-03,Contact force measurement method,0,F22B|G01B|G01L|G01N|G21C|G21D|Y02E
11054398,2021-07-06,"Ultrasonic inspection method, ultrasonic inspection device, and computer-readable storage medium",2,G01N
11015987,2021-05-25,Temperature estimation method,0,G01K|G01N|H01F
10921292,2021-02-16,Supersonic inspection jig and supersonic inspection method,0,G01N
