patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421537,2025-09-23,Ribosome variants for sequence defined polymer synthesis,0,C12N|C12P|C12Y
12421280,2025-09-23,Insulin like growth factor binding protein bioactive peptide fragments,0,A61K|A61P|C07K
12419570,2025-09-23,"Thin, soft, skin-mounted microfluidic networks for detection and analysis of targets of interest in sweat",0,A61B|B01L|G01N
12415995,2025-09-16,Bacterial toxins and uses thereof as Ras specific proteases for treating cell proliferation diseases and disorders,0,A61K|A61P|C12N|C12Y
12414995,2025-09-16,Bifunctional compounds comprising Apcin-A and their use in the treatment of cancer,0,A61K|A61P|C07D
12414981,2025-09-16,JNK inhibitors for use in treating and preventing neurodegenerative disorders,0,A61K|A61P
12414963,2025-09-16,Treatment of sleep-wake disorders and neurodegenerative disease comprising modified resistant maltodextrin,0,A61K|A61P
12410474,2025-09-09,"Methods, kits, and devices for diagnosing, prognosing, and treating psychiatric disorders in a patient",0,A61K|C12Q
12410456,2025-09-09,Cell-free glycoprotein synthesis (CFGPS) in prokaryotic cell lysates enriched with components for glycosylation,0,C07K|C12N|C12P
12410417,2025-09-09,Modular extracellular sensor architecture for regulating genes,0,C12N
12409205,2025-09-09,Nanomolecules for the treatment of inflammatory bowel diseases,0,A61B|A61K|A61M|A61P|C07K
12404533,2025-09-02,Bioconjugate vaccines' synthesis in prokaryotic cell lysates,0,A61K|A61P|C12P|C12Y|Y02A
12403412,2025-09-02,Metal-organic frameworks for the removal of uremic toxins,0,A61M|B01D|B01J|C07F|G01N
12385911,2025-08-12,Engineered red blood cell-based biosensors,0,C12N|G01N
12383566,2025-08-12,Inhibition of SLC transporter activity or expression to attenuate anthracycline-induced cardiotoxicity,0,A61K|A61P
12378560,2025-08-05,Sequence multiplicity within spherical nucleic acids,0,A61K|C12N|C12Q
12378280,2025-08-05,Deoxynucleic guanidines (DNG)-modified oligonucleotides and methods of synthesizing deoxynucleic guanidine strands,0,A61K|B82Y|C07H|C12N
12377036,2025-08-05,Melanin hair dye with thickeners,0,A61K|A61Q
12372668,2025-07-29,Lithium-containing thiostannate spinels for thermal neutron and alpha-particle detection,0,C01G|C01P|G01N|G01T|Y02E
12370267,2025-07-29,Inhibition of fibrosis and AF by TGF-beta inhibition in the posterior left atrium (PLA),0,A61B|A61K|G16B|G16H
12366535,2025-07-22,Tautomeric sensing using a covalent organic framework,0,G01N
12365930,2025-07-22,Method for rapid in vitro synthesis of glycoproteins via recombinant production of N-glycosylated proteins in prokaryotic cell lysates,0,A61K|C07K|C12N|C12P|C12R|C12Y|Y02A
12364155,2025-07-15,Polymer compositions for vertical channel organic electrochemical transistors and complementary logic circuits,0,C08G|C08L|C09D|G01N|H01G|H10K
12359243,2025-07-15,DNA adductomics by mass tag prelabeling,0,C12Q
12359240,2025-07-15,Membrane protease-based methods for detection of bacteria,0,C07K|C12Q|G01N
12351805,2025-07-08,Method of making recombinant silk and silk-amyloid hybrid proteins using bacteria,0,C07K|C12N|C12R
12351574,2025-07-08,Selective ligands for modulation of GIRK channels,0,A61K|A61P|C07D
12350510,2025-07-08,Magnetic microwires for energy-transporting biomedical applications,0,A61K|A61L|A61N
12337019,2025-06-24,"Vehicles for applying bacteria to skin, scalp, and hair",0,A61K|A61P|A61Q
12336361,2025-06-17,Vertical organic electrochemical transistor pairs,0,G01N|H10K
12331279,2025-06-17,Systems for producing cellular immunotherapeutics and methods of use thereof,0,A61K|C12M|C12N
12325884,2025-06-10,Riboswitch-based fluoride sensing in cell-free extract,0,C12N|C12Q|G01N
12320796,2025-06-03,Lipid-free anchoring of thermophilic bacteriophage G20c portal adapter into solid-state nanopores,0,B81B|B82Y|C07K|C12N|C12Q|G01N|Y10S
12319752,2025-06-03,Heparin-binding cationic peptide self-assembling peptide amphiphiles useful against drug-resistant bacteria,0,A61P|C07H|C07K
12319711,2025-06-03,Spherical nucleic acids with tailored and active protein coronae,0,A61K|B82Y|C07H|C07K
12311054,2025-05-27,Compositions and methods of using propylene sulfide-based polymers for treatment of Chagas disease,0,A61K|A61P|Y02A
12311029,2025-05-27,"Proteolysis-targeting chimeric molecules (PROTACs) that induce degradation of indoleamine 2,3-dioxygenase (IDO) protein",0,A61K|C07K
12306142,2025-05-20,Clamp of elastic box of stiff true-triaxial testing system and displacement monitoring method for cuboid specimens,0,G01N
12306132,2025-05-20,Aerosol jet printed flexible graphene circuits for electrochemical sensing and biosensing,0,B29C|B29K|B29L|B33Y|B41M|G01N|H05K
12306073,2025-05-20,Ultra-large physical simulation facility for deep engineering disasters,0,E21F|G01M|G01N|G06F
12305211,2025-05-20,Protein glycosylation sites by rapid expression and characterization of N-glycosyltransferases,0,C07K|C12N|C12P|C12Q|C12Y|G01N
12303618,2025-05-20,Oxygen-generating cryogels,0,A61L|A61P|C01B
12297216,2025-05-13,Inorganic approach to rendering metal-organic frameworks electrically conductive,0,B01J|C01B|C07F|G01N
12295971,2025-05-13,Compositions and methods for enhancing adoptive T cell therapeutics,0,A61K|A61P|C07K|C12N
12291533,2025-05-06,Substituted fused pyrimidine compounds and uses thereof,0,A61P|C07D
12281310,2025-04-22,Use of trinucleotide repeat RNAs to treat cancer,0,A61K|A61P|C12N
12280374,2025-04-22,Nanofluidic analytical devices and methods of using thereof,0,B01L|C12Q|G01N|G11C
12269040,2025-04-08,Devices and methods for rapid sample processing and analysis,0,B01L|C12Q|G01N
12264344,2025-04-01,Protein/oligonucleotide core-shell nanoparticle therapeutics,0,A61K|A61P|B82Y|C07K|C12N|C12P|C12Y|Y02P
12259325,2025-03-25,Zinc-responsive fluorophores,0,C07F|C09K|G01N
12252522,2025-03-18,Myokines for treating cell proliferative and metabolic diseases and disorders,0,A61K|A61P|C07K
12252492,2025-03-18,Substituted fused pyrrolo-diazepinones and uses thereof,0,A61P|C07D
12247245,2025-03-11,Selectivity screening for antimicrobial compounds,0,A61P|C12Q
12247063,2025-03-11,Cell surface modification by coating with peptide amphiphiles (PAs),0,A61K|A61P|C07K|C12N
12235236,2025-02-25,Sensors with capacitive transduction via metamaterials for gas detection,0,G01N
12233081,2025-02-25,Hygromycin a compounds and methods of treating spirochete diseases,0,A61K|A61P|C07H|Y02A
12233080,2025-02-25,Lipotechoic acid for immune modulation,0,A61K|A61P
12226444,2025-02-18,Compositions comprising peptides comprising variant kinesin light chain 1 and cell-penetrating peptides,0,A61K|A61P
12226410,2025-02-18,Methods for enhancing cellular clearance of pathological molecules via activation of the cellular protein ykt6,0,A61K|A61P|G01N
12220239,2025-02-11,Long-term implantable electronic devices,0,A61B|A61N|G01N|H01L
12214076,2025-02-04,Drug delivery vehicles for atherosclerosis nanomedicine,0,A61K|A61P|B82Y|C07K
12213973,2025-02-04,Bacterial nitric oxide synthase inhibitors,0,A61K|A61P|C07D
12213784,2025-02-04,Durable enzyme-based biosensor and process for drop deposition immobilization,0,A61B|G01N
12209283,2025-01-28,Genome-wide classifiers for detection of subacute transplant rejection and other transplant conditions,0,C12Q|G01N|G16B|G16H|Y02A
12203144,2025-01-21,Analytes' detection using regulated in vitro transcription,0,C12N|C12Q|C12Y
12196770,2025-01-14,Automated sample deposition and staining systems and associated methods,0,G01N
12196723,2025-01-14,Large-scale three-dimensional physical simulation test system for whole development process of deep engineering rock burst,0,G01N
12194084,2025-01-14,Multi-subunit vaccines to elicit both MHC- and CD1-restricted T cell responses,0,A61K|A61P
12188072,2025-01-07,Compositions and methods for rapid in vitro synthesis of bioconjugate vaccines in vitro via production and N-glycosylation of protein carriers in detoxified prokaryotic cell lysates,0,A61K|A61P|C12N|C12P|C12Y|Y02A
12187834,2025-01-07,Biodegradable elastic hydrogels for bioprinting,0,B29C|B29K|B33Y|C08F|C12N
12187815,2025-01-07,Anti-inflammatory nanofibers,0,A61K|A61P|C07K
12186428,2025-01-07,Combination taxoid nanoemulsion with immunotherapy in cancer,0,A61K|A61P|C07K
12181440,2024-12-31,Nitrogen-driven desorption by a diazirine,0,G01N|H01J
12174205,2024-12-24,Phosphatidylethanolamine-specific probes,0,A61K|C08G|C09K|G01N
12172964,2024-12-24,Tricyclic octacationic cyclophane and its use in complexation with perlene diimide dyes,0,C07D|C09B|G01N
12171910,2024-12-24,Intravascular retrievable cell delivery system,0,A61F|A61L|C12N
12171854,2024-12-24,Heterocyclic-dithiol click chemistry,0,A61K|A61P|A61Q|C07D|C08F|C08G|C09D|C12N|C25D
12169921,2024-12-17,Visual inspection system for automated detection of particulate matter in flexible medical containers,0,G01N|G06T
12168679,2024-12-17,Modified bacteria for enhanced bioproduction and methods of using the same,0,C07K|C12N|C12P|C12R
12162997,2024-12-10,Facile assembly of soft nanoarchitectures and co-loading of hydrophilic and hydrophobic molecules via flash nanoprecipitation,0,A61K|B01F|C08J|C12N|C12Y
12161479,2024-12-10,Method and system for multispectral imaging,0,A61B|G01J|G01N|H04N
12158475,2024-12-03,Automated specimen deposition systems and associated methods,0,G01N
12157908,2024-12-03,Cell-free protein synthesis platforms derived from clostridia extracts,0,C12N|C12P|C12Y
12157901,2024-12-03,Dendritic cell generator,0,A61K|C07K|C12M|C12N
12156931,2024-12-03,Organic counteranion co-assembly strategy for the formation of cyclodextrin-containing hybrid frameworks,0,A61K|A61Q
12152007,2024-11-26,Substituted heterocycles as c-MYC targeting agents,0,A61P|C07D
12144877,2024-11-19,Graphene-based multifunctional cosmetic compositions,0,A61K|A61Q
12123036,2024-10-22,Soluble ACE2 variants and uses therefor,0,A61K|A61P|C07K|C12N|C12Y
