patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429720,2025-09-30,Method of inspecting display substrate,0,G01N|G02F
12422408,2025-09-23,Method and system for calibrating ultrasonic sensor,0,G01N
12422405,2025-09-23,Fine dust mass measurement device and operating method thereof,0,G01N
12422371,2025-09-23,Method of testing display device,0,G01N
12416650,2025-09-16,Method and apparatus with impedance measuring,0,A61B|G01N|G01R
12416447,2025-09-16,Carbon dioxide reusing system and method,0,C01B|F25J|G01N
12412292,2025-09-09,System and method for brightfield inspection of circular rotating wafers,0,G01N|G06T|H01L
12411092,2025-09-09,Optical monitoring device,0,B01F|G01N
12405226,2025-09-02,Substrate inspection apparatus and substrate inspection method,0,G01B|G01N|G03F|H01L
12399537,2025-08-26,Electronic device for detecting moisture,0,A61B|G01N|G04G|G06F|G08B
12396340,2025-08-19,Display device,0,G01N|H10K
12394678,2025-08-19,Test apparatus and method for a semiconductor device,0,G01M|G01N|G01R|H01L
12390120,2025-08-19,"Bio-processor, bio-signal detecting system, and operation method of bio-processor",0,A61B|G01N
12385852,2025-08-12,Glass inspection equipment and method of glass inspection,0,G01N
12385812,2025-08-12,"Method of manufacturing reference sample, method of measuring droplet, and apparatus for measuring droplet",0,G01N|G06T
12385180,2025-08-12,Clothing management device and control method therefor,0,A61L|D06F|G01N
12379328,2025-08-05,Inspection system and inspection method for semiconductor device,0,G01N|G01R|H01L
12372479,2025-07-29,Optical inspection device for optical performance test of display device and optical inspection method using the same,0,G01M|G01N|G02F
12366546,2025-07-22,"Filter contamination measuring device, filter assembly including the same, and filter contamination measuring method using the same",0,B01D|C25B|G01N
12360072,2025-07-15,PH monitoring systems having sensor modules,0,G01N
12360055,2025-07-15,Inspection system and inspection method using the same,0,G01N
12359911,2025-07-15,Method of calculating thickness of graphene layer and method of measuring content of silicon carbide by using XPS,0,B82Y|C01B|G01B|G01N|H01L|H10D
12356831,2025-07-08,Display device,0,G01N|G06F|G09G|H10K
12354920,2025-07-08,Method of forming optical proximity correction model and method of fabricating semiconductor device using the same,0,G01N|G03F|H01L
12352702,2025-07-08,Method and system for evaluating lifespan of organic light emitting display panel,0,G01N|G09G
12352699,2025-07-08,Protective sheet fixing jig and auto visual inspection system including the same,0,G01N
12350013,2025-07-08,Spectrometer including tunable on-chip laser and spectrum measurement method,0,A61B|G01J|G01N|H01S
12350009,2025-07-08,Electronic device including sensor module,0,A61B|G01N|G01V|G04G
12345626,2025-07-01,Ellipsometer and apparatus for inspecting semiconductor device including the ellipsometer,0,G01N|G02B|G03F|H01L
12345521,2025-07-01,"Optical measurement apparatus, measuring method using the same, and method of fabricating semiconductor device using the same",0,A61B|G01B|G01N|G03F|H01L
12339256,2025-06-24,Glass strength evaluation apparatus and method,0,G01N
12339223,2025-06-24,Measuring apparatus and testing apparatus having the same,0,G01N
12333709,2025-06-17,Apparatus for inspecting display panel and method for inspecting surface of display panel,0,G01B|G01N|G06T|H04N
12333706,2025-06-17,Mask inspection apparatus and method for inspecting a mask having first and second openings,0,C23C|G01N|G03F|G06T
12332200,2025-06-17,Apparatus and method with electrode-based measurement,0,A61B|G01N|G06F
12332186,2025-06-17,Method and system for inspecting semiconductor wafer and method of fabricating semiconductor device using the same,0,G01N|G06T|H01L
12332164,2025-06-17,"Dual resolution spectrometer, and spectrometric measurement apparatus and method using the spectrometer",0,G01B|G01J|G01N
12324345,2025-06-03,Method of determining crystallinity and method of manufacturing a display device using the same,0,G01N|H01L|H10K
12324312,2025-06-03,Display device and manufacturing method thereof,0,A01N|A61K|G08G|H01L|H05K|H10D|H10F|H10H|H10K
12298256,2025-05-13,Inspection method and inspection apparatus for performing the same,0,G01N|G06T
12276907,2025-04-15,"Photoresist inspection apparatus, photoresist inspection method using the same, and electron beam exposure apparatus",0,G01N|G03F|H01J
12262581,2025-03-25,Display device and method of inspecting the same,0,G01N|H10K
12260539,2025-03-25,Apparatus and method of measuring uniformity based on pupil image and method of manufacturing mask by using the method,0,G01N|G02B|G06T|H01L
12259662,2025-03-25,Methods for manufacturing semiconductor devices using MOIRÉ patterns,0,G01B|G01N|G02B|G03F|H01L
12255110,2025-03-18,Methods and systems for real-time quality control of a film in a spin coating process,0,G01B|G01N|G03F|G06T|H01L
12254621,2025-03-18,"Method, electronic device and operating method of electronic device and manufacture of semiconductor device",0,G01N|G06T|H01L
12247930,2025-03-11,Inspection apparatus and inspection method for display device,0,G01B|G01N
12241854,2025-03-04,Electronic panel and electronic apparatus comprising the same,0,G01N|G06F|H10K
12235220,2025-02-25,Method of determining abnormality of display manufacturing facility,0,G01N|G09G
12228806,2025-02-18,System and method of developing nanostructured multifunctional smart contact lens,0,B29D|G01N|G02C
12228499,2025-02-18,Pupil ellipsometry measurement apparatus and method and method of fabricating semiconductor device using the pupil ellipsometry measurement method,0,G01N|G02B
12222646,2025-02-11,"Polypeptide, photoresist composition including the same, and method of forming pattern using the same",0,C07K|G03F|H05K
12222362,2025-02-11,"Method of measuring parameters of plasma, apparatus for measuring parameters of plasma, plasma processing system, and method of processing wafer",0,G01N|H01Q|H05H
12222321,2025-02-11,Apparatus for inspecting a tube and method of inspecting a tube using the apparatus,0,B23K|G01N
12222294,2025-02-11,Optical inspection device and inspecting method using the same,0,G01N
12222282,2025-02-11,Semiconductor measurement apparatus,0,G01B|G01N|G02B|H01L
12220698,2025-02-11,"Microfluidic chip, and apparatus and method for detecting biomolecules",0,B01L|G01N
12216109,2025-02-04,"Biosensor, biosensor array and device",0,G01N|H05K|H10F|H10K|Y02E
12216095,2025-02-04,Drop test device and drop test method using the same,0,G01M|G01N
12215974,2025-02-04,"Optical measurement apparatus, measuring method using the same, and method for fabricating semiconductor device using the same",0,G01B|G01N|G02B|G03F|H01L
12215853,2025-02-04,Optical system including dome light and coaxial light and method for designing optical system,0,F21V|F21Y|G01B|G01N
12196669,2025-01-14,Inspection apparatus and method of inspecting wafer,0,G01J|G01N|G01Q|G01R|H01Q
12196429,2025-01-14,Oven and cooking method therefor,0,F24C|G01B|G01N
12177327,2024-12-24,Encryption device and operation method thereof,0,A61K|C07K|G01N|G06F|H04L
12170233,2024-12-17,"Plasma treatment apparatus, a method of monitoring a process of manufacturing a semiconductor device by using the same, and a method of manufacturing a semiconductor device including the monitoring method",0,G01N|H01J|H01L
12165933,2024-12-10,Semiconductor substrate processing apparatus and semiconductor substrate measuring apparatus using the same,0,G01N|H01L
12161465,2024-12-10,Biosensor and manufacturing method therefor,0,A61B|C08G|C12Q|C25B|G01N
12153046,2024-11-26,Aluminum metasurfaces for highly sensitive and enhanced detection of analytes for smartphone diagnostics and methods for making and using the same,0,B01L|B05D|B82Y|G01N|G06F|H04M
12153016,2024-11-26,Pollutant detection devices and monitoring system having the same,0,G01N|H01L
12146847,2024-11-19,"Sensor device, and method for manufacturing sensor device",0,G01N|G06N
12144241,2024-11-12,"Organometallic compound, organic light-emitting device including the organometallic compound, and diagnostic composition including the organometallic compound",0,A61K|C07F|C09K|H10K
12140523,2024-11-12,Optical measurement apparatus and optical measurement method,0,G01N
12136245,2024-11-05,Electronic device for identifying sunscreen applied to a user's skin and method of operating the same,0,G01J|G01N|G06F|G06T|G06V|H04M|H04N
12133624,2024-11-05,Robot cleaner and method for controlling same,0,A47L|B25J|G01N|G05B|G05D
12130242,2024-10-29,Inspection system of semiconductor wafer and method of driving the same,0,G01N|H01L
12111270,2024-10-08,Method of inspecting a wafer and apparatus for performing the same,0,G01N
12111234,2024-10-08,Device and method of detecting defective electronic component,0,G01M|G01N
12109806,2024-10-08,Inkjet printing apparatus and method for inspecting inkjet head using same,0,B41J|C09D|G01N
12109532,2024-10-08,Variant of nitrous oxide reductase protein and method of reducing concentration of nitrous oxide in sample,0,B01D|C12N
12105027,2024-10-01,Apparatus for inspecting substrate and method for fabricating semiconductor device using the same,0,G01N|G02B
12105000,2024-10-01,Fine dust measurement module and fine dust measurement device,0,G01N
12104954,2024-10-01,Apparatus for detecting UV blocking material and mobile device including the apparatus,0,G01J|G01N
12101984,2024-09-24,Display device,0,A61B|G01N|H01L|H10K
12092617,2024-09-17,Display module evaluation jig and display module evaluation method,0,G01N
12085497,2024-09-10,Nanoparticle analysis for ultra-low level concentrations of nanoparticles in fluid samples,0,G01N|H01J
12080240,2024-09-03,Pixel and organic light emitting display device having the same,1,G01N|G09G|H10D|H10K
12072259,2024-08-27,Resolution measurement apparatus and resolution measurement method using the same,0,G01M|G01N|G02B
12060668,2024-08-13,Washing machine and method of controlling the same,0,A47L|D06F|G01N
12057336,2024-08-06,Estimating heights of defects in a wafer by scaling a 3D model using an artificial neural network,0,G01N|G06T|H01L
12055861,2024-08-06,"Inspection method, inspection system, and semiconductor fabrication using the same",0,G01N|G03F|H01J
12055494,2024-08-06,Object recognition apparatus and operation method thereof,0,G01B|G01J|G01N|G06F|G06V
12055487,2024-08-06,Apparatus and method for analyzing substance of object,0,A61B|G01J|G01N|H10F
12051629,2024-07-30,"Semiconductor device manufacturing system, semiconductor device inspection device, and semiconductor device manufacturing method",0,B05D|G01B|G01N|G03F|H01L
12050176,2024-07-30,Apparatus and method for estimating body water status,0,A61B|G01N
12046167,2024-07-23,Apparatus for inspecting a display panel for defects,0,G01N|G09G
12045975,2024-07-23,Mask inspection apparatus and mask inspection method using the same,0,G01N|G06T
12042629,2024-07-23,Bio-electroceutical device using cell cluster,0,A61B|A61K|A61M|C12M
12040046,2024-07-16,"Operating method of memory device for extending synchronization of data clock signal, and operating method of electronic device including the same",0,G01N|G11C
12038718,2024-07-16,Holographic microscope and manufacturing method of semiconductor device using the same,0,G01N|G02B|G03H|H01L
12038399,2024-07-16,"Apparatus and method for analyzing biological material component, and apparatus for measuring impedance",0,A61B|G01N
12027678,2024-07-02,Thermal runaway detection system and battery system,0,B60Q|G01L|G01N|G01R|H01M|Y02E
12027031,2024-07-02,"Wearable device, system including electronic device and wearable device, and method",0,A61B|G01N|G04G|G08B
12025656,2024-07-02,Semiconductor module including semiconductor package and semiconductor package,0,G01K|G01N|G01R|G01T|H01L
12025652,2024-07-02,Apparatus and method for inspecting semiconductor,0,G01N|G01R
12025571,2024-07-02,Optical inspection device for optical performance test of display device and optical inspection method using the same,0,G01M|G01N|G02F
12024710,2024-07-02,Recombinant microorganism including genetic modification that increases activity of nitrous oxide reductase pathway and method of reducing concentration of nitrous oxide in sample by using the same,0,B01D|C12N|C12R|C12Y
12024540,2024-07-02,"Polypetide, photoresist composition including the same, and method of forming pattern using the same",0,C07K|G03F|H01L
12016654,2024-06-25,Optical sensor and method of operating the optical sensor,0,A61B|G01N|G02B
12007333,2024-06-11,System for inspecting thin glass,1,G01N
12005706,2024-06-11,"Inkjet printing device, printing method of bipolar element, and manufacturing method of display device",0,B41J|B41M|C09D|G01N|H01L|H10H
12005447,2024-06-11,Apparatus and method for bio-particle detection,0,B01L|G01N
12002698,2024-06-04,Metrology apparatus and method based on diffraction using oblique illumination and method of manufacturing semiconductor device using the metrology method,2,G01N|G03F|G06N|H01L
12000735,2024-06-04,"Substrate for sensing, a method of fabricating the substrate, and analyzing apparatus including the substrate",0,B81B|B81C|B82Y|C23C|G01J|G01N
11988777,2024-05-21,Time-resolving image sensor for range measurement and 2D greyscale imaging,0,G01N|G01S|G04F|H04N
11988495,2024-05-21,"Through-focus image-based metrology device, operation method thereof, and computing device for executing the operation",0,G01B|G01N|G01Q|G03F
11982618,2024-05-14,"Method of calibrating optical sensor, optical sensor, and apparatus for estimating bio-information",0,A61B|G01J|G01N
11974490,2024-04-30,Apparatus for manufacturing a display device,0,B41J|G01N|H10K
11972960,2024-04-30,Imaging ellipsometry (IE)-based inspection method and method of fabricating semiconductor device by using IE-based inspection method,0,G01N|G06T|H01L
11971348,2024-04-30,Electronic device and method of estimating bio-information using the same,0,A61B|G01N
11961222,2024-04-16,Mask inspection apparatus and mask inspection method using the same,0,G01N|G06T
11946881,2024-04-02,Inspection apparatus and inspection method using same,0,G01N|H01L
11940620,2024-03-26,Method of cleaning collector of EUV light source system,0,B08B|B24C|G01N|G02B|G03F|G06T
11917782,2024-02-27,"Protective film, electronic device having same, and method for attaching protection film",0,B29C|B29K|B29L|B32B|C09J|G01N|G06F|H04M|H05K|Y10T
11914282,2024-02-27,System of measuring image of pattern in scanning type EUV mask,0,G01N|G03F
11913932,2024-02-27,Apparatus and method for measuring gas concentration,0,G01N
11911152,2024-02-27,"Apparatus and method for estimating concentration of analyte, and calibration method",0,A61B|G01J|G01N
11906458,2024-02-20,Electronic device for detecting moisture inflow and method for operating same,0,G01N|G06F
11906291,2024-02-20,Method of calculating thickness of graphene layer and method of measuring content of silicon carbide by using XPS,0,B82Y|C01B|G01B|G01N|H01L|H10D
11903733,2024-02-20,Electronic device for measuring bio-signals,1,A61B|G01N|G06F
11898965,2024-02-13,Inspection apparatus for display module including a seat part having recess part,0,G01N|G02F|G09G
11898950,2024-02-13,Display device and operation method thereof,0,G01N|G08B|G09G|H10K
11898910,2024-02-13,Compact Raman sensor and apparatus for estimating bio-component,0,A61B|G01J|G01N
11895887,2024-02-06,Display device,1,G01N|H10K
11885761,2024-01-30,Electronic device including flexible display module and method for detecting damage to the display module,1,G01N|G01R|G06F|G09G|H04M|H05K|H10K
11885608,2024-01-30,Ellipsometer and inspection device for inspecting semiconductor device having the same,1,G01B|G01N|G02B
11883166,2024-01-30,Apparatus and method for estimating component of analyte,0,A61B|G01N
11872032,2024-01-16,Apparatus and method for estimating analyte concentration,0,A61B|G01N|G06F|G16B
