patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429472,2025-09-30,Methods and systems for predicting formation thermal properties,0,G01N|G06N
12422588,2025-09-23,Formation porosity estimation from digital images,0,E21B|G01N|G01V|G06N|G06T|G06V
12416615,2025-09-16,Method and apparatus for methane leakage detection,0,G01N
12399298,2025-08-26,Spectral alignment method for induced gamma ray logging,0,G01N|G01T|G01V
12392241,2025-08-19,Determining reservoir fluid properties from downhole fluid analysis data using machine learning,0,E21B|G01J|G01N|G06N
12378882,2025-08-05,Method for performing Raman spectroscopy within a logging while drilling instrument,0,E21B|G01J|G01N|G01V
12372482,2025-07-29,Lithium detection apparatus systems and methods,0,G01N
12345667,2025-07-01,X-ray fluorescence spectroscopy analysis,0,G01N
12339222,2025-06-24,Wellbore fluid optical spectra extraction,0,E21B|G01N
12333017,2025-06-17,Indirect diagnosis of multiple fluid mixer unit performance,0,B28C|E21B|G01N|G06F|H04L|Y02P
12332400,2025-06-17,Lithium detection techniques using neutrons and/or alpha particles,0,E21B|G01N|G01V
12331614,2025-06-17,"Methods, apparatus and systems for creating wellbore plugs for abandoned wells",0,C09K|C22C|E21B|G01N
12320945,2025-06-03,Probabilistic oil production forecasting,0,G01N|G01V|G06N|G06Q
12315137,2025-05-27,Cuttings imaging for determining geological properties,0,E21B|G01N|G06T|G06V
12312906,2025-05-27,"Methods, apparatus and systems for creating bismuth alloy plugs for abandoned wells",0,C09K|C22C|E21B|G01N
12312905,2025-05-27,"Methods, apparatus and systems for creating wellbore plugs for abandoned wells",0,C09K|C22C|E21B|G01N
12298242,2025-05-13,Systems and methods for differentiating bubble points from dew points,0,E21B|G01N
12286880,2025-04-29,Methods and systems for characterizing properties of reservoir rock,0,E21B|G01N|G01R|G01V
12282136,2025-04-22,Downhole lithium detection systems and methods,0,G01N|G01V
12282010,2025-04-22,Automated analysis of drilling fluid,0,G01N
12254622,2025-03-18,Computing emission rate from gas density images,0,G01M|G01N|G01S|G06T|H04N
12254408,2025-03-18,Patterned substrate for use in image-based classification of rock cuttings,0,G01N|G06F|G06N|G06T|G06V
12253508,2025-03-18,Methods and systems for estimating properties of organic matter in geological rock formations,0,E21B|G01J|G01N
12253399,2025-03-18,Multiphase flowmeters and related methods,0,G01F|G01N
12241369,2025-03-04,Systems and methods for performing lithological classification of cuttings based on calibrated photographs of rock particles,0,E21B|G01N|G06T
12234724,2025-02-25,Determining hydrocarbon resource characteristics via mud logging,0,E21B|G01N
12163945,2024-12-10,Automated analysis of drilling fluid,0,E21B|G01F|G01N
12154324,2024-11-26,Automated image-based rock type identification with neural-network segmentation and continuous learning,0,E21B|G01N|G06V
12153027,2024-11-26,Tunable laser spectroscopy measurement of C13 ethane,0,B01D|G01N
12147005,2024-11-19,Ultrasonic pulse-echo and caliper formation characterization,2,E21B|G01N|G01V
12146870,2024-11-19,Calibration of humidity and methane inside gas sensor housing,0,G01N
12146777,2024-11-19,Fluid component determination using thermal properties,0,E21B|G01F|G01K|G01N
12146406,2024-11-19,Fluid type identification from downhole fluid analysis using machine learning techniques,0,E21B|G01N
12131526,2024-10-29,Systems and methods for segmenting rock particle instances,0,E21B|G01N|G06N|G06T|G06V
12130394,2024-10-29,Fiber optic interrogation system,0,E21B|G01N|G01V|G02B
12123864,2024-10-22,High temperature high pressure asphaltene deposition/inhibitor screening test,0,C09K|E21B|G01N
12123863,2024-10-22,Processes and systems for determining if downhole fluids are in equilibrium or non-equilibrium,1,E21B|G01N
12123304,2024-10-22,Systems and methods for monitoring gas storage in underground reservoirs,0,B65G|E21B|G01N|G01V
12117585,2024-10-15,Motion detection while drilling,0,G01N|G01R|G01V
12111273,2024-10-08,Systems and methods for determining the mineralogy of drill solids,0,E21B|G01N
12105246,2024-10-01,Water saturation estimation of pyrite-rich formation rock,0,G01N|G01V|Y02A
12105078,2024-10-01,Demulsifier analysis framework,0,G01N
12105038,2024-10-01,Thermal measurement system,0,E21B|G01K|G01N|G01V
12104936,2024-10-01,Apparatus for measuring multiphase fluid flows and related methods,0,G01F|G01N
12098987,2024-09-24,Rheometer systems and related methods,0,G01N
12092626,2024-09-17,Characterization of polar species in reservoir fluids,0,E21B|G01N
12092594,2024-09-17,Measurement of metal or alloy coating,0,C23C|G01B|G01N
12055032,2024-08-06,Flexural wave measurement for thick casings,0,E21B|G01N|G01V
12038363,2024-07-16,Bob and shaft designs for portable rheometry units,0,E21B|G01N
12032115,2024-07-09,Glass-metal or ceramic-metal sealed two-piece microwave coaxial sensor and placement at a vertical venturi,0,E21B|G01F|G01N|G01V
12026871,2024-07-02,Shale shaker imaging system,0,E21B|G01N|G06F|G06T|H04N
12025767,2024-07-02,Measuring spectral contributions of elements in regions in and about a borehole using a borehole spectroscopy tool,2,E21B|G01N|G01V
12018980,2024-06-25,Dynamic systems and processes for determining a condition thereof,0,G01F|G01H|G01N|G06F|G06T
12007226,2024-06-11,Measurement of thickness of scale or corrosion,0,G01B|G01N
11994480,2024-05-28,Digital retort measurement systems and methods,0,E21B|G01N|G01R
11988802,2024-05-21,Estimating mineralogy and reconstructing elements of reservoir rock from spectroscopy data,0,E21B|G01N|G01V|G06N
11965853,2024-04-23,Electrochemical sensors,0,E21B|G01N
11965844,2024-04-23,Methods and systems for characterizing a porous rock sample employing combined capillary pressure and NMR measurements,0,G01N|G01R
11952324,2024-04-09,"Amidoamine synthesis, methods to track the reaction process",0,C07C|C09K|G01N
11946370,2024-04-02,Method and system for determining asphaltene onset pressure,0,E21B|G01N
11941128,2024-03-26,Indirect diagnosis of multiple fluid mixer unit performance,4,B28C|E21B|G01N|G06F|H04L|Y02P
11933776,2024-03-19,Pressure meter testing apparatus and method,0,E21B|G01N
11906691,2024-02-20,Method for improving neutron interpretations in subsurface formations,0,E21B|G01N|G01V
11906501,2024-02-20,"Automated method and apparatus for measuring saturate, aromatic, resin, and asphaltene fractions using microfluidics and spectroscopy",0,E21B|G01N
11906399,2024-02-20,Sampler trigger mechanism,0,E21B|F16K|G01N
11899157,2024-02-13,Well logging tool and interpretation framework that employs a system of artificial neural networks for quantifying mud and formation electromagnetic properties,0,E21B|G01N|G01V
11892421,2024-02-06,System and method for cleaning electrical stability probe,0,G01N
11814956,2023-11-14,System and methodology for determining phase transition properties of native reservoir fluids,0,E21B|G01N
11808908,2023-11-07,Real-time reconfiguration of phased array operation,0,E21B|G01B|G01N|G01S|G01V
11808615,2023-11-07,Multiphase flowmeters and related methods,0,G01F|G01N
11796710,2023-10-24,Determination of formation water salinity using downhole low frequency electromagnetic measurements and permittivity dispersions based thereon,0,E21B|G01N|G01V|Y02A
11796434,2023-10-24,Apparatus and method for testing rock heterogeneity,0,E21B|G01N
11796362,2023-10-24,Conductivity probe fluid property measurement systems and related methods,2,G01F|G01N
11788983,2023-10-17,System having non-intrusive fluid sensor,0,E21B|G01N
11768191,2023-09-26,Methods and systems for estimation of oil formation volume factor,1,E21B|G01N
11761873,2023-09-19,Method to predict downhole reservoir fluids interfacial tension,0,E21B|G01N
11754546,2023-09-12,Methods and systems for crude oil blending with quality and composition monitoring and control,0,C10G|G01N|G01R
11754518,2023-09-12,Methods and systems to determine tortuosity of rock and fluids in porous media,0,G01N|G01V
11739609,2023-08-29,"Methods, apparatus and systems for creating bismuth alloy plugs for abandoned wells",0,C09K|C22C|E21B|G01N
11739600,2023-08-29,Degassing and analyzing drilling fluid,1,B01D|E21B|G01N
11733420,2023-08-22,Glass-metal or ceramic-metal sealed two-piece microwave coaxial sensor and placement at a vertical Venturi,1,E21B|G01F|G01N|G01V
11733139,2023-08-22,System and method for determining sag propensity,0,G01N
11732580,2023-08-22,NMR sensor for monitoring multi-phase fluid settling,0,E21B|G01N|G01R
11732547,2023-08-22,"Methods, apparatus and systems for creating wellbore plugs for abandoned wells",1,C09K|C22C|E21B|G01N
11731747,2023-08-22,Marine emissions detection,1,B63B|B63G|E21B|G01N|G01P|G01S|H04B
11719845,2023-08-08,Circular downhole ultrasonic phased array,0,E21B|G01N|G01V
11692991,2023-07-04,Methods and systems for correction of oil-based mud filtrate contamination on saturation pressure,0,E21B|G01N
11692859,2023-07-04,Fluid component determination using thermal properties,0,E21B|G01F|G01K|G01N
11684917,2023-06-27,Microfluidic technique for detection of multi-contact miscibility,0,B01F|B01L|E21B|G01N
11674945,2023-06-13,System and method for measuring properties of a fluid,0,B25J|G01N
11665806,2023-05-30,Beam alignment systems and method,0,G01N|G01V|H01J|H05G
11662338,2023-05-30,System and method for measuring sag in a fluid,0,G01N
11662334,2023-05-30,Tracking and estimating tubing fatigue in cycles to failure considering non-destructive evaluation of tubing defects,1,E21B|G01N
11656199,2023-05-23,System and method for obtaining and analyzing flux leakage data in the inspection of oil and gas wells,0,E21B|G01M|G01N
11651483,2023-05-16,Shale shaker imaging system,1,E21B|G01N|G06F|G06T|H04N
11650347,2023-05-16,Fast measurement and interpretation of downhole multi-dimensional measurement,0,G01N|G01R|G01V
11643902,2023-05-09,"Methods, apparatus and systems for creating wellbore plugs for abandoned wells",0,C09K|C22C|E21B|G01N
11643898,2023-05-09,Systems and methods for monitoring and/or predicting sagging tendencies of fluids,1,E21B|G01N
11635398,2023-04-25,Resistivity measurement for evaluating a fluid,0,E21B|G01N|G01V|Y02A
11603759,2023-03-14,Method and system for determining asphaltene onset pressure,0,E21B|G01N
11550975,2023-01-10,Methods and systems for predicting interfacial tension of reservoir fluids using downhole fluid measurements,0,E21B|G01N|G01V|G06F
11543556,2023-01-03,NMR characterization and monitoring of drilling fluids,0,E21B|G01N|G01R|G01V
11530611,2022-12-20,Method for performing Raman spectroscopy within a logging while drilling instrument,1,E21B|G01J|G01N|G01V
11519266,2022-12-06,Methods and systems for characterizing properties of reservoir rock,1,E21B|G01N|G01R|G01V
11504648,2022-11-22,Well clean-up monitoring technique,0,B01D|C02F|E21B|G01F|G01N
11499935,2022-11-15,Clay detection and quantification using low frequency electromagnetic measurements,0,G01N
11473419,2022-10-18,Flexural wave measurement for thick casings,1,E21B|G01N|G01V
11443149,2022-09-13,Cuttings imaging for determining geological properties,2,E21B|G01N|G01V|G06F|G06V
11435304,2022-09-06,Estimating downhole fluid volumes using multi-dimensional nuclear magnetic resonance measurements,0,G01N|G01R|G01V|Y02A
11434755,2022-09-06,Determining asphaltene onset,0,E21B|G01N
11427473,2022-08-30,Process for the production of dispersions of thermally oxidised carbon-based materials,0,B01J|C01B|C01P|G01N
11415567,2022-08-16,Method for determining the true boiling points of complex hydrocarbon fluids using nuclear magnetic resonance,0,G01N|G01R
11397155,2022-07-26,Kerogen maturity and porosity in shale,0,G01N|G01R|G01V
11391122,2022-07-19,Modular well testing systems and methods,0,E21B|G01N
11377949,2022-07-05,Multiphase flow metering,0,E21B|G01F|G01N
11353387,2022-06-07,Determining multi-phasic fluid properties and hydrocarbon production information as a function thereof,0,G01B|G01F|G01N|G01S
11346974,2022-05-31,Techniques for NMR logging with antenna arrays,0,E21B|G01N|G01R|G01V
11346833,2022-05-31,Reservoir fluid characterization system,1,E21B|G01N|G01V
11340375,2022-05-24,Multi-frequency electromagnetic tensor measurements,0,G01N|G01V
11340207,2022-05-24,Method and installation for determining an improved mineralogical composition of a rock sample,2,G01N
11340180,2022-05-24,Method for nuclear magnetic resonance diffusion measurements,0,G01N|G01R|G01V|Y02A
11333625,2022-05-17,Electrochemical hydrogen sensor,1,B01J|E21B|G01N|H01M|Y02E
11237144,2022-02-01,Using resistivity measurements to monitor the reaction kinetics between acids and carbonate rocks,0,E21B|G01N
11237132,2022-02-01,Tracking and estimating tubing fatigue in cycles to failure considering non-destructive evaluation of tubing defects,0,E21B|G01N
11221431,2022-01-11,Mid-infrared carbon dioxide sensor,0,E21B|G01N|G01V|Y02A
11208860,2021-12-28,Gas-extraction device and associated analysis assembly and method,0,B01D|E21B|G01N
11199060,2021-12-14,Method and model for wellbore strengthening by filtercake,0,C04B|C09K|E21B|G01N
11187693,2021-11-30,Methods and systems for correction of oil-based mud filtrate contamination on saturation pressure,0,E21B|G01N
11180990,2021-11-23,Flowline saturation pressure measurement,0,E21B|G01N
