patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12429465,2025-09-30,Multi-column for isolating exosomes and exosome isolation method,0,B01D|B01J|G01N
12416650,2025-09-16,Method and apparatus with impedance measuring,0,A61B|G01N|G01R
12411087,2025-09-09,Joint histogram based fluorescent signal unmixing method and device,0,G01N
12399090,2025-08-26,"Transparentizing pretreatment method of biological sample having size of at most 1 mm, and transparentizing method of biological sample including same",0,G01N
12385889,2025-08-12,Device and method for anomaly detection of gas sensor,0,G01N|G06N
12385836,2025-08-12,Apparatus for PCR diagnosis for normalizing light source power and fluorescence power and operating method thereof,0,C12Q|G01N
12378250,2025-08-05,Tricyclic compound as IRAK4 inhibitor,0,A23L|A23V|A61K|A61P|C07D
12370532,2025-07-29,Method of manufacturing metal oxide gas sensor functionalized by multicomponent alloy nanoparticle-perovskite composite catalyst,0,B01J|G01N
12370161,2025-07-29,Composition for treating atopy or pruritus comprising N-acetyl or N-acyl amino acid,0,A23L|A23V|A61K|A61P|A61Q
12364776,2025-07-22,Ganglioglioma-induced animal model and a method for diagnosing and treating ganglioglioma and related diseases,0,A01K|A61K|A61P|C07K|C12N|C12Q|C12Y|G01N
12352696,2025-07-08,Surface plasmon resonance imaging apparatus and method,0,G01N
12351864,2025-07-08,Method and device for amplifying and detecting gene,0,B81B|C12Q|G01N
12345643,2025-07-01,Two-photon microscope,0,G01N|G02B
12331106,2025-06-17,Anti-angiopoietin-2 antibodies that induce Tie2 activation,0,A61K|A61P|C07K
12325867,2025-06-10,"Organoid produced using carrier for cell culture, and method for evaluating drug toxicity using same",0,C12N|G01N
12320747,2025-06-03,Apparatus and method for PCR diagnosis based on multi-wavelength light source and orthogonal code signals,0,C12Q|G01N
12320708,2025-06-03,Phase shift measuring device and phase shift measuring method,0,G01J|G01N|H01S|H04B
12313611,2025-05-27,Gas sensor and manufacturing method thereof,0,B81B|B81C|G01N
12313538,2025-05-27,"Biomolecule detection method, computing device performing the method, and biomolecule detection system therefor",0,A61B|G01N|H04B
12292435,2025-05-06,Apparatus for diagnosing lung cancer based on exhaled breath and method for diagnosing same,0,G01N
12286423,2025-04-29,"Antiviral 1,3-di-oxo-indene compounds",0,A61K|A61P|C07D|Y02A
12285438,2025-04-29,Enhanced immune cells using dual shRNA and composition including the same,0,A61K|A61P|C07K|C12N
12236596,2025-02-25,Apparatus and method for processing image,0,C40B|G01J|G01N|G06T
12233422,2025-02-25,"PCR tube, apparatus for PCR including the same and PCR method using the same",0,B01L|G01N
12229951,2025-02-18,Method for digital assay of targets and device using the same,0,G01N|G06T|G06V
12228569,2025-02-18,Biosensor,0,G01N|G06N|H01S|H10H
12228509,2025-02-18,Microorganism information providing device and method,0,C12Q|G01N|G06N|G06V|G16B|G16H
12221426,2025-02-11,"Inhibitory material against human body-derived nicotinamide adenine dinucleotide phosphate-dependent steroid dehydrogenase-like, and anticancer agent comprising same as effective ingredient or pharmaceutical composition comprising same as effective ingredient for treatment of hyperlipidemia",0,A61P|C07D
12217394,2025-02-04,Method and apparatus for multicolor unmixing through iterative mutual-information minimization in simultaneous channel update structure,0,G01N|G06T
12209988,2025-01-28,Sensor and method of manufacturing the same,0,G01N
