patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12410172,2025-09-09,"Crystalline forms of 3-cyano-1-[4-[6-(1-methyl-1H-pyrazol-4-yl)pyrazolo[1,5-a]pyrazin-4-yl]-1H-pyrazol-1-yl]cyclobutaneacetonitrile, and use thereof",0,A61P|C07B|C07D
12404315,2025-09-02,Protease-activating CD45-gate CAR,0,A61K|A61P|C07K|C12N|C12Y
12398119,2025-08-26,Piperazine azaspiro derivatives,0,A61P|C07D
12383611,2025-08-12,Neisseria meningitidis compositions and methods thereof,0,A61K|A61P|C07K
12378232,2025-08-05,Cyclin dependent kinase inhibitors,0,A61P|C07D
12372536,2025-07-29,Tumor necrosis factor-like ligand 1A specific antibodies and compositions and uses thereof,0,A61P|C07K|G01N
12371507,2025-07-29,CDCP1 antibodies and antibody drug conjugates,0,A61K|A61P|C07K
12371499,2025-07-29,Method of treating cancer using anti-AV8 antibodies,0,A61K|A61P|C07K
12371425,2025-07-29,Benzisoxazole sulfonamide derivatives,0,A61K|A61P|C07B|C07D
12364749,2025-07-22,RSV F protein mutants,0,A61K|A61P|C07K|C12N
12358897,2025-07-15,Compounds and method of treating COVID-19,0,A61K|A61P|C07D
12357681,2025-07-15,E. coli FimH mutants and uses thereof,0,A61K|A61P|C07K|Y02A
12343389,2025-07-01,Streptococcus pneumoniae capsular polysaccharides and conjugates thereof,0,A61K|A61P
12331041,2025-06-17,GLP-1 receptor agonists and uses thereof,0,A61K|A61P|C07D
12319669,2025-06-03,GLP-1 receptor agonists and uses thereof,0,A61K|A61P|C07D
12318438,2025-06-03,Immunogenic compositions for use in pneumococcal vaccines,0,A61K|A61P
12312358,2025-05-27,"Crystalline pyrimidinyl-3,8-diazabicyclo[3.2.1]octanylmethanone compound and use thereof",0,A61K|A61P|C07B|C07D
12312344,2025-05-27,N-substituted-dioxocyclobutenylamino-3-hydroxy-picolinamides useful as CCR6 inhibitors,0,A61P|C07D|C07F
12303509,2025-05-20,Compounds for the treatment of BRAF-associated diseases and disorders,0,A61K|A61P|C07D
12297190,2025-05-13,Modulators of STING (stimulator of interferon genes),0,A61K|A61P|C07D
12297177,2025-05-13,"Solid state forms of (S)-2-(((S)-6,8-difluoro-1,2,3,4-tetrahydronaphthalen-2-yl)amino)-N-(1-(2-methyl-1-(neopentylamino)propan-2-yl)-1H-imidazol-4-yl)pentanamide and uses thereof",0,A61K|C07B|C07D
12296012,2025-05-13,Chimeric antigen receptors targeting FLT3,0,A61K|A61P|C07K
12281127,2025-04-22,"Pyrido[4,3-d]pyrimidine compounds",0,A61K|A61P|C07D
12269896,2025-04-08,Antibodies specific for GUCY2c and uses thereof,0,A61K|A61P|C07K
12268669,2025-04-08,Pharmaceutical compositions and methods comprising a combination of a benzoxazole transthyretin stabilizer and an additional therapeutic agent,0,A61K|A61P|C07D|C07K|C12N
12247022,2025-03-11,Combinations for treatment of NASH/NAFLD and related diseases,0,A61K|A61P|C07B|C07D
12234259,2025-02-25,Glycoconjugation process,0,A61K|A61P|C07H|C07K|Y02A
12227564,2025-02-18,"Anti-GDF15 antibodies, compositions and methods of use",0,A61K|A61P|C07K|C12N|Y02A
