patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12415837,2025-09-16,Engineering virus-like nanocarriers for biomolecule delivery,0,A61K|C07K|C12N
12414917,2025-09-16,Opioid independent surgical anesthetic,0,A61K
12410428,2025-09-09,RNA-guided transcriptional regulation and methods of using the same for the treatment of back pain,0,A61K|A61P|C12N
12410228,2025-09-09,Insulin analogs,0,A61K|A61P|C07K|C30B|G16B
12409189,2025-09-09,STAUFEN1 agents and associated methods,0,A61K|A61P|C12N|G01N
12403111,2025-09-02,Compositions and methods for treating neurodevelopmental disorders,0,A61K|A61P
12352750,2025-07-08,Multigene assay to assess risk of recurrence of cancer,0,A61P|C12Q|G01N
12350337,2025-07-08,Polymeric drug delivery conjugates and methods of making and using thereof,0,A61K|A61P
12310928,2025-05-27,Enthesis healing,0,A61B|A61K|A61L|A61P
12270806,2025-04-08,Rapid assay for detection of SARS-CoV-2 antibodies,0,C07K|C12N|G01N
12253523,2025-03-18,Target-binding activated split reporter systems for analyte detection and related components and methods,0,C07K|C12Q|G01N
12253448,2025-03-18,"Isolation, storage, and delivery of extracellular vesicles using asymmetric depth filters",0,B82Y|G01N
12227512,2025-02-18,Benzimidazoles and methods of using same,0,A61K|A61P|C07D
12220498,2025-02-11,In situ solidifying solutions and methods of making and using thereof,1,A61K|A61L|C09D
12215129,2025-02-04,Antibacterial cyclopeptides targeting acinetobacter and other gram-negative pathogens,0,A61K|A61P|C07K|Y02A
12188095,2025-01-07,Methods and compositions for identifying and treating patients with small cell lung cancer,0,A01K|A61P|C12N|C12Q|G01N
12180300,2024-12-31,Targeting moiety-drug grafted immune cell compositions and methods of use,0,A61K|A61P|C07K
12162923,2024-12-10,Immune tolerant elastin-like peptide tetramer guided nanoparticles and methods of use,0,A61K|A61P|C07K
12150973,2024-11-26,OCA-B peptide conjugates and methods of treatment,0,A61K|A61P|C07K
12139724,2024-11-12,Methods of making red blood cells and platelets in vitro and uses thereof,0,C12N
12117316,2024-10-15,Resistive sensor interface,0,G01D|G01N|G01R
12105102,2024-10-01,Methods for quantifying insulin-like growth factor-1 and insulin-like growth factor-2,0,G01N
12084674,2024-09-10,Methods and compositions for a HIV based delivery system,0,C07K|C12N|C12Q
12078580,2024-09-03,Hydrodynamic cavitation,0,G01N
12077607,2024-09-03,Functional and therapeutic effects of PAR4 cleavage by cathepsin G,0,A61K|A61P|C07K
12048763,2024-07-30,Compositions and methods for treating sialorrhea,0,A61K|A61P
12023603,2024-07-02,Two-electrode configuration for separations based on electrosorption in electrochemically modulated liquid chromatography (EMLC),0,B01D|G01N
11957762,2024-04-16,Immune tolerant and non-immune tolerant elastin-like recombinant peptides and methods of use,0,A61K|A61P|C07K
11946046,2024-04-02,Staufen1 regulating agents and associated methods,0,A61K|C12N
11911442,2024-02-27,Use of soluble pro(renin) receptor to treat metabolic disorders and related conditions,0,A61K|A61P
11834708,2023-12-05,Methods for fast nucleic acid amplification,0,B01L|C12Q
11833188,2023-12-05,Methods and compositions for preventing or treating cancer,0,A61K|A61P|C07K
11801307,2023-10-31,Antibody-polymer-drug conjugates,0,A61K|A61P|C07K
11774453,2023-10-03,Target-binding activated split reporter systems for analyte detection and related components and methods,0,C07K|C12Q|G01N
11761919,2023-09-19,Quantitative chemical sensors with radio frequency communication,0,C07D|G01N|G01R
