patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12414905,2025-09-16,Hair conditioning composition for improved deposition,0,A61K|A61Q
12409117,2025-09-09,Wash composition substantially free of oil,0,A61K|A61Q
12403084,2025-09-02,Cleansing composition,0,A61K|A61Q
12403080,2025-09-02,Personal care composition and methods,0,A61K|A61Q
12396936,2025-08-26,Antimicrobial composition for tackling malodour,0,A61K|A61P|A61Q
12396931,2025-08-26,Compositions having low sulfate containing surfactants,0,A61K|A61Q
12377030,2025-08-05,"Low viscosity, high polyol self-foaming composition",0,A61K|A61Q
12372466,2025-07-29,Method for determining rinse properties,0,A61K|A61Q|C11D|G01N
12371726,2025-07-29,Process to produce mono-rhamnolipids,0,C11D|C12N|C12P|C12Y
12349677,2025-07-08,Antimicrobial composition,0,A01N|A61K|A61Q
12343417,2025-07-01,Antiperspirant compositions,0,A61K|A61Q
12311044,2025-05-27,Antimicrobial composition,0,A61K|A61Q
12297474,2025-05-13,Process to produce mono-rhamnolipids,0,C11D|C12N|C12P|C12Y
12296042,2025-05-13,Cosmetic compositions comprising silicone elastomer,0,A61K|A61Q
12285515,2025-04-29,Microcapsule and hair care composition,0,A01N|A61K|A61Q|B01J
12285507,2025-04-29,Deposition system for hair,0,A61K|A61Q
12280131,2025-04-22,Deposition system for hair,0,A61K|A61Q
12246084,2025-03-11,Hair care composition,0,A61K|A61Q
12246081,2025-03-11,Deodorant compositions,0,A61K|A61Q
12233144,2025-02-25,Method for stabilizing retinoic acid precursors and a skin benefit composition with stabilized retinoic acid precursors,0,A61G|A61K|A61Q
12215084,2025-02-04,2(1H)-pyridinones and their use to treat inflammatory conditions,0,A61K|A61P|A61Q|C07D
12178901,2024-12-31,Polymer and a topical composition comprising the polymer,0,A61K|A61Q|C08F
12168066,2024-12-17,Hair care composition,0,A61K|A61Q
12156929,2024-12-03,Topical antimicrobial composition,0,A61K|A61Q
12156928,2024-12-03,Antiperspirant composition comprising inorganic polyionic cluster,0,A61K|A61Q
12140539,2024-11-12,Method for determining rinse properties,0,A61K|A61Q|G01N
12138334,2024-11-12,Antidandruff composition,0,A61K|A61Q
12128126,2024-10-29,Hair treatment composition,0,A61K|A61Q|C08G|C08L
12109295,2024-10-08,Cosmetic compositions comprising low molecular weight silk fibroin,0,A61K|A61Q|C07K
12076432,2024-09-03,Method of repairing oxidatively treated hair,0,A45D|A61K|A61Q
12076427,2024-09-03,Compositions having low sulfate containing surfactants,0,A61K|A61Q
12064253,2024-08-20,Sweat mapping method,0,A61B|C08F|C09D|D21H|G01N
12059485,2024-08-13,Personal cleansing compositions comprising a surfactant system consisting of an alkyl ether sulfate and betaine,0,A61K|A61Q
12042553,2024-07-23,Cleansing composition,0,A61K|A61Q
