patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12421217,2025-09-23,"Pyrazine derivative or salt thereof, and use of same",0,A61P|C07D
12419522,2025-09-23,"Insert, photoacoustic measurement device comprising insert, and method for manufacturing insert",0,A61B|G01N
12405231,2025-09-02,Radiographic imaging apparatus and radiation detector,0,A61B|G01N|H10F
12399103,2025-08-26,"Cell life-and-death determination method, cell life-and-death determination device, and cell life-and-death determination system",0,B01L|G01N|G06T
12392755,2025-08-19,Quality determination system of jelly for swallowing and quality determination method of jelly for swallowing,0,A61B|G01N
12385910,2025-08-12,Solid phase carrier and kit,0,C08F|G01N
12384996,2025-08-12,Cell culture system and cell culture method,0,B01L|C12M|C12N
12370214,2025-07-29,Combined pharmaceutical formulation comprising drug-containing liposome composition and platinum preparation,0,A61K|A61P
12370186,2025-07-29,Combined pharmaceutical formulation comprising drug-containing liposome composition and immune checkpoint inhibitor,0,A61K|A61P|C07K
12370143,2025-07-29,Compound or salt thereof and lipid particles,0,A61K|C07C|C07D|C12N
12365870,2025-07-22,Storage stabilizer for extracellular vesicle and storage stabilization method for extracellular vesicle,0,A01N|C08F|C08L|C12N
12352753,2025-07-08,Kit for measuring measurement target substance and method for measuring measurement target substance,0,G01N
12351789,2025-07-08,Method for producing cell laminate,0,C12M|C12N
12339281,2025-06-24,Immunochromatographic kit and method for detecting mycobacterium tuberculosis,0,C07K|G01N
12331280,2025-06-17,"Cell culture device, method for culturing cells, and method for producing product",0,C12M|C12N|F04B
12326418,2025-06-10,"Standard sample film, method for producing standard sample film, standard sample, sample set, quantitative analysis method, and transfer film",0,G01N|H01J
12325845,2025-06-10,Incubator and method of operating microfluidic device,0,C12M|G01N
12325727,2025-06-10,"Method for producing peptide compound, protective group-forming reagent, and aromatic heterocyclic compound",0,C07D|C07K|Y02P
12313625,2025-05-27,"Living tissue model device, vascular wall model, vascular wall model device and method of evaluating test substance",0,G01N
12312577,2025-05-27,"Accommodation case, accommodation case stack, and method of operating microfluidic device",0,B01L|C12M|G01N|H02J
12311356,2025-05-27,Biological specimen separation instrument,0,B01L|G01N
12305089,2025-05-20,Sealing method,0,C03C|C08F|C08K|C09D|C09J|G01N|G02B
12304220,2025-05-20,"Defect inspection device, defect inspection method, and program, and printing device and method of manufacturing printed matter",0,B41J|G01N|G06N
12286440,2025-04-29,"Penam derivative or salt thereof, pharmaceutical composition, and applications thereof",0,A61K|A61P|C07D|Y02P
12285525,2025-04-29,Compound or salt thereof and lipid particles,0,A61K|C07C|C07D|C12N
12283353,2025-04-22,Method for designing primers for multiplex PCR,0,C12N|C12Q|G16B|G16C
12283035,2025-04-22,"Information display apparatus, information display method, and information display program",0,G01N|G06F|G06T
12283033,2025-04-22,Damage diagram creation support method and damage diagram creation support device,0,G01N|G06T
12282259,2025-04-22,"Liquid chemical, method for producing liquid chemical, and method for analyzing test target solution",0,G01N|G03F
12270742,2025-04-08,Biological specimen separation instrument,0,B01L|G01N
12254608,2025-03-18,"Sample acquisition information management device, sample acquisition information management system, and sample acquisition information management method",0,A61B|A61J|G01N|G02B|G06T|G16H
12253449,2025-03-18,"Physical property measurement method, physical property measurement device, and probe",0,G01N
12249406,2025-03-11,"Feature quantity calculating method, feature quantity calculating program, and feature quantity calculating device, screening method, screening program, and screening device, compound creating method, compound creating program, and compound creating device",0,G01N|G16C
12243128,2025-03-04,"Control device, operation method of control device, and operation program of control device",0,C12M|G01B|G01N|G02B|G03H|G06T|H04N
12235263,2025-02-25,"Progesterone measuring kit, progesterone measuring method, and progesterone measuring reagent",0,G01N
12235191,2025-02-25,Flight imaging system and method,0,B64C|B64D|B64U|G01C|G01M|G01N|G01S|G05D|H04N
12227542,2025-02-18,"Method for producing peptide compound, protective group-forming reagent, and condensed polycyclic compound",0,C07C|C07D|C07K|Y02P
12220482,2025-02-11,Liposome composition and method for producing the same,0,A61K|A61P
12209972,2025-01-28,"Inspection support device, inspection support method, and inspection support program",0,G01N|G06T|G06V
12203851,2025-01-21,Method for detecting objective substance,0,G01N
12202850,2025-01-21,Cyclobutyl purine derivative or salt thereof,0,A61K|A61P|C07F|Y02P
12201723,2025-01-21,Combined pharmaceutical formulation comprising gemcitabine-containing liposome composition and immune checkpoint inhibitor,0,A61K|A61P|C07K
12195579,2025-01-14,Cell adhesion sheet,0,C08F|C08G|C08J|C09D|C09J|C12N
12190477,2025-01-07,"Image processing system, image processing device, image processing method, and image processing program",0,G01B|G01N|G06T|H04N
12188901,2025-01-07,"Management method, measuring method, measuring device, crystal oscillator sensor, and set",0,G01N
12182989,2024-12-31,"Printed matter inspection device, printed matter inspection method, program, and printing apparatus",0,B41J|G01N|G06K|G06T|G06V
12163962,2024-12-10,Reagent kit and measurement kit for serum amyloid A,0,C07K|G01N
12159387,2024-12-03,"Inspection support apparatus, inspection support method, and inspection support program for concrete structure",0,C04B|E01D|G01N|G06T|G06V
12158412,2024-12-03,Concentration measuring method of optically active substance and concentration measuring device of optically active substance,0,A61B|G01N
12150803,2024-11-26,"Image processing device, radiography system, image processing method, and image processing program",0,A61B|G01N|G06T
12144663,2024-11-19,X-ray CT apparatus and correction method of projection data,0,A61B|G01N
12140553,2024-11-12,"Image processing apparatus, radiography system, image processing method, and image processing program",0,A61B|G01N|G06T
12136258,2024-11-05,"Information processing apparatus, method for operating information processing apparatus, and operating program of information processing apparatus",0,C12M|C12Q|G06T|G06V
12134760,2024-11-05,Channel device,0,B01L|C12M|G01N
12118819,2024-10-15,Fingerprint recognition sensor and optical element,0,A61B|G01N|G02B|G06V
12115011,2024-10-15,Radiation detector and radiography apparatus,0,A61B|G01N
12111430,2024-10-08,Radiation detector and radiography apparatus,0,A61B|G01N|G01T
12111314,2024-10-08,Test device,0,C12M|G01N
12078761,2024-09-03,Signal detection system,0,G01B|G01N|G01S|G02B
12067713,2024-08-20,Determination method,0,C12M|C12N|C12Q|G01N|G03H|G06T|G06V
12061152,2024-08-13,"Repair diagram generation device, repair diagram generation method, and program",0,G01M|G01N|G06Q|G06T
12059126,2024-08-13,Endoscope system,0,A61B|G01B|G01N|G02B|G06T
12054746,2024-08-06,Method for inducing differentiation of pluripotent stem cells into intestinal epithelial cells,0,A61K|A61P|C12N|G01N
12049614,2024-07-30,Cell culture apparatus and cell culture method,0,B01D|C07K|C12M|C12N
12047665,2024-07-23,Shutter system and inspection device,0,G01N|H04N
12025627,2024-07-02,Management system and management method,0,G01N|G06V
12025574,2024-07-02,"Correction method, correction apparatus, radiography system, and correction program",0,G01N|G06T
12020433,2024-06-25,"Cell evaluation device, operation method for cell evaluation device, operation program for cell evaluation device, and cell culture system",0,C12M|C12N|G01N|G06T
12018282,2024-06-25,"Method for producing insulin-producing cell from mesenchymal stem cell, insulin-producing cell, cell structure, and pharmaceutical composition",0,A61K|C12N
12009626,2024-06-11,"Laser device, multi-wavelength laser device, and photoacoustic measurement apparatus",0,A61B|G01N|G02B|H01S
12005143,2024-06-11,Method for producing liposome and apparatus for producing liposome,0,A61K|B01F|B01J|B82Y
11999804,2024-06-04,Treatment agent for lysosomal storage disease,0,A61K|A61L|A61P|C07K|C12N
11988667,2024-05-21,Fluorescent compound and fluorescent labeled biological substance using the same,0,C07F|C09B|C09K|G01N
11972550,2024-04-30,Image processing apparatus and image processing method,0,G01N|G06T|H04N
11969296,2024-04-30,Ultrasound diagnostic apparatus using a harmonic imaging method and method of controlling ultrasound diagnostic apparatus,0,A61B|G01N|G01S
11965901,2024-04-23,"Management system, management method, and dummy container",0,G01N|G06V
11959862,2024-04-16,"Damage figure creation supporting apparatus, damage figure creation supporting method, damage figure creation supporting program, and damage figure creation supporting system",1,E01D|G01N|G06T
11953510,2024-04-09,Management system and management method,0,G01K|G01N|G06T|G16H
11948291,2024-04-02,"Damage diagram creation method, damage diagram creation device, damage diagram creation system, and recording medium",0,G01B|G01N|G06T|H04N
11935312,2024-03-19,Management system and management method,0,G01N|G06V
11915411,2024-02-27,"Structure management device, structure management method, and structure management program",0,G01N|G06F|G06T|G06V
11893728,2024-02-06,Method for determining a state of a sphere,0,C12M|C12Q|G01N|G02B|G03H|G06T
11891505,2024-02-06,"Resin composition for acoustic matching layer, cured product, acoustic matching sheet, acoustic probe, acoustic measuring apparatus, method for producing acoustic probe, and acoustic matching layer material set",0,A61B|C08G|C08K|C08L|G01N|G10K
11890296,2024-02-06,"Anti-tumor agent containing cytarabine, anti- tumor effect enhancing agent which is used in combination with cytarabine, anti-tumor kit, and anti-tumor agent which is used in combination with cytarabine",0,A61K|A61P
11869181,2024-01-09,Determination method,0,C12M|C12Q|G01N|G03H|G06F|G06T|G06V
11856946,2024-01-02,Chamber for transplantation and device for transplantation,0,A01N|A61B|A61F|A61K|A61L|B01D|C12N
11821896,2023-11-21,Kit and method for measuring measurement target substance in biological sample,3,C07D|C07F|G01N
11806178,2023-11-07,"Image processing apparatus, radiography system, image processing method, and image processing program",1,A61B|G01N|G06T|G06V
11776107,2023-10-03,"Inspection method, program, inspection device, and printing device",0,B41F|B41J|G01N|G06K|G06T|H04N
11766178,2023-09-26,"Insert, photoacoustic measurement device comprising insert, and method for manufacturing insert",0,A61B|G01N
11759998,2023-09-19,Method for producing gelatin formed body and gelatin formed body,0,A61L|B29C|B29L|B33Y|C07K|C12M
